time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ART,Solar8000/PLETH_SPO2
0,,,NaN,NaN,,NaN,,,,,,NaN,
1,,,-4.9562602043151855,-4.9562602043151855,,-495.6260070800781,,,,,,-496.78717041015625,
2,2,,-4.956240177154541,-4.956240177154541,2,-495.6240234375,0,2,,54,53,-496.7851867675781,99
3,,,NaN,NaN,,NaN,,,,,,NaN,
4,2,,NaN,NaN,2,NaN,0,2,,54,53,NaN,99
5,,,NaN,NaN,,NaN,,,,,,NaN,
6,2,,NaN,NaN,2,NaN,0,2,,54,53,NaN,99
7,,,NaN,NaN,,NaN,,,,,,NaN,
8,2,,NaN,NaN,2,NaN,0,2,,54,53,NaN,99
9,,,NaN,NaN,,NaN,,,,,,NaN,
10,2,,NaN,NaN,2,NaN,0,2,,54,53,NaN,99
11,,,NaN,NaN,,NaN,,,,,,NaN,
12,2,,NaN,NaN,2,NaN,0,2,,54,53,NaN,99
13,,,NaN,NaN,,NaN,,,,,,NaN,
14,3,,NaN,NaN,3,NaN,0,3,,53,53,NaN,99
15,,,NaN,NaN,,NaN,,,,,,NaN,
16,3,,NaN,NaN,3,NaN,0,3,,53,53,NaN,99
17,,,NaN,NaN,,NaN,,,,,,NaN,
18,2,,NaN,NaN,2,NaN,0,2,,53,53,NaN,99
19,,,NaN,NaN,,NaN,,,,,,NaN,
20,2,,NaN,NaN,2,NaN,0,2,,53,53,NaN,100
21,,,NaN,NaN,,NaN,,,,,,NaN,
22,2,,NaN,NaN,2,NaN,0,2,,53,53,NaN,100
23,,,NaN,NaN,,NaN,,,,,,NaN,
24,2,,NaN,NaN,2,NaN,0,2,,53,54,NaN,100
25,,,NaN,NaN,,NaN,,,,,,NaN,
26,2,,NaN,NaN,2,NaN,0,2,,54,55,NaN,100
27,,,NaN,NaN,,NaN,,,,,,NaN,
28,2,,NaN,NaN,2,NaN,0,2,,55,55,NaN,100
29,,,NaN,NaN,,NaN,,,,,,NaN,
30,2,,NaN,NaN,2,NaN,0,2,,57,56,NaN,100
31,,,NaN,NaN,,NaN,,,,,,NaN,
32,2,,NaN,NaN,2,NaN,0,2,,57,56,NaN,100
33,,,NaN,NaN,,NaN,,,,,,NaN,
34,2,,NaN,NaN,2,NaN,0,2,,57,57,NaN,100
35,,,NaN,NaN,,NaN,,,,,,NaN,
36,2,,NaN,NaN,2,NaN,0,2,,57,56,NaN,100
37,,,NaN,NaN,,NaN,,,,,,NaN,
38,1,,NaN,NaN,1,NaN,0,1,,56,55,NaN,100
39,,,NaN,NaN,,NaN,,,,,,NaN,
40,1,,NaN,NaN,1,NaN,0,1,,55,54,NaN,100
41,,,NaN,NaN,,NaN,,,,,,NaN,
42,1,,NaN,NaN,1,NaN,0,1,,54,54,NaN,100
