time,Solar8000/ART_SBP,SNUADC/ECG_II,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/RR_CO2,SNUADC/ART,Solar8000/PLETH_SPO2,Solar8000/ETCO2,Solar8000/CVP,Solar8000/PLETH_HR,Solar8000/HR,Solar8000/ART_DBP
0,,NaN,,NaN,,NaN,,,,,,
1,,-4.9562602043151855,,-495.6260070800781,,-491.88665771484375,,,,,,
2,,-4.956240177154541,,-495.6240234375,,-491.88470458984375,,,,,,
3,,NaN,,NaN,,NaN,,,,,,
4,,NaN,,NaN,,NaN,,,,,,
5,-2,NaN,-5,NaN,,NaN,100,0,3,118,116,-6
6,,NaN,,NaN,,NaN,,,,,,
7,-5,NaN,-5,NaN,,NaN,100,0,3,118,116,-5
8,,NaN,,NaN,,NaN,,,,,,
9,-5,NaN,-5,NaN,,NaN,100,0,3,118,116,-5
10,,NaN,,NaN,,NaN,,,,,,
11,-5,NaN,-5,NaN,,NaN,100,0,3,121,116,-5
12,,NaN,,NaN,,NaN,,,,,,
13,-5,NaN,-5,NaN,,NaN,99,0,3,123,116,-5
14,,NaN,,NaN,,NaN,,,,,,
15,-5,NaN,-5,NaN,,NaN,98,0,3,125,117,-5
16,,NaN,,NaN,,NaN,,,,,,
17,-5,NaN,-5,NaN,,NaN,99,0,3,124,117,-5
18,,NaN,,NaN,,NaN,,,,,,
19,-5,NaN,-5,NaN,,NaN,98,0,3,121,121,-5
20,,NaN,,NaN,,NaN,,,,,,
21,-5,NaN,-5,NaN,,NaN,99,0,3,121,124,-5
22,,NaN,,NaN,,NaN,,,,,,
23,-5,NaN,-5,NaN,,NaN,99,0,3,121,124,-5
24,,NaN,,NaN,,NaN,,,,,,
25,-5,NaN,-5,NaN,,NaN,100,0,3,123,124,-5
26,,NaN,,NaN,,NaN,,,,,,
27,-5,NaN,-5,NaN,,NaN,100,0,3,128,124,-5
28,,NaN,,NaN,,NaN,,,,,,
29,-4,NaN,-4,NaN,,NaN,100,0,3,128,124,-4
30,,NaN,,NaN,,NaN,,,,,,
31,-4,NaN,-4,NaN,,NaN,100,0,3,128,124,-4
32,,NaN,,NaN,,NaN,,,,,,
33,-4,NaN,-4,NaN,,NaN,100,0,3,128,124,-4
34,,NaN,,NaN,,NaN,,,,,,
35,-4,NaN,-4,NaN,,NaN,100,0,3,128,123,-4
36,,NaN,,NaN,,NaN,,,,,,
37,-5,NaN,-5,NaN,,NaN,100,0,3,127,121,-5
38,,NaN,,NaN,,NaN,,,,,,
39,-5,NaN,-5,NaN,,NaN,100,0,4,125,122,-5
40,,NaN,,NaN,,NaN,,,,,,
41,-5,NaN,-5,NaN,,NaN,100,0,4,125,123,-5
42,,NaN,,NaN,,NaN,,,,,,
43,-5,NaN,-5,NaN,,NaN,100,0,4,125,125,-5
44,,NaN,,NaN,,NaN,,,,,,
45,-5,NaN,-5,NaN,,NaN,100,0,4,125,125,-5
46,,NaN,,NaN,,NaN,,,,,,
47,-5,NaN,-5,NaN,,NaN,100,0,4,125,127,-5
48,,NaN,,NaN,,NaN,,,,,,
49,-5,NaN,-5,NaN,,NaN,99,0,3,126,129,-5
50,,NaN,,NaN,,NaN,,,,,,
51,-5,NaN,-5,NaN,,NaN,100,0,3,126,128,-5
52,,NaN,,NaN,,NaN,,,,,,
53,-5,NaN,-5,NaN,,NaN,100,0,3,125,126,-5
54,,NaN,,NaN,,NaN,,,,,,
55,-5,NaN,-5,NaN,,NaN,100,0,3,124,125,-5
56,,NaN,,NaN,,NaN,,,,,,
57,-6,NaN,-6,NaN,,NaN,99,0,3,121,121,-6
58,,NaN,,NaN,,NaN,,,,,,
59,-5,NaN,-6,NaN,,NaN,98,0,3,116,117,-9
60,,NaN,,NaN,,NaN,,,,,,
61,-4,NaN,-5,NaN,,NaN,97,0,4,113,114,-7
62,,NaN,,NaN,,NaN,,,,,,
63,-4,NaN,-5,NaN,,NaN,96,0,4,110,112,-7
64,,NaN,,NaN,,NaN,,,,,,
65,-4,NaN,-5,NaN,,NaN,97,0,4,109,112,-7
66,,NaN,,NaN,,NaN,,,,,,
67,-5,NaN,-5,NaN,,NaN,100,0,4,109,112,-5
68,,NaN,,NaN,,NaN,,,,,,
69,-5,NaN,-5,NaN,,NaN,100,0,4,109,111,-5
70,,NaN,,NaN,,NaN,,,,,,
71,-5,NaN,-5,NaN,,NaN,100,0,4,108,111,-5
72,,NaN,,NaN,,NaN,,,,,,
73,-5,NaN,-5,NaN,,NaN,100,0,4,107,109,-5
74,,NaN,,NaN,,NaN,,,,,,
