time,SNUADC/ECG_II,SNUADC/ECG_V5,SNUADC/ART,Solar8000/CVP,Solar8000/ART_MBP,Solar8000/PLETH_HR,Solar8000/ETCO2,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR_CO2,SNUADC/CVP,Solar8000/ART_DBP,Solar8000/HR
0,NaN,NaN,NaN,,,,,,,,NaN,,
1,-4.9562602043151855,-4.9562602043151855,-494.5040283203125,,,,,,,,-495.6260070800781,,
2,-4.956240177154541,-4.956240177154541,-494.5020446777344,,,,,,,,-495.6240234375,,
3,NaN,NaN,NaN,,,,,,,,NaN,,
4,NaN,NaN,NaN,,,,,,,,NaN,,
5,NaN,NaN,NaN,-10,-13,64,,100,-13,,NaN,-13,63
6,NaN,NaN,NaN,,,,,,,,NaN,,
7,NaN,NaN,NaN,-10,-12,64,,100,-12,,NaN,-12,64
8,NaN,NaN,NaN,,,,,,,,NaN,,
9,NaN,NaN,NaN,-10,-12,65,,100,-12,,NaN,-12,65
10,NaN,NaN,NaN,,,,,,,,NaN,,
11,NaN,NaN,NaN,-10,-12,66,,100,-12,,NaN,-12,65
12,NaN,NaN,NaN,,,,,,,,NaN,,
13,NaN,NaN,NaN,-10,-12,65,,100,-12,,NaN,-12,65
14,NaN,NaN,NaN,,,,,,,,NaN,,
15,NaN,NaN,NaN,-10,-12,64,,100,-12,,NaN,-12,64
16,NaN,NaN,NaN,,,,,,,,NaN,,
17,NaN,NaN,NaN,-10,-12,64,,100,-12,,NaN,-12,63
18,NaN,NaN,NaN,,,,,,,,NaN,,
19,NaN,NaN,NaN,-10,-12,63,,100,-12,,NaN,-12,62
20,NaN,NaN,NaN,,,,,,,,NaN,,
21,NaN,NaN,NaN,-10,-12,63,,100,-12,,NaN,-12,62
22,NaN,NaN,NaN,,,,,,,,NaN,,
23,NaN,NaN,NaN,-10,-12,62,,100,-12,,NaN,-12,62
24,NaN,NaN,NaN,,,,,,,,NaN,,
25,NaN,NaN,NaN,-10,-12,62,,100,-12,,NaN,-12,62
26,NaN,NaN,NaN,,,,,,,,NaN,,
27,NaN,NaN,NaN,-10,-13,62,,100,-13,,NaN,-13,62
28,NaN,NaN,NaN,,,,,,,,NaN,,
29,NaN,NaN,NaN,-10,-13,63,,100,-13,,NaN,-13,62
30,NaN,NaN,NaN,,,,,,,,NaN,,
31,NaN,NaN,NaN,-10,-13,63,,100,-13,,NaN,-13,62
32,NaN,NaN,NaN,,,,,,,,NaN,,
33,NaN,NaN,NaN,-10,-13,64,,100,-13,,NaN,-13,66
34,NaN,NaN,NaN,,,,,,,,NaN,,
35,NaN,NaN,NaN,-10,-13,64,,100,-13,,NaN,-13,66
36,NaN,NaN,NaN,,,,,,,,NaN,,
37,NaN,NaN,NaN,-10,-13,64,,100,-13,,NaN,-13,66
38,NaN,NaN,NaN,,,,,,,,NaN,,
39,NaN,NaN,NaN,-10,-12,64,,100,-12,,NaN,-12,66
40,NaN,NaN,NaN,,,,,,,,NaN,,
41,NaN,NaN,NaN,-10,-12,64,0,100,-12,,NaN,-12,66
42,NaN,NaN,NaN,,,,,,,,NaN,,
43,NaN,NaN,NaN,-10,-13,64,0,100,-13,,NaN,-13,67
44,NaN,NaN,NaN,,,,,,,,NaN,,
45,NaN,NaN,NaN,-10,-13,64,0,100,-13,,NaN,-13,68
46,NaN,NaN,NaN,,,,,,,,NaN,,
47,NaN,NaN,NaN,-10,-13,64,0,100,-13,,NaN,-13,
48,NaN,NaN,NaN,,,,,,,,NaN,,
49,NaN,NaN,NaN,-10,-13,64,0,100,-13,,NaN,-13,
50,NaN,NaN,NaN,,,,,,,,NaN,,
