time,SNUADC/CVP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/PLETH_HR,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_DBP,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/HR
0,NaN,NaN,,,,,,NaN,,,NaN,,
1,-495.6260070800781,-4.9562602043151855,,,,,,-491.88665771484375,,,-4.9562602043151855,,
2,-495.6240234375,-4.956240177154541,100,-3,91,1,,-491.88470458984375,1,1,-4.956240177154541,,91
3,NaN,NaN,,,,,,NaN,,,NaN,,
4,NaN,NaN,100,-3,91,1,,NaN,1,1,NaN,,91
5,NaN,NaN,,,,,,NaN,,,NaN,,
6,NaN,NaN,100,-3,91,1,0,NaN,1,1,NaN,,90
7,NaN,NaN,,,,,,NaN,,,NaN,,
8,NaN,NaN,100,-3,91,1,0,NaN,1,1,NaN,,90
9,NaN,NaN,,,,,,NaN,,,NaN,,
10,NaN,NaN,100,-3,91,1,0,NaN,1,1,NaN,,90
11,NaN,NaN,,,,,,NaN,,,NaN,,
12,NaN,NaN,100,-3,91,1,0,NaN,1,1,NaN,,90
13,NaN,NaN,,,,,,NaN,,,NaN,,
14,NaN,NaN,100,-3,92,0,0,NaN,0,0,NaN,,90
15,NaN,NaN,,,,,,NaN,,,NaN,,
16,NaN,NaN,100,-3,93,0,0,NaN,0,0,NaN,,91
17,NaN,NaN,,,,,,NaN,,,NaN,,
18,NaN,NaN,100,-3,93,0,0,NaN,0,0,NaN,,93
19,NaN,NaN,,,,,,NaN,,,NaN,,
20,NaN,NaN,100,-3,92,0,0,NaN,0,0,NaN,,93
21,NaN,NaN,,,,,,NaN,,,NaN,,
22,NaN,NaN,100,-3,91,0,0,NaN,0,0,NaN,,92
23,NaN,NaN,,,,,,NaN,,,NaN,,
24,NaN,NaN,100,-3,91,0,0,NaN,0,0,NaN,,90
25,NaN,NaN,,,,,,NaN,,,NaN,,
26,NaN,NaN,100,-3,91,0,0,NaN,0,0,NaN,,90
27,NaN,NaN,,,,,,NaN,,,NaN,,
28,NaN,NaN,100,-3,92,0,0,NaN,0,0,NaN,,91
29,NaN,NaN,,,,,,NaN,,,NaN,,
30,NaN,NaN,100,-3,92,0,0,NaN,0,0,NaN,,92
31,NaN,NaN,,,,,,NaN,,,NaN,,
32,NaN,NaN,100,-3,92,0,0,NaN,0,0,NaN,,91
33,NaN,NaN,,,,,,NaN,,,NaN,,
34,NaN,NaN,100,-3,91,1,0,NaN,1,1,NaN,,91
35,NaN,NaN,,,,,,NaN,,,NaN,,
36,NaN,NaN,100,-3,91,1,0,NaN,1,1,NaN,,90
37,NaN,NaN,,,,,,NaN,,,NaN,,
38,NaN,NaN,100,-3,91,1,0,NaN,1,1,NaN,,90
39,NaN,NaN,,,,,,NaN,,,NaN,,
40,NaN,NaN,100,-1,91,1,0,NaN,1,1,NaN,,91
41,NaN,NaN,,,,,,NaN,,,NaN,,
42,NaN,NaN,100,-1,91,0,0,NaN,0,0,NaN,,91
43,NaN,NaN,,,,,,NaN,,,NaN,,
44,NaN,NaN,100,-2,90,0,0,NaN,0,0,NaN,,90
45,NaN,NaN,,,,,,NaN,,,NaN,,
46,NaN,NaN,100,-2,90,0,0,NaN,0,0,NaN,,89
47,NaN,NaN,,,,,,NaN,,,NaN,,
48,NaN,NaN,100,-2,91,0,0,NaN,0,0,NaN,,90
49,NaN,NaN,,,,,,NaN,,,NaN,,
50,NaN,NaN,100,-2,91,0,0,NaN,0,0,NaN,,90
51,NaN,NaN,,,,,,NaN,,,NaN,,
52,NaN,NaN,100,-2,92,0,0,NaN,0,0,NaN,,91
53,NaN,NaN,,,,,,NaN,,,NaN,,
54,NaN,NaN,100,-2,93,0,0,NaN,0,0,NaN,,91
55,NaN,NaN,,,,,,NaN,,,NaN,,
56,NaN,NaN,100,-2,93,0,0,NaN,0,0,NaN,,92
57,NaN,NaN,,,,,,NaN,,,NaN,,
58,NaN,NaN,100,-2,92,0,0,NaN,0,0,NaN,,93
59,NaN,NaN,,,,,,NaN,,,NaN,,
60,NaN,NaN,100,-2,91,0,0,NaN,0,0,NaN,,92
61,NaN,NaN,,,,,,NaN,,,NaN,,
62,NaN,NaN,100,-3,90,0,0,NaN,0,0,NaN,,90
63,NaN,NaN,,,,,,NaN,,,NaN,,
64,NaN,NaN,100,-3,90,0,0,NaN,0,0,NaN,,89
65,NaN,NaN,,,,,,NaN,,,NaN,,
66,NaN,NaN,100,-3,89,0,0,NaN,0,0,NaN,,89
67,NaN,NaN,,,,,,NaN,,,NaN,,
68,NaN,NaN,100,-3,89,0,0,NaN,0,0,NaN,,88
69,NaN,NaN,,,,,,NaN,,,NaN,,
70,NaN,NaN,100,-3,89,0,0,NaN,0,0,NaN,,88
71,NaN,NaN,,,,,,NaN,,,NaN,,
72,NaN,NaN,100,-3,89,0,0,NaN,0,0,NaN,,88
73,NaN,NaN,,,,,,NaN,,,NaN,,
74,NaN,NaN,100,-3,90,0,0,NaN,0,0,NaN,,89
75,NaN,NaN,,,,,,NaN,,,NaN,,
76,NaN,NaN,100,-3,90,0,0,NaN,0,0,NaN,,90
77,NaN,NaN,,,,,,NaN,,,NaN,,
78,NaN,NaN,100,-3,91,0,0,NaN,0,0,NaN,,90
79,NaN,NaN,,,,,,NaN,,,NaN,,
80,NaN,NaN,100,-3,90,0,0,NaN,0,0,NaN,,90
81,NaN,NaN,,,,,,NaN,,,NaN,,
82,NaN,NaN,100,-3,90,0,0,NaN,0,0,NaN,,90
83,NaN,NaN,,,,,,NaN,,,NaN,,
84,NaN,NaN,100,-3,90,0,0,NaN,0,0,NaN,,90
85,NaN,NaN,,,,,,NaN,,,NaN,,
86,NaN,NaN,100,-3,90,0,0,NaN,0,0,NaN,,90
87,NaN,NaN,,,,,,NaN,,,NaN,,
88,NaN,NaN,100,-3,90,0,0,NaN,0,0,NaN,,90
89,NaN,NaN,,,,,,NaN,,,NaN,,
90,NaN,NaN,100,-3,91,0,0,NaN,0,0,NaN,,90
91,NaN,NaN,,,,,,NaN,,,NaN,,
92,NaN,NaN,100,-3,91,0,0,NaN,0,0,NaN,,90
93,NaN,NaN,,,,,,NaN,,,NaN,,
94,NaN,NaN,100,-3,91,0,0,NaN,0,0,NaN,,90
95,NaN,NaN,,,,,,NaN,,,NaN,,
96,NaN,NaN,100,-2,91,0,0,NaN,0,0,NaN,,90
