time,Solar8000/ART_SBP,Solar8000/HR,Solar8000/ART_DBP,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/RR_CO2,Solar8000/ART_MBP,SNUADC/CVP,SNUADC/ECG_V5,Solar8000/PLETH_SPO2,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/CVP
0,,,,,NaN,,,NaN,NaN,,,NaN,
1,,,,,-491.88665771484375,,,-495.6260070800781,-4.9562602043151855,,,-4.9562602043151855,
2,-15,105,-15,82,-491.88470458984375,,-15,-495.6240234375,-4.956240177154541,80,,-4.956240177154541,249
3,,,,,NaN,,,NaN,NaN,,,NaN,
4,-15,105,-15,82,NaN,,-15,NaN,NaN,80,,NaN,249
5,,,,,NaN,,,NaN,NaN,,,NaN,
6,-15,105,-15,82,NaN,,-15,NaN,NaN,80,,NaN,249
7,,,,,NaN,,,NaN,NaN,,,NaN,
8,-15,106,-15,87,NaN,,-15,NaN,NaN,85,,NaN,249
9,,,,,NaN,,,NaN,NaN,,,NaN,
10,-15,106,-15,93,NaN,,-15,NaN,NaN,94,,NaN,249
11,,,,,NaN,,,NaN,NaN,,,NaN,
12,-14,105,-14,102,NaN,,-14,NaN,NaN,97,,NaN,249
13,,,,,NaN,,,NaN,NaN,,,NaN,
14,-14,106,-14,108,NaN,,-14,NaN,NaN,100,,NaN,249
15,,,,,NaN,,,NaN,NaN,,,NaN,
16,-14,106,-14,108,NaN,,-14,NaN,NaN,100,,NaN,249
17,,,,,NaN,,,NaN,NaN,,,NaN,
18,-14,106,-14,108,NaN,,-14,NaN,NaN,100,,NaN,248
19,,,,,NaN,,,NaN,NaN,,,NaN,
20,-14,106,-14,110,NaN,,-14,NaN,NaN,98,,NaN,248
21,,,,,NaN,,,NaN,NaN,,,NaN,
22,-14,106,-14,110,NaN,,-14,NaN,NaN,98,,NaN,248
23,,,,,NaN,,,NaN,NaN,,,NaN,
24,-15,106,-15,109,NaN,,-15,NaN,NaN,100,,NaN,248
25,,,,,NaN,,,NaN,NaN,,,NaN,
26,-15,104,-15,108,NaN,,-15,NaN,NaN,100,,NaN,248
27,,,,,NaN,,,NaN,NaN,,,NaN,
28,-15,103,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
29,,,,,NaN,,,NaN,NaN,,,NaN,
30,-15,103,-15,106,NaN,,-15,NaN,NaN,99,,NaN,248
31,,,,,NaN,,,NaN,NaN,,,NaN,
32,-15,102,-15,105,NaN,,-15,NaN,NaN,99,,NaN,248
33,,,,,NaN,,,NaN,NaN,,,NaN,
34,-15,101,-15,103,NaN,,-15,NaN,NaN,100,,NaN,248
35,,,,,NaN,,,NaN,NaN,,,NaN,
36,-14,101,-14,103,NaN,,-14,NaN,NaN,100,,NaN,248
37,,,,,NaN,,,NaN,NaN,,,NaN,
38,-14,101,-14,106,NaN,,-14,NaN,NaN,100,,NaN,248
39,,,,,NaN,,,NaN,NaN,,,NaN,
40,-15,101,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
41,,,,,NaN,,,NaN,NaN,,,NaN,
42,-15,102,-15,110,NaN,,-15,NaN,NaN,100,,NaN,248
43,,,,,NaN,,,NaN,NaN,,,NaN,
44,-15,104,-15,111,NaN,,-15,NaN,NaN,99,,NaN,248
45,,,,,NaN,,,NaN,NaN,,,NaN,
46,-15,105,-15,112,NaN,,-15,NaN,NaN,99,,NaN,248
47,,,,,NaN,,,NaN,NaN,,,NaN,
48,-15,104,-15,108,NaN,,-15,NaN,NaN,99,,NaN,248
49,,,,,NaN,,,NaN,NaN,,,NaN,
50,-15,104,-15,107,NaN,,-15,NaN,NaN,100,,NaN,248
51,,,,,NaN,,,NaN,NaN,,,NaN,
52,-15,105,-15,107,NaN,,-15,NaN,NaN,100,,NaN,248
53,,,,,NaN,,,NaN,NaN,,,NaN,
54,-15,104,-15,108,NaN,,-15,NaN,NaN,100,,NaN,248
55,,,,,NaN,,,NaN,NaN,,,NaN,
56,-15,104,-15,108,NaN,,-15,NaN,NaN,100,,NaN,248
57,,,,,NaN,,,NaN,NaN,,,NaN,
58,-15,103,-15,107,NaN,,-15,NaN,NaN,100,,NaN,248
59,,,,,NaN,,,NaN,NaN,,,NaN,
60,-14,103,-14,106,NaN,,-14,NaN,NaN,100,,NaN,248
61,,,,,NaN,,,NaN,NaN,,,NaN,
62,-14,103,-14,106,NaN,,-14,NaN,NaN,100,,NaN,248
63,,,,,NaN,,,NaN,NaN,,,NaN,
64,-15,103,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
65,,,,,NaN,,,NaN,NaN,,,NaN,
66,-15,103,-15,105,NaN,,-15,NaN,NaN,100,,NaN,248
67,,,,,NaN,,,NaN,NaN,,,NaN,
68,-15,102,-15,104,NaN,,-15,NaN,NaN,100,,NaN,248
69,,,,,NaN,,,NaN,NaN,,,NaN,
70,-15,102,-15,105,NaN,,-15,NaN,NaN,100,,NaN,248
71,,,,,NaN,,,NaN,NaN,,,NaN,
72,-15,102,-15,108,NaN,,-15,NaN,NaN,100,,NaN,248
73,,,,,NaN,,,NaN,NaN,,,NaN,
74,-15,102,-15,109,NaN,,-15,NaN,NaN,100,,NaN,248
75,,,,,NaN,,,NaN,NaN,,,NaN,
76,-15,103,-15,108,NaN,,-15,NaN,NaN,100,,NaN,248
77,,,,,NaN,,,NaN,NaN,,,NaN,
78,-15,103,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
79,,,,,NaN,,,NaN,NaN,,,NaN,
80,-15,103,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
81,,,,,NaN,,,NaN,NaN,,,NaN,
82,-15,103,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
83,,,,,NaN,,,NaN,NaN,,,NaN,
84,-15,104,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
85,,,,,NaN,,,NaN,NaN,,,NaN,
86,-15,105,-15,108,NaN,,-15,NaN,NaN,100,,NaN,248
87,,,,,NaN,,,NaN,NaN,,,NaN,
88,-15,106,-15,109,NaN,,-15,NaN,NaN,100,,NaN,248
89,,,,,NaN,,,NaN,NaN,,,NaN,
90,-15,106,-15,108,NaN,,-15,NaN,NaN,100,,NaN,248
91,,,,,NaN,,,NaN,NaN,,,NaN,
92,-15,106,-15,109,NaN,,-15,NaN,NaN,100,,NaN,248
93,,,,,NaN,,,NaN,NaN,,,NaN,
94,-15,106,-15,109,NaN,,-15,NaN,NaN,100,,NaN,248
95,,,,,NaN,,,NaN,NaN,,,NaN,
96,-15,106,-15,109,NaN,,-15,NaN,NaN,100,,NaN,248
97,,,,,NaN,,,NaN,NaN,,,NaN,
98,-15,107,-15,109,NaN,,-15,NaN,NaN,100,,NaN,248
99,,,,,NaN,,,NaN,NaN,,,NaN,
100,-15,106,-15,109,NaN,,-15,NaN,NaN,100,,NaN,248
101,,,,,NaN,,,NaN,NaN,,,NaN,
102,-15,105,-15,108,NaN,,-15,NaN,NaN,100,,NaN,248
103,,,,,NaN,,,NaN,NaN,,,NaN,
104,-15,104,-15,107,NaN,,-15,NaN,NaN,100,,NaN,248
105,,,,,NaN,,,NaN,NaN,,,NaN,
106,-15,104,-15,106,NaN,,-15,NaN,NaN,99,,NaN,248
107,,,,,NaN,,,NaN,NaN,,,NaN,
108,-15,104,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
109,,,,,NaN,,,NaN,NaN,,,NaN,
110,-15,104,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
111,,,,,NaN,,,NaN,NaN,,,NaN,
112,-15,103,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
113,,,,,NaN,,,NaN,NaN,,,NaN,
114,-15,104,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
115,,,,,NaN,,,NaN,NaN,,,NaN,
116,-15,104,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
117,,,,,NaN,,,NaN,NaN,,,NaN,
118,-15,104,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
119,,,,,NaN,,,NaN,NaN,,,NaN,
120,-15,103,-15,106,NaN,,-15,NaN,NaN,100,,NaN,248
121,,,,,NaN,,,NaN,NaN,,,NaN,
122,-15,103,-15,106,NaN,,-15,NaN,NaN,100,0,NaN,248
123,,,,,NaN,,,NaN,NaN,,,NaN,
124,-15,102,-15,105,NaN,,-15,NaN,NaN,100,0,NaN,248
125,,,,,NaN,,,NaN,NaN,,,NaN,
126,-15,102,-15,104,NaN,,-15,NaN,NaN,100,0,NaN,248
127,,,,,NaN,,,NaN,NaN,,,NaN,
128,-16,101,-16,104,NaN,,-16,NaN,NaN,100,0,NaN,248
129,,,,,NaN,,,NaN,NaN,,,NaN,
130,-16,102,-16,104,NaN,,-16,NaN,NaN,100,0,NaN,248
131,,,,,NaN,,,NaN,NaN,,,NaN,
132,-16,102,-16,103,NaN,,-16,NaN,NaN,100,0,NaN,248
133,,,,,NaN,,,NaN,NaN,,,NaN,
134,-16,102,-16,104,NaN,,-16,NaN,NaN,100,0,NaN,248
135,,,,,NaN,,,NaN,NaN,,,NaN,
136,-15,102,-15,104,NaN,,-15,NaN,NaN,99,0,NaN,248
137,,,,,NaN,,,NaN,NaN,,,NaN,
138,-15,102,-15,105,NaN,,-15,NaN,NaN,100,0,NaN,248
139,,,,,NaN,,,NaN,NaN,,,NaN,
140,-15,103,-15,105,NaN,,-15,NaN,NaN,100,0,NaN,248
141,,,,,NaN,,,NaN,NaN,,,NaN,
142,-15,103,-15,106,NaN,,-15,NaN,NaN,100,0,NaN,248
143,,,,,NaN,,,NaN,NaN,,,NaN,
144,-15,104,-15,107,NaN,,-15,NaN,NaN,100,0,NaN,248
145,,,,,NaN,,,NaN,NaN,,,NaN,
146,-15,104,-15,107,NaN,,-15,NaN,NaN,100,0,NaN,248
147,,,,,NaN,,,NaN,NaN,,,NaN,
148,-15,105,-15,107,NaN,,-15,NaN,NaN,100,0,NaN,248
149,,,,,NaN,,,NaN,NaN,,,NaN,
150,-15,104,-15,107,NaN,,-15,NaN,NaN,100,0,NaN,248
151,,,,,NaN,,,NaN,NaN,,,NaN,
152,-15,104,-15,107,NaN,,-15,NaN,NaN,100,0,NaN,248
153,,,,,NaN,,,NaN,NaN,,,NaN,
154,-15,104,-15,106,NaN,,-15,NaN,NaN,100,0,NaN,248
155,,,,,NaN,,,NaN,NaN,,,NaN,
156,-16,104,-16,107,NaN,,-16,NaN,NaN,100,0,NaN,248
157,,,,,NaN,,,NaN,NaN,,,NaN,
158,-16,106,-16,108,NaN,,-16,NaN,NaN,100,0,NaN,248
159,,,,,NaN,,,NaN,NaN,,,NaN,
160,-15,108,-15,110,NaN,,-15,NaN,NaN,100,0,NaN,248
161,,,,,NaN,,,NaN,NaN,,,NaN,
162,-15,109,-15,111,NaN,,-15,NaN,NaN,100,0,NaN,248
163,,,,,NaN,,,NaN,NaN,,,NaN,
164,-15,110,-15,112,NaN,,-15,NaN,NaN,100,1,NaN,248
165,,,,,NaN,,,NaN,NaN,,,NaN,
166,-15,111,-15,113,NaN,,-15,NaN,NaN,100,1,NaN,248
167,,,,,NaN,,,NaN,NaN,,,NaN,
168,-15,111,-15,114,NaN,,-15,NaN,NaN,100,1,NaN,248
169,,,,,NaN,,,NaN,NaN,,,NaN,
170,-15,112,-15,114,NaN,,-15,NaN,NaN,100,1,NaN,248
171,,,,,NaN,,,NaN,NaN,,,NaN,
