time,Solar8000/PLETH_SPO2,Solar8000/ETCO2,SNUADC/ECG_V5,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_SBP,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/CVP
0,,,NaN,,NaN,,,NaN,,,,NaN,
1,,,-4.9562602043151855,,-498.6846008300781,,,-4.9562602043151855,,,,-495.6260070800781,
2,,,-4.956240177154541,,-498.6826477050781,,,-4.956240177154541,,,,-495.6240234375,
3,98,,NaN,79,NaN,-4,-4,NaN,,69,-4,NaN,-21
4,,,NaN,,NaN,,,NaN,,,,NaN,
5,98,,NaN,78,NaN,-4,-4,NaN,,69,-4,NaN,-21
6,,,NaN,,NaN,,,NaN,,,,NaN,
7,98,,NaN,78,NaN,-4,-4,NaN,,69,-4,NaN,-21
8,,,NaN,,NaN,,,NaN,,,,NaN,
9,98,,NaN,79,NaN,-4,-4,NaN,,69,-4,NaN,-22
10,,,NaN,,NaN,,,NaN,,,,NaN,
11,98,,NaN,79,NaN,-4,-4,NaN,,69,-4,NaN,-22
12,,,NaN,,NaN,,,NaN,,,,NaN,
13,98,,NaN,80,NaN,-5,-5,NaN,,78,-5,NaN,-22
14,,,NaN,,NaN,,,NaN,,,,NaN,
15,98,,NaN,80,NaN,-5,-5,NaN,,79,-5,NaN,-22
16,,,NaN,,NaN,,,NaN,,,,NaN,
17,98,,NaN,81,NaN,-3,-3,NaN,,79,-3,NaN,-21
18,,,NaN,,NaN,,,NaN,,,,NaN,
19,98,,NaN,81,NaN,-3,-3,NaN,,79,-3,NaN,-21
20,,,NaN,,NaN,,,NaN,,,,NaN,
21,98,,NaN,81,NaN,-3,-3,NaN,,79,-3,NaN,-21
22,,,NaN,,NaN,,,NaN,,,,NaN,
23,98,,NaN,80,NaN,-3,-3,NaN,,79,-3,NaN,-21
24,,,NaN,,NaN,,,NaN,,,,NaN,
25,98,,NaN,80,NaN,-3,-3,NaN,,79,-3,NaN,-21
26,,,NaN,,NaN,,,NaN,,,,NaN,
27,98,,NaN,79,NaN,-3,-3,NaN,,78,-3,NaN,-21
28,,,NaN,,NaN,,,NaN,,,,NaN,
29,98,,NaN,80,NaN,-4,-4,NaN,,78,-4,NaN,-22
30,,,NaN,,NaN,,,NaN,,,,NaN,
31,98,,NaN,81,NaN,-4,-4,NaN,,79,-4,NaN,-22
32,,,NaN,,NaN,,,NaN,,,,NaN,
33,98,,NaN,81,NaN,-4,-4,NaN,,79,-4,NaN,-22
34,,,NaN,,NaN,,,NaN,,,,NaN,
35,98,,NaN,82,NaN,-4,-4,NaN,,80,-4,NaN,-22
36,,,NaN,,NaN,,,NaN,,,,NaN,
37,98,,NaN,81,NaN,-4,-4,NaN,,80,-4,NaN,-22
38,,,NaN,,NaN,,,NaN,,,,NaN,
39,99,,NaN,81,NaN,-4,-4,NaN,,81,-4,NaN,-21
40,,,NaN,,NaN,,,NaN,,,,NaN,
41,99,,NaN,81,NaN,-3,-3,NaN,,80,-3,NaN,-21
42,,,NaN,,NaN,,,NaN,,,,NaN,
43,99,,NaN,81,NaN,-3,-3,NaN,,81,-3,NaN,-21
44,,,NaN,,NaN,,,NaN,,,,NaN,
45,99,,NaN,81,NaN,-4,-4,NaN,,80,-4,NaN,-21
46,,,NaN,,NaN,,,NaN,,,,NaN,
47,99,,NaN,80,NaN,-4,-4,NaN,,80,-4,NaN,-22
48,,,NaN,,NaN,,,NaN,,,,NaN,
49,99,1,NaN,80,NaN,-4,-4,NaN,,80,-4,NaN,-22
50,,,NaN,,NaN,,,NaN,,,,NaN,
51,99,1,NaN,80,NaN,-4,-4,NaN,,80,-4,NaN,-22
52,,,NaN,,NaN,,,NaN,,,,NaN,
53,99,1,NaN,80,NaN,-4,-4,NaN,,80,-4,NaN,-22
54,,,NaN,,NaN,,,NaN,,,,NaN,
55,99,1,NaN,82,NaN,-4,-4,NaN,,81,-4,NaN,-21
56,,,NaN,,NaN,,,NaN,,,,NaN,
57,99,1,NaN,82,NaN,-4,-4,NaN,,82,-4,NaN,-21
58,,,NaN,,NaN,,,NaN,,,,NaN,
59,99,1,NaN,82,NaN,-4,-4,NaN,,82,-4,NaN,-21
60,,,NaN,,NaN,,,NaN,,,,NaN,
61,99,1,NaN,82,NaN,-3,-3,NaN,,81,-3,NaN,-21
62,,,NaN,,NaN,,,NaN,,,,NaN,
63,99,1,NaN,81,NaN,-3,-3,NaN,,80,-3,NaN,-21
64,,,NaN,,NaN,,,NaN,,,,NaN,
65,99,1,NaN,81,NaN,-3,-3,NaN,,80,-3,NaN,-21
