time,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/HR,Solar8000/ETCO2,SNUADC/ECG_V5,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/CVP,Solar8000/ART_DBP
0,,,,,NaN,NaN,NaN,,NaN,,,,
1,,,,,-4.9562602043151855,-491.88665771484375,-4.9562602043151855,,-495.6260070800781,,,,
2,,,,,-4.956240177154541,-491.88470458984375,-4.956240177154541,,-495.6240234375,,,,
3,99,74,74,0,NaN,NaN,NaN,0,NaN,,0,,0
4,,,,,NaN,NaN,NaN,,NaN,,,,
5,99,74,73,0,NaN,NaN,NaN,0,NaN,,0,,0
6,,,,,NaN,NaN,NaN,,NaN,,,,
7,99,75,73,0,NaN,NaN,NaN,0,NaN,,0,,0
8,,,,,NaN,NaN,NaN,,NaN,,,,
9,99,74,74,0,NaN,NaN,NaN,1,NaN,,1,,1
10,,,,,NaN,NaN,NaN,,NaN,,,,
11,99,75,74,0,NaN,NaN,NaN,1,NaN,,1,,1
12,,,,,NaN,NaN,NaN,,NaN,,,,
13,99,75,74,0,NaN,NaN,NaN,0,NaN,,0,,0
14,,,,,NaN,NaN,NaN,,NaN,,,,
15,99,74,74,0,NaN,NaN,NaN,0,NaN,,0,,0
16,,,,,NaN,NaN,NaN,,NaN,,,,
17,99,74,74,0,NaN,NaN,NaN,1,NaN,,1,,1
18,,,,,NaN,NaN,NaN,,NaN,,,,
19,99,74,73,0,NaN,NaN,NaN,1,NaN,,1,,1
20,,,,,NaN,NaN,NaN,,NaN,,,,
21,99,73,73,0,NaN,NaN,NaN,1,NaN,,1,,1
22,,,,,NaN,NaN,NaN,,NaN,,,,
23,99,73,72,0,NaN,NaN,NaN,1,NaN,,1,,1
24,,,,,NaN,NaN,NaN,,NaN,,,,
25,99,73,72,0,NaN,NaN,NaN,1,NaN,,1,,1
26,,,,,NaN,NaN,NaN,,NaN,,,,
27,99,74,72,0,NaN,NaN,NaN,1,NaN,,1,,1
28,,,,,NaN,NaN,NaN,,NaN,,,,
29,99,74,72,0,NaN,NaN,NaN,1,NaN,,1,,1
30,,,,,NaN,NaN,NaN,,NaN,,,,
31,99,75,73,0,NaN,NaN,NaN,1,NaN,,1,,1
32,,,,,NaN,NaN,NaN,,NaN,,,,
33,99,75,73,0,NaN,NaN,NaN,1,NaN,,1,,1
34,,,,,NaN,NaN,NaN,,NaN,,,,
35,99,74,74,0,NaN,NaN,NaN,1,NaN,,1,,1
36,,,,,NaN,NaN,NaN,,NaN,,,,
37,99,74,74,0,NaN,NaN,NaN,1,NaN,,1,,1
38,,,,,NaN,NaN,NaN,,NaN,,,,
39,99,74,74,0,NaN,NaN,NaN,1,NaN,,1,,1
40,,,,,NaN,NaN,NaN,,NaN,,,,
41,100,74,74,0,NaN,NaN,NaN,1,NaN,,1,,1
42,,,,,NaN,NaN,NaN,,NaN,,,,
43,99,75,74,0,NaN,NaN,NaN,1,NaN,,1,,1
44,,,,,NaN,NaN,NaN,,NaN,,,,
45,99,74,74,0,NaN,NaN,NaN,1,NaN,,1,,1
46,,,,,NaN,NaN,NaN,,NaN,,,,
47,99,74,74,0,NaN,NaN,NaN,1,NaN,,1,,1
48,,,,,NaN,NaN,NaN,,NaN,,,,
49,99,75,74,0,NaN,NaN,NaN,0,NaN,,0,,0
50,,,,,NaN,NaN,NaN,,NaN,,,,
51,99,74,74,0,NaN,NaN,NaN,0,NaN,,0,,0
52,,,,,NaN,NaN,NaN,,NaN,,,,
53,99,74,74,0,NaN,NaN,NaN,0,NaN,,0,,0
54,,,,,NaN,NaN,NaN,,NaN,,,,
55,99,74,74,0,NaN,NaN,NaN,0,NaN,,0,,0
56,,,,,NaN,NaN,NaN,,NaN,,,,
57,99,74,73,0,NaN,NaN,NaN,1,NaN,,1,,1
58,,,,,NaN,NaN,NaN,,NaN,,,,
59,99,74,73,0,NaN,NaN,NaN,1,NaN,,1,,1
60,,,,,NaN,NaN,NaN,,NaN,,,,
61,99,74,73,0,NaN,NaN,NaN,1,NaN,,1,,1
62,,,,,NaN,NaN,NaN,,NaN,,,,
63,99,74,73,0,NaN,NaN,NaN,1,NaN,,1,,1
64,,,,,NaN,NaN,NaN,,NaN,,,,
65,99,74,73,0,NaN,NaN,NaN,1,NaN,,1,,1
66,,,,,NaN,NaN,NaN,,NaN,,,,
67,99,74,73,0,NaN,NaN,NaN,1,NaN,,1,,1
68,,,,,NaN,NaN,NaN,,NaN,,,,
69,99,74,74,0,NaN,NaN,NaN,1,NaN,,1,,1
70,,,,,NaN,NaN,NaN,,NaN,,,,
71,99,75,75,0,NaN,NaN,NaN,1,NaN,,1,,1
72,,,,,NaN,NaN,NaN,,NaN,,,,
73,99,75,75,0,NaN,NaN,NaN,1,NaN,,1,,1
74,,,,,NaN,NaN,NaN,,NaN,,,,
75,99,75,75,0,NaN,NaN,NaN,1,NaN,,1,,1
76,,,,,NaN,NaN,NaN,,NaN,,,,
77,99,75,74,0,NaN,NaN,NaN,0,NaN,,0,,0
78,,,,,NaN,NaN,NaN,,NaN,,,,
79,99,74,74,0,NaN,NaN,NaN,0,NaN,,0,,0
80,,,,,NaN,NaN,NaN,,NaN,,,,
81,99,74,74,0,NaN,NaN,NaN,1,NaN,,1,,1
82,,,,,NaN,NaN,NaN,,NaN,,,,
83,99,75,73,0,NaN,NaN,NaN,1,NaN,,1,,1
84,,,,,NaN,NaN,NaN,,NaN,,,,
85,99,77,73,0,NaN,NaN,NaN,1,NaN,,1,,1
86,,,,,NaN,NaN,NaN,,NaN,,,,
87,99,76,73,0,NaN,NaN,NaN,1,NaN,,1,,1
88,,,,,NaN,NaN,NaN,,NaN,,,,
89,99,76,72,0,NaN,NaN,NaN,0,NaN,,0,,0
90,,,,,NaN,NaN,NaN,,NaN,,,,
91,99,76,72,0,NaN,NaN,NaN,0,NaN,,0,,0
92,,,,,NaN,NaN,NaN,,NaN,,,,
93,99,72,71,0,NaN,NaN,NaN,0,NaN,,0,,0
94,,,,,NaN,NaN,NaN,,NaN,,,,
95,99,72,71,0,NaN,NaN,NaN,0,NaN,,0,,0
96,,,,,NaN,NaN,NaN,,NaN,,,,
97,99,71,70,0,NaN,NaN,NaN,1,NaN,,1,,1
98,,,,,NaN,NaN,NaN,,NaN,,,,
99,99,71,71,0,NaN,NaN,NaN,1,NaN,,1,,1
100,,,,,NaN,NaN,NaN,,NaN,,,,
101,99,71,71,0,NaN,NaN,NaN,1,NaN,,1,,1
102,,,,,NaN,NaN,NaN,,NaN,,,,
103,99,71,71,0,NaN,NaN,NaN,1,NaN,,1,,1
104,,,,,NaN,NaN,NaN,,NaN,,,,
105,99,72,71,0,NaN,NaN,NaN,-1,NaN,,-1,,-1
106,,,,,NaN,NaN,NaN,,NaN,,,,
107,99,72,71,0,NaN,NaN,NaN,-1,NaN,,-1,,-1
108,,,,,NaN,NaN,NaN,,NaN,,,,
109,99,73,73,0,NaN,NaN,NaN,0,NaN,,0,,0
110,,,,,NaN,NaN,NaN,,NaN,,,,
111,99,73,77,0,NaN,NaN,NaN,0,NaN,,0,,0
112,,,,,NaN,NaN,NaN,,NaN,,,,
113,99,73,77,0,NaN,NaN,NaN,0,NaN,,0,,0
114,,,,,NaN,NaN,NaN,,NaN,,,,
115,99,73,77,0,NaN,NaN,NaN,0,NaN,,0,,0
116,,,,,NaN,NaN,NaN,,NaN,,,,
117,99,73,76,0,NaN,NaN,NaN,0,NaN,,0,,0
118,,,,,NaN,NaN,NaN,,NaN,,,,
119,99,72,75,0,NaN,NaN,NaN,0,NaN,,0,,0
120,,,,,NaN,NaN,NaN,,NaN,,,,
121,99,72,72,0,NaN,NaN,NaN,1,NaN,,1,,1
122,,,,,NaN,NaN,NaN,,NaN,,,,
123,99,72,71,0,NaN,NaN,NaN,1,NaN,,1,,1
124,,,,,NaN,NaN,NaN,,NaN,,,,
125,99,72,71,0,NaN,NaN,NaN,0,NaN,,0,,0
126,,,,,NaN,NaN,NaN,,NaN,,,,
127,99,71,71,0,NaN,NaN,NaN,0,NaN,,0,,0
128,,,,,NaN,NaN,NaN,,NaN,,,,
129,99,72,71,0,NaN,NaN,NaN,0,NaN,,0,,0
