time,SNUADC/ECG_V5,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/PLETH_HR,SNUADC/CVP,Solar8000/PLETH_SPO2,Solar8000/ETCO2,Solar8000/ART_DBP,SNUADC/ECG_II,SNUADC/ART,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP
0,NaN,,,,NaN,,,,NaN,NaN,,,
1,-4.9562602043151855,,,,-495.6260070800781,,,,-4.9562602043151855,-496.78717041015625,,,
2,-4.956240177154541,,,,-495.6240234375,,,,-4.956240177154541,-496.7851867675781,,,
3,NaN,,-21,66,NaN,100,,-21,NaN,NaN,,65,-21
4,NaN,,,,NaN,,,,NaN,NaN,,,
5,NaN,,-21,66,NaN,100,,-21,NaN,NaN,,65,-21
6,NaN,,,,NaN,,,,NaN,NaN,,,
7,NaN,,-21,66,NaN,100,,-21,NaN,NaN,,65,-21
8,NaN,,,,NaN,,,,NaN,NaN,,,
9,NaN,,-21,66,NaN,100,,-21,NaN,NaN,,65,-21
10,NaN,,,,NaN,,,,NaN,NaN,,,
11,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,66,-22
12,NaN,,,,NaN,,,,NaN,NaN,,,
13,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,66,-22
14,NaN,,,,NaN,,,,NaN,NaN,,,
15,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,66,-22
16,NaN,,,,NaN,,,,NaN,NaN,,,
17,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,66,-22
18,NaN,,,,NaN,,,,NaN,NaN,,,
19,NaN,,-22,67,NaN,100,,-22,NaN,NaN,,66,-22
20,NaN,,,,NaN,,,,NaN,NaN,,,
21,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,66,-22
22,NaN,,,,NaN,,,,NaN,NaN,,,
23,NaN,,-21,66,NaN,100,,-21,NaN,NaN,,66,-21
24,NaN,,,,NaN,,,,NaN,NaN,,,
25,NaN,,-21,66,NaN,100,,-21,NaN,NaN,,66,-21
26,NaN,,,,NaN,,,,NaN,NaN,,,
27,NaN,,-21,66,NaN,100,,-21,NaN,NaN,,66,-21
28,NaN,,,,NaN,,,,NaN,NaN,,,
29,NaN,,-21,66,NaN,100,,-21,NaN,NaN,,66,-21
30,NaN,,,,NaN,,,,NaN,NaN,,,
31,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,66,-22
32,NaN,,,,NaN,,,,NaN,NaN,,,
33,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,66,-22
34,NaN,,,,NaN,,,,NaN,NaN,,,
35,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,66,-22
36,NaN,,,,NaN,,,,NaN,NaN,,,
37,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,66,-22
38,NaN,,,,NaN,,,,NaN,NaN,,,
39,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,66,-22
40,NaN,,,,NaN,,,,NaN,NaN,,,
41,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,66,-22
42,NaN,,,,NaN,,,,NaN,NaN,,,
43,NaN,,-21,66,NaN,100,,-21,NaN,NaN,,66,-21
44,NaN,,,,NaN,,,,NaN,NaN,,,
45,NaN,,-21,66,NaN,100,,-21,NaN,NaN,,66,-21
46,NaN,,,,NaN,,,,NaN,NaN,,,
47,NaN,,-21,66,NaN,100,,-21,NaN,NaN,,66,-21
48,NaN,,,,NaN,,,,NaN,NaN,,,
49,NaN,,-21,67,NaN,100,,-21,NaN,NaN,,66,-21
50,NaN,,,,NaN,,,,NaN,NaN,,,
51,NaN,,-22,67,NaN,100,,-22,NaN,NaN,,66,-22
52,NaN,,,,NaN,,,,NaN,NaN,,,
53,NaN,,-22,67,NaN,100,,-22,NaN,NaN,,66,-22
54,NaN,,,,NaN,,,,NaN,NaN,,,
55,NaN,,-22,66,NaN,100,,-22,NaN,NaN,,67,-22
56,NaN,,,,NaN,,,,NaN,NaN,,,
57,NaN,,-22,67,NaN,100,,-22,NaN,NaN,,67,-22
58,NaN,,,,NaN,,,,NaN,NaN,,,
59,NaN,,-22,67,NaN,99,,-22,NaN,NaN,,67,-22
60,NaN,,,,NaN,,,,NaN,NaN,,,
61,NaN,,-22,67,NaN,99,,-22,NaN,NaN,,67,-22
62,NaN,,,,NaN,,,,NaN,NaN,,,
63,NaN,,-21,67,NaN,99,,-21,NaN,NaN,,66,-21
64,NaN,,,,NaN,,,,NaN,NaN,,,
65,NaN,,-21,68,NaN,99,,-21,NaN,NaN,,66,-21
66,NaN,,,,NaN,,,,NaN,NaN,,,
67,NaN,,-21,67,NaN,99,,-21,NaN,NaN,,67,-21
68,NaN,,,,NaN,,,,NaN,NaN,,,
69,NaN,,-21,67,NaN,99,,-21,NaN,NaN,,67,-21
70,NaN,,,,NaN,,,,NaN,NaN,,,
71,NaN,,-22,67,NaN,100,,-22,NaN,NaN,,67,-22
72,NaN,,,,NaN,,,,NaN,NaN,,,
73,NaN,,-22,67,NaN,99,,-22,NaN,NaN,,67,-22
74,NaN,,,,NaN,,,,NaN,NaN,,,
75,NaN,,-22,67,NaN,99,,-22,NaN,NaN,,67,-22
