time,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,Solar8000/ART_MBP,Solar8000/CVP,SNUADC/CVP,SNUADC/ECG_II,SNUADC/ART,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/HR
0,,,,,,,,NaN,NaN,NaN,,NaN,
1,,,,,,,,-495.6260070800781,-4.9562602043151855,-494.5040283203125,,-4.9562602043151855,
2,,,,,,,,-495.6240234375,-4.956240177154541,-494.5020446777344,,-4.956240177154541,
3,,,,,,,,NaN,NaN,NaN,,NaN,
4,-2,,0,89,0,0,-13,NaN,NaN,NaN,100,NaN,88
5,,,,,,,,NaN,NaN,NaN,,NaN,
6,-2,,0,90,0,0,-13,NaN,NaN,NaN,100,NaN,88
7,,,,,,,,NaN,NaN,NaN,,NaN,
8,0,,0,90,0,0,-13,NaN,NaN,NaN,100,NaN,89
9,,,,,,,,NaN,NaN,NaN,,NaN,
10,0,,0,91,0,0,-12,NaN,NaN,NaN,100,NaN,88
11,,,,,,,,NaN,NaN,NaN,,NaN,
12,0,,0,90,0,0,-12,NaN,NaN,NaN,100,NaN,88
13,,,,,,,,NaN,NaN,NaN,,NaN,
14,0,,0,89,0,0,-13,NaN,NaN,NaN,100,NaN,88
15,,,,,,,,NaN,NaN,NaN,,NaN,
16,0,,0,88,0,0,-13,NaN,NaN,NaN,100,NaN,87
17,,,,,,,,NaN,NaN,NaN,,NaN,
18,0,,0,88,0,0,-13,NaN,NaN,NaN,100,NaN,87
19,,,,,,,,NaN,NaN,NaN,,NaN,
20,1,,1,87,0,1,-13,NaN,NaN,NaN,100,NaN,87
21,,,,,,,,NaN,NaN,NaN,,NaN,
22,1,,1,88,0,1,-12,NaN,NaN,NaN,99,NaN,87
23,,,,,,,,NaN,NaN,NaN,,NaN,
24,0,,0,88,0,0,-12,NaN,NaN,NaN,100,NaN,87
25,,,,,,,,NaN,NaN,NaN,,NaN,
26,0,,0,88,0,0,-12,NaN,NaN,NaN,100,NaN,87
27,,,,,,,,NaN,NaN,NaN,,NaN,
