time,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/PLETH_SPO2,Solar8000/HR,Solar8000/CVP,Solar8000/ETCO2,SNUADC/ECG_V5,SNUADC/CVP,SNUADC/ART,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/ART_SBP
0,,,,,,,,NaN,NaN,NaN,,NaN,
1,-5,,63,97,62,-9,0,-4.9562602043151855,-495.6260070800781,-498.6846008300781,-5,-4.9562602043151855,-5
2,,,,,,,,-4.956240177154541,-495.6240234375,-498.6826477050781,,-4.956240177154541,
3,-5,,63,97,63,-9,0,NaN,NaN,NaN,-5,NaN,-5
4,,,,,,,,NaN,NaN,NaN,,NaN,
5,-5,,64,97,64,-9,0,NaN,NaN,NaN,-5,NaN,-5
6,,,,,,,,NaN,NaN,NaN,,NaN,
7,-3,,64,97,64,-9,0,NaN,NaN,NaN,-3,NaN,-3
8,,,,,,,,NaN,NaN,NaN,,NaN,
9,-3,,64,97,63,-9,0,NaN,NaN,NaN,-3,NaN,-3
10,,,,,,,,NaN,NaN,NaN,,NaN,
11,-3,,64,97,63,-9,0,NaN,NaN,NaN,-3,NaN,-3
12,,,,,,,,NaN,NaN,NaN,,NaN,
13,-3,,64,97,63,-9,0,NaN,NaN,NaN,-3,NaN,-3
14,,,,,,,,NaN,NaN,NaN,,NaN,
15,-3,,64,98,64,-8,0,NaN,NaN,NaN,-3,NaN,-3
16,,,,,,,,NaN,NaN,NaN,,NaN,
17,-3,,65,98,64,-8,0,NaN,NaN,NaN,-3,NaN,-3
18,,,,,,,,NaN,NaN,NaN,,NaN,
19,-4,,65,97,65,-9,0,NaN,NaN,NaN,-4,NaN,-4
20,,,,,,,,NaN,NaN,NaN,,NaN,
21,-4,,65,97,65,-9,0,NaN,NaN,NaN,-4,NaN,-4
22,,,,,,,,NaN,NaN,NaN,,NaN,
23,-5,,65,97,65,-9,0,NaN,NaN,NaN,-5,NaN,-5
24,,,,,,,,NaN,NaN,NaN,,NaN,
25,-5,,67,97,67,-9,0,NaN,NaN,NaN,-5,NaN,-5
26,,,,,,,,NaN,NaN,NaN,,NaN,
27,-5,,69,97,69,-9,0,NaN,NaN,NaN,-5,NaN,-5
28,,,,,,,,NaN,NaN,NaN,,NaN,
29,-5,,70,97,70,-9,0,NaN,NaN,NaN,-5,NaN,-5
