time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_DBP,Solar8000/HR,SNUADC/ECG_V5,Solar8000/ART_SBP,Solar8000/PLETH_SPO2,SNUADC/CVP,Solar8000/CVP,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/PLETH_HR
0,,,NaN,,,NaN,,,NaN,,NaN,,
1,,,-491.88665771484375,,,-4.9562602043151855,,,-495.6260070800781,,-4.9562602043151855,,
2,,0,-491.88470458984375,,61,-4.956240177154541,,,-495.6240234375,,-4.956240177154541,,
3,,,NaN,,,NaN,,,NaN,,NaN,,
4,,0,NaN,,60,NaN,,,NaN,,NaN,,
5,,,NaN,,,NaN,,,NaN,,NaN,,
6,,0,NaN,,60,NaN,,,NaN,,NaN,,
7,,,NaN,,,NaN,,,NaN,,NaN,,
8,,0,NaN,,59,NaN,,,NaN,,NaN,,
9,,,NaN,,,NaN,,,NaN,,NaN,,
10,,0,NaN,,60,NaN,,,NaN,,NaN,,
11,,,NaN,,,NaN,,,NaN,,NaN,,
12,,0,NaN,,61,NaN,,,NaN,,NaN,,
13,,,NaN,,,NaN,,,NaN,,NaN,,
14,,0,NaN,,62,NaN,,,NaN,,NaN,,
15,,,NaN,,,NaN,,,NaN,,NaN,,
16,,0,NaN,,61,NaN,,,NaN,,NaN,,
17,,,NaN,,,NaN,,,NaN,,NaN,,
18,,0,NaN,,61,NaN,,,NaN,,NaN,,
19,,,NaN,,,NaN,,,NaN,,NaN,,
20,,0,NaN,,63,NaN,,,NaN,,NaN,,
21,,,NaN,,,NaN,,,NaN,,NaN,,
22,,0,NaN,,62,NaN,,,NaN,,NaN,,
23,,,NaN,,,NaN,,,NaN,,NaN,,
24,,0,NaN,,64,NaN,,,NaN,,NaN,,
25,,,NaN,,,NaN,,,NaN,,NaN,,
26,,0,NaN,,63,NaN,,,NaN,,NaN,,
27,,,NaN,,,NaN,,,NaN,,NaN,,
28,,0,NaN,,62,NaN,,,NaN,,NaN,,
29,,,NaN,,,NaN,,,NaN,,NaN,,
30,,0,NaN,,64,NaN,,,NaN,,NaN,,
31,,,NaN,,,NaN,,,NaN,,NaN,,
32,,0,NaN,,65,NaN,,,NaN,,NaN,,
33,,,NaN,,,NaN,,,NaN,,NaN,,
34,,0,NaN,,64,NaN,,,NaN,,NaN,,
35,,,NaN,,,NaN,,,NaN,,NaN,,
36,,0,NaN,,63,NaN,,,NaN,,NaN,,
37,,,NaN,,,NaN,,,NaN,,NaN,,
38,,0,NaN,,60,NaN,,,NaN,,NaN,,
39,,,NaN,,,NaN,,,NaN,,NaN,,
40,,0,NaN,,57,NaN,,,NaN,,NaN,,
41,,,NaN,,,NaN,,,NaN,,NaN,,
42,,0,NaN,,57,NaN,,,NaN,,NaN,,
43,,,NaN,,,NaN,,,NaN,,NaN,,
44,,0,NaN,,58,NaN,,,NaN,,NaN,,
45,,,NaN,,,NaN,,,NaN,,NaN,,
46,,0,NaN,,59,NaN,,,NaN,,NaN,,
47,,,NaN,,,NaN,,,NaN,,NaN,,
48,,0,NaN,,61,NaN,,,NaN,,NaN,,
49,,,NaN,,,NaN,,,NaN,,NaN,,
50,,0,NaN,,61,NaN,,,NaN,,NaN,,
51,,,NaN,,,NaN,,,NaN,,NaN,,
52,,0,NaN,,60,NaN,,80,NaN,,NaN,,112
53,,,NaN,,,NaN,,,NaN,,NaN,,
54,,0,NaN,,61,NaN,,80,NaN,,NaN,,112
55,,,NaN,,,NaN,,,NaN,,NaN,,
56,,0,NaN,,58,NaN,,81,NaN,,NaN,,111
57,,,NaN,,,NaN,,,NaN,,NaN,,
58,,0,NaN,,58,NaN,,81,NaN,,NaN,,111
