time,Solar8000/CVP,Solar8000/ETCO2,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/HR,SNUADC/ECG_II,SNUADC/ART,Solar8000/ART_DBP
0,,,NaN,NaN,,,,,,,NaN,NaN,
1,,,-4.9562602043151855,-495.6260070800781,,,,,,,-4.9562602043151855,-499.346923828125,
2,,,-4.956240177154541,-495.6240234375,,,,,,,-4.956240177154541,-499.344970703125,
3,0,0,NaN,NaN,,91,-23,77,,62,NaN,NaN,
4,,,NaN,NaN,,,,,,,NaN,NaN,
5,0,0,NaN,NaN,,91,-23,77,,61,NaN,NaN,
6,,,NaN,NaN,,,,,,,NaN,NaN,
7,0,0,NaN,NaN,,91,-23,77,,61,NaN,NaN,
8,,,NaN,NaN,,,,,,,NaN,NaN,
9,0,0,NaN,NaN,,,-24,,,62,NaN,NaN,
10,,,NaN,NaN,,,,,,,NaN,NaN,
11,0,0,NaN,NaN,,,-24,,-24,63,NaN,NaN,-24
12,,,NaN,NaN,,,,,,,NaN,NaN,
13,0,0,NaN,NaN,,,-24,,-24,64,NaN,NaN,-24
14,,,NaN,NaN,,,,,,,NaN,NaN,
15,0,0,NaN,NaN,,,-24,,-24,63,NaN,NaN,-24
16,,,NaN,NaN,,,,,,,NaN,NaN,
17,0,0,NaN,NaN,,,-24,,-24,63,NaN,NaN,-24
18,,,NaN,NaN,,,,,,,NaN,NaN,
19,0,0,NaN,NaN,,,-24,,-24,62,NaN,NaN,-24
20,,,NaN,NaN,,,,,,,NaN,NaN,
21,0,0,NaN,NaN,,,-24,,-24,62,NaN,NaN,-24
22,,,NaN,NaN,,,,,,,NaN,NaN,
23,0,0,NaN,NaN,,,-24,,-24,61,NaN,NaN,-24
24,,,NaN,NaN,,,,,,,NaN,NaN,
25,0,0,NaN,NaN,,,-24,,-24,62,NaN,NaN,-24
26,,,NaN,NaN,,,,,,,NaN,NaN,
27,0,0,NaN,NaN,,,-24,,-24,62,NaN,NaN,-24
28,,,NaN,NaN,,,,,,,NaN,NaN,
29,0,0,NaN,NaN,,,-23,,-23,63,NaN,NaN,-23
30,,,NaN,NaN,,,,,,,NaN,NaN,
31,0,0,NaN,NaN,,,-23,,-23,63,NaN,NaN,-23
32,,,NaN,NaN,,,,,,,NaN,NaN,
33,0,0,NaN,NaN,,,-24,,-24,62,NaN,NaN,-24
34,,,NaN,NaN,,,,,,,NaN,NaN,
35,0,0,NaN,NaN,,,-24,,-24,62,NaN,NaN,-24
36,,,NaN,NaN,,,,,,,NaN,NaN,
37,1,0,NaN,NaN,,,-24,,-24,62,NaN,NaN,-24
38,,,NaN,NaN,,,,,,,NaN,NaN,
39,1,0,NaN,NaN,,,-24,,-24,62,NaN,NaN,-24
40,,,NaN,NaN,,,,,,,NaN,NaN,
41,1,0,NaN,NaN,,,-24,,-24,62,NaN,NaN,-24
42,,,NaN,NaN,,,,,,,NaN,NaN,
43,1,0,NaN,NaN,,,-24,,-24,62,NaN,NaN,-24
44,,,NaN,NaN,,,,,,,NaN,NaN,
45,0,0,NaN,NaN,,,-24,,-24,62,NaN,NaN,-24
46,,,NaN,NaN,,,,,,,NaN,NaN,
47,0,0,NaN,NaN,,90,-24,78,-24,,NaN,NaN,-24
48,,,NaN,NaN,,,,,,,NaN,NaN,
49,0,0,NaN,NaN,,90,-24,78,-24,,NaN,NaN,-24
50,,,NaN,NaN,,,,,,,NaN,NaN,
51,0,0,NaN,NaN,,90,-24,78,-24,,NaN,NaN,-26
52,,,NaN,NaN,,,,,,,NaN,NaN,
53,0,0,NaN,NaN,,90,-24,78,-24,,NaN,NaN,-26
54,,,NaN,NaN,,,,,,,NaN,NaN,
55,0,0,NaN,NaN,,90,-24,78,-24,,NaN,NaN,-24
56,,,NaN,NaN,,,,,,,NaN,NaN,
57,0,0,NaN,NaN,,90,-24,78,-24,,NaN,NaN,-24
58,,,NaN,NaN,,,,,,,NaN,NaN,
59,0,0,NaN,NaN,,90,-23,78,-23,,NaN,NaN,-23
60,,,NaN,NaN,,,,,,,NaN,NaN,
61,0,0,NaN,NaN,,90,-23,78,-23,,NaN,NaN,-23
62,,,NaN,NaN,,,,,,,NaN,NaN,
63,0,0,NaN,NaN,,,-24,,-24,,NaN,NaN,-24
64,,,NaN,NaN,,,,,,,NaN,NaN,
