time,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/HR,Solar8000/ART_SBP,Solar8000/ETCO2,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/CVP,Solar8000/RR_CO2,SNUADC/ECG_II
0,,,NaN,,,,,NaN,,NaN,,,NaN
1,-2,100,-4.9562602043151855,68,-2,,69,-496.78717041015625,-2,-495.6260070800781,-13,,-4.9562602043151855
2,,,-4.956240177154541,,,,,-496.7851867675781,,-495.6240234375,,,-4.956240177154541
3,-2,100,NaN,68,-2,,69,NaN,-2,NaN,-13,,NaN
4,,,NaN,,,,,NaN,,NaN,,,NaN
5,-2,100,NaN,68,-2,,69,NaN,-2,NaN,-13,,NaN
6,,,NaN,,,,,NaN,,NaN,,,NaN
7,-2,100,NaN,68,-2,,69,NaN,-2,NaN,-13,,NaN
8,,,NaN,,,,,NaN,,NaN,,,NaN
9,-2,100,NaN,68,-2,,69,NaN,-2,NaN,-13,,NaN
10,,,NaN,,,,,NaN,,NaN,,,NaN
11,-2,100,NaN,68,-2,,69,NaN,-2,NaN,-13,,NaN
12,,,NaN,,,,,NaN,,NaN,,,NaN
13,-2,100,NaN,67,-2,,68,NaN,-2,NaN,-13,,NaN
14,,,NaN,,,,,NaN,,NaN,,,NaN
15,-2,100,NaN,67,-2,,67,NaN,-2,NaN,-13,,NaN
16,,,NaN,,,,,NaN,,NaN,,,NaN
17,-2,100,NaN,66,-2,,67,NaN,-2,NaN,-13,,NaN
18,,,NaN,,,,,NaN,,NaN,,,NaN
19,-2,100,NaN,66,-2,,67,NaN,-2,NaN,-13,,NaN
20,,,NaN,,,,,NaN,,NaN,,,NaN
21,-2,100,NaN,66,-2,,66,NaN,-2,NaN,-13,,NaN
22,,,NaN,,,,,NaN,,NaN,,,NaN
23,-3,100,NaN,66,-3,,66,NaN,-3,NaN,-13,,NaN
24,,,NaN,,,,,NaN,,NaN,,,NaN
25,-3,100,NaN,67,-3,,67,NaN,-3,NaN,-13,,NaN
26,,,NaN,,,,,NaN,,NaN,,,NaN
27,-3,100,NaN,67,-3,,68,NaN,-3,NaN,-13,,NaN
