time,Solar8000/CVP,SNUADC/CVP,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,SNUADC/ECG_II,Solar8000/HR,Solar8000/ETCO2,SNUADC/ECG_V5,Solar8000/ART_SBP,SNUADC/ART,Solar8000/PLETH_SPO2
0,,NaN,,,,,NaN,,,NaN,,NaN,
1,,-495.6260070800781,,,,,-4.9562602043151855,,,-4.9562602043151855,,-496.78717041015625,
2,,-495.6240234375,,,,,-4.956240177154541,,,-4.956240177154541,,-496.7851867675781,
3,246,NaN,248,248,,82,NaN,82,,NaN,248,NaN,98
4,,NaN,,,,,NaN,,,NaN,,NaN,
5,246,NaN,248,248,,83,NaN,82,,NaN,248,NaN,98
6,,NaN,,,,,NaN,,,NaN,,NaN,
7,246,NaN,248,248,,83,NaN,83,,NaN,248,NaN,98
8,,NaN,,,,,NaN,,,NaN,,NaN,
9,246,NaN,248,248,,84,NaN,83,,NaN,248,NaN,98
10,,NaN,,,,,NaN,,,NaN,,NaN,
11,246,NaN,248,248,,82,NaN,82,,NaN,248,NaN,98
12,,NaN,,,,,NaN,,,NaN,,NaN,
13,246,NaN,248,248,,82,NaN,81,,NaN,248,NaN,98
14,,NaN,,,,,NaN,,,NaN,,NaN,
15,246,NaN,248,248,,81,NaN,80,,NaN,248,NaN,98
16,,NaN,,,,,NaN,,,NaN,,NaN,
17,246,NaN,248,248,,80,NaN,80,,NaN,248,NaN,98
18,,NaN,,,,,NaN,,,NaN,,NaN,
19,246,NaN,248,248,,81,NaN,81,,NaN,248,NaN,98
20,,NaN,,,,,NaN,,,NaN,,NaN,
21,246,NaN,248,248,,82,NaN,81,,NaN,248,NaN,98
22,,NaN,,,,,NaN,,,NaN,,NaN,
23,246,NaN,248,248,,84,NaN,84,,NaN,248,NaN,98
24,,NaN,,,,,NaN,,,NaN,,NaN,
25,246,NaN,248,248,,83,NaN,83,,NaN,248,NaN,98
26,,NaN,,,,,NaN,,,NaN,,NaN,
27,246,NaN,248,248,,84,NaN,82,,NaN,248,NaN,98
28,,NaN,,,,,NaN,,,NaN,,NaN,
29,246,NaN,248,248,,82,NaN,81,,NaN,248,NaN,98
30,,NaN,,,,,NaN,,,NaN,,NaN,
31,246,NaN,248,248,,82,NaN,82,,NaN,248,NaN,98
32,,NaN,,,,,NaN,,,NaN,,NaN,
33,246,NaN,248,248,,82,NaN,81,,NaN,248,NaN,99
34,,NaN,,,,,NaN,,,NaN,,NaN,
35,246,NaN,248,248,,80,NaN,80,,NaN,248,NaN,99
36,,NaN,,,,,NaN,,,NaN,,NaN,
37,246,NaN,248,248,,80,NaN,79,,NaN,248,NaN,99
38,,NaN,,,,,NaN,,,NaN,,NaN,
39,246,NaN,248,248,,80,NaN,79,,NaN,248,NaN,99
40,,NaN,,,,,NaN,,,NaN,,NaN,
41,246,NaN,248,248,,80,NaN,79,,NaN,248,NaN,99
42,,NaN,,,,,NaN,,,NaN,,NaN,
43,246,NaN,248,248,,80,NaN,80,,NaN,248,NaN,99
44,,NaN,,,,,NaN,,,NaN,,NaN,
45,246,NaN,248,248,,79,NaN,79,,NaN,248,NaN,98
46,,NaN,,,,,NaN,,,NaN,,NaN,
47,246,NaN,248,248,,79,NaN,78,,NaN,248,NaN,98
48,,NaN,,,,,NaN,,,NaN,,NaN,
49,246,NaN,248,248,,78,NaN,77,,NaN,248,NaN,98
50,,NaN,,,,,NaN,,,NaN,,NaN,
51,246,NaN,248,248,,77,NaN,77,,NaN,248,NaN,98
52,,NaN,,,,,NaN,,,NaN,,NaN,
53,246,NaN,248,248,,78,NaN,77,,NaN,248,NaN,98
54,,NaN,,,,,NaN,,,NaN,,NaN,
55,246,NaN,248,248,,79,NaN,78,,NaN,248,NaN,98
56,,NaN,,,,,NaN,,,NaN,,NaN,
