time,Solar8000/ART_MBP,SNUADC/ECG_V5,Solar8000/HR,SNUADC/ART,SNUADC/CVP,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2
0,,NaN,,NaN,NaN,NaN,,,,,,,
1,,-4.9562602043151855,104,-494.5040283203125,-495.6260070800781,-4.9562602043151855,,,98,,,100,
2,,-4.956240177154541,,-494.5020446777344,-495.6240234375,-4.956240177154541,,,,,,,
3,,NaN,104,NaN,NaN,NaN,,,97,,,104,
4,,NaN,,NaN,NaN,NaN,,,,,,,
5,,NaN,104,NaN,NaN,NaN,,,97,,,105,
6,,NaN,,NaN,NaN,NaN,,,,,,,
7,,NaN,104,NaN,NaN,NaN,,,97,,,104,
8,,NaN,,NaN,NaN,NaN,,,,,,,
9,,NaN,103,NaN,NaN,NaN,,,97,,,104,
10,,NaN,,NaN,NaN,NaN,,,,,,,
11,,NaN,102,NaN,NaN,NaN,,,97,,,103,
12,,NaN,,NaN,NaN,NaN,,,,,,,
13,,NaN,102,NaN,NaN,NaN,,,97,,,102,
14,,NaN,,NaN,NaN,NaN,,,,,,,
15,,NaN,101,NaN,NaN,NaN,,,97,,,102,
16,,NaN,,NaN,NaN,NaN,,,,,,,
17,,NaN,101,NaN,NaN,NaN,,,97,,,101,
18,,NaN,,NaN,NaN,NaN,,,,,,,
19,,NaN,101,NaN,NaN,NaN,,,97,,,101,
20,,NaN,,NaN,NaN,NaN,,,,,,,
21,,NaN,101,NaN,NaN,NaN,,,97,,,101,
22,,NaN,,NaN,NaN,NaN,,,,,,,
23,,NaN,102,NaN,NaN,NaN,,,97,,,102,
24,,NaN,,NaN,NaN,NaN,,,,,,,
25,,NaN,101,NaN,NaN,NaN,,,97,,,102,
26,,NaN,,NaN,NaN,NaN,,,,,,,
27,,NaN,101,NaN,NaN,NaN,,,98,,,102,
28,,NaN,,NaN,NaN,NaN,,,,,,,
29,,NaN,100,NaN,NaN,NaN,,,97,,,101,
30,,NaN,,NaN,NaN,NaN,,,,,,,
31,,NaN,101,NaN,NaN,NaN,,,97,,,101,
32,,NaN,,NaN,NaN,NaN,,,,,,,
33,,NaN,101,NaN,NaN,NaN,,,97,,,102,
34,,NaN,,NaN,NaN,NaN,,,,,,,
35,,NaN,101,NaN,NaN,NaN,,,97,,,101,
36,,NaN,,NaN,NaN,NaN,,,,,,,
37,,NaN,100,NaN,NaN,NaN,,,97,,,101,
38,,NaN,,NaN,NaN,NaN,,,,,,,
39,,NaN,100,NaN,NaN,NaN,,,97,,,101,
40,,NaN,,NaN,NaN,NaN,,,,,,,
41,,NaN,100,NaN,NaN,NaN,,,97,,,102,
42,,NaN,,NaN,NaN,NaN,,,,,,,
43,,NaN,102,NaN,NaN,NaN,,,98,,,102,
44,,NaN,,NaN,NaN,NaN,,,,,,,
45,,NaN,101,NaN,NaN,NaN,,,98,,,102,
46,,NaN,,NaN,NaN,NaN,,,,,,,
47,,NaN,99,NaN,NaN,NaN,,,97,,,100,
48,,NaN,,NaN,NaN,NaN,,,,,,,
49,,NaN,112,NaN,NaN,NaN,,,97,,,98,
50,,NaN,,NaN,NaN,NaN,,,,,,,
51,,NaN,110,NaN,NaN,NaN,,,97,,,98,
52,,NaN,,NaN,NaN,NaN,,,,,,,
53,,NaN,111,NaN,NaN,NaN,,,97,,,98,
54,,NaN,,NaN,NaN,NaN,,,,,,,
