time,SNUADC/ART,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/HR,Solar8000/PLETH_SPO2,SNUADC/CVP,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ETCO2,Solar8000/PLETH_HR,SNUADC/ECG_II,Solar8000/CVP
0,NaN,NaN,,,,,NaN,,,,,NaN,
1,-494.5040283203125,-4.9562602043151855,,,,,-495.6260070800781,,,,,-4.9562602043151855,
2,-494.5020446777344,-4.956240177154541,,,,,-495.6240234375,,,,,-4.956240177154541,
3,NaN,NaN,,,,,NaN,,,,,NaN,
4,NaN,NaN,,,,,NaN,,,,,NaN,
5,NaN,NaN,-2,-2,118,,NaN,-2,,,,NaN,-9
6,NaN,NaN,,,,,NaN,,,,,NaN,
7,NaN,NaN,-2,-2,117,,NaN,-2,,,,NaN,-9
8,NaN,NaN,,,,,NaN,,,,,NaN,
9,NaN,NaN,-2,-2,117,,NaN,-2,,,,NaN,-9
10,NaN,NaN,,,,,NaN,,,,,NaN,
11,NaN,NaN,-2,-2,116,,NaN,-2,,,,NaN,-9
12,NaN,NaN,,,,,NaN,,,,,NaN,
13,NaN,NaN,-2,-2,116,,NaN,-2,,,,NaN,-9
14,NaN,NaN,,,,,NaN,,,,,NaN,
15,NaN,NaN,-2,-2,117,94,NaN,-2,,,68,NaN,-9
16,NaN,NaN,,,,,NaN,,,,,NaN,
17,NaN,NaN,-2,-2,118,95,NaN,-2,,,103,NaN,-9
18,NaN,NaN,,,,,NaN,,,,,NaN,
19,NaN,NaN,-3,-3,119,95,NaN,-3,,,119,NaN,-9
20,NaN,NaN,,,,,NaN,,,,,NaN,
21,NaN,NaN,-3,-3,119,95,NaN,-3,,,120,NaN,-9
22,NaN,NaN,,,,,NaN,,,,,NaN,
23,NaN,NaN,-3,-3,119,95,NaN,-3,,,120,NaN,-9
24,NaN,NaN,,,,,NaN,,,,,NaN,
25,NaN,NaN,-3,-3,119,95,NaN,-3,,,120,NaN,-9
26,NaN,NaN,,,,,NaN,,,,,NaN,
27,NaN,NaN,-3,-3,118,94,NaN,-3,,,119,NaN,-9
28,NaN,NaN,,,,,NaN,,,,,NaN,
29,NaN,NaN,-3,-3,118,94,NaN,-3,,,119,NaN,-9
30,NaN,NaN,,,,,NaN,,,,,NaN,
31,NaN,NaN,-3,-3,118,94,NaN,-3,,,118,NaN,-9
32,NaN,NaN,,,,,NaN,,,,,NaN,
33,NaN,NaN,-3,-3,117,94,NaN,-3,,,118,NaN,-9
34,NaN,NaN,,,,,NaN,,,,,NaN,
35,NaN,NaN,-3,-3,117,94,NaN,-3,,,118,NaN,-9
36,NaN,NaN,,,,,NaN,,,,,NaN,
37,NaN,NaN,-3,-3,118,94,NaN,-3,,,118,NaN,-9
38,NaN,NaN,,,,,NaN,,,,,NaN,
39,NaN,NaN,-3,-3,119,94,NaN,-3,,,119,NaN,-9
40,NaN,NaN,,,,,NaN,,,,,NaN,
41,NaN,NaN,-3,-3,119,94,NaN,-3,,,120,NaN,-9
42,NaN,NaN,,,,,NaN,,,,,NaN,
43,NaN,NaN,-3,-3,119,95,NaN,-3,,,119,NaN,-9
44,NaN,NaN,,,,,NaN,,,,,NaN,
45,NaN,NaN,-3,-3,119,94,NaN,-3,,,119,NaN,-9
46,NaN,NaN,,,,,NaN,,,,,NaN,
47,NaN,NaN,-3,-3,118,94,NaN,-3,,,119,NaN,-9
48,NaN,NaN,,,,,NaN,,,,,NaN,
49,NaN,NaN,-3,-3,119,94,NaN,-3,,,120,NaN,-9
50,NaN,NaN,,,,,NaN,,,,,NaN,
51,NaN,NaN,-3,-3,120,94,NaN,-3,,,120,NaN,-9
52,NaN,NaN,,,,,NaN,,,,,NaN,
53,NaN,NaN,-3,-3,119,94,NaN,-3,,,120,NaN,-9
54,NaN,NaN,,,,,NaN,,,,,NaN,
55,NaN,NaN,-3,-3,119,94,NaN,-3,,,120,NaN,-9
56,NaN,NaN,,,,,NaN,,,,,NaN,
57,NaN,NaN,-3,-3,119,94,NaN,-3,,,120,NaN,-9
58,NaN,NaN,,,,,NaN,,,,,NaN,
59,NaN,NaN,-2,-2,118,93,NaN,-2,,,118,NaN,-9
60,NaN,NaN,,,,,NaN,,,,,NaN,
61,NaN,NaN,-2,-2,118,93,NaN,-2,,,117,NaN,-9
62,NaN,NaN,,,,,NaN,,,,,NaN,
63,NaN,NaN,-3,-3,117,93,NaN,-3,,,125,NaN,-9
64,NaN,NaN,,,,,NaN,,,,,NaN,
65,NaN,NaN,-3,-3,117,93,NaN,-3,,,125,NaN,-9
66,NaN,NaN,,,,,NaN,,,,,NaN,
67,NaN,NaN,-3,-3,116,93,NaN,-3,,,123,NaN,-9
68,NaN,NaN,,,,,NaN,,,,,NaN,
69,NaN,NaN,-3,-3,117,95,NaN,-3,,,124,NaN,-8
70,NaN,NaN,,,,,NaN,,,,,NaN,
71,NaN,NaN,-3,-3,,95,NaN,-3,,,118,NaN,-8
72,NaN,NaN,,,,,NaN,,,,,NaN,
73,NaN,NaN,-3,-3,,95,NaN,-3,,,118,NaN,-8
74,NaN,NaN,,,,,NaN,,,,,NaN,
75,NaN,NaN,-2,-2,,95,NaN,-2,,,118,NaN,-8
76,NaN,NaN,,,,,NaN,,,,,NaN,
77,NaN,NaN,-2,-2,,95,NaN,-2,,,118,NaN,-8
78,NaN,NaN,,,,,NaN,,,,,NaN,
79,NaN,NaN,-2,-2,,95,NaN,-2,,,119,NaN,-8
80,NaN,NaN,,,,,NaN,,,,,NaN,
81,NaN,NaN,-2,-2,,95,NaN,-2,,,119,NaN,-8
82,NaN,NaN,,,,,NaN,,,,,NaN,
83,NaN,NaN,-2,-2,,95,NaN,-2,,,119,NaN,-8
84,NaN,NaN,,,,,NaN,,,,,NaN,
85,NaN,NaN,-2,-2,,95,NaN,-2,,,117,NaN,-8
86,NaN,NaN,,,,,NaN,,,,,NaN,
87,NaN,NaN,-2,-2,,94,NaN,-2,,,116,NaN,-8
88,NaN,NaN,,,,,NaN,,,,,NaN,
89,NaN,NaN,-2,-2,,94,NaN,-2,,,116,NaN,-8
