time,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ECG_II,Solar8000/ART_SBP,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/RR_CO2,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,SNUADC/CVP,SNUADC/ART,Solar8000/ART_DBP,Solar8000/CVP
0,,,NaN,,,,,,NaN,NaN,NaN,,
1,,,-4.9562602043151855,,,,,,-4.9562602043151855,-495.6260070800781,-491.88665771484375,,
2,,,-4.956240177154541,,,,,,-4.956240177154541,-495.6240234375,-491.88470458984375,,
3,61,62,NaN,-7,-7,,,84,NaN,NaN,NaN,-7,
4,,,NaN,,,,,,NaN,NaN,NaN,,
5,61,62,NaN,-8,-8,,,84,NaN,NaN,NaN,-8,
6,,,NaN,,,,,,NaN,NaN,NaN,,
7,61,62,NaN,-8,-8,,,84,NaN,NaN,NaN,-8,
8,,,NaN,,,,,,NaN,NaN,NaN,,
9,61,62,NaN,-8,-8,,,84,NaN,NaN,NaN,-8,
10,,,NaN,,,,,,NaN,NaN,NaN,,
11,62,62,NaN,-8,-8,,,85,NaN,NaN,NaN,-8,
12,,,NaN,,,,,,NaN,NaN,NaN,,
13,65,61,NaN,-7,-7,,,81,NaN,NaN,NaN,-7,
14,,,NaN,,,,,,NaN,NaN,NaN,,
15,67,61,NaN,-7,-7,,,77,NaN,NaN,NaN,-7,
16,,,NaN,,,,,,NaN,NaN,NaN,,
17,67,61,NaN,-7,-7,,,77,NaN,NaN,NaN,-7,
18,,,NaN,,,,,,NaN,NaN,NaN,,
19,67,61,NaN,-7,-7,,,77,NaN,NaN,NaN,-7,
20,,,NaN,,,,,,NaN,NaN,NaN,,
21,67,61,NaN,-8,-8,,,77,NaN,NaN,NaN,-8,
22,,,NaN,,,,,,NaN,NaN,NaN,,
23,67,61,NaN,-8,-8,,,77,NaN,NaN,NaN,-8,
24,,,NaN,,,,,,NaN,NaN,NaN,,
25,67,60,NaN,-8,-8,,,77,NaN,NaN,NaN,-8,
26,,,NaN,,,,,,NaN,NaN,NaN,,
27,67,60,NaN,-8,-8,,,77,NaN,NaN,NaN,-8,
28,,,NaN,,,,,,NaN,NaN,NaN,,
29,,59,NaN,-8,-8,,,,NaN,NaN,NaN,-8,
