time,Solar8000/CVP,Solar8000/HR,Solar8000/ETCO2,Solar8000/RR_CO2,Solar8000/ART_DBP,Solar8000/ART_MBP,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_SBP,SNUADC/ECG_II
0,,,,,,,NaN,NaN,,,NaN,,NaN
1,,,,,,,-4.9562602043151855,-495.6260070800781,,,-491.88665771484375,,-4.9562602043151855
2,,,,,,,-4.956240177154541,-495.6240234375,,,-491.88470458984375,,-4.956240177154541
3,0,161,0,,-4,-3,NaN,NaN,100,161,NaN,0,NaN
4,,,,,,,NaN,NaN,,,NaN,,NaN
5,0,160,0,,-3,-3,NaN,NaN,100,160,NaN,-3,NaN
6,,,,,,,NaN,NaN,,,NaN,,NaN
7,0,160,0,,-3,-3,NaN,NaN,100,159,NaN,-3,NaN
8,,,,,,,NaN,NaN,,,NaN,,NaN
9,0,160,0,,-4,-3,NaN,NaN,100,154,NaN,-2,NaN
10,,,,,,,NaN,NaN,,,NaN,,NaN
11,0,160,0,,-4,-3,NaN,NaN,100,156,NaN,-2,NaN
12,,,,,,,NaN,NaN,,,NaN,,NaN
13,-1,161,0,,-3,-3,NaN,NaN,100,166,NaN,-3,NaN
14,,,,,,,NaN,NaN,,,NaN,,NaN
15,-1,163,0,,-3,-3,NaN,NaN,100,166,NaN,-3,NaN
16,,,,,,,NaN,NaN,,,NaN,,NaN
17,1,163,0,,-3,-3,NaN,NaN,100,163,NaN,-3,NaN
18,,,,,,,NaN,NaN,,,NaN,,NaN
19,1,162,0,,-3,-3,NaN,NaN,100,162,NaN,-3,NaN
20,,,,,,,NaN,NaN,,,NaN,,NaN
21,0,162,0,,-3,-3,NaN,NaN,100,158,NaN,-3,NaN
22,,,,,,,NaN,NaN,,,NaN,,NaN
23,0,159,0,,-3,-3,NaN,NaN,100,155,NaN,-3,NaN
24,,,,,,,NaN,NaN,,,NaN,,NaN
25,0,154,0,,-3,-3,NaN,NaN,100,154,NaN,-3,NaN
26,,,,,,,NaN,NaN,,,NaN,,NaN
27,0,154,0,,-3,-3,NaN,NaN,100,155,NaN,-3,NaN
28,,,,,,,NaN,NaN,,,NaN,,NaN
29,0,153,0,,-3,-3,NaN,NaN,100,155,NaN,-3,NaN
30,,,,,,,NaN,NaN,,,NaN,,NaN
31,0,153,0,,-3,-3,NaN,NaN,100,155,NaN,-3,NaN
32,,,,,,,NaN,NaN,,,NaN,,NaN
33,0,152,0,,-3,-3,NaN,NaN,100,152,NaN,-3,NaN
34,,,,,,,NaN,NaN,,,NaN,,NaN
35,0,153,0,,-3,-3,NaN,NaN,100,148,NaN,-3,NaN
36,,,,,,,NaN,NaN,,,NaN,,NaN
37,0,149,0,,-2,-2,NaN,NaN,100,142,NaN,-2,NaN
38,,,,,,,NaN,NaN,,,NaN,,NaN
39,0,149,0,,-2,-2,NaN,NaN,100,141,NaN,-2,NaN
40,,,,,,,NaN,NaN,,,NaN,,NaN
41,0,145,0,,-3,-3,NaN,NaN,100,141,NaN,-3,NaN
42,,,,,,,NaN,NaN,,,NaN,,NaN
43,0,140,0,,-3,-3,NaN,NaN,100,140,NaN,-3,NaN
44,,,,,,,NaN,NaN,,,NaN,,NaN
45,0,141,0,,-3,-3,NaN,NaN,100,141,NaN,-3,NaN
46,,,,,,,NaN,NaN,,,NaN,,NaN
47,0,140,0,,-3,-3,NaN,NaN,100,141,NaN,-3,NaN
48,,,,,,,NaN,NaN,,,NaN,,NaN
49,0,139,0,,-3,-3,NaN,NaN,100,142,NaN,-3,NaN
50,,,,,,,NaN,NaN,,,NaN,,NaN
51,1,138,0,,-4,-3,NaN,NaN,100,141,NaN,-2,NaN
52,,,,,,,NaN,NaN,,,NaN,,NaN
53,1,136,0,,-4,-3,NaN,NaN,100,135,NaN,-2,NaN
54,,,,,,,NaN,NaN,,,NaN,,NaN
55,1,135,0,,-4,-3,NaN,NaN,100,136,NaN,-2,NaN
56,,,,,,,NaN,NaN,,,NaN,,NaN
57,1,139,0,,-3,-3,NaN,NaN,100,139,NaN,-3,NaN
58,,,,,,,NaN,NaN,,,NaN,,NaN
59,1,140,0,,-3,-3,NaN,NaN,100,140,NaN,-3,NaN
60,,,,,,,NaN,NaN,,,NaN,,NaN
61,1,135,0,,-3,-3,NaN,NaN,100,137,NaN,-3,NaN
62,,,,,,,NaN,NaN,,,NaN,,NaN
63,1,132,0,,-3,-3,NaN,NaN,100,133,NaN,-3,NaN
