time,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/ETCO2,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,SNUADC/ART,Solar8000/RR_CO2,Solar8000/HR,Solar8000/PLETH_HR,SNUADC/ECG_II,Solar8000/ART_SBP,Solar8000/CVP,SNUADC/CVP
0,,NaN,,,,NaN,,,,NaN,,,NaN
1,,-4.9562602043151855,,,,-499.346923828125,,,,-4.9562602043151855,,,-495.6260070800781
2,-9,-4.956240177154541,0,-9,97,-499.344970703125,,68,63,-4.956240177154541,-9,-11,-495.6240234375
3,,NaN,,,,NaN,,,,NaN,,,NaN
4,-9,NaN,0,-9,97,NaN,,68,63,NaN,-9,-11,NaN
5,,NaN,,,,NaN,,,,NaN,,,NaN
6,-9,NaN,0,-9,97,NaN,,62,62,NaN,-9,-11,NaN
7,,NaN,,,,NaN,,,,NaN,,,NaN
8,-9,NaN,0,-9,97,NaN,,62,63,NaN,-9,-11,NaN
9,,NaN,,,,NaN,,,,NaN,,,NaN
10,-9,NaN,0,-9,97,NaN,,62,63,NaN,-9,-11,NaN
11,,NaN,,,,NaN,,,,NaN,,,NaN
12,-9,NaN,0,-9,97,NaN,,63,63,NaN,-9,-11,NaN
13,,NaN,,,,NaN,,,,NaN,,,NaN
14,-9,NaN,0,-9,98,NaN,,63,63,NaN,-9,-11,NaN
15,,NaN,,,,NaN,,,,NaN,,,NaN
16,-9,NaN,33,-9,97,NaN,,63,64,NaN,-9,-11,NaN
17,,NaN,,,,NaN,,,,NaN,,,NaN
18,-9,NaN,33,-9,97,NaN,,63,63,NaN,-9,-11,NaN
19,,NaN,,,,NaN,,,,NaN,,,NaN
20,-9,NaN,33,-9,98,NaN,,62,63,NaN,-9,-11,NaN
21,,NaN,,,,NaN,,,,NaN,,,NaN
22,-9,NaN,33,-9,98,NaN,,62,62,NaN,-9,-11,NaN
23,,NaN,,,,NaN,,,,NaN,,,NaN
24,-9,NaN,,-9,100,NaN,,61,62,NaN,-9,-11,NaN
25,,NaN,,,,NaN,,,,NaN,,,NaN
26,-9,NaN,,-9,100,NaN,,61,61,NaN,-9,-11,NaN
27,,NaN,,,,NaN,,,,NaN,,,NaN
28,-9,NaN,,-9,100,NaN,,61,61,NaN,-9,-11,NaN
29,,NaN,,,,NaN,,,,NaN,,,NaN
30,-9,NaN,,-9,100,NaN,,61,61,NaN,-9,-11,NaN
31,,NaN,,,,NaN,,,,NaN,,,NaN
32,-9,NaN,,-9,100,NaN,,61,61,NaN,-9,-11,NaN
33,,NaN,,,,NaN,,,,NaN,,,NaN
34,-9,NaN,,-9,100,NaN,,60,61,NaN,-9,-11,NaN
35,,NaN,,,,NaN,,,,NaN,,,NaN
36,-9,NaN,,-9,100,NaN,,61,61,NaN,-9,-11,NaN
37,,NaN,,,,NaN,,,,NaN,,,NaN
38,-9,NaN,,-9,100,NaN,,61,61,NaN,-9,-11,NaN
39,,NaN,,,,NaN,,,,NaN,,,NaN
40,-9,NaN,,-9,100,NaN,,62,62,NaN,-9,-11,NaN
41,,NaN,,,,NaN,,,,NaN,,,NaN
42,-9,NaN,,-9,100,NaN,,63,62,NaN,-9,-11,NaN
43,,NaN,,,,NaN,,,,NaN,,,NaN
44,-9,NaN,,-9,100,NaN,,64,63,NaN,-9,-11,NaN
45,,NaN,,,,NaN,,,,NaN,,,NaN
46,-9,NaN,,-9,100,NaN,,64,65,NaN,-9,-11,NaN
47,,NaN,,,,NaN,,,,NaN,,,NaN
48,-9,NaN,,-9,100,NaN,,65,65,NaN,-9,-11,NaN
49,,NaN,,,,NaN,,,,NaN,,,NaN
50,-9,NaN,,-9,100,NaN,,65,65,NaN,-9,-11,NaN
51,,NaN,,,,NaN,,,,NaN,,,NaN
52,-9,NaN,,-9,100,NaN,,64,65,NaN,-9,-11,NaN
53,,NaN,,,,NaN,,,,NaN,,,NaN
54,-9,NaN,,-9,100,NaN,,63,64,NaN,-9,-11,NaN
55,,NaN,,,,NaN,,,,NaN,,,NaN
56,-9,NaN,,-9,100,NaN,,62,64,NaN,-9,-11,NaN
57,,NaN,,,,NaN,,,,NaN,,,NaN
58,-9,NaN,,-9,100,NaN,,62,63,NaN,-9,-11,NaN
59,,NaN,,,,NaN,,,,NaN,,,NaN
60,-9,NaN,,-9,100,NaN,,62,63,NaN,-9,-11,NaN
61,,NaN,,,,NaN,,,,NaN,,,NaN
62,-9,NaN,,-9,100,NaN,,62,63,NaN,-9,-11,NaN
63,,NaN,,,,NaN,,,,NaN,,,NaN
64,-9,NaN,,-9,100,NaN,,61,62,NaN,-9,-11,NaN
65,,NaN,,,,NaN,,,,NaN,,,NaN
66,-9,NaN,,-9,100,NaN,,61,62,NaN,-9,-11,NaN
67,,NaN,,,,NaN,,,,NaN,,,NaN
68,-9,NaN,,-9,100,NaN,,60,61,NaN,-9,-11,NaN
69,,NaN,,,,NaN,,,,NaN,,,NaN
70,-9,NaN,,-9,100,NaN,,60,61,NaN,-9,-11,NaN
71,,NaN,,,,NaN,,,,NaN,,,NaN
72,-9,NaN,,-9,100,NaN,,61,61,NaN,-9,-11,NaN
73,,NaN,,,,NaN,,,,NaN,,,NaN
74,-9,NaN,,-9,100,NaN,,61,62,NaN,-9,-11,NaN
75,,NaN,,,,NaN,,,,NaN,,,NaN
76,-9,NaN,,-9,100,NaN,,62,62,NaN,-9,-11,NaN
77,,NaN,,,,NaN,,,,NaN,,,NaN
78,-9,NaN,,-9,100,NaN,,62,63,NaN,-9,-11,NaN
79,,NaN,,,,NaN,,,,NaN,,,NaN
80,-9,NaN,,-9,100,NaN,,62,63,NaN,-9,-11,NaN
81,,NaN,,,,NaN,,,,NaN,,,NaN
82,-9,NaN,,-9,100,NaN,,62,63,NaN,-9,-11,NaN
83,,NaN,,,,NaN,,,,NaN,,,NaN
84,-9,NaN,,-9,100,NaN,,62,63,NaN,-9,-11,NaN
85,,NaN,,,,NaN,,,,NaN,,,NaN
86,-9,NaN,,-9,100,NaN,,62,63,NaN,-9,-11,NaN
