time,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/ART,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/HR,SNUADC/ECG_V5,Solar8000/ART_SBP,Solar8000/PLETH_SPO2,Solar8000/CVP,SNUADC/CVP
0,,,NaN,NaN,,,,,NaN,,,,NaN
1,,,-491.88665771484375,-4.9562602043151855,,,,,-4.9562602043151855,,,,-495.6260070800781
2,,,-491.88470458984375,-4.956240177154541,,,,,-4.956240177154541,,,,-495.6240234375
3,,,NaN,NaN,,,,,NaN,,,,NaN
4,-7,0,NaN,NaN,-7,,,53,NaN,-7,,-7,NaN
5,,,NaN,NaN,,,,,NaN,,,,NaN
6,-7,0,NaN,NaN,-7,,,53,NaN,-7,,-7,NaN
7,,,NaN,NaN,,,,,NaN,,,,NaN
8,-7,0,NaN,NaN,-7,,,52,NaN,-7,,-7,NaN
9,,,NaN,NaN,,,,,NaN,,,,NaN
10,-7,0,NaN,NaN,-7,,,51,NaN,-7,,-7,NaN
11,,,NaN,NaN,,,,,NaN,,,,NaN
12,-7,0,NaN,NaN,-7,,,51,NaN,-7,,-7,NaN
13,,,NaN,NaN,,,,,NaN,,,,NaN
14,-7,0,NaN,NaN,-7,,,51,NaN,-7,,-7,NaN
15,,,NaN,NaN,,,,,NaN,,,,NaN
16,-7,0,NaN,NaN,-7,,,51,NaN,-7,,-7,NaN
17,,,NaN,NaN,,,,,NaN,,,,NaN
18,-7,0,NaN,NaN,-7,,,51,NaN,-7,,-7,NaN
19,,,NaN,NaN,,,,,NaN,,,,NaN
20,-7,0,NaN,NaN,-7,,48,51,NaN,-7,97,-7,NaN
21,,,NaN,NaN,,,,,NaN,,,,NaN
22,-7,0,NaN,NaN,-7,,49,50,NaN,-7,97,-7,NaN
23,,,NaN,NaN,,,,,NaN,,,,NaN
24,-7,0,NaN,NaN,-7,,49,49,NaN,-7,97,-7,NaN
25,,,NaN,NaN,,,,,NaN,,,,NaN
26,-7,0,NaN,NaN,-7,,49,49,NaN,-7,97,-7,NaN
27,,,NaN,NaN,,,,,NaN,,,,NaN
28,-7,0,NaN,NaN,-7,,49,49,NaN,-7,97,-8,NaN
29,,,NaN,NaN,,,,,NaN,,,,NaN
30,-7,0,NaN,NaN,-7,,49,49,NaN,-7,97,-8,NaN
31,,,NaN,NaN,,,,,NaN,,,,NaN
32,-7,0,NaN,NaN,-7,,49,49,NaN,-7,97,-8,NaN
33,,,NaN,NaN,,,,,NaN,,,,NaN
34,-7,0,NaN,NaN,-7,,49,49,NaN,-7,97,-8,NaN
35,,,NaN,NaN,,,,,NaN,,,,NaN
36,-7,0,NaN,NaN,-7,,49,49,NaN,-7,98,-8,NaN
37,,,NaN,NaN,,,,,NaN,,,,NaN
38,-7,0,NaN,NaN,-9,,51,49,NaN,-4,98,-8,NaN
39,,,NaN,NaN,,,,,NaN,,,,NaN
