time,Solar8000/PLETH_SPO2,Solar8000/ETCO2,Solar8000/HR,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/ART_MBP,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_SBP,SNUADC/CVP,Solar8000/ART_DBP,SNUADC/ECG_II
0,,,,NaN,,,,,NaN,,NaN,,NaN
1,99,,84,-4.9562602043151855,,-12,-6,85,-496.78717041015625,-6,-495.6260070800781,-6,-4.9562602043151855
2,,,,-4.956240177154541,,,,,-496.7851867675781,,-495.6240234375,,-4.956240177154541
3,99,,82,NaN,,-12,-4,84,NaN,-4,NaN,-4,NaN
4,,,,NaN,,,,,NaN,,NaN,,NaN
5,99,,83,NaN,,-12,-4,84,NaN,-4,NaN,-4,NaN
6,,,,NaN,,,,,NaN,,NaN,,NaN
7,99,,85,NaN,,-12,-6,85,NaN,-6,NaN,-6,NaN
8,,,,NaN,,,,,NaN,,NaN,,NaN
9,99,,85,NaN,,-12,-6,86,NaN,-3,NaN,-8,NaN
10,,,,NaN,,,,,NaN,,NaN,,NaN
11,99,,86,NaN,,-12,-6,87,NaN,-3,NaN,-8,NaN
12,,,,NaN,,,,,NaN,,NaN,,NaN
13,99,,86,NaN,,-12,-6,87,NaN,-6,NaN,-6,NaN
14,,,,NaN,,,,,NaN,,NaN,,NaN
15,99,,87,NaN,,-12,-6,87,NaN,-6,NaN,-6,NaN
16,,,,NaN,,,,,NaN,,NaN,,NaN
17,99,,85,NaN,,-12,-6,87,NaN,-6,NaN,-6,NaN
18,,,,NaN,,,,,NaN,,NaN,,NaN
19,99,,85,NaN,,-11,-6,86,NaN,-6,NaN,-6,NaN
20,,,,NaN,,,,,NaN,,NaN,,NaN
21,99,,85,NaN,,-11,-4,86,NaN,-4,NaN,-4,NaN
22,,,,NaN,,,,,NaN,,NaN,,NaN
23,99,,87,NaN,,-11,-4,87,NaN,-4,NaN,-4,NaN
24,,,,NaN,,,,,NaN,,NaN,,NaN
25,99,,88,NaN,,-11,-5,88,NaN,-5,NaN,-5,NaN
26,,,,NaN,,,,,NaN,,NaN,,NaN
27,99,,87,NaN,,-11,-5,87,NaN,-5,NaN,-5,NaN
28,,,,NaN,,,,,NaN,,NaN,,NaN
29,99,,85,NaN,,-11,-6,86,NaN,-6,NaN,-6,NaN
30,,,,NaN,,,,,NaN,,NaN,,NaN
31,99,,84,NaN,,-11,-6,85,NaN,-6,NaN,-6,NaN
32,,,,NaN,,,,,NaN,,NaN,,NaN
33,99,,86,NaN,,-11,-6,86,NaN,-6,NaN,-6,NaN
34,,,,NaN,,,,,NaN,,NaN,,NaN
35,99,,87,NaN,,-11,-6,87,NaN,-6,NaN,-6,NaN
36,,,,NaN,,,,,NaN,,NaN,,NaN
37,99,,87,NaN,,-11,-5,87,NaN,-5,NaN,-5,NaN
38,,,,NaN,,,,,NaN,,NaN,,NaN
39,99,,85,NaN,,-11,-5,86,NaN,-5,NaN,-5,NaN
40,,,,NaN,,,,,NaN,,NaN,,NaN
41,99,,84,NaN,,-11,-5,85,NaN,-5,NaN,-5,NaN
42,,,,NaN,,,,,NaN,,NaN,,NaN
43,99,,84,NaN,,-12,-6,85,NaN,0,NaN,-10,NaN
44,,,,NaN,,,,,NaN,,NaN,,NaN
45,99,,86,NaN,,-12,-7,87,NaN,8,NaN,-23,NaN
46,,,,NaN,,,,,NaN,,NaN,,NaN
47,99,,87,NaN,,-11,-5,87,NaN,11,NaN,-27,NaN
48,,,,NaN,,,,,NaN,,NaN,,NaN
49,99,,86,NaN,,-11,-5,87,NaN,11,NaN,-27,NaN
50,,,,NaN,,,,,NaN,,NaN,,NaN
51,99,,85,NaN,,-11,-5,86,NaN,11,NaN,-27,NaN
52,,,,NaN,,,,,NaN,,NaN,,NaN
