time,Solar8000/ART_SBP,SNUADC/ART,SNUADC/CVP,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ART_MBP,SNUADC/ECG_V5,Solar8000/CVP,Solar8000/HR,SNUADC/ECG_II,Solar8000/PLETH_HR,Solar8000/ETCO2,Solar8000/PLETH_SPO2
0,,NaN,NaN,,,,NaN,,,NaN,,,
1,-7,-496.78717041015625,-495.6260070800781,-7,,-7,-4.9562602043151855,-1,61,-4.9562602043151855,95,,88
2,,-496.7851867675781,-495.6240234375,,,,-4.956240177154541,,,-4.956240177154541,,,
3,-7,NaN,NaN,-7,,-7,NaN,-1,69,NaN,86,,96
4,,NaN,NaN,,,,NaN,,,NaN,,,
5,-7,NaN,NaN,-7,,-7,NaN,-1,69,NaN,86,,96
6,,NaN,NaN,,,,NaN,,,NaN,,,
7,-6,NaN,NaN,-6,,-6,NaN,-1,69,NaN,86,,96
8,,NaN,NaN,,,,NaN,,,NaN,,,
9,-6,NaN,NaN,-6,,-6,NaN,-1,69,NaN,86,,92
10,,NaN,NaN,,,,NaN,,,NaN,,,
11,-7,NaN,NaN,-7,,-7,NaN,1,67,NaN,86,,93
12,,NaN,NaN,,,,NaN,,,NaN,,,
13,-7,NaN,NaN,-7,,-7,NaN,1,69,NaN,86,,93
14,,NaN,NaN,,,,NaN,,,NaN,,,
15,-7,NaN,NaN,-7,,-7,NaN,-1,69,NaN,86,,93
16,,NaN,NaN,,,,NaN,,,NaN,,,
17,-7,NaN,NaN,-7,,-7,NaN,-1,69,NaN,86,,93
18,,NaN,NaN,,,,NaN,,,NaN,,,
19,-7,NaN,NaN,-7,,-7,NaN,-2,69,NaN,86,,93
20,,NaN,NaN,,,,NaN,,,NaN,,,
21,-7,NaN,NaN,-7,,-7,NaN,-2,69,NaN,,,
22,,NaN,NaN,,,,NaN,,,NaN,,,
23,-7,NaN,NaN,-7,,-7,NaN,-2,71,NaN,,,
24,,NaN,NaN,,,,NaN,,,NaN,,,
25,-7,NaN,NaN,-7,,-7,NaN,-2,68,NaN,,,
26,,NaN,NaN,,,,NaN,,,NaN,,,
27,-7,NaN,NaN,-7,,-7,NaN,-1,68,NaN,,,
28,,NaN,NaN,,,,NaN,,,NaN,,,
29,-7,NaN,NaN,-7,,-7,NaN,-1,68,NaN,77,,99
30,,NaN,NaN,,,,NaN,,,NaN,,,
31,-7,NaN,NaN,-7,,-7,NaN,-1,68,NaN,77,,98
32,,NaN,NaN,,,,NaN,,,NaN,,,
33,-7,NaN,NaN,-7,,-7,NaN,-1,68,NaN,72,,100
34,,NaN,NaN,,,,NaN,,,NaN,,,
35,-7,NaN,NaN,-7,,-7,NaN,-2,68,NaN,72,,100
36,,NaN,NaN,,,,NaN,,,NaN,,,
37,-7,NaN,NaN,-7,,-7,NaN,-2,71,NaN,72,,97
38,,NaN,NaN,,,,NaN,,,NaN,,,
39,-7,NaN,NaN,-7,,-7,NaN,-2,68,NaN,72,,97
40,,NaN,NaN,,,,NaN,,,NaN,,,
41,-7,NaN,NaN,-7,,-7,NaN,-2,68,NaN,72,,97
42,,NaN,NaN,,,,NaN,,,NaN,,,
43,-7,NaN,NaN,-7,,-7,NaN,-2,68,NaN,73,,100
44,,NaN,NaN,,,,NaN,,,NaN,,,
45,-7,NaN,NaN,-7,,-7,NaN,-1,69,NaN,71,,100
46,,NaN,NaN,,,,NaN,,,NaN,,,
47,-7,NaN,NaN,-7,,-7,NaN,-1,68,NaN,71,,100
48,,NaN,NaN,,,,NaN,,,NaN,,,
49,-7,NaN,NaN,-7,,-7,NaN,-2,68,NaN,71,,100
50,,NaN,NaN,,,,NaN,,,NaN,,,
51,-7,NaN,NaN,-7,,-7,NaN,-2,69,NaN,71,,100
52,,NaN,NaN,,,,NaN,,,NaN,,,
53,-7,NaN,NaN,-7,,-7,NaN,-2,69,NaN,70,,100
54,,NaN,NaN,,,,NaN,,,NaN,,,
55,-7,NaN,NaN,-7,,-7,NaN,-2,71,NaN,69,,100
56,,NaN,NaN,,,,NaN,,,NaN,,,
57,-7,NaN,NaN,-7,,-7,NaN,-2,69,NaN,67,,100
58,,NaN,NaN,,,,NaN,,,NaN,,,
59,-7,NaN,NaN,-7,,-7,NaN,-2,69,NaN,67,,100
60,,NaN,NaN,,,,NaN,,,NaN,,,
61,-7,NaN,NaN,-7,,-7,NaN,-2,68,NaN,67,,100
62,,NaN,NaN,,,,NaN,,,NaN,,,
63,-7,NaN,NaN,-7,,-7,NaN,-2,68,NaN,66,,100
64,,NaN,NaN,,,,NaN,,,NaN,,,
65,-7,NaN,NaN,-7,,-7,NaN,-2,68,NaN,68,,100
66,,NaN,NaN,,,,NaN,,,NaN,,,
67,-8,NaN,NaN,-8,,-8,NaN,-2,70,NaN,68,,100
68,,NaN,NaN,,,,NaN,,,NaN,,,
69,-8,NaN,NaN,-8,,-8,NaN,-3,67,NaN,68,,100
70,,NaN,NaN,,,,NaN,,,NaN,,,
71,-7,NaN,NaN,-7,,-7,NaN,-3,68,NaN,68,,100
72,,NaN,NaN,,,,NaN,,,NaN,,,
73,-7,NaN,NaN,-7,,-7,NaN,-3,68,NaN,68,,100
74,,NaN,NaN,,,,NaN,,,NaN,,,
75,-8,NaN,NaN,-8,,-8,NaN,-2,67,NaN,68,,100
76,,NaN,NaN,,,,NaN,,,NaN,,,
77,-8,NaN,NaN,-8,,-8,NaN,-2,67,NaN,68,,100
78,,NaN,NaN,,,,NaN,,,NaN,,,
79,-8,NaN,NaN,-8,,-8,NaN,-2,67,NaN,68,,100
80,,NaN,NaN,,,,NaN,,,NaN,,,
81,-8,NaN,NaN,-8,,-8,NaN,-2,67,NaN,68,,100
82,,NaN,NaN,,,,NaN,,,NaN,,,
83,-7,NaN,NaN,-7,,-7,NaN,-2,67,NaN,68,,100
84,,NaN,NaN,,,,NaN,,,NaN,,,
85,-7,NaN,NaN,-7,,-7,NaN,-2,70,NaN,68,,100
86,,NaN,NaN,,,,NaN,,,NaN,,,
87,-7,NaN,NaN,-7,,-7,NaN,-2,67,NaN,67,,100
88,,NaN,NaN,,,,NaN,,,NaN,,,
89,-7,NaN,NaN,-7,,-7,NaN,-2,67,NaN,68,,100
90,,NaN,NaN,,,,NaN,,,NaN,,,
91,-7,NaN,NaN,-7,,-7,NaN,-1,67,NaN,67,,100
92,,NaN,NaN,,,,NaN,,,NaN,,,
93,-7,NaN,NaN,-7,,-7,NaN,-1,68,NaN,67,,97
94,,NaN,NaN,,,,NaN,,,NaN,,,
95,-8,NaN,NaN,-8,,-8,NaN,-2,68,NaN,67,,100
96,,NaN,NaN,,,,NaN,,,NaN,,,
97,-8,NaN,NaN,-8,,-8,NaN,-2,68,NaN,68,,100
98,,NaN,NaN,,,,NaN,,,NaN,,,
99,-8,NaN,NaN,-8,,-8,NaN,-2,68,NaN,68,,100
100,,NaN,NaN,,,,NaN,,,NaN,,,
