time,Solar8000/PLETH_HR,Solar8000/HR,Solar8000/CVP,SNUADC/ECG_V5,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/RR_CO2,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/PLETH_SPO2,SNUADC/ART
0,,,,NaN,,NaN,,,,NaN,,,NaN
1,,,,-4.9562602043151855,,-495.6260070800781,,,,-4.9562602043151855,,,-499.346923828125
2,87,88,-10,-4.956240177154541,1,-495.6240234375,1,1,,-4.956240177154541,0,95,-499.344970703125
3,,,,NaN,,NaN,,,,NaN,,,NaN
4,87,86,-10,NaN,1,NaN,1,1,,NaN,0,95,NaN
5,,,,NaN,,NaN,,,,NaN,,,NaN
6,86,85,-10,NaN,1,NaN,1,1,,NaN,0,95,NaN
7,,,,NaN,,NaN,,,,NaN,,,NaN
8,86,85,-10,NaN,1,NaN,1,1,,NaN,0,95,NaN
9,,,,NaN,,NaN,,,,NaN,,,NaN
10,86,86,-10,NaN,0,NaN,0,0,,NaN,0,95,NaN
11,,,,NaN,,NaN,,,,NaN,,,NaN
12,87,87,-10,NaN,0,NaN,0,0,,NaN,0,95,NaN
13,,,,NaN,,NaN,,,,NaN,,,NaN
14,87,87,-11,NaN,1,NaN,1,1,,NaN,0,95,NaN
15,,,,NaN,,NaN,,,,NaN,,,NaN
16,90,90,-11,NaN,1,NaN,1,1,,NaN,0,96,NaN
17,,,,NaN,,NaN,,,,NaN,,,NaN
18,90,90,-11,NaN,1,NaN,1,1,,NaN,0,96,NaN
19,,,,NaN,,NaN,,,,NaN,,,NaN
20,90,90,-11,NaN,1,NaN,1,1,,NaN,0,96,NaN
21,,,,NaN,,NaN,,,,NaN,,,NaN
22,91,90,-11,NaN,1,NaN,1,1,,NaN,0,96,NaN
23,,,,NaN,,NaN,,,,NaN,,,NaN
24,91,89,-11,NaN,1,NaN,1,1,,NaN,0,95,NaN
25,,,,NaN,,NaN,,,,NaN,,,NaN
26,91,89,-11,NaN,1,NaN,1,1,,NaN,0,94,NaN
27,,,,NaN,,NaN,,,,NaN,,,NaN
28,91,89,-11,NaN,1,NaN,1,1,,NaN,0,94,NaN
29,,,,NaN,,NaN,,,,NaN,,,NaN
30,88,87,-11,NaN,1,NaN,1,1,,NaN,0,94,NaN
31,,,,NaN,,NaN,,,,NaN,,,NaN
32,88,87,-11,NaN,1,NaN,1,1,,NaN,0,94,NaN
33,,,,NaN,,NaN,,,,NaN,,,NaN
34,87,87,-11,NaN,1,NaN,1,1,,NaN,0,94,NaN
35,,,,NaN,,NaN,,,,NaN,,,NaN
36,88,87,-10,NaN,1,NaN,1,1,,NaN,0,94,NaN
37,,,,NaN,,NaN,,,,NaN,,,NaN
38,89,87,-10,NaN,0,NaN,0,0,,NaN,0,93,NaN
39,,,,NaN,,NaN,,,,NaN,,,NaN
40,88,88,-10,NaN,0,NaN,0,0,,NaN,0,94,NaN
41,,,,NaN,,NaN,,,,NaN,,,NaN
42,89,89,-10,NaN,1,NaN,1,1,,NaN,0,94,NaN
43,,,,NaN,,NaN,,,,NaN,,,NaN
44,88,87,-10,NaN,1,NaN,1,1,,NaN,0,94,NaN
45,,,,NaN,,NaN,,,,NaN,,,NaN
46,89,88,-10,NaN,1,NaN,1,1,,NaN,0,94,NaN
47,,,,NaN,,NaN,,,,NaN,,,NaN
48,89,89,-11,NaN,1,NaN,1,1,,NaN,0,94,NaN
49,,,,NaN,,NaN,,,,NaN,,,NaN
50,91,90,-11,NaN,1,NaN,1,1,,NaN,0,93,NaN
51,,,,NaN,,NaN,,,,NaN,,,NaN
52,92,90,-11,NaN,1,NaN,1,1,,NaN,0,94,NaN
53,,,,NaN,,NaN,,,,NaN,,,NaN
54,92,93,-11,NaN,-40,NaN,0,36,,NaN,0,94,NaN
55,,,,NaN,,NaN,,,,NaN,,,NaN
56,94,94,-11,NaN,-22,NaN,0,27,,NaN,0,94,NaN
57,,,,NaN,,NaN,,,,NaN,,,NaN
58,96,95,-11,NaN,-19,NaN,0,23,,NaN,0,95,NaN
59,,,,NaN,,NaN,,,,NaN,,,NaN
60,93,93,-11,NaN,-19,NaN,0,23,,NaN,0,95,NaN
61,,,,NaN,,NaN,,,,NaN,,,NaN
62,92,90,-11,NaN,1,NaN,1,1,,NaN,0,95,NaN
63,,,,NaN,,NaN,,,,NaN,,,NaN
