time,SNUADC/ECG_V5,SNUADC/ART,Solar8000/RR_CO2,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/ART_DBP,Solar8000/CVP,SNUADC/CVP,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/HR,Solar8000/ART_SBP,Solar8000/PLETH_HR
0,NaN,NaN,,NaN,,,,NaN,,,,,
1,-4.9562602043151855,-496.78717041015625,,-4.9562602043151855,,,,-495.6260070800781,,,,,
2,-4.956240177154541,-496.7851867675781,,-4.956240177154541,,,,-495.6240234375,,,,,
3,NaN,NaN,,NaN,,,,NaN,,,,,
4,NaN,NaN,,NaN,,-4,-4,NaN,99,-4,115,-4,116
5,NaN,NaN,,NaN,,,,NaN,,,,,
6,NaN,NaN,,NaN,,-4,-4,NaN,99,-4,116,-4,118
7,NaN,NaN,,NaN,,,,NaN,,,,,
8,NaN,NaN,,NaN,,-4,-4,NaN,99,-4,116,-4,119
9,NaN,NaN,,NaN,,,,NaN,,,,,
10,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,118,-4,119
11,NaN,NaN,,NaN,,,,NaN,,,,,
12,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,118,-4,118
13,NaN,NaN,,NaN,,,,NaN,,,,,
14,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,118,-4,118
15,NaN,NaN,,NaN,,,,NaN,,,,,
16,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,118,-4,119
17,NaN,NaN,,NaN,,,,NaN,,,,,
18,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,119,-4,119
19,NaN,NaN,,NaN,,,,NaN,,,,,
20,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,119,-4,118
21,NaN,NaN,,NaN,,,,NaN,,,,,
22,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,119,-4,117
23,NaN,NaN,,NaN,,,,NaN,,,,,
24,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,117,-4,116
25,NaN,NaN,,NaN,,,,NaN,,,,,
26,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,114,-4,115
27,NaN,NaN,,NaN,,,,NaN,,,,,
28,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,114,-4,114
29,NaN,NaN,,NaN,,,,NaN,,,,,
30,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,114,-4,114
31,NaN,NaN,,NaN,,,,NaN,,,,,
32,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,114,-4,115
33,NaN,NaN,,NaN,,,,NaN,,,,,
34,NaN,NaN,,NaN,,-4,-4,NaN,100,-4,,-4,115
35,NaN,NaN,,NaN,,,,NaN,,,,,
36,NaN,NaN,,NaN,,-4,-3,NaN,100,-4,,-4,115
37,NaN,NaN,,NaN,,,,NaN,,,,,
38,NaN,NaN,,NaN,,-4,-3,NaN,100,-4,,-4,114
39,NaN,NaN,,NaN,,,,NaN,,,,,
40,NaN,NaN,,NaN,,-3,-4,NaN,100,-3,,-3,114
41,NaN,NaN,,NaN,,,,NaN,,,,,
42,NaN,NaN,,NaN,,-6,-4,NaN,100,-4,114,-3,115
43,NaN,NaN,,NaN,,,,NaN,,,,,
44,NaN,NaN,,NaN,,-6,-4,NaN,100,-4,114,-3,116
45,NaN,NaN,,NaN,,,,NaN,,,,,
46,NaN,NaN,,NaN,,-6,-4,NaN,100,-4,114,-3,115
47,NaN,NaN,,NaN,,,,NaN,,,,,
48,NaN,NaN,,NaN,,-3,-4,NaN,100,-3,114,-3,115
49,NaN,NaN,,NaN,,,,NaN,,,,,
50,NaN,NaN,,NaN,,-3,-4,NaN,100,-3,114,-3,115
51,NaN,NaN,,NaN,,,,NaN,,,,,
52,NaN,NaN,,NaN,,-3,-3,NaN,100,-3,114,-3,111
53,NaN,NaN,,NaN,,,,NaN,,,,,
54,NaN,NaN,,NaN,,-3,-3,NaN,100,-3,114,-3,105
55,NaN,NaN,,NaN,,,,NaN,,,,,
56,NaN,NaN,,NaN,,-3,-3,NaN,100,-3,122,-3,106
57,NaN,NaN,,NaN,,,,NaN,,,,,
58,NaN,NaN,,NaN,,-3,-3,NaN,100,-3,122,-3,106
59,NaN,NaN,,NaN,,,,NaN,,,,,
60,NaN,NaN,,NaN,,-3,-3,NaN,100,-3,114,-3,109
61,NaN,NaN,,NaN,,,,NaN,,,,,
62,NaN,NaN,,NaN,,-3,-3,NaN,100,-3,114,-3,113
63,NaN,NaN,,NaN,,,,NaN,,,,,
64,NaN,NaN,,NaN,,-3,-3,NaN,100,-3,114,-3,111
65,NaN,NaN,,NaN,,,,NaN,,,,,
66,NaN,NaN,,NaN,,-3,-3,NaN,100,-3,114,-3,112
67,NaN,NaN,,NaN,,,,NaN,,,,,
68,NaN,NaN,,NaN,,-3,-3,NaN,99,-3,114,-3,114
69,NaN,NaN,,NaN,,,,NaN,,,,,
70,NaN,NaN,,NaN,,-3,-3,NaN,99,-3,114,-3,114
71,NaN,NaN,,NaN,,,,NaN,,,,,
72,NaN,NaN,,NaN,,-3,-3,NaN,99,-3,114,-3,114
