time,Solar8000/RR_CO2,SNUADC/CVP,Solar8000/ART_SBP,Solar8000/ETCO2,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/ART,Solar8000/ART_MBP,Solar8000/ART_DBP,SNUADC/ECG_V5,SNUADC/ECG_II,Solar8000/PLETH_HR,Solar8000/CVP
0,,NaN,,,,,NaN,,,NaN,NaN,,
1,,-495.6260070800781,,,,,-499.346923828125,,,-4.9562602043151855,-4.9562602043151855,,
2,,-495.6240234375,,,,,-499.344970703125,,,-4.956240177154541,-4.956240177154541,,
3,,NaN,,,,,NaN,,,NaN,NaN,,
4,,NaN,,,,,NaN,,,NaN,NaN,,
5,,NaN,-2,,97,102,NaN,-2,-2,NaN,NaN,102,-28
6,,NaN,,,,,NaN,,,NaN,NaN,,
7,,NaN,-2,,97,102,NaN,-2,-2,NaN,NaN,102,-28
8,,NaN,,,,,NaN,,,NaN,NaN,,
9,,NaN,-2,,97,102,NaN,-2,-2,NaN,NaN,103,-28
10,,NaN,,,,,NaN,,,NaN,NaN,,
11,,NaN,-2,,97,103,NaN,-2,-2,NaN,NaN,103,-28
12,,NaN,,,,,NaN,,,NaN,NaN,,
13,,NaN,-2,,97,103,NaN,-2,-2,NaN,NaN,103,-28
14,,NaN,,,,,NaN,,,NaN,NaN,,
15,,NaN,-2,,97,103,NaN,-2,-2,NaN,NaN,103,-28
16,,NaN,,,,,NaN,,,NaN,NaN,,
17,,NaN,-2,,97,103,NaN,-2,-2,NaN,NaN,103,-28
18,,NaN,,,,,NaN,,,NaN,NaN,,
19,,NaN,-2,,97,103,NaN,-2,-2,NaN,NaN,103,-28
20,,NaN,,,,,NaN,,,NaN,NaN,,
21,,NaN,-2,,97,102,NaN,-2,-2,NaN,NaN,103,-28
22,,NaN,,,,,NaN,,,NaN,NaN,,
23,,NaN,-2,,98,102,NaN,-2,-2,NaN,NaN,103,-28
24,,NaN,,,,,NaN,,,NaN,NaN,,
25,,NaN,-2,,98,102,NaN,-2,-2,NaN,NaN,102,-28
26,,NaN,,,,,NaN,,,NaN,NaN,,
27,,NaN,-1,,98,109,NaN,-1,-1,NaN,NaN,103,-28
28,,NaN,,,,,NaN,,,NaN,NaN,,
29,,NaN,-1,,98,126,NaN,-1,-1,NaN,NaN,103,-28
30,,NaN,,,,,NaN,,,NaN,NaN,,
31,,NaN,1,,98,136,NaN,1,1,NaN,NaN,103,-28
32,,NaN,,,,,NaN,,,NaN,NaN,,
33,,NaN,1,,97,116,NaN,1,1,NaN,NaN,102,-28
34,,NaN,,,,,NaN,,,NaN,NaN,,
35,,NaN,-2,,97,115,NaN,-2,-2,NaN,NaN,101,-28
36,,NaN,,,,,NaN,,,NaN,NaN,,
37,,NaN,-2,,97,100,NaN,-2,-2,NaN,NaN,100,-28
38,,NaN,,,,,NaN,,,NaN,NaN,,
39,,NaN,1,,97,100,NaN,1,1,NaN,NaN,100,-28
40,,NaN,,,,,NaN,,,NaN,NaN,,
41,,NaN,1,,97,102,NaN,1,1,NaN,NaN,98,-28
42,,NaN,,,,,NaN,,,NaN,NaN,,
43,,NaN,-2,,97,103,NaN,-2,-2,NaN,NaN,100,-28
44,,NaN,,,,,NaN,,,NaN,NaN,,
45,,NaN,-2,,99,103,NaN,-2,-2,NaN,NaN,102,-28
46,,NaN,,,,,NaN,,,NaN,NaN,,
47,,NaN,-2,,99,101,NaN,-2,-2,NaN,NaN,104,-28
48,,NaN,,,,,NaN,,,NaN,NaN,,
49,,NaN,-2,,98,118,NaN,-2,-2,NaN,NaN,103,-28
50,,NaN,,,,,NaN,,,NaN,NaN,,
51,,NaN,-2,,98,118,NaN,-2,-2,NaN,NaN,103,-28
52,,NaN,,,,,NaN,,,NaN,NaN,,
53,,NaN,-2,,98,116,NaN,-2,-2,NaN,NaN,102,-28
54,,NaN,,,,,NaN,,,NaN,NaN,,
55,,NaN,-2,,98,116,NaN,-2,-2,NaN,NaN,102,-27
56,,NaN,,,,,NaN,,,NaN,NaN,,
57,,NaN,-2,0,98,110,NaN,-2,-2,NaN,NaN,102,-27
58,,NaN,,,,,NaN,,,NaN,NaN,,
59,,NaN,-2,0,98,102,NaN,-2,-2,NaN,NaN,102,-26
60,,NaN,,,,,NaN,,,NaN,NaN,,
61,,NaN,-2,0,98,102,NaN,-2,-2,NaN,NaN,98,-26
62,,NaN,,,,,NaN,,,NaN,NaN,,
63,,NaN,2,0,98,103,NaN,-2,-4,NaN,NaN,98,-26
64,,NaN,,,,,NaN,,,NaN,NaN,,
65,,NaN,2,0,98,104,NaN,-2,-4,NaN,NaN,98,-26
66,,NaN,,,,,NaN,,,NaN,NaN,,
67,,NaN,-2,0,97,104,NaN,-2,-2,NaN,NaN,98,-26
68,,NaN,,,,,NaN,,,NaN,NaN,,
69,,NaN,1,0,98,104,NaN,-2,-3,NaN,NaN,99,-27
70,,NaN,,,,,NaN,,,NaN,NaN,,
71,,NaN,0,0,98,103,NaN,-2,-4,NaN,NaN,104,-27
72,,NaN,,,,,NaN,,,NaN,NaN,,
73,,NaN,0,0,98,104,NaN,-2,-4,NaN,NaN,104,-27
74,,NaN,,,,,NaN,,,NaN,NaN,,
75,,NaN,-2,0,98,104,NaN,-2,-2,NaN,NaN,104,-27
76,,NaN,,,,,NaN,,,NaN,NaN,,
77,,NaN,-2,0,98,103,NaN,-2,-2,NaN,NaN,104,-27
78,,NaN,,,,,NaN,,,NaN,NaN,,
79,,NaN,1,0,98,102,NaN,1,1,NaN,NaN,103,-27
80,,NaN,,,,,NaN,,,NaN,NaN,,
81,,NaN,1,0,98,101,NaN,1,1,NaN,NaN,102,-27
82,,NaN,,,,,NaN,,,NaN,NaN,,
83,,NaN,-2,0,98,100,NaN,-2,-2,NaN,NaN,101,-27
84,,NaN,,,,,NaN,,,NaN,NaN,,
85,,NaN,-2,0,98,100,NaN,-2,-2,NaN,NaN,101,-28
86,,NaN,,,,,NaN,,,NaN,NaN,,
87,,NaN,-2,0,98,101,NaN,-2,-2,NaN,NaN,101,-28
88,,NaN,,,,,NaN,,,NaN,NaN,,
89,,NaN,-2,0,99,101,NaN,-2,-2,NaN,NaN,102,-28
90,,NaN,,,,,NaN,,,NaN,NaN,,
91,,NaN,-2,0,99,102,NaN,-2,-2,NaN,NaN,102,-28
92,,NaN,,,,,NaN,,,NaN,NaN,,
93,,NaN,-2,0,99,102,NaN,-2,-2,NaN,NaN,103,-28
94,,NaN,,,,,NaN,,,NaN,NaN,,
95,,NaN,-2,0,99,102,NaN,-2,-2,NaN,NaN,103,-28
96,,NaN,,,,,NaN,,,NaN,NaN,,
97,,NaN,-2,0,99,102,NaN,-2,-2,NaN,NaN,103,-28
98,,NaN,,,,,NaN,,,NaN,NaN,,
99,,NaN,-2,0,99,102,NaN,-2,-2,NaN,NaN,103,-28
100,,NaN,,,,,NaN,,,NaN,NaN,,
101,,NaN,-2,0,99,103,NaN,-2,-2,NaN,NaN,103,-28
102,,NaN,,,,,NaN,,,NaN,NaN,,
103,,NaN,-2,0,99,104,NaN,-2,-2,NaN,NaN,104,-28
104,,NaN,,,,,NaN,,,NaN,NaN,,
105,,NaN,-2,0,99,103,NaN,-2,-2,NaN,NaN,103,-28
106,,NaN,,,,,NaN,,,NaN,NaN,,
107,,NaN,-2,0,98,102,NaN,-2,-2,NaN,NaN,103,-27
108,,NaN,,,,,NaN,,,NaN,NaN,,
109,,NaN,-2,0,98,103,NaN,-2,-2,NaN,NaN,103,-27
110,,NaN,,,,,NaN,,,NaN,NaN,,
111,,NaN,-2,35,98,103,NaN,-2,-2,NaN,NaN,104,-27
112,,NaN,,,,,NaN,,,NaN,NaN,,
113,,NaN,-1,35,98,102,NaN,-1,-1,NaN,NaN,103,-27
114,,NaN,,,,,NaN,,,NaN,NaN,,
115,,NaN,-1,35,99,99,NaN,-1,-1,NaN,NaN,100,-27
116,,NaN,,,,,NaN,,,NaN,NaN,,
117,,NaN,-2,35,99,97,NaN,-2,-2,NaN,NaN,98,-27
118,,NaN,,,,,NaN,,,NaN,NaN,,
119,,NaN,-2,,100,95,NaN,-2,-2,NaN,NaN,95,-28
120,,NaN,,,,,NaN,,,NaN,NaN,,
121,,NaN,-2,,100,95,NaN,-2,-2,NaN,NaN,95,-28
122,,NaN,,,,,NaN,,,NaN,NaN,,
123,,NaN,-2,,100,94,NaN,-2,-2,NaN,NaN,95,-28
124,,NaN,,,,,NaN,,,NaN,NaN,,
125,,NaN,-2,,100,94,NaN,-2,-2,NaN,NaN,94,-28
126,,NaN,,,,,NaN,,,NaN,NaN,,
127,,NaN,-2,,100,93,NaN,-2,-2,NaN,NaN,94,-28
128,,NaN,,,,,NaN,,,NaN,NaN,,
129,,NaN,-2,,100,93,NaN,-2,-2,NaN,NaN,94,-28
130,,NaN,,,,,NaN,,,NaN,NaN,,
131,,NaN,-2,,100,93,NaN,-2,-2,NaN,NaN,93,-28
132,,NaN,,,,,NaN,,,NaN,NaN,,
133,,NaN,-2,,100,92,NaN,-2,-2,NaN,NaN,93,-28
134,,NaN,,,,,NaN,,,NaN,NaN,,
135,,NaN,-2,,100,92,NaN,-2,-2,NaN,NaN,93,-28
136,,NaN,,,,,NaN,,,NaN,NaN,,
137,,NaN,-2,,100,92,NaN,-2,-2,NaN,NaN,93,-28
138,,NaN,,,,,NaN,,,NaN,NaN,,
139,,NaN,-2,,100,93,NaN,-2,-2,NaN,NaN,94,-28
140,,NaN,,,,,NaN,,,NaN,NaN,,
141,,NaN,-2,,100,93,NaN,-2,-2,NaN,NaN,94,-28
142,,NaN,,,,,NaN,,,NaN,NaN,,
143,,NaN,-2,,100,93,NaN,-2,-2,NaN,NaN,94,-27
144,,NaN,,,,,NaN,,,NaN,NaN,,
145,,NaN,-2,,100,93,NaN,-2,-2,NaN,NaN,93,-27
146,,NaN,,,,,NaN,,,NaN,NaN,,
147,,NaN,-2,,100,94,NaN,-2,-2,NaN,NaN,94,-27
148,,NaN,,,,,NaN,,,NaN,NaN,,
149,,NaN,-2,,100,95,NaN,-2,-2,NaN,NaN,95,-28
150,,NaN,,,,,NaN,,,NaN,NaN,,
151,,NaN,-2,,100,94,NaN,-2,-2,NaN,NaN,95,-28
152,,NaN,,,,,NaN,,,NaN,NaN,,
