time,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/CVP,SNUADC/CVP,Solar8000/PLETH_HR,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/ART_DBP,Solar8000/ART_SBP,SNUADC/ART,Solar8000/HR
0,,NaN,,NaN,,NaN,,,,,,NaN,
1,,-4.9562602043151855,,-495.6260070800781,,-4.9562602043151855,,,,,,-498.6846008300781,
2,,-4.956240177154541,-9,-495.6240234375,80,-4.956240177154541,,99,-3,-4,-2,-498.6826477050781,79
3,,NaN,,NaN,,NaN,,,,,,NaN,
4,,NaN,-9,NaN,80,NaN,,99,-3,-3,-3,NaN,
5,,NaN,,NaN,,NaN,,,,,,NaN,
6,,NaN,-10,NaN,80,NaN,,99,-3,-3,-3,NaN,
7,,NaN,,NaN,,NaN,,,,,,NaN,
8,,NaN,-10,NaN,80,NaN,,100,-2,-2,-2,NaN,
9,,NaN,,NaN,,NaN,,,,,,NaN,
10,,NaN,-10,NaN,81,NaN,,99,-2,-2,-2,NaN,
11,,NaN,,NaN,,NaN,,,,,,NaN,
12,,NaN,-10,NaN,82,NaN,,99,-3,-3,-3,NaN,
13,,NaN,,NaN,,NaN,,,,,,NaN,
14,,NaN,-10,NaN,82,NaN,,100,-3,-3,-3,NaN,
15,,NaN,,NaN,,NaN,,,,,,NaN,
16,,NaN,-10,NaN,82,NaN,,100,-4,-4,-4,NaN,
17,,NaN,,NaN,,NaN,,,,,,NaN,
18,,NaN,-11,NaN,81,NaN,,99,-3,-4,-2,NaN,
19,,NaN,,NaN,,NaN,,,,,,NaN,
20,,NaN,-11,NaN,82,NaN,,99,-3,-4,-2,NaN,
21,,NaN,,NaN,,NaN,,,,,,NaN,
22,,NaN,-11,NaN,83,NaN,,99,-2,-2,-2,NaN,
23,,NaN,,NaN,,NaN,,,,,,NaN,
24,,NaN,-11,NaN,83,NaN,,99,-2,-2,-2,NaN,
25,,NaN,,NaN,,NaN,,,,,,NaN,
26,,NaN,-11,NaN,83,NaN,,99,-3,-3,-3,NaN,
27,,NaN,,NaN,,NaN,,,,,,NaN,
28,,NaN,-11,NaN,82,NaN,,99,-3,-3,-3,NaN,
29,,NaN,,NaN,,NaN,,,,,,NaN,
30,,NaN,-11,NaN,81,NaN,,99,-3,-3,-3,NaN,
31,,NaN,,NaN,,NaN,,,,,,NaN,
32,,NaN,-11,NaN,80,NaN,,99,-3,-3,-3,NaN,80
33,,NaN,,NaN,,NaN,,,,,,NaN,
34,,NaN,-11,NaN,80,NaN,,99,-3,-3,-3,NaN,79
35,,NaN,,NaN,,NaN,,,,,,NaN,
36,,NaN,-12,NaN,80,NaN,,99,-3,-3,-3,NaN,79
37,,NaN,,NaN,,NaN,,,,,,NaN,
38,,NaN,-12,NaN,80,NaN,,99,-3,-3,-3,NaN,79
39,,NaN,,NaN,,NaN,,,,,,NaN,
40,,NaN,-11,NaN,80,NaN,,99,-3,-3,-3,NaN,79
41,,NaN,,NaN,,NaN,,,,,,NaN,
42,,NaN,-11,NaN,80,NaN,,99,-3,-3,-3,NaN,79
43,,NaN,,NaN,,NaN,,,,,,NaN,
44,,NaN,-10,NaN,80,NaN,,99,-3,-3,-3,NaN,79
45,,NaN,,NaN,,NaN,,,,,,NaN,
46,,NaN,-10,NaN,80,NaN,,99,-3,-3,-3,NaN,79
47,,NaN,,NaN,,NaN,,,,,,NaN,
48,,NaN,-11,NaN,80,NaN,,99,-3,-3,-3,NaN,79
49,,NaN,,NaN,,NaN,,,,,,NaN,
