time,Solar8000/ETCO2,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/RR_CO2,Solar8000/HR,SNUADC/ART,Solar8000/PLETH_SPO2,SNUADC/ECG_II,Solar8000/PLETH_HR,SNUADC/ECG_V5,Solar8000/ART_SBP,Solar8000/CVP,Solar8000/ART_DBP
0,,,NaN,,,NaN,,NaN,,NaN,,,
1,,,-495.6260070800781,,,-494.5040283203125,,-4.9562602043151855,,-4.9562602043151855,,,
2,,,-495.6240234375,,,-494.5020446777344,,-4.956240177154541,,-4.956240177154541,,,
3,,,NaN,,,NaN,,NaN,,NaN,,,
4,,-8,NaN,,,NaN,78,NaN,116,NaN,-8,-11,-8
5,,,NaN,,,NaN,,NaN,,NaN,,,
6,,-8,NaN,,,NaN,78,NaN,116,NaN,-7,-9,-9
7,,,NaN,,,NaN,,NaN,,NaN,,,
8,,-8,NaN,,,NaN,78,NaN,119,NaN,-7,-9,-9
9,,,NaN,,,NaN,,NaN,,NaN,,,
10,,-8,NaN,,,NaN,78,NaN,119,NaN,-8,-10,-8
11,,,NaN,,,NaN,,NaN,,NaN,,,
12,,-8,NaN,,,NaN,78,NaN,109,NaN,-8,-10,-8
13,,,NaN,,,NaN,,NaN,,NaN,,,
14,,-8,NaN,,,NaN,77,NaN,109,NaN,-8,-10,-8
15,,,NaN,,,NaN,,NaN,,NaN,,,
16,,-8,NaN,,,NaN,77,NaN,109,NaN,-8,-10,-8
17,,,NaN,,,NaN,,NaN,,NaN,,,
18,,-8,NaN,,,NaN,77,NaN,109,NaN,-8,-10,-8
19,,,NaN,,,NaN,,NaN,,NaN,,,
20,,-8,NaN,,,NaN,77,NaN,109,NaN,-8,-10,-8
21,,,NaN,,,NaN,,NaN,,NaN,,,
22,,-8,NaN,,,NaN,77,NaN,105,NaN,-8,-10,-8
23,,,NaN,,,NaN,,NaN,,NaN,,,
24,,-8,NaN,,82,NaN,77,NaN,105,NaN,-7,-10,-9
25,,,NaN,,,NaN,,NaN,,NaN,,,
26,,-8,NaN,,81,NaN,78,NaN,105,NaN,-7,-10,-9
27,,,NaN,,,NaN,,NaN,,NaN,,,
28,,-8,NaN,,80,NaN,78,NaN,109,NaN,-7,-10,-9
29,,,NaN,,,NaN,,NaN,,NaN,,,
30,,-8,NaN,,80,NaN,77,NaN,109,NaN,-7,-10,-9
31,,,NaN,,,NaN,,NaN,,NaN,,,
32,,-6,NaN,,80,NaN,76,NaN,112,NaN,-6,-10,-6
33,,,NaN,,,NaN,,NaN,,NaN,,,
34,,-6,NaN,,80,NaN,76,NaN,112,NaN,-6,-10,-6
35,,,NaN,,,NaN,,NaN,,NaN,,,
36,,-7,NaN,,80,NaN,76,NaN,112,NaN,-7,-10,-7
37,,,NaN,,,NaN,,NaN,,NaN,,,
38,,-7,NaN,,80,NaN,76,NaN,112,NaN,-7,-10,-7
39,,,NaN,,,NaN,,NaN,,NaN,,,
40,,-7,NaN,,79,NaN,76,NaN,112,NaN,-7,-11,-7
41,,,NaN,,,NaN,,NaN,,NaN,,,
42,,-7,NaN,,78,NaN,76,NaN,111,NaN,-7,-11,-7
43,,,NaN,,,NaN,,NaN,,NaN,,,
44,,-7,NaN,,78,NaN,,NaN,,NaN,-7,-11,-7
45,,,NaN,,,NaN,,NaN,,NaN,,,
46,,-8,NaN,,78,NaN,,NaN,,NaN,-1,-11,-13
47,,,NaN,,,NaN,,NaN,,NaN,,,
48,,-7,NaN,,79,NaN,,NaN,,NaN,-3,-11,-10
49,,,NaN,,,NaN,,NaN,,NaN,,,
50,,-7,NaN,,81,NaN,77,NaN,117,NaN,-3,-11,-11
51,,,NaN,,,NaN,,NaN,,NaN,,,
52,,-7,NaN,,82,NaN,77,NaN,117,NaN,-3,-11,-9
53,,,NaN,,,NaN,,NaN,,NaN,,,
54,,-7,NaN,,83,NaN,77,NaN,117,NaN,-3,-11,-9
55,,,NaN,,,NaN,,NaN,,NaN,,,
56,,-7,NaN,,84,NaN,77,NaN,117,NaN,-7,-11,-7
57,,,NaN,,,NaN,,NaN,,NaN,,,
58,,-7,NaN,,84,NaN,77,NaN,117,NaN,-7,-11,-7
59,,,NaN,,,NaN,,NaN,,NaN,,,
60,,-6,NaN,,85,NaN,77,NaN,117,NaN,-6,-11,-6
61,,,NaN,,,NaN,,NaN,,NaN,,,
62,,-6,NaN,,85,NaN,,NaN,,NaN,-5,-11,-8
63,,,NaN,,,NaN,,NaN,,NaN,,,
64,,-6,NaN,,85,NaN,,NaN,,NaN,-5,-11,-8
65,,,NaN,,,NaN,,NaN,,NaN,,,
66,,-6,NaN,,84,NaN,,NaN,,NaN,-6,-11,-6
67,,,NaN,,,NaN,,NaN,,NaN,,,
68,,-6,NaN,,85,NaN,,NaN,,NaN,-6,-11,-6
69,,,NaN,,,NaN,,NaN,,NaN,,,
70,,-6,NaN,,86,NaN,,NaN,,NaN,-6,-11,-6
71,,,NaN,,,NaN,,NaN,,NaN,,,
72,,-6,NaN,,86,NaN,,NaN,,NaN,-6,-11,-6
73,,,NaN,,,NaN,,NaN,,NaN,,,
74,,-6,NaN,,83,NaN,,NaN,,NaN,-6,-11,-6
75,,,NaN,,,NaN,,NaN,,NaN,,,
76,,-6,NaN,,81,NaN,,NaN,,NaN,-6,-11,-6
77,,,NaN,,,NaN,,NaN,,NaN,,,
78,,-7,NaN,,80,NaN,,NaN,,NaN,-4,-11,-9
79,,,NaN,,,NaN,,NaN,,NaN,,,
80,,-7,NaN,,79,NaN,,NaN,,NaN,-4,-11,-9
81,,,NaN,,,NaN,,NaN,,NaN,,,
82,,-6,NaN,,78,NaN,,NaN,,NaN,-4,-11,-8
83,,,NaN,,,NaN,,NaN,,NaN,,,
84,,-6,NaN,,77,NaN,,NaN,,NaN,-4,-11,-8
85,,,NaN,,,NaN,,NaN,,NaN,,,
86,,-6,NaN,,77,NaN,,NaN,,NaN,-6,-11,-6
87,,,NaN,,,NaN,,NaN,,NaN,,,
88,,-6,NaN,,77,NaN,,NaN,,NaN,-6,-11,-6
89,,,NaN,,,NaN,,NaN,,NaN,,,
90,,-6,NaN,,77,NaN,,NaN,,NaN,-6,-11,-6
91,,,NaN,,,NaN,,NaN,,NaN,,,
92,,-7,NaN,,77,NaN,,NaN,,NaN,3,-11,-17
93,,,NaN,,,NaN,,NaN,,NaN,,,
94,,-7,NaN,,81,NaN,,NaN,,NaN,3,-11,-17
95,,,NaN,,,NaN,,NaN,,NaN,,,
96,,-6,NaN,,83,NaN,,NaN,,NaN,-6,-11,-6
97,,,NaN,,,NaN,,NaN,,NaN,,,
98,,-6,NaN,,82,NaN,,NaN,,NaN,-6,-11,-6
99,,,NaN,,,NaN,,NaN,,NaN,,,
100,,-6,NaN,,79,NaN,,NaN,,NaN,-6,-11,-6
