time,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/PLETH_HR,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/CVP
0,NaN,,,,,,NaN,,NaN,,,NaN,
1,-495.6260070800781,,,,,,-4.9562602043151855,,-491.88665771484375,,,-4.9562602043151855,
2,-495.6240234375,,,,,,-4.956240177154541,,-491.88470458984375,,,-4.956240177154541,
3,NaN,-3,,84,99,89,NaN,-3,NaN,,-3,NaN,-46
4,NaN,,,,,,NaN,,NaN,,,NaN,
5,NaN,-3,,83,99,88,NaN,-3,NaN,,-3,NaN,-46
6,NaN,,,,,,NaN,,NaN,,,NaN,
7,NaN,-3,,82,99,86,NaN,-3,NaN,,-3,NaN,-46
8,NaN,,,,,,NaN,,NaN,,,NaN,
9,NaN,-3,,82,99,81,NaN,-3,NaN,,-3,NaN,-46
10,NaN,,,,,,NaN,,NaN,,,NaN,
11,NaN,-3,,82,99,82,NaN,-3,NaN,,-3,NaN,-47
12,NaN,,,,,,NaN,,NaN,,,NaN,
13,NaN,-2,,83,99,83,NaN,-2,NaN,,-2,NaN,-47
14,NaN,,,,,,NaN,,NaN,,,NaN,
15,NaN,-2,,84,99,84,NaN,-2,NaN,,-2,NaN,-47
16,NaN,,,,,,NaN,,NaN,,,NaN,
17,NaN,-2,,85,99,85,NaN,-2,NaN,,-2,NaN,-47
18,NaN,,,,,,NaN,,NaN,,,NaN,
19,NaN,-2,,86,99,86,NaN,-2,NaN,,-2,NaN,-47
20,NaN,,,,,,NaN,,NaN,,,NaN,
21,NaN,-3,,87,99,87,NaN,-3,NaN,,-3,NaN,-47
22,NaN,,,,,,NaN,,NaN,,,NaN,
23,NaN,-3,,87,99,86,NaN,-3,NaN,,-3,NaN,-47
24,NaN,,,,,,NaN,,NaN,,,NaN,
25,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-47
26,NaN,,,,,,NaN,,NaN,,,NaN,
27,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-47
28,NaN,,,,,,NaN,,NaN,,,NaN,
29,NaN,-3,,84,99,83,NaN,-3,NaN,,-3,NaN,-47
30,NaN,,,,,,NaN,,NaN,,,NaN,
31,NaN,-3,,84,99,83,NaN,-3,NaN,,-3,NaN,-47
32,NaN,,,,,,NaN,,NaN,,,NaN,
33,NaN,-3,,84,99,84,NaN,-3,NaN,,-3,NaN,-47
34,NaN,,,,,,NaN,,NaN,,,NaN,
35,NaN,-3,,84,99,84,NaN,-3,NaN,,-3,NaN,-47
36,NaN,,,,,,NaN,,NaN,,,NaN,
37,NaN,-3,,84,99,83,NaN,-3,NaN,,-3,NaN,-47
38,NaN,,,,,,NaN,,NaN,,,NaN,
39,NaN,-3,,84,99,83,NaN,-3,NaN,,-3,NaN,-47
40,NaN,,,,,,NaN,,NaN,,,NaN,
41,NaN,-3,,83,99,83,NaN,-3,NaN,,-3,NaN,-47
42,NaN,,,,,,NaN,,NaN,,,NaN,
43,NaN,-3,,84,99,84,NaN,-3,NaN,,-3,NaN,-47
44,NaN,,,,,,NaN,,NaN,,,NaN,
45,NaN,-3,,84,99,84,NaN,-3,NaN,,-3,NaN,-47
46,NaN,,,,,,NaN,,NaN,,,NaN,
47,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-47
48,NaN,,,,,,NaN,,NaN,,,NaN,
49,NaN,-3,,84,99,84,NaN,-3,NaN,,-3,NaN,-47
50,NaN,,,,,,NaN,,NaN,,,NaN,
51,NaN,-3,,84,99,83,NaN,-3,NaN,,-3,NaN,-47
52,NaN,,,,,,NaN,,NaN,,,NaN,
53,NaN,-3,,84,99,83,NaN,-3,NaN,,-3,NaN,-47
54,NaN,,,,,,NaN,,NaN,,,NaN,
55,NaN,-3,,84,99,84,NaN,-3,NaN,,-3,NaN,-47
56,NaN,,,,,,NaN,,NaN,,,NaN,
57,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-47
58,NaN,,,,,,NaN,,NaN,,,NaN,
59,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-47
60,NaN,,,,,,NaN,,NaN,,,NaN,
61,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-47
62,NaN,,,,,,NaN,,NaN,,,NaN,
63,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-47
64,NaN,,,,,,NaN,,NaN,,,NaN,
65,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-47
66,NaN,,,,,,NaN,,NaN,,,NaN,
67,NaN,-3,,85,99,85,NaN,-3,NaN,,-3,NaN,-47
68,NaN,,,,,,NaN,,NaN,,,NaN,
69,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-47
70,NaN,,,,,,NaN,,NaN,,,NaN,
71,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-47
72,NaN,,,,,,NaN,,NaN,,,NaN,
73,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-47
74,NaN,,,,,,NaN,,NaN,,,NaN,
75,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-47
76,NaN,,,,,,NaN,,NaN,,,NaN,
77,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-47
78,NaN,,,,,,NaN,,NaN,,,NaN,
79,NaN,-3,,85,99,84,NaN,-3,NaN,,-3,NaN,-47
80,NaN,,,,,,NaN,,NaN,,,NaN,
81,NaN,-3,,86,99,85,NaN,-3,NaN,,-3,NaN,-47
82,NaN,,,,,,NaN,,NaN,,,NaN,
83,NaN,-3,,86,100,86,NaN,-3,NaN,,-3,NaN,-48
84,NaN,,,,,,NaN,,NaN,,,NaN,
85,NaN,-3,,87,100,87,NaN,-3,NaN,,-3,NaN,-48
86,NaN,,,,,,NaN,,NaN,,,NaN,
87,NaN,-3,,86,100,86,NaN,-3,NaN,,-3,NaN,-48
88,NaN,,,,,,NaN,,NaN,,,NaN,
89,NaN,-3,,85,100,84,NaN,-3,NaN,,-3,NaN,-48
90,NaN,,,,,,NaN,,NaN,,,NaN,
91,NaN,-3,,84,99,83,NaN,-3,NaN,,-3,NaN,-48
92,NaN,,,,,,NaN,,NaN,,,NaN,
93,NaN,-3,,84,100,83,NaN,-3,NaN,,-3,NaN,-48
