time,Solar8000/RR_CO2,Solar8000/ETCO2,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/ART_SBP,SNUADC/ART,SNUADC/ECG_II,Solar8000/PLETH_HR,Solar8000/ART_MBP,Solar8000/CVP,Solar8000/ART_DBP,Solar8000/HR,SNUADC/CVP
0,,,,NaN,,NaN,NaN,,,,,,NaN
1,,,,-4.9562602043151855,,-496.78717041015625,-4.9562602043151855,,,,,,-495.6260070800781
2,,,,-4.956240177154541,,-496.7851867675781,-4.956240177154541,,,,,,-495.6240234375
3,,,,NaN,,NaN,NaN,,,,,,NaN
4,,,,NaN,,NaN,NaN,,,,,,NaN
5,,0,100,NaN,,NaN,NaN,60,,,,59,NaN
6,,,,NaN,,NaN,NaN,,,,,,NaN
7,,0,100,NaN,,NaN,NaN,59,,,,58,NaN
8,,,,NaN,,NaN,NaN,,,,,,NaN
9,,0,100,NaN,,NaN,NaN,59,,,,58,NaN
10,,,,NaN,,NaN,NaN,,,,,,NaN
11,,0,100,NaN,,NaN,NaN,58,,,,58,NaN
12,,,,NaN,,NaN,NaN,,,,,,NaN
13,,0,100,NaN,0,NaN,NaN,58,0,,0,57,NaN
14,,,,NaN,,NaN,NaN,,,,,,NaN
15,,0,100,NaN,0,NaN,NaN,58,0,0,0,57,NaN
16,,,,NaN,,NaN,NaN,,,,,,NaN
17,,0,100,NaN,0,NaN,NaN,58,0,0,0,57,NaN
18,,,,NaN,,NaN,NaN,,,,,,NaN
19,,0,100,NaN,0,NaN,NaN,58,0,0,0,57,NaN
20,,,,NaN,,NaN,NaN,,,,,,NaN
21,,0,100,NaN,0,NaN,NaN,58,0,0,0,57,NaN
22,,,,NaN,,NaN,NaN,,,,,,NaN
23,,0,100,NaN,0,NaN,NaN,58,0,0,0,57,NaN
24,,,,NaN,,NaN,NaN,,,,,,NaN
25,,0,100,NaN,0,NaN,NaN,58,0,0,0,58,NaN
26,,,,NaN,,NaN,NaN,,,,,,NaN
27,,0,100,NaN,0,NaN,NaN,58,0,1,0,58,NaN
28,,,,NaN,,NaN,NaN,,,,,,NaN
29,,0,100,NaN,0,NaN,NaN,58,0,1,0,58,NaN
30,,,,NaN,,NaN,NaN,,,,,,NaN
31,,0,100,NaN,0,NaN,NaN,58,0,1,0,58,NaN
32,,,,NaN,,NaN,NaN,,,,,,NaN
33,,0,100,NaN,0,NaN,NaN,58,0,1,0,57,NaN
34,,,,NaN,,NaN,NaN,,,,,,NaN
35,,0,100,NaN,0,NaN,NaN,58,0,1,0,57,NaN
36,,,,NaN,,NaN,NaN,,,,,,NaN
37,,0,100,NaN,0,NaN,NaN,57,0,1,0,57,NaN
38,,,,NaN,,NaN,NaN,,,,,,NaN
39,,0,100,NaN,0,NaN,NaN,57,0,0,0,57,NaN
40,,,,NaN,,NaN,NaN,,,,,,NaN
41,,0,100,NaN,0,NaN,NaN,57,0,0,0,57,NaN
42,,,,NaN,,NaN,NaN,,,,,,NaN
43,,0,100,NaN,0,NaN,NaN,57,0,0,0,57,NaN
44,,,,NaN,,NaN,NaN,,,,,,NaN
45,,,100,NaN,0,NaN,NaN,57,0,0,0,57,NaN
46,,,,NaN,,NaN,NaN,,,,,,NaN
47,,,100,NaN,0,NaN,NaN,57,0,0,0,57,NaN
48,,,,NaN,,NaN,NaN,,,,,,NaN
49,,,100,NaN,0,NaN,NaN,57,0,0,0,57,NaN
50,,,,NaN,,NaN,NaN,,,,,,NaN
51,,,100,NaN,0,NaN,NaN,57,0,0,0,57,NaN
52,,,,NaN,,NaN,NaN,,,,,,NaN
53,,,100,NaN,0,NaN,NaN,57,0,0,0,57,NaN
54,,,,NaN,,NaN,NaN,,,,,,NaN
55,,,100,NaN,0,NaN,NaN,57,0,0,0,57,NaN
56,,,,NaN,,NaN,NaN,,,,,,NaN
57,,,100,NaN,0,NaN,NaN,57,0,1,0,57,NaN
58,,,,NaN,,NaN,NaN,,,,,,NaN
59,,,100,NaN,0,NaN,NaN,57,0,1,0,56,NaN
60,,,,NaN,,NaN,NaN,,,,,,NaN
61,,,100,NaN,0,NaN,NaN,57,0,0,0,56,NaN
62,,,,NaN,,NaN,NaN,,,,,,NaN
63,,,100,NaN,0,NaN,NaN,57,0,0,0,56,NaN
64,,,,NaN,,NaN,NaN,,,,,,NaN
65,,,100,NaN,0,NaN,NaN,57,0,0,0,57,NaN
66,,,,NaN,,NaN,NaN,,,,,,NaN
67,,,100,NaN,0,NaN,NaN,57,0,0,0,57,NaN
68,,,,NaN,,NaN,NaN,,,,,,NaN
69,,,100,NaN,0,NaN,NaN,58,0,0,0,57,NaN
70,,,,NaN,,NaN,NaN,,,,,,NaN
71,,,100,NaN,0,NaN,NaN,58,0,0,0,57,NaN
72,,,,NaN,,NaN,NaN,,,,,,NaN
73,,,100,NaN,0,NaN,NaN,58,0,0,0,57,NaN
74,,,,NaN,,NaN,NaN,,,,,,NaN
75,,,100,NaN,0,NaN,NaN,58,0,0,0,57,NaN
76,,,,NaN,,NaN,NaN,,,,,,NaN
