time,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/ART_SBP,SNUADC/ART,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/ART_MBP,SNUADC/CVP,Solar8000/ETCO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/PLETH_SPO2
0,,,,,NaN,,NaN,,NaN,,,NaN,
1,,,,,-491.88665771484375,,-4.9562602043151855,,-495.6260070800781,,,-4.9562602043151855,
2,88,,-6,-7,-491.88470458984375,-7,-4.956240177154541,-7,-495.6240234375,0,76,-4.956240177154541,100
3,,,,,NaN,,NaN,,NaN,,,NaN,
4,86,,-6,-7,NaN,-7,NaN,-7,NaN,0,94,NaN,100
5,,,,,NaN,,NaN,,NaN,,,NaN,
6,87,,-5,-8,NaN,-8,NaN,-8,NaN,0,99,NaN,100
7,,,,,NaN,,NaN,,NaN,,,NaN,
8,104,,-5,-8,NaN,-8,NaN,-8,NaN,0,102,NaN,100
9,,,,,NaN,,NaN,,NaN,,,NaN,
10,105,,-6,-8,NaN,-8,NaN,-8,NaN,0,113,NaN,100
11,,,,,NaN,,NaN,,NaN,,,NaN,
12,118,,-6,-8,NaN,-8,NaN,-8,NaN,0,113,NaN,100
13,,,,,NaN,,NaN,,NaN,,,NaN,
14,119,,-6,-8,NaN,-8,NaN,-8,NaN,0,110,NaN,100
15,,,,,NaN,,NaN,,NaN,,,NaN,
16,108,,-6,-8,NaN,-8,NaN,-8,NaN,0,102,NaN,100
17,,,,,NaN,,NaN,,NaN,,,NaN,
18,109,,-6,-8,NaN,-8,NaN,-8,NaN,0,93,NaN,100
19,,,,,NaN,,NaN,,NaN,,,NaN,
20,107,,-6,-8,NaN,-8,NaN,-8,NaN,0,93,NaN,100
21,,,,,NaN,,NaN,,NaN,,,NaN,
22,111,,-6,-8,NaN,-8,NaN,-8,NaN,0,93,NaN,100
23,,,,,NaN,,NaN,,NaN,,,NaN,
24,117,,-5,-8,NaN,-8,NaN,-8,NaN,0,85,NaN,100
25,,,,,NaN,,NaN,,NaN,,,NaN,
26,122,,-5,-8,NaN,-8,NaN,-8,NaN,0,89,NaN,100
27,,,,,NaN,,NaN,,NaN,,,NaN,
28,112,,-5,-8,NaN,-8,NaN,-8,NaN,0,89,NaN,99
29,,,,,NaN,,NaN,,NaN,,,NaN,
30,110,,-6,-7,NaN,-7,NaN,-7,NaN,0,100,NaN,99
31,,,,,NaN,,NaN,,NaN,,,NaN,
32,104,,-6,-7,NaN,-7,NaN,-7,NaN,0,104,NaN,99
33,,,,,NaN,,NaN,,NaN,,,NaN,
34,104,,-6,-5,NaN,-9,NaN,-7,NaN,0,104,NaN,99
35,,,,,NaN,,NaN,,NaN,,,NaN,
36,103,,-6,-5,NaN,-10,NaN,-8,NaN,0,108,NaN,99
37,,,,,NaN,,NaN,,NaN,,,NaN,
38,102,,-6,-5,NaN,-10,NaN,-8,NaN,0,103,NaN,98
39,,,,,NaN,,NaN,,NaN,,,NaN,
40,107,,-6,-7,NaN,-7,NaN,-7,NaN,0,109,NaN,99
41,,,,,NaN,,NaN,,NaN,,,NaN,
42,103,,-6,-7,NaN,-7,NaN,-7,NaN,0,111,NaN,99
43,,,,,NaN,,NaN,,NaN,,,NaN,
44,104,,-6,-7,NaN,-7,NaN,-7,NaN,0,117,NaN,99
45,,,,,NaN,,NaN,,NaN,,,NaN,
46,110,,-6,-7,NaN,-7,NaN,-7,NaN,0,115,NaN,100
47,,,,,NaN,,NaN,,NaN,,,NaN,
48,108,,-6,-8,NaN,-8,NaN,-8,NaN,0,116,NaN,100
49,,,,,NaN,,NaN,,NaN,,,NaN,
50,94,,-6,-8,NaN,-8,NaN,-8,NaN,0,118,NaN,100
