time,Solar8000/ETCO2,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/ART_DBP,Solar8000/ART_MBP,SNUADC/ART,Solar8000/PLETH_HR,SNUADC/ECG_II,Solar8000/CVP,Solar8000/RR_CO2,Solar8000/ART_SBP
0,,NaN,NaN,,,,,NaN,,NaN,,,
1,,-4.9562602043151855,-495.6260070800781,,,,,-499.346923828125,,-4.9562602043151855,,,
2,,-4.956240177154541,-495.6240234375,,,,,-499.344970703125,,-4.956240177154541,,,
3,,NaN,NaN,,,,,NaN,,NaN,,,
4,,NaN,NaN,79,100,-5,-5,NaN,80,NaN,-26,,-5
5,,NaN,NaN,,,,,NaN,,NaN,,,
6,,NaN,NaN,80,100,-5,-5,NaN,80,NaN,-26,,-5
7,,NaN,NaN,,,,,NaN,,NaN,,,
8,,NaN,NaN,80,100,-5,-5,NaN,80,NaN,-26,,-5
9,,NaN,NaN,,,,,NaN,,NaN,,,
10,,NaN,NaN,80,100,-6,-5,NaN,80,NaN,-26,,-4
11,,NaN,NaN,,,,,NaN,,NaN,,,
12,,NaN,NaN,,100,-7,-5,NaN,80,NaN,-26,,-3
13,,NaN,NaN,,,,,NaN,,NaN,,,
14,,NaN,NaN,,100,-6,-5,NaN,79,NaN,-26,,-4
15,,NaN,NaN,,,,,NaN,,NaN,,,
16,,NaN,NaN,,100,-6,-5,NaN,79,NaN,-27,,-4
17,,NaN,NaN,,,,,NaN,,NaN,,,
18,,NaN,NaN,,100,-5,-5,NaN,79,NaN,-27,,-5
19,,NaN,NaN,,,,,NaN,,NaN,,,
20,,NaN,NaN,,100,-5,-5,NaN,79,NaN,-26,,-5
21,,NaN,NaN,,,,,NaN,,NaN,,,
22,,NaN,NaN,,100,-5,-5,NaN,80,NaN,-26,,-5
23,,NaN,NaN,,,,,NaN,,NaN,,,
24,,NaN,NaN,,100,-5,-5,NaN,80,NaN,-26,,-5
25,,NaN,NaN,,,,,NaN,,NaN,,,
26,,NaN,NaN,,100,-5,-5,NaN,80,NaN,-26,,-5
27,,NaN,NaN,,,,,NaN,,NaN,,,
28,,NaN,NaN,,100,-5,-5,NaN,80,NaN,-26,,-5
29,,NaN,NaN,,,,,NaN,,NaN,,,
30,,NaN,NaN,,100,-5,-5,NaN,80,NaN,-26,,-5
31,,NaN,NaN,,,,,NaN,,NaN,,,
32,,NaN,NaN,,100,-5,-5,NaN,80,NaN,-26,,-5
33,,NaN,NaN,,,,,NaN,,NaN,,,
34,,NaN,NaN,,100,-5,-5,NaN,80,NaN,-26,,-5
35,,NaN,NaN,,,,,NaN,,NaN,,,
36,,NaN,NaN,,100,-5,-5,NaN,80,NaN,-27,,-5
37,,NaN,NaN,,,,,NaN,,NaN,,,
38,,NaN,NaN,,100,-5,-5,NaN,80,NaN,-27,,-5
39,,NaN,NaN,,,,,NaN,,NaN,,,
40,,NaN,NaN,,100,-5,-5,NaN,79,NaN,-26,,-5
41,,NaN,NaN,,,,,NaN,,NaN,,,
42,,NaN,NaN,,100,-5,-5,NaN,79,NaN,-26,,-5
43,,NaN,NaN,,,,,NaN,,NaN,,,
44,,NaN,NaN,,100,-5,-5,NaN,79,NaN,-25,,-5
45,,NaN,NaN,,,,,NaN,,NaN,,,
46,,NaN,NaN,,100,-5,-5,NaN,80,NaN,-25,,-5
47,,NaN,NaN,,,,,NaN,,NaN,,,
48,,NaN,NaN,79,100,-5,-5,NaN,80,NaN,-25,,-5
49,,NaN,NaN,,,,,NaN,,NaN,,,
50,,NaN,NaN,79,100,-5,-5,NaN,81,NaN,-25,,-5
51,,NaN,NaN,,,,,NaN,,NaN,,,
52,,NaN,NaN,80,100,-5,-5,NaN,81,NaN,-25,,-5
53,,NaN,NaN,,,,,NaN,,NaN,,,
54,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
55,,NaN,NaN,,,,,NaN,,NaN,,,
56,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
57,,NaN,NaN,,,,,NaN,,NaN,,,
58,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-25,,-5
59,,NaN,NaN,,,,,NaN,,NaN,,,
60,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-25,,-5
61,,NaN,NaN,,,,,NaN,,NaN,,,
62,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
63,,NaN,NaN,,,,,NaN,,NaN,,,
64,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
65,,NaN,NaN,,,,,NaN,,NaN,,,
66,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
67,,NaN,NaN,,,,,NaN,,NaN,,,
68,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
69,,NaN,NaN,,,,,NaN,,NaN,,,
70,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
71,,NaN,NaN,,,,,NaN,,NaN,,,
72,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
73,,NaN,NaN,,,,,NaN,,NaN,,,
74,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
75,,NaN,NaN,,,,,NaN,,NaN,,,
76,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
77,,NaN,NaN,,,,,NaN,,NaN,,,
78,,NaN,NaN,80,100,-5,-5,NaN,81,NaN,-26,,-5
79,,NaN,NaN,,,,,NaN,,NaN,,,
80,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
81,,NaN,NaN,,,,,NaN,,NaN,,,
82,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
83,,NaN,NaN,,,,,NaN,,NaN,,,
84,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
85,,NaN,NaN,,,,,NaN,,NaN,,,
86,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
87,,NaN,NaN,,,,,NaN,,NaN,,,
88,,NaN,NaN,80,100,-5,-5,NaN,81,NaN,-26,,-5
89,,NaN,NaN,,,,,NaN,,NaN,,,
90,,NaN,NaN,80,100,-5,-5,NaN,81,NaN,-26,,-5
91,,NaN,NaN,,,,,NaN,,NaN,,,
92,,NaN,NaN,80,100,-5,-5,NaN,80,NaN,-26,,-5
93,,NaN,NaN,,,,,NaN,,NaN,,,
94,,NaN,NaN,80,100,-5,-5,NaN,81,NaN,-26,,-5
95,,NaN,NaN,,,,,NaN,,NaN,,,
96,,NaN,NaN,80,100,-5,-5,NaN,81,NaN,-26,,-5
97,,NaN,NaN,,,,,NaN,,NaN,,,
98,,NaN,NaN,80,100,-5,-5,NaN,81,NaN,-26,,-5
99,,NaN,NaN,,,,,NaN,,NaN,,,
100,,NaN,NaN,80,100,-5,-5,NaN,81,NaN,-26,,-5
101,,NaN,NaN,,,,,NaN,,NaN,,,
102,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
103,,NaN,NaN,,,,,NaN,,NaN,,,
104,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-26,,-5
105,,NaN,NaN,,,,,NaN,,NaN,,,
106,,NaN,NaN,81,100,-5,-5,NaN,82,NaN,-26,,-5
107,,NaN,NaN,,,,,NaN,,NaN,,,
108,,NaN,NaN,81,100,-5,-5,NaN,82,NaN,-26,,-5
109,,NaN,NaN,,,,,NaN,,NaN,,,
110,,NaN,NaN,81,100,-5,-5,NaN,82,NaN,-26,,-5
111,,NaN,NaN,,,,,NaN,,NaN,,,
112,,NaN,NaN,81,100,-5,-5,NaN,82,NaN,-26,,-5
113,,NaN,NaN,,,,,NaN,,NaN,,,
114,,NaN,NaN,81,100,-5,-5,NaN,82,NaN,-26,,-5
115,,NaN,NaN,,,,,NaN,,NaN,,,
116,,NaN,NaN,82,100,-8,-5,NaN,82,NaN,-26,,-2
117,,NaN,NaN,,,,,NaN,,NaN,,,
118,,NaN,NaN,82,100,-8,-5,NaN,82,NaN,-26,,-2
119,,NaN,NaN,,,,,NaN,,NaN,,,
120,,NaN,NaN,82,100,-5,-5,NaN,82,NaN,-26,,-5
121,,NaN,NaN,,,,,NaN,,NaN,,,
122,,NaN,NaN,82,100,-5,-5,NaN,82,NaN,-27,,-5
123,,NaN,NaN,,,,,NaN,,NaN,,,
124,,NaN,NaN,81,100,-5,-5,NaN,82,NaN,-27,,-5
125,,NaN,NaN,,,,,NaN,,NaN,,,
126,,NaN,NaN,81,100,-5,-5,NaN,83,NaN,-27,,-5
127,,NaN,NaN,,,,,NaN,,NaN,,,
128,,NaN,NaN,81,100,-5,-5,NaN,82,NaN,-27,,-5
129,,NaN,NaN,,,,,NaN,,NaN,,,
130,,NaN,NaN,81,100,-5,-5,NaN,81,NaN,-27,,-5
131,,NaN,NaN,,,,,NaN,,NaN,,,
132,,NaN,NaN,81,100,-5,-5,NaN,82,NaN,-27,,-5
133,,NaN,NaN,,,,,NaN,,NaN,,,
134,,NaN,NaN,81,100,-5,-5,NaN,82,NaN,-27,,-5
135,,NaN,NaN,,,,,NaN,,NaN,,,
136,,NaN,NaN,81,100,-5,-5,NaN,82,NaN,-27,,-5
137,,NaN,NaN,,,,,NaN,,NaN,,,
138,,NaN,NaN,81,100,-5,-5,NaN,83,NaN,-26,,-5
139,,NaN,NaN,,,,,NaN,,NaN,,,
140,,NaN,NaN,81,100,-5,-5,NaN,82,NaN,-26,,-5
141,,NaN,NaN,,,,,NaN,,NaN,,,
142,,NaN,NaN,,100,-5,-5,NaN,82,NaN,-26,,-5
143,,NaN,NaN,,,,,NaN,,NaN,,,
144,,NaN,NaN,,100,-5,-5,NaN,82,NaN,-25,,-5
145,,NaN,NaN,,,,,NaN,,NaN,,,
146,,NaN,NaN,,100,-7,-6,NaN,82,NaN,-25,,-5
147,,NaN,NaN,,,,,NaN,,NaN,,,
148,,NaN,NaN,,100,-7,-5,NaN,82,NaN,-26,,-4
149,,NaN,NaN,,,,,NaN,,NaN,,,
150,,NaN,NaN,82,100,-7,-5,NaN,82,NaN,-26,,-4
151,,NaN,NaN,,,,,NaN,,NaN,,,
152,,NaN,NaN,82,100,-5,-5,NaN,82,NaN,-26,,-5
153,,NaN,NaN,,,,,NaN,,NaN,,,
154,,NaN,NaN,82,100,-5,-5,NaN,82,NaN,-26,,-5
155,,NaN,NaN,,,,,NaN,,NaN,,,
156,,NaN,NaN,82,100,-4,-4,NaN,82,NaN,-25,,-4
157,,NaN,NaN,,,,,NaN,,NaN,,,
158,,NaN,NaN,81,100,-4,-4,NaN,82,NaN,-25,,-4
159,,NaN,NaN,,,,,NaN,,NaN,,,
160,,NaN,NaN,81,100,-4,-4,NaN,82,NaN,-27,,-4
161,,NaN,NaN,,,,,NaN,,NaN,,,
162,,NaN,NaN,81,100,-4,-4,NaN,81,NaN,-27,,-4
163,,NaN,NaN,,,,,NaN,,NaN,,,
164,,NaN,NaN,81,100,-4,-4,NaN,80,NaN,-28,,-4
165,,NaN,NaN,,,,,NaN,,NaN,,,
166,,NaN,NaN,80,100,-5,-4,NaN,80,NaN,-28,,-2
167,,NaN,NaN,,,,,NaN,,NaN,,,
168,,NaN,NaN,80,100,-5,-4,NaN,80,NaN,-28,,-2
169,,NaN,NaN,,,,,NaN,,NaN,,,
170,,NaN,NaN,81,100,-4,-4,NaN,81,NaN,-28,,-4
171,,NaN,NaN,,,,,NaN,,NaN,,,
172,0,NaN,NaN,82,100,-4,-4,NaN,82,NaN,-28,,-4
173,,NaN,NaN,,,,,NaN,,NaN,,,
174,0,NaN,NaN,82,100,-4,-4,NaN,82,NaN,-28,,-4
175,,NaN,NaN,,,,,NaN,,NaN,,,
176,0,NaN,NaN,81,100,-5,-4,NaN,82,NaN,-28,,-2
177,,NaN,NaN,,,,,NaN,,NaN,,,
178,0,NaN,NaN,80,100,-5,-4,NaN,80,NaN,-26,,-2
179,,NaN,NaN,,,,,NaN,,NaN,,,
180,0,NaN,NaN,79,100,-7,-4,NaN,80,NaN,-26,,-1
181,,NaN,NaN,,,,,NaN,,NaN,,,
182,0,NaN,NaN,80,100,-6,-4,NaN,81,NaN,-26,,2
183,,NaN,NaN,,,,,NaN,,NaN,,,
184,0,NaN,NaN,82,100,-6,-4,NaN,81,NaN,-26,,-2
185,,NaN,NaN,,,,,NaN,,NaN,,,
186,0,NaN,NaN,81,100,-8,-4,NaN,80,NaN,-27,,0
187,,NaN,NaN,,,,,NaN,,NaN,,,
188,0,NaN,NaN,78,100,-6,-4,NaN,78,NaN,-27,,-2
189,,NaN,NaN,,,,,NaN,,NaN,,,
190,0,NaN,NaN,73,100,-11,-5,NaN,77,NaN,-27,,3
191,,NaN,NaN,,,,,NaN,,NaN,,,
192,0,NaN,NaN,75,100,-16,-7,NaN,75,NaN,-27,,-1
193,,NaN,NaN,,,,,NaN,,NaN,,,
194,0,NaN,NaN,76,100,-13,-9,NaN,77,NaN,-27,,-9
195,,NaN,NaN,,,,,NaN,,NaN,,,
196,0,NaN,NaN,79,100,-13,-9,NaN,78,NaN,-27,,-9
197,,NaN,NaN,,,,,NaN,,NaN,,,
198,0,NaN,NaN,79,100,-11,-11,NaN,80,NaN,-27,,-11
199,,NaN,NaN,,,,,NaN,,NaN,,,
200,0,NaN,NaN,79,100,-11,-11,NaN,81,NaN,-27,,-11
201,,NaN,NaN,,,,,NaN,,NaN,,,
202,0,NaN,NaN,80,100,-11,-11,NaN,81,NaN,-27,,-11
203,,NaN,NaN,,,,,NaN,,NaN,,,
204,0,NaN,NaN,80,100,-11,-11,NaN,81,NaN,-27,,-11
205,,NaN,NaN,,,,,NaN,,NaN,,,
206,0,NaN,NaN,80,100,-11,-11,NaN,81,NaN,-27,,-11
207,,NaN,NaN,,,,,NaN,,NaN,,,
208,0,NaN,NaN,80,100,-11,-11,NaN,80,NaN,-27,,-11
209,,NaN,NaN,,,,,NaN,,NaN,,,
210,0,NaN,NaN,80,100,-13,-13,NaN,80,NaN,-27,,-13
211,,NaN,NaN,,,,,NaN,,NaN,,,
212,0,NaN,NaN,80,100,-13,-13,NaN,81,NaN,-27,,-13
213,,NaN,NaN,,,,,NaN,,NaN,,,
214,0,NaN,NaN,80,100,-13,-13,NaN,81,NaN,-27,,-13
215,,NaN,NaN,,,,,NaN,,NaN,,,
216,0,NaN,NaN,80,100,-13,-13,NaN,81,NaN,-27,,-13
217,,NaN,NaN,,,,,NaN,,NaN,,,
218,0,NaN,NaN,80,100,-13,-13,NaN,81,NaN,-27,,-13
219,,NaN,NaN,,,,,NaN,,NaN,,,
220,0,NaN,NaN,80,100,-13,-13,NaN,81,NaN,-27,,-13
221,,NaN,NaN,,,,,NaN,,NaN,,,
222,0,NaN,NaN,80,100,-13,-13,NaN,80,NaN,-27,,-13
223,,NaN,NaN,,,,,NaN,,NaN,,,
224,0,NaN,NaN,80,100,-13,-13,NaN,80,NaN,-27,,-13
225,,NaN,NaN,,,,,NaN,,NaN,,,
226,0,NaN,NaN,78,100,-13,-13,NaN,78,NaN,-27,,-13
227,,NaN,NaN,,,,,NaN,,NaN,,,
228,0,NaN,NaN,78,100,-13,-13,NaN,79,NaN,-27,,-13
229,,NaN,NaN,,,,,NaN,,NaN,,,
230,0,NaN,NaN,79,100,-13,-13,NaN,79,NaN,-27,,-13
231,,NaN,NaN,,,,,NaN,,NaN,,,
232,0,NaN,NaN,91,100,-13,-13,NaN,80,NaN,-28,,-13
233,,NaN,NaN,,,,,NaN,,NaN,,,
234,0,NaN,NaN,91,100,-13,-13,NaN,80,NaN,-28,,-13
235,,NaN,NaN,,,,,NaN,,NaN,,,
236,0,NaN,NaN,91,100,-13,-13,NaN,80,NaN,-28,,-13
237,,NaN,NaN,,,,,NaN,,NaN,,,
238,0,NaN,NaN,91,100,-13,-13,NaN,79,NaN,-27,,-13
239,,NaN,NaN,,,,,NaN,,NaN,,,
240,0,NaN,NaN,89,100,-13,-13,NaN,79,NaN,-27,,-13
241,,NaN,NaN,,,,,NaN,,NaN,,,
242,0,NaN,NaN,79,100,-14,-14,NaN,79,NaN,-28,,-14
243,,NaN,NaN,,,,,NaN,,NaN,,,
244,0,NaN,NaN,79,100,-14,-14,NaN,79,NaN,-28,,-14
245,,NaN,NaN,,,,,NaN,,NaN,,,
246,0,NaN,NaN,78,100,-13,-13,NaN,79,NaN,-27,,-13
247,,NaN,NaN,,,,,NaN,,NaN,,,
248,0,NaN,NaN,78,100,-13,-13,NaN,78,NaN,-27,,-13
249,,NaN,NaN,,,,,NaN,,NaN,,,
250,0,NaN,NaN,77,100,-14,-14,NaN,78,NaN,-28,,-14
251,,NaN,NaN,,,,,NaN,,NaN,,,
252,0,NaN,NaN,76,100,-14,-14,NaN,77,NaN,-28,,-14
253,,NaN,NaN,,,,,NaN,,NaN,,,
