time,Solar8000/CVP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,SNUADC/ART,Solar8000/ETCO2,Solar8000/ART_MBP,Solar8000/ART_DBP,Solar8000/HR,Solar8000/RR_CO2,Solar8000/PLETH_HR,SNUADC/ECG_V5,SNUADC/CVP
0,,NaN,,,NaN,,,,,,,NaN,NaN
1,,-4.9562602043151855,,,-494.5040283203125,,,,,,,-4.9562602043151855,-495.6260070800781
2,,-4.956240177154541,,,-494.5020446777344,,,,,,,-4.956240177154541,-495.6240234375
3,,NaN,,,NaN,,,,,,,NaN,NaN
4,,NaN,91,,NaN,,,,165,,106,NaN,NaN
5,,NaN,,,NaN,,,,,,,NaN,NaN
6,,NaN,91,,NaN,,,,161,,106,NaN,NaN
7,,NaN,,,NaN,,,,,,,NaN,NaN
8,,NaN,91,,NaN,,,,170,,106,NaN,NaN
9,,NaN,,,NaN,,,,,,,NaN,NaN
10,,NaN,91,,NaN,,,,172,,106,NaN,NaN
11,,NaN,,,NaN,,,,,,,NaN,NaN
12,,NaN,91,,NaN,,,,168,,106,NaN,NaN
13,,NaN,,,NaN,,,,,,,NaN,NaN
14,,NaN,91,,NaN,,,,162,,106,NaN,NaN
15,,NaN,,,NaN,,,,,,,NaN,NaN
16,,NaN,,,NaN,,,,163,,,NaN,NaN
17,,NaN,,,NaN,,,,,,,NaN,NaN
18,,NaN,,,NaN,,,,159,,,NaN,NaN
19,,NaN,,,NaN,,,,,,,NaN,NaN
20,,NaN,,,NaN,,,,153,,,NaN,NaN
21,,NaN,,,NaN,,,,,,,NaN,NaN
22,,NaN,,,NaN,,,,156,,,NaN,NaN
23,,NaN,,,NaN,,,,,,,NaN,NaN
24,,NaN,,,NaN,,,,160,,,NaN,NaN
25,,NaN,,,NaN,,,,,,,NaN,NaN
26,,NaN,,,NaN,,,,161,,,NaN,NaN
27,,NaN,,,NaN,,,,,,,NaN,NaN
28,,NaN,,,NaN,,,,155,,,NaN,NaN
29,,NaN,,,NaN,,,,,,,NaN,NaN
30,,NaN,,,NaN,,,,145,,,NaN,NaN
31,,NaN,,,NaN,,,,,,,NaN,NaN
32,,NaN,,,NaN,0,,,152,,,NaN,NaN
33,,NaN,,,NaN,,,,,,,NaN,NaN
34,,NaN,,,NaN,0,,,153,,,NaN,NaN
35,,NaN,,,NaN,,,,,,,NaN,NaN
36,,NaN,,,NaN,0,,,150,,,NaN,NaN
37,,NaN,,,NaN,,,,,,,NaN,NaN
38,,NaN,,,NaN,0,,,147,,,NaN,NaN
39,,NaN,,,NaN,,,,,,,NaN,NaN
40,,NaN,,,NaN,0,,,150,,,NaN,NaN
41,,NaN,,,NaN,,,,,,,NaN,NaN
42,,NaN,,,NaN,0,,,149,,,NaN,NaN
43,,NaN,,,NaN,,,,,,,NaN,NaN
44,,NaN,,,NaN,0,,,160,,,NaN,NaN
45,,NaN,,,NaN,,,,,,,NaN,NaN
46,,NaN,91,,NaN,0,,,160,,103,NaN,NaN
47,,NaN,,,NaN,,,,,,,NaN,NaN
48,,NaN,94,,NaN,0,,,148,,111,NaN,NaN
49,,NaN,,,NaN,,,,,,,NaN,NaN
50,,NaN,94,,NaN,0,,,143,,111,NaN,NaN
51,,NaN,,,NaN,,,,,,,NaN,NaN
52,,NaN,94,,NaN,0,,,156,,111,NaN,NaN
53,,NaN,,,NaN,,,,,,,NaN,NaN
54,,NaN,94,,NaN,0,,,135,,111,NaN,NaN
55,,NaN,,,NaN,,,,,,,NaN,NaN
56,,NaN,94,,NaN,0,,,134,,110,NaN,NaN
57,,NaN,,,NaN,,,,,,,NaN,NaN
58,,NaN,94,,NaN,0,,,148,,110,NaN,NaN
59,,NaN,,,NaN,,,,,,,NaN,NaN
60,,NaN,94,,NaN,0,,,156,,110,NaN,NaN
61,,NaN,,,NaN,,,,,,,NaN,NaN
62,,NaN,94,,NaN,0,,,160,,110,NaN,NaN
63,,NaN,,,NaN,,,,,,,NaN,NaN
64,,NaN,94,,NaN,0,,,156,,110,NaN,NaN
65,,NaN,,,NaN,,,,,,,NaN,NaN
66,,NaN,94,,NaN,0,,,150,,110,NaN,NaN
67,,NaN,,,NaN,,,,,,,NaN,NaN
68,,NaN,,,NaN,0,,,138,,,NaN,NaN
69,,NaN,,,NaN,,,,,,,NaN,NaN
70,,NaN,,,NaN,0,,,149,,,NaN,NaN
71,,NaN,,,NaN,,,,,,,NaN,NaN
72,,NaN,,,NaN,0,,,165,,,NaN,NaN
73,,NaN,,,NaN,,,,,,,NaN,NaN
74,,NaN,,,NaN,0,,,150,,,NaN,NaN
75,,NaN,,,NaN,,,,,,,NaN,NaN
76,,NaN,,,NaN,0,,,163,,,NaN,NaN
77,,NaN,,,NaN,,,,,,,NaN,NaN
78,,NaN,,,NaN,0,,,168,,,NaN,NaN
79,,NaN,,,NaN,,,,,,,NaN,NaN
80,,NaN,,,NaN,0,,,174,,,NaN,NaN
81,,NaN,,,NaN,,,,,,,NaN,NaN
82,,NaN,,,NaN,0,,,167,,,NaN,NaN
83,,NaN,,,NaN,,,,,,,NaN,NaN
84,,NaN,,,NaN,0,,,155,,,NaN,NaN
85,,NaN,,,NaN,,,,,,,NaN,NaN
86,,NaN,,,NaN,0,,,151,,,NaN,NaN
87,,NaN,,,NaN,,,,,,,NaN,NaN
88,,NaN,,,NaN,0,,,151,,,NaN,NaN
89,,NaN,,,NaN,,,,,,,NaN,NaN
90,,NaN,,,NaN,0,,,166,,,NaN,NaN
91,,NaN,,,NaN,,,,,,,NaN,NaN
92,,NaN,,,NaN,0,,,150,,,NaN,NaN
93,,NaN,,,NaN,,,,,,,NaN,NaN
94,,NaN,,,NaN,0,,,157,,,NaN,NaN
95,,NaN,,,NaN,,,,,,,NaN,NaN
96,,NaN,,,NaN,0,,,160,,,NaN,NaN
97,,NaN,,,NaN,,,,,,,NaN,NaN
98,,NaN,,,NaN,0,,,165,,,NaN,NaN
99,,NaN,,,NaN,,,,,,,NaN,NaN
100,,NaN,,,NaN,0,,,171,,,NaN,NaN
101,,NaN,,,NaN,,,,,,,NaN,NaN
102,,NaN,,,NaN,0,,,160,,,NaN,NaN
103,,NaN,,,NaN,,,,,,,NaN,NaN
104,,NaN,,,NaN,0,,,151,,,NaN,NaN
105,,NaN,,,NaN,,,,,,,NaN,NaN
106,,NaN,,,NaN,0,,,177,,,NaN,NaN
107,,NaN,,,NaN,,,,,,,NaN,NaN
108,,NaN,,,NaN,0,,,167,,,NaN,NaN
109,,NaN,,,NaN,,,,,,,NaN,NaN
110,,NaN,,,NaN,0,,,166,,,NaN,NaN
111,,NaN,,,NaN,,,,,,,NaN,NaN
112,,NaN,,,NaN,0,,,180,,,NaN,NaN
113,,NaN,,,NaN,,,,,,,NaN,NaN
114,,NaN,,,NaN,0,,,169,,,NaN,NaN
115,,NaN,,,NaN,,,,,,,NaN,NaN
116,,NaN,,,NaN,2,,,153,,,NaN,NaN
117,,NaN,,,NaN,,,,,,,NaN,NaN
118,,NaN,,,NaN,2,,,152,,,NaN,NaN
119,,NaN,,,NaN,,,,,,,NaN,NaN
120,,NaN,,,NaN,2,,,151,,,NaN,NaN
121,,NaN,,,NaN,,,,,,,NaN,NaN
122,,NaN,,,NaN,2,,,148,,,NaN,NaN
123,,NaN,,,NaN,,,,,,,NaN,NaN
124,,NaN,,,NaN,,,,149,,,NaN,NaN
125,,NaN,,,NaN,,,,,,,NaN,NaN
126,,NaN,,,NaN,,,,165,,,NaN,NaN
127,,NaN,,,NaN,,,,,,,NaN,NaN
128,,NaN,,,NaN,,,,160,,,NaN,NaN
129,,NaN,,,NaN,,,,,,,NaN,NaN
130,,NaN,,,NaN,,,,153,,,NaN,NaN
131,,NaN,,,NaN,,,,,,,NaN,NaN
132,,NaN,,,NaN,,,,160,,,NaN,NaN
133,,NaN,,,NaN,,,,,,,NaN,NaN
134,,NaN,,,NaN,,,,152,,,NaN,NaN
135,,NaN,,,NaN,,,,,,,NaN,NaN
136,,NaN,,,NaN,,,,156,,,NaN,NaN
137,,NaN,,,NaN,,,,,,,NaN,NaN
138,,NaN,,,NaN,,,,170,,,NaN,NaN
139,,NaN,,,NaN,,,,,,,NaN,NaN
140,,NaN,,,NaN,,,,166,,,NaN,NaN
141,,NaN,,,NaN,,,,,,,NaN,NaN
142,,NaN,,,NaN,,,,161,,,NaN,NaN
143,,NaN,,,NaN,,,,,,,NaN,NaN
144,,NaN,,,NaN,,,,154,,,NaN,NaN
145,,NaN,,,NaN,,,,,,,NaN,NaN
146,,NaN,,,NaN,,,,153,,,NaN,NaN
147,,NaN,,,NaN,,,,,,,NaN,NaN
148,,NaN,,,NaN,,,,164,,,NaN,NaN
149,,NaN,,,NaN,,,,,,,NaN,NaN
150,,NaN,,,NaN,,,,157,,,NaN,NaN
151,,NaN,,,NaN,,,,,,,NaN,NaN
152,,NaN,,,NaN,,,,142,,,NaN,NaN
153,,NaN,,,NaN,,,,,,,NaN,NaN
154,,NaN,,,NaN,,,,139,,,NaN,NaN
155,,NaN,,,NaN,,,,,,,NaN,NaN
156,,NaN,,,NaN,,,,136,,,NaN,NaN
157,,NaN,,,NaN,,,,,,,NaN,NaN
158,,NaN,,,NaN,,,,144,,,NaN,NaN
159,,NaN,,,NaN,,,,,,,NaN,NaN
160,,NaN,,,NaN,,,,148,,,NaN,NaN
161,,NaN,,,NaN,,,,,,,NaN,NaN
162,,NaN,,,NaN,,,,163,,,NaN,NaN
163,,NaN,,,NaN,,,,,,,NaN,NaN
164,,NaN,,,NaN,,,,157,,,NaN,NaN
165,,NaN,,,NaN,,,,,,,NaN,NaN
166,,NaN,,,NaN,,,,153,,,NaN,NaN
167,,NaN,,,NaN,,,,,,,NaN,NaN
168,,NaN,91,,NaN,,,,160,,111,NaN,NaN
169,,NaN,,,NaN,,,,,,,NaN,NaN
