time,Solar8000/ART_DBP,Solar8000/ETCO2,Solar8000/RR_CO2,SNUADC/ECG_V5,SNUADC/ART,Solar8000/ART_SBP,Solar8000/CVP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/PLETH_HR
0,,,,NaN,NaN,,,NaN,,,NaN,,
1,,,,-4.9562602043151855,-499.346923828125,,,-4.9562602043151855,,,-495.6260070800781,,
2,,,,-4.956240177154541,-499.344970703125,,,-4.956240177154541,,,-495.6240234375,,
3,-9,,,NaN,NaN,-5,,NaN,,90,NaN,-6,
4,,,,NaN,NaN,,,NaN,,,NaN,,
5,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
6,,,,NaN,NaN,,,NaN,,,NaN,,
7,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
8,,,,NaN,NaN,,,NaN,,,NaN,,
9,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
10,,,,NaN,NaN,,,NaN,,,NaN,,
11,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
12,,,,NaN,NaN,,,NaN,,,NaN,,
13,-5,,,NaN,NaN,-5,,NaN,,91,NaN,-5,
14,,,,NaN,NaN,,,NaN,,,NaN,,
15,-5,,,NaN,NaN,-5,,NaN,,91,NaN,-5,
16,,,,NaN,NaN,,,NaN,,,NaN,,
17,-5,,,NaN,NaN,-5,,NaN,,91,NaN,-5,
18,,,,NaN,NaN,,,NaN,,,NaN,,
19,-5,,,NaN,NaN,-5,,NaN,,91,NaN,-5,
20,,,,NaN,NaN,,,NaN,,,NaN,,
21,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
22,,,,NaN,NaN,,,NaN,,,NaN,,
23,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
24,,,,NaN,NaN,,,NaN,,,NaN,,
25,-8,,,NaN,NaN,-1,,NaN,,74,NaN,-6,
26,,,,NaN,NaN,,,NaN,,,NaN,,
27,-8,,,NaN,NaN,-4,,NaN,,83,NaN,-6,
28,,,,NaN,NaN,,,NaN,,,NaN,,
29,-8,,,NaN,NaN,-4,,NaN,,82,NaN,-6,
30,,,,NaN,NaN,,,NaN,,,NaN,,
31,-6,,,NaN,NaN,-6,,NaN,,93,NaN,-6,
32,,,,NaN,NaN,,,NaN,,,NaN,,
33,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
34,,,,NaN,NaN,,,NaN,,,NaN,,
35,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
36,,,,NaN,NaN,,,NaN,,,NaN,,
37,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
38,,,,NaN,NaN,,,NaN,,,NaN,,
39,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
40,,,,NaN,NaN,,,NaN,,,NaN,,
41,-6,,,NaN,NaN,-6,,NaN,,82,NaN,-6,
42,,,,NaN,NaN,,,NaN,,,NaN,,
43,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
44,,,,NaN,NaN,,,NaN,,,NaN,,
45,-6,,,NaN,NaN,-6,,NaN,,91,NaN,-6,
46,,,,NaN,NaN,,,NaN,,,NaN,,
47,-6,,,NaN,NaN,-6,,NaN,,90,NaN,-6,
48,,,,NaN,NaN,,,NaN,,,NaN,,
49,-6,,,NaN,NaN,-6,,NaN,,89,NaN,-6,
50,,,,NaN,NaN,,,NaN,,,NaN,,
51,-5,,,NaN,NaN,-5,,NaN,,89,NaN,-5,
52,,,,NaN,NaN,,,NaN,,,NaN,,
53,-5,,,NaN,NaN,-5,,NaN,,88,NaN,-5,
54,,,,NaN,NaN,,,NaN,,,NaN,,
55,-6,,,NaN,NaN,-6,,NaN,,89,NaN,-6,
56,,,,NaN,NaN,,,NaN,,,NaN,,
57,-6,,,NaN,NaN,-6,,NaN,,79,NaN,-6,
58,,,,NaN,NaN,,,NaN,,,NaN,,
59,-7,,,NaN,NaN,-7,,NaN,,79,NaN,-7,
60,,,,NaN,NaN,,,NaN,,,NaN,,
61,-12,,,NaN,NaN,-4,,NaN,,80,NaN,-7,
62,,,,NaN,NaN,,,NaN,,,NaN,,
63,-12,,,NaN,NaN,-4,,NaN,,80,NaN,-7,
64,,,,NaN,NaN,,,NaN,,,NaN,,
65,-7,,,NaN,NaN,-7,,NaN,,80,NaN,-7,
66,,,,NaN,NaN,,,NaN,,,NaN,,
67,-7,,,NaN,NaN,-7,,NaN,,72,NaN,-7,
68,,,,NaN,NaN,,,NaN,,,NaN,,
69,-7,,,NaN,NaN,-7,,NaN,,72,NaN,-7,
70,,,,NaN,NaN,,,NaN,,,NaN,,
71,-7,,,NaN,NaN,-7,,NaN,,72,NaN,-7,
72,,,,NaN,NaN,,,NaN,,,NaN,,
73,-7,,,NaN,NaN,-7,,NaN,,81,NaN,-7,
74,,,,NaN,NaN,,,NaN,,,NaN,,
75,-7,,,NaN,NaN,-7,,NaN,,91,NaN,-7,
76,,,,NaN,NaN,,,NaN,,,NaN,,
77,-7,,,NaN,NaN,-7,,NaN,,92,NaN,-7,
78,,,,NaN,NaN,,,NaN,,,NaN,,
79,-7,,,NaN,NaN,-7,,NaN,,81,NaN,-7,
80,,,,NaN,NaN,,,NaN,,,NaN,,
81,-7,,,NaN,NaN,-7,,NaN,,80,NaN,-7,
82,,,,NaN,NaN,,,NaN,,,NaN,,
83,-7,,,NaN,NaN,-7,,NaN,,80,NaN,-7,
84,,,,NaN,NaN,,,NaN,,,NaN,,
85,-7,,,NaN,NaN,-7,,NaN,,80,NaN,-7,
86,,,,NaN,NaN,,,NaN,,,NaN,,
87,-10,,,NaN,NaN,-4,,NaN,,80,NaN,-7,
88,,,,NaN,NaN,,,NaN,,,NaN,,
89,-10,,,NaN,NaN,-4,,NaN,,80,NaN,-7,
90,,,,NaN,NaN,,,NaN,,,NaN,,
91,-7,,,NaN,NaN,-7,,NaN,,90,NaN,-7,
92,,,,NaN,NaN,,,NaN,,,NaN,,
