time,Solar8000/ART_MBP,SNUADC/ART,Solar8000/PLETH_HR,Solar8000/ETCO2,Solar8000/ART_SBP,Solar8000/RR_CO2,SNUADC/ECG_II,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/CVP,SNUADC/CVP,Solar8000/ART_DBP,Solar8000/HR
0,,NaN,,,,,NaN,,NaN,,NaN,,
1,,-498.6846008300781,,,,,-4.9562602043151855,,-4.9562602043151855,,-495.6260070800781,,
2,-11,-498.6826477050781,93,,-11,,-4.956240177154541,88,-4.956240177154541,-9,-495.6240234375,-11,80
3,,NaN,,,,,NaN,,NaN,,NaN,,
4,-11,NaN,96,,-11,,NaN,88,NaN,-9,NaN,-11,83
5,,NaN,,,,,NaN,,NaN,,NaN,,
6,-11,NaN,95,,-11,,NaN,86,NaN,-9,NaN,-11,85
7,,NaN,,,,,NaN,,NaN,,NaN,,
8,-11,NaN,93,,-11,,NaN,89,NaN,-9,NaN,-11,85
9,,NaN,,,,,NaN,,NaN,,NaN,,
10,-11,NaN,92,,-11,,NaN,90,NaN,-9,NaN,-11,84
11,,NaN,,,,,NaN,,NaN,,NaN,,
12,-11,NaN,90,,-11,,NaN,91,NaN,-9,NaN,-11,86
13,,NaN,,,,,NaN,,NaN,,NaN,,
14,-11,NaN,90,,-11,,NaN,93,NaN,-9,NaN,-11,86
15,,NaN,,,,,NaN,,NaN,,NaN,,
16,-11,NaN,90,,-11,,NaN,93,NaN,-9,NaN,-11,86
17,,NaN,,,,,NaN,,NaN,,NaN,,
18,-11,NaN,84,,-11,,NaN,98,NaN,-9,NaN,-11,83
19,,NaN,,,,,NaN,,NaN,,NaN,,
20,-11,NaN,83,,-11,,NaN,98,NaN,-9,NaN,-11,83
21,,NaN,,,,,NaN,,NaN,,NaN,,
22,-11,NaN,84,,-11,,NaN,98,NaN,-9,NaN,-11,84
23,,NaN,,,,,NaN,,NaN,,NaN,,
24,-11,NaN,85,,-11,,NaN,98,NaN,-10,NaN,-11,85
25,,NaN,,,,,NaN,,NaN,,NaN,,
26,-11,NaN,85,,-11,,NaN,98,NaN,-10,NaN,-11,85
27,,NaN,,,,,NaN,,NaN,,NaN,,
28,-11,NaN,84,,-11,,NaN,98,NaN,-10,NaN,-11,83
29,,NaN,,,,,NaN,,NaN,,NaN,,
30,-11,NaN,83,,-11,,NaN,98,NaN,-10,NaN,-11,80
31,,NaN,,,,,NaN,,NaN,,NaN,,
32,-11,NaN,80,,-11,,NaN,98,NaN,-10,NaN,-11,79
33,,NaN,,,,,NaN,,NaN,,NaN,,
34,-11,NaN,82,,-11,,NaN,98,NaN,-10,NaN,-11,81
35,,NaN,,,,,NaN,,NaN,,NaN,,
36,-11,NaN,83,,-11,,NaN,98,NaN,-9,NaN,-11,84
37,,NaN,,,,,NaN,,NaN,,NaN,,
38,-11,NaN,84,,-11,,NaN,98,NaN,-9,NaN,-11,84
39,,NaN,,,,,NaN,,NaN,,NaN,,
40,-11,NaN,83,,-11,,NaN,98,NaN,-9,NaN,-11,83
41,,NaN,,,,,NaN,,NaN,,NaN,,
42,-11,NaN,81,,-11,,NaN,98,NaN,-9,NaN,-11,81
43,,NaN,,,,,NaN,,NaN,,NaN,,
44,-11,NaN,80,,-11,,NaN,98,NaN,-9,NaN,-11,80
45,,NaN,,,,,NaN,,NaN,,NaN,,
46,-11,NaN,80,,-11,,NaN,98,NaN,-9,NaN,-11,80
47,,NaN,,,,,NaN,,NaN,,NaN,,
48,-11,NaN,81,,-11,,NaN,98,NaN,-9,NaN,-11,82
49,,NaN,,,,,NaN,,NaN,,NaN,,
50,-12,NaN,84,,-2,,NaN,98,NaN,-9,NaN,-35,84
51,,NaN,,,,,NaN,,NaN,,NaN,,
52,-12,NaN,86,,-4,,NaN,98,NaN,-9,NaN,-19,86
53,,NaN,,,,,NaN,,NaN,,NaN,,
54,-10,NaN,86,,-7,,NaN,98,NaN,-9,NaN,-14,85
55,,NaN,,,,,NaN,,NaN,,NaN,,
56,-10,NaN,85,,-5,,NaN,98,NaN,-9,NaN,-15,83
57,,NaN,,,,,NaN,,NaN,,NaN,,
58,-10,NaN,84,,-8,,NaN,98,NaN,-10,NaN,-13,84
59,,NaN,,,,,NaN,,NaN,,NaN,,
60,-10,NaN,85,,,,NaN,98,NaN,-10,NaN,,85
61,,NaN,,,,,NaN,,NaN,,NaN,,
62,-10,NaN,85,,,,NaN,98,NaN,-10,NaN,,85
63,,NaN,,,,,NaN,,NaN,,NaN,,
64,-11,NaN,86,,,,NaN,98,NaN,-9,NaN,,85
65,,NaN,,,,,NaN,,NaN,,NaN,,
66,-11,NaN,85,,,,NaN,98,NaN,-9,NaN,,84
67,,NaN,,,,,NaN,,NaN,,NaN,,
68,-11,NaN,85,,,,NaN,98,NaN,-9,NaN,,84
69,,NaN,,,,,NaN,,NaN,,NaN,,
70,-11,NaN,87,,,,NaN,98,NaN,-9,NaN,,88
71,,NaN,,,,,NaN,,NaN,,NaN,,
72,-11,NaN,89,,-11,,NaN,98,NaN,-9,NaN,-11,89
73,,NaN,,,,,NaN,,NaN,,NaN,,
74,-11,NaN,88,,-11,,NaN,98,NaN,-9,NaN,-11,87
75,,NaN,,,,,NaN,,NaN,,NaN,,
76,-11,NaN,87,,-10,,NaN,98,NaN,-9,NaN,-12,86
77,,NaN,,,,,NaN,,NaN,,NaN,,
78,-11,NaN,86,,-10,,NaN,98,NaN,-9,NaN,-12,86
79,,NaN,,,,,NaN,,NaN,,NaN,,
80,-11,NaN,88,,-10,,NaN,98,NaN,-9,NaN,-12,88
81,,NaN,,,,,NaN,,NaN,,NaN,,
82,-11,NaN,88,,-4,,NaN,98,NaN,-9,NaN,-17,88
83,,NaN,,,,,NaN,,NaN,,NaN,,
84,-11,NaN,88,,-4,,NaN,98,NaN,-9,NaN,-17,86
85,,NaN,,,,,NaN,,NaN,,NaN,,
86,1,NaN,85,,1,,NaN,98,NaN,-9,NaN,1,84
87,,NaN,,,,,NaN,,NaN,,NaN,,
88,1,NaN,84,,1,,NaN,98,NaN,0,NaN,1,83
89,,NaN,,,,,NaN,,NaN,,NaN,,
90,0,NaN,84,,0,,NaN,98,NaN,0,NaN,0,83
91,,NaN,,,,,NaN,,NaN,,NaN,,
92,0,NaN,84,,0,,NaN,98,NaN,0,NaN,0,83
93,,NaN,,,,,NaN,,NaN,,NaN,,
94,0,NaN,86,,0,,NaN,98,NaN,0,NaN,0,87
95,,NaN,,,,,NaN,,NaN,,NaN,,
96,0,NaN,88,,0,,NaN,98,NaN,0,NaN,0,89
97,,NaN,,,,,NaN,,NaN,,NaN,,
98,-10,NaN,89,,-10,,NaN,98,NaN,-6,NaN,-10,89
99,,NaN,,,,,NaN,,NaN,,NaN,,
100,-10,NaN,88,,-10,,NaN,98,NaN,-6,NaN,-10,86
101,,NaN,,,,,NaN,,NaN,,NaN,,
102,-10,NaN,86,,-10,,NaN,98,NaN,-6,NaN,-10,85
103,,NaN,,,,,NaN,,NaN,,NaN,,
104,-10,NaN,87,,-10,,NaN,98,NaN,-9,NaN,-10,87
105,,NaN,,,,,NaN,,NaN,,NaN,,
106,-10,NaN,87,,-10,,NaN,98,NaN,-9,NaN,-10,88
107,,NaN,,,,,NaN,,NaN,,NaN,,
108,-10,NaN,88,,-10,,NaN,98,NaN,-9,NaN,-10,87
109,,NaN,,,,,NaN,,NaN,,NaN,,
110,-11,NaN,87,,-11,,NaN,99,NaN,-9,NaN,-11,85
111,,NaN,,,,,NaN,,NaN,,NaN,,
112,-11,NaN,87,,-11,,NaN,99,NaN,-9,NaN,-11,86
113,,NaN,,,,,NaN,,NaN,,NaN,,
114,-11,NaN,89,,-11,,NaN,99,NaN,-9,NaN,-11,89
