time,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/PLETH_HR,Solar8000/RR_CO2,SNUADC/ART,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/CVP,Solar8000/ART_SBP,Solar8000/HR,Solar8000/ETCO2
0,NaN,NaN,,,NaN,,,NaN,,,,,
1,-4.9562602043151855,-495.6260070800781,,,-496.78717041015625,,,-4.9562602043151855,,,,,
2,-4.956240177154541,-495.6240234375,,,-496.7851867675781,,,-4.956240177154541,,,,,
3,NaN,NaN,91,,NaN,-16,97,NaN,,-18,,89,
4,NaN,NaN,,,NaN,,,NaN,,,,,
5,NaN,NaN,90,,NaN,-16,98,NaN,,-18,,89,
6,NaN,NaN,,,NaN,,,NaN,,,,,
7,NaN,NaN,89,,NaN,-16,98,NaN,,-18,,88,
8,NaN,NaN,,,NaN,,,NaN,,,,,
9,NaN,NaN,87,,NaN,-16,98,NaN,,-18,,86,
10,NaN,NaN,,,NaN,,,NaN,,,,,
11,NaN,NaN,84,,NaN,-16,97,NaN,-16,-18,-16,82,
12,NaN,NaN,,,NaN,,,NaN,,,,,
13,NaN,NaN,82,,NaN,-15,98,NaN,-15,-18,-15,81,
14,NaN,NaN,,,NaN,,,NaN,,,,,
15,NaN,NaN,83,,NaN,-15,98,NaN,-15,-18,-15,82,
16,NaN,NaN,,,NaN,,,NaN,,,,,
17,NaN,NaN,84,,NaN,-16,98,NaN,-16,-18,-16,82,
18,NaN,NaN,,,NaN,,,NaN,,,,,
19,NaN,NaN,86,,NaN,-16,97,NaN,-16,-18,-16,83,
20,NaN,NaN,,,NaN,,,NaN,,,,,
21,NaN,NaN,86,,NaN,-16,97,NaN,-16,-18,-16,83,
22,NaN,NaN,,,NaN,,,NaN,,,,,
23,NaN,NaN,85,,NaN,-16,98,NaN,-16,-18,-16,84,
24,NaN,NaN,,,NaN,,,NaN,,,,,
25,NaN,NaN,85,,NaN,-16,98,NaN,-16,-18,-16,84,
26,NaN,NaN,,,NaN,,,NaN,,,,,
27,NaN,NaN,85,,NaN,-16,98,NaN,-16,-18,-16,84,
28,NaN,NaN,,,NaN,,,NaN,,,,,
29,NaN,NaN,84,,NaN,-16,98,NaN,-16,-18,-16,83,
30,NaN,NaN,,,NaN,,,NaN,,,,,
