time,Solar8000/HR,SNUADC/ART,Solar8000/RR_CO2,Solar8000/PLETH_SPO2,Solar8000/CVP,SNUADC/ECG_V5,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/ART_MBP,Solar8000/ART_SBP,SNUADC/CVP,Solar8000/PLETH_HR,Solar8000/ETCO2
0,,NaN,,,,NaN,,NaN,,,NaN,,
1,,-498.6846008300781,,,,-4.9562602043151855,,-4.9562602043151855,,,-495.6260070800781,,
2,53,-498.6826477050781,,98,3,-4.956240177154541,0,-4.956240177154541,0,0,-495.6240234375,55,0
3,,NaN,,,,NaN,,NaN,,,NaN,,
4,52,NaN,,98,3,NaN,0,NaN,0,0,NaN,54,0
5,,NaN,,,,NaN,,NaN,,,NaN,,
6,53,NaN,,98,2,NaN,1,NaN,1,1,NaN,53,0
7,,NaN,,,,NaN,,NaN,,,NaN,,
8,52,NaN,,98,2,NaN,1,NaN,1,1,NaN,53,0
9,,NaN,,,,NaN,,NaN,,,NaN,,
10,52,NaN,,98,2,NaN,1,NaN,1,1,NaN,53,0
11,,NaN,,,,NaN,,NaN,,,NaN,,
12,52,NaN,,98,-1,NaN,1,NaN,1,1,NaN,53,0
13,,NaN,,,,NaN,,NaN,,,NaN,,
14,51,NaN,,97,-1,NaN,1,NaN,1,1,NaN,52,0
15,,NaN,,,,NaN,,NaN,,,NaN,,
16,52,NaN,,97,-2,NaN,1,NaN,1,1,NaN,52,0
17,,NaN,,,,NaN,,NaN,,,NaN,,
18,52,NaN,,98,-2,NaN,1,NaN,1,1,NaN,52,0
19,,NaN,,,,NaN,,NaN,,,NaN,,
20,52,NaN,,98,-1,NaN,1,NaN,1,1,NaN,52,0
21,,NaN,,,,NaN,,NaN,,,NaN,,
22,52,NaN,,97,-1,NaN,1,NaN,1,1,NaN,52,0
23,,NaN,,,,NaN,,NaN,,,NaN,,
24,53,NaN,,97,-2,NaN,1,NaN,1,1,NaN,53,0
25,,NaN,,,,NaN,,NaN,,,NaN,,
26,53,NaN,,97,-2,NaN,1,NaN,1,1,NaN,53,0
27,,NaN,,,,NaN,,NaN,,,NaN,,
28,53,NaN,,97,-2,NaN,-1,NaN,-1,-1,NaN,53,0
29,,NaN,,,,NaN,,NaN,,,NaN,,
30,53,NaN,,97,-2,NaN,-1,NaN,-1,-1,NaN,53,0
31,,NaN,,,,NaN,,NaN,,,NaN,,
32,53,NaN,,97,-1,NaN,1,NaN,1,1,NaN,53,0
33,,NaN,,,,NaN,,NaN,,,NaN,,
34,53,NaN,,97,-1,NaN,1,NaN,1,1,NaN,53,0
35,,NaN,,,,NaN,,NaN,,,NaN,,
36,54,NaN,,,-1,NaN,0,NaN,0,0,NaN,,0
37,,NaN,,,,NaN,,NaN,,,NaN,,
38,54,NaN,,,-1,NaN,0,NaN,0,0,NaN,,0
39,,NaN,,,,NaN,,NaN,,,NaN,,
40,54,NaN,,,-1,NaN,1,NaN,1,1,NaN,,0
41,,NaN,,,,NaN,,NaN,,,NaN,,
42,54,NaN,,,-1,NaN,1,NaN,1,1,NaN,,0
43,,NaN,,,,NaN,,NaN,,,NaN,,
44,54,NaN,,,-1,NaN,1,NaN,1,1,NaN,,0
45,,NaN,,,,NaN,,NaN,,,NaN,,
46,54,NaN,,,-1,NaN,1,NaN,1,1,NaN,,0
47,,NaN,,,,NaN,,NaN,,,NaN,,
48,54,NaN,,,-1,NaN,1,NaN,1,1,NaN,,0
49,,NaN,,,,NaN,,NaN,,,NaN,,
50,54,NaN,,,-2,NaN,1,NaN,1,1,NaN,,0
51,,NaN,,,,NaN,,NaN,,,NaN,,
52,54,NaN,,,-2,NaN,1,NaN,1,1,NaN,,0
53,,NaN,,,,NaN,,NaN,,,NaN,,
54,54,NaN,,,-1,NaN,1,NaN,1,1,NaN,,0
55,,NaN,,,,NaN,,NaN,,,NaN,,
56,54,NaN,,,-1,NaN,1,NaN,1,1,NaN,,0
57,,NaN,,,,NaN,,NaN,,,NaN,,
58,54,NaN,,,-1,NaN,1,NaN,1,1,NaN,,0
59,,NaN,,,,NaN,,NaN,,,NaN,,
60,54,NaN,,,-1,NaN,1,NaN,1,1,NaN,,0
61,,NaN,,,,NaN,,NaN,,,NaN,,
62,54,NaN,,97,-1,NaN,1,NaN,1,1,NaN,55,0
63,,NaN,,,,NaN,,NaN,,,NaN,,
64,54,NaN,,97,-1,NaN,0,NaN,0,0,NaN,56,0
65,,NaN,,,,NaN,,NaN,,,NaN,,
66,54,NaN,,97,-1,NaN,0,NaN,0,0,NaN,56,0
67,,NaN,,,,NaN,,NaN,,,NaN,,
68,54,NaN,,97,-1,NaN,0,NaN,0,0,NaN,55,0
69,,NaN,,,,NaN,,NaN,,,NaN,,
70,54,NaN,,97,-1,NaN,0,NaN,0,0,NaN,55,0
71,,NaN,,,,NaN,,NaN,,,NaN,,
72,54,NaN,,97,-1,NaN,1,NaN,1,1,NaN,55,0
73,,NaN,,,,NaN,,NaN,,,NaN,,
74,54,NaN,,97,-1,NaN,1,NaN,1,1,NaN,55,0
75,,NaN,,,,NaN,,NaN,,,NaN,,
76,54,NaN,,97,-1,NaN,1,NaN,1,1,NaN,54,0
77,,NaN,,,,NaN,,NaN,,,NaN,,
78,54,NaN,,97,-1,NaN,1,NaN,1,1,NaN,55,0
79,,NaN,,,,NaN,,NaN,,,NaN,,
80,54,NaN,,97,-1,NaN,1,NaN,1,1,NaN,55,0
81,,NaN,,,,NaN,,NaN,,,NaN,,
82,54,NaN,,97,-1,NaN,1,NaN,1,1,NaN,55,0
83,,NaN,,,,NaN,,NaN,,,NaN,,
84,54,NaN,,97,1,NaN,-1,NaN,-1,-1,NaN,55,0
85,,NaN,,,,NaN,,NaN,,,NaN,,
86,53,NaN,,97,1,NaN,-1,NaN,-1,-1,NaN,54,0
87,,NaN,,,,NaN,,NaN,,,NaN,,
88,54,NaN,,97,1,NaN,-1,NaN,-1,-1,NaN,54,0
89,,NaN,,,,NaN,,NaN,,,NaN,,
90,54,NaN,,97,1,NaN,-1,NaN,-1,-1,NaN,54,0
91,,NaN,,,,NaN,,NaN,,,NaN,,
92,54,NaN,,97,1,NaN,0,NaN,0,0,NaN,54,0
93,,NaN,,,,NaN,,NaN,,,NaN,,
94,54,NaN,,97,1,NaN,0,NaN,0,0,NaN,55,0
95,,NaN,,,,NaN,,NaN,,,NaN,,
96,55,NaN,,97,1,NaN,1,NaN,1,1,NaN,55,0
97,,NaN,,,,NaN,,NaN,,,NaN,,
98,55,NaN,,97,1,NaN,1,NaN,1,1,NaN,55,0
99,,NaN,,,,NaN,,NaN,,,NaN,,
100,55,NaN,,97,1,NaN,1,NaN,1,1,NaN,55,0
101,,NaN,,,,NaN,,NaN,,,NaN,,
102,55,NaN,,97,1,NaN,1,NaN,1,1,NaN,55,0
103,,NaN,,,,NaN,,NaN,,,NaN,,
104,55,NaN,,97,1,NaN,1,NaN,1,1,NaN,55,0
105,,NaN,,,,NaN,,NaN,,,NaN,,
106,56,NaN,,97,1,NaN,1,NaN,1,1,NaN,55,0
107,,NaN,,,,NaN,,NaN,,,NaN,,
108,56,NaN,,97,1,NaN,1,NaN,1,1,NaN,56,0
109,,NaN,,,,NaN,,NaN,,,NaN,,
110,56,NaN,,97,1,NaN,1,NaN,1,1,NaN,56,0
111,,NaN,,,,NaN,,NaN,,,NaN,,
112,57,NaN,,96,1,NaN,1,NaN,1,1,NaN,56,0
113,,NaN,,,,NaN,,NaN,,,NaN,,
114,56,NaN,,96,1,NaN,1,NaN,1,1,NaN,56,0
115,,NaN,,,,NaN,,NaN,,,NaN,,
116,56,NaN,,96,1,NaN,-1,NaN,-1,-1,NaN,57,0
117,,NaN,,,,NaN,,NaN,,,NaN,,
