time,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,SNUADC/ART,SNUADC/CVP,Solar8000/ART_SBP,Solar8000/RR_CO2,SNUADC/ECG_II,Solar8000/HR,Solar8000/ART_MBP,Solar8000/PLETH_HR,Solar8000/ETCO2,Solar8000/CVP,Solar8000/ART_DBP
0,,NaN,NaN,NaN,,,NaN,,,,,,
1,,-4.9562602043151855,-491.88665771484375,-495.6260070800781,,,-4.9562602043151855,,,,,,
2,89,-4.956240177154541,-491.88470458984375,-495.6240234375,-1,,-4.956240177154541,82,-1,117,,-20,-1
3,,NaN,NaN,NaN,,,NaN,,,,,,
4,89,NaN,NaN,NaN,-1,,NaN,83,-1,117,,-20,-1
5,,NaN,NaN,NaN,,,NaN,,,,,,
6,89,NaN,NaN,NaN,1,,NaN,84,-1,117,,-20,-3
7,,NaN,NaN,NaN,,,NaN,,,,,,
8,89,NaN,NaN,NaN,1,,NaN,84,-1,117,,-20,-5
9,,NaN,NaN,NaN,,,NaN,,,,,,
10,89,NaN,NaN,NaN,1,,NaN,84,-1,117,,-20,-4
11,,NaN,NaN,NaN,,,NaN,,,,,,
12,89,NaN,NaN,NaN,0,,NaN,83,-1,117,,-21,-3
13,,NaN,NaN,NaN,,,NaN,,,,,,
14,,NaN,NaN,NaN,0,,NaN,83,-1,,,-21,-3
15,,NaN,NaN,NaN,,,NaN,,,,,,
16,,NaN,NaN,NaN,0,,NaN,82,-1,,,-20,-3
17,,NaN,NaN,NaN,,,NaN,,,,,,
18,,NaN,NaN,NaN,-2,,NaN,82,-2,,,-20,-2
19,,NaN,NaN,NaN,,,NaN,,,,,,
20,,NaN,NaN,NaN,-2,,NaN,81,-2,,,-20,-2
21,,NaN,NaN,NaN,,,NaN,,,,,,
22,,NaN,NaN,NaN,-1,,NaN,81,-1,,,-20,-1
23,,NaN,NaN,NaN,,,NaN,,,,,,
24,,NaN,NaN,NaN,-1,,NaN,82,-1,,,-20,-1
25,,NaN,NaN,NaN,,,NaN,,,,,,
26,,NaN,NaN,NaN,0,,NaN,82,0,,,-20,0
27,,NaN,NaN,NaN,,,NaN,,,,,,
28,,NaN,NaN,NaN,0,,NaN,82,0,,,-20,0
29,,NaN,NaN,NaN,,,NaN,,,,,,
30,,NaN,NaN,NaN,1,,NaN,81,1,,,-20,1
31,,NaN,NaN,NaN,,,NaN,,,,,,
32,,NaN,NaN,NaN,1,,NaN,81,1,,,-20,1
33,,NaN,NaN,NaN,,,NaN,,,,,,
34,,NaN,NaN,NaN,-1,,NaN,88,-1,,,-20,-1
35,,NaN,NaN,NaN,,,NaN,,,,,,
36,,NaN,NaN,NaN,-1,,NaN,88,-1,,,-20,-1
37,,NaN,NaN,NaN,,,NaN,,,,,,
38,,NaN,NaN,NaN,-1,,NaN,88,-1,,,-20,-1
39,,NaN,NaN,NaN,,,NaN,,,,,,
40,,NaN,NaN,NaN,-1,,NaN,88,-1,,,-20,-1
41,,NaN,NaN,NaN,,,NaN,,,,,,
