time,SNUADC/ECG_V5,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/ART_SBP,Solar8000/HR,SNUADC/ART,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/ETCO2,Solar8000/CVP,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,SNUADC/ECG_II
0,NaN,,NaN,,,NaN,,,,,,,NaN
1,-4.9562602043151855,,-495.6260070800781,,67,-496.78717041015625,228,,,0,82,,-4.9562602043151855
2,-4.956240177154541,,-495.6240234375,,,-496.7851867675781,,,,,,,-4.956240177154541
3,NaN,,NaN,,67,NaN,228,,,0,82,,NaN
4,NaN,,NaN,,,NaN,,,,,,,NaN
5,NaN,,NaN,,66,NaN,224,,,0,82,,NaN
6,NaN,,NaN,,,NaN,,,,,,,NaN
7,NaN,,NaN,,65,NaN,222,,,0,82,,NaN
8,NaN,,NaN,,,NaN,,,,,,,NaN
9,NaN,,NaN,,65,NaN,212,,,0,82,,NaN
10,NaN,,NaN,,,NaN,,,,,,,NaN
11,NaN,,NaN,,64,NaN,192,,,1,83,,NaN
12,NaN,,NaN,,,NaN,,,,,,,NaN
13,NaN,,NaN,,64,NaN,177,,,1,83,,NaN
14,NaN,,NaN,,,NaN,,,,,,,NaN
15,NaN,,NaN,,64,NaN,177,,,0,83,,NaN
16,NaN,,NaN,,,NaN,,,,,,,NaN
17,NaN,,NaN,,63,NaN,177,,,0,83,,NaN
18,NaN,,NaN,,,NaN,,,,,,,NaN
19,NaN,,NaN,,64,NaN,162,,,0,83,,NaN
20,NaN,,NaN,,,NaN,,,,,,,NaN
21,NaN,,NaN,,63,NaN,145,,,0,83,,NaN
22,NaN,,NaN,,,NaN,,,,,,,NaN
23,NaN,,NaN,,63,NaN,145,,,1,83,,NaN
24,NaN,,NaN,,,NaN,,,,,,,NaN
25,NaN,,NaN,,64,NaN,145,,,1,83,,NaN
26,NaN,,NaN,,,NaN,,,,,,,NaN
27,NaN,,NaN,,64,NaN,132,,,-1,89,,NaN
28,NaN,,NaN,,,NaN,,,,,,,NaN
29,NaN,,NaN,,64,NaN,104,,,-1,96,,NaN
30,NaN,,NaN,,,NaN,,,,,,,NaN
31,NaN,,NaN,,66,NaN,83,,,-1,96,,NaN
32,NaN,,NaN,,,NaN,,,,,,,NaN
33,NaN,,NaN,,67,NaN,73,,,-1,97,,NaN
34,NaN,,NaN,,,NaN,,,,,,,NaN
35,NaN,,NaN,,68,NaN,69,,,-1,97,,NaN
36,NaN,,NaN,,,NaN,,,,,,,NaN
37,NaN,,NaN,,69,NaN,69,,,-1,96,,NaN
38,NaN,,NaN,,,NaN,,,,,,,NaN
39,NaN,,NaN,,68,NaN,69,,,-1,96,,NaN
40,NaN,,NaN,,,NaN,,,,,,,NaN
41,NaN,,NaN,,67,NaN,68,,,0,96,,NaN
42,NaN,,NaN,,,NaN,,,,,,,NaN
43,NaN,,NaN,,66,NaN,67,,,0,96,,NaN
44,NaN,,NaN,,,NaN,,,,,,,NaN
45,NaN,,NaN,,65,NaN,66,,,1,96,,NaN
46,NaN,,NaN,,,NaN,,,,,,,NaN
47,NaN,,NaN,,65,NaN,66,,,1,96,,NaN
48,NaN,,NaN,,,NaN,,,,,,,NaN
49,NaN,,NaN,,65,NaN,66,,,1,96,,NaN
50,NaN,,NaN,,,NaN,,,,,,,NaN
51,NaN,,NaN,,66,NaN,66,,,1,96,,NaN
52,NaN,,NaN,,,NaN,,,,,,,NaN
53,NaN,,NaN,,66,NaN,66,,,0,96,,NaN
54,NaN,,NaN,,,NaN,,,,,,,NaN
55,NaN,,NaN,,67,NaN,67,,,0,96,,NaN
56,NaN,,NaN,,,NaN,,,,,,,NaN
57,NaN,,NaN,,67,NaN,67,,,0,96,,NaN
58,NaN,,NaN,,,NaN,,,,,,,NaN
59,NaN,,NaN,,67,NaN,67,,,0,97,,NaN
60,NaN,,NaN,,,NaN,,,,,,,NaN
61,NaN,,NaN,,67,NaN,67,,,0,96,,NaN
62,NaN,,NaN,,,NaN,,,,,,,NaN
63,NaN,,NaN,,66,NaN,67,,,0,96,,NaN
64,NaN,,NaN,,,NaN,,,,,,,NaN
65,NaN,,NaN,,65,NaN,66,,,0,96,,NaN
66,NaN,,NaN,,,NaN,,,,,,,NaN
67,NaN,,NaN,,64,NaN,65,,,0,96,,NaN
68,NaN,,NaN,,,NaN,,,,,,,NaN
69,NaN,,NaN,,64,NaN,65,,,0,96,,NaN
70,NaN,,NaN,,,NaN,,,,,,,NaN
71,NaN,,NaN,,64,NaN,65,,,0,96,,NaN
72,NaN,,NaN,,,NaN,,,,,,,NaN
73,NaN,,NaN,,64,NaN,65,,,0,96,,NaN
74,NaN,,NaN,,,NaN,,,,,,,NaN
75,NaN,,NaN,,64,NaN,65,,,0,96,,NaN
76,NaN,,NaN,,,NaN,,,,,,,NaN
77,NaN,,NaN,,65,NaN,65,,,0,95,,NaN
78,NaN,,NaN,,,NaN,,,,,,,NaN
79,NaN,,NaN,,65,NaN,65,,,0,95,,NaN
80,NaN,,NaN,,,NaN,,,,,,,NaN
81,NaN,,NaN,,66,NaN,65,,,0,95,,NaN
82,NaN,,NaN,,,NaN,,,,,,,NaN
83,NaN,,NaN,,66,NaN,65,,,1,95,,NaN
84,NaN,,NaN,,,NaN,,,,,,,NaN
85,NaN,,NaN,,66,NaN,65,,,1,95,,NaN
86,NaN,,NaN,,,NaN,,,,,,,NaN
87,NaN,,NaN,,67,NaN,65,,,0,95,,NaN
88,NaN,,NaN,,,NaN,,,,,,,NaN
89,NaN,,NaN,,67,NaN,66,,,0,95,,NaN
