time,Solar8000/ART_DBP,SNUADC/ART,Solar8000/RR_CO2,Solar8000/HR,Solar8000/PLETH_SPO2,SNUADC/ECG_II,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,SNUADC/CVP,SNUADC/ECG_V5,Solar8000/CVP
0,,NaN,,,,NaN,,,,,NaN,NaN,
1,,-494.5040283203125,,,,-4.9562602043151855,,,,,-495.6260070800781,-4.9562602043151855,
2,,-494.5020446777344,,,,-4.956240177154541,,,,,-495.6240234375,-4.956240177154541,
3,,NaN,,,,NaN,,,,,NaN,NaN,
4,,NaN,,,,NaN,,,,,NaN,NaN,
5,-5,NaN,,,98,NaN,-5,0,-5,92,NaN,NaN,
6,,NaN,,,,NaN,,,,,NaN,NaN,
7,-5,NaN,,,98,NaN,-5,0,-5,90,NaN,NaN,
8,,NaN,,,,NaN,,,,,NaN,NaN,
9,-5,NaN,,,98,NaN,-5,0,-5,89,NaN,NaN,
10,,NaN,,,,NaN,,,,,NaN,NaN,
11,-5,NaN,,,99,NaN,-5,0,-5,87,NaN,NaN,
12,,NaN,,,,NaN,,,,,NaN,NaN,
13,-5,NaN,,,99,NaN,-5,0,-5,85,NaN,NaN,
14,,NaN,,,,NaN,,,,,NaN,NaN,
15,-3,NaN,,,99,NaN,-3,0,-3,83,NaN,NaN,
16,,NaN,,,,NaN,,,,,NaN,NaN,
17,-3,NaN,,,99,NaN,-3,0,-3,85,NaN,NaN,
18,,NaN,,,,NaN,,,,,NaN,NaN,
19,-5,NaN,,,100,NaN,-5,0,-5,91,NaN,NaN,
20,,NaN,,,,NaN,,,,,NaN,NaN,
21,-5,NaN,,102,100,NaN,-5,0,-5,91,NaN,NaN,
22,,NaN,,,,NaN,,,,,NaN,NaN,
23,-5,NaN,,96,100,NaN,-5,0,-5,92,NaN,NaN,
24,,NaN,,,,NaN,,,,,NaN,NaN,
25,-5,NaN,,90,100,NaN,-5,0,-5,99,NaN,NaN,
26,,NaN,,,,NaN,,,,,NaN,NaN,
27,-5,NaN,,91,100,NaN,-5,0,-5,92,NaN,NaN,
28,,NaN,,,,NaN,,,,,NaN,NaN,
29,-5,NaN,,102,100,NaN,-5,0,-5,110,NaN,NaN,
30,,NaN,,,,NaN,,,,,NaN,NaN,
31,-5,NaN,,126,100,NaN,-5,0,-5,114,NaN,NaN,
32,,NaN,,,,NaN,,,,,NaN,NaN,
33,-5,NaN,,116,100,NaN,-5,0,-5,118,NaN,NaN,
34,,NaN,,,,NaN,,,,,NaN,NaN,
35,-5,NaN,,101,100,NaN,-5,0,-5,116,NaN,NaN,
36,,NaN,,,,NaN,,,,,NaN,NaN,
37,-5,NaN,,83,99,NaN,-5,0,-5,104,NaN,NaN,
38,,NaN,,,,NaN,,,,,NaN,NaN,
39,-3,NaN,,79,99,NaN,-3,0,-3,99,NaN,NaN,
40,,NaN,,,,NaN,,,,,NaN,NaN,
41,-3,NaN,,82,99,NaN,-3,0,-3,87,NaN,NaN,
42,,NaN,,,,NaN,,,,,NaN,NaN,
43,-5,NaN,,83,99,NaN,-5,0,-5,83,NaN,NaN,
44,,NaN,,,,NaN,,,,,NaN,NaN,
45,-5,NaN,,85,99,NaN,-5,0,-5,80,NaN,NaN,
46,,NaN,,,,NaN,,,,,NaN,NaN,
47,-5,NaN,,85,99,NaN,-5,0,-5,80,NaN,NaN,
48,,NaN,,,,NaN,,,,,NaN,NaN,
49,-5,NaN,,90,99,NaN,-5,0,-5,84,NaN,NaN,
50,,NaN,,,,NaN,,,,,NaN,NaN,
51,-5,NaN,,85,99,NaN,-5,0,-5,88,NaN,NaN,
52,,NaN,,,,NaN,,,,,NaN,NaN,
53,-5,NaN,,92,98,NaN,-5,0,-5,86,NaN,NaN,
54,,NaN,,,,NaN,,,,,NaN,NaN,
55,-5,NaN,,92,98,NaN,-5,0,-5,86,NaN,NaN,
56,,NaN,,,,NaN,,,,,NaN,NaN,
57,-5,NaN,,93,98,NaN,-5,0,-5,96,NaN,NaN,
58,,NaN,,,,NaN,,,,,NaN,NaN,
59,-3,NaN,,96,99,NaN,-3,0,-3,103,NaN,NaN,
60,,NaN,,,,NaN,,,,,NaN,NaN,
61,-3,NaN,,102,99,NaN,-3,0,-3,103,NaN,NaN,
62,,NaN,,,,NaN,,,,,NaN,NaN,
63,-5,NaN,,99,98,NaN,-5,0,-5,97,NaN,NaN,
64,,NaN,,,,NaN,,,,,NaN,NaN,
65,-5,NaN,,100,98,NaN,-5,0,-5,94,NaN,NaN,
66,,NaN,,,,NaN,,,,,NaN,NaN,
67,-5,NaN,,99,98,NaN,-5,0,-5,94,NaN,NaN,
68,,NaN,,,,NaN,,,,,NaN,NaN,
69,-5,NaN,,90,98,NaN,-5,0,-5,86,NaN,NaN,
70,,NaN,,,,NaN,,,,,NaN,NaN,
71,-5,NaN,,90,97,NaN,-5,0,-5,81,NaN,NaN,
72,,NaN,,,,NaN,,,,,NaN,NaN,
73,-5,NaN,,92,98,NaN,-5,0,-5,79,NaN,NaN,
74,,NaN,,,,NaN,,,,,NaN,NaN,
75,-6,NaN,,90,99,NaN,-5,0,-4,83,NaN,NaN,
76,,NaN,,,,NaN,,,,,NaN,NaN,
77,-6,NaN,,100,98,NaN,-5,0,-4,92,NaN,NaN,
78,,NaN,,,,NaN,,,,,NaN,NaN,
79,-51,NaN,,102,98,NaN,-15,0,28,92,NaN,NaN,
80,,NaN,,,,NaN,,,,,NaN,NaN,
81,84,NaN,,96,99,NaN,42,0,314,99,NaN,NaN,
82,,NaN,,,,NaN,,,,,NaN,NaN,
83,84,NaN,,86,98,NaN,42,0,314,93,NaN,NaN,
84,,NaN,,,,NaN,,,,,NaN,NaN,
85,,NaN,,96,99,NaN,,0,,100,NaN,NaN,
86,,NaN,,,,NaN,,,,,NaN,NaN,
87,,NaN,,105,99,NaN,,0,,99,NaN,NaN,
88,,NaN,,,,NaN,,,,,NaN,NaN,
89,,NaN,,117,99,NaN,,0,,114,NaN,NaN,
90,,NaN,,,,NaN,,,,,NaN,NaN,
91,,NaN,,116,99,NaN,,0,,114,NaN,NaN,
