time,Solar8000/PLETH_HR,Solar8000/ART_MBP,SNUADC/ART,SNUADC/ECG_V5,Solar8000/HR,Solar8000/ART_DBP,Solar8000/CVP,Solar8000/ETCO2,SNUADC/CVP,Solar8000/ART_SBP,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/PLETH_SPO2
0,,,NaN,NaN,,,,,NaN,,NaN,,
1,,,-498.6846008300781,-4.9562602043151855,,,,,-495.6260070800781,,-4.9562602043151855,,
2,,,-498.6826477050781,-4.956240177154541,,,,,-495.6240234375,,-4.956240177154541,,
3,,,NaN,NaN,,,,,NaN,,NaN,,
4,91,-5,NaN,NaN,97,-32,-6,0,NaN,21,NaN,,97
5,,,NaN,NaN,,,,,NaN,,NaN,,
6,89,-5,NaN,NaN,102,-32,-6,0,NaN,21,NaN,,97
7,,,NaN,NaN,,,,,NaN,,NaN,,
8,93,-3,NaN,NaN,102,-3,-7,0,NaN,-3,NaN,,97
9,,,NaN,NaN,,,,,NaN,,NaN,,
10,101,-3,NaN,NaN,100,-3,-7,0,NaN,-3,NaN,,97
11,,,NaN,NaN,,,,,NaN,,NaN,,
12,103,-3,NaN,NaN,100,-4,-7,0,NaN,-1,NaN,,97
13,,,NaN,NaN,,,,,NaN,,NaN,,
14,101,-3,NaN,NaN,102,-4,-7,0,NaN,-1,NaN,,97
15,,,NaN,NaN,,,,,NaN,,NaN,,
16,98,-3,NaN,NaN,101,-3,-7,0,NaN,-3,NaN,,98
17,,,NaN,NaN,,,,,NaN,,NaN,,
18,99,-3,NaN,NaN,101,-3,-9,0,NaN,-3,NaN,,98
19,,,NaN,NaN,,,,,NaN,,NaN,,
20,95,-3,NaN,NaN,101,-3,-9,0,NaN,-3,NaN,,97
21,,,NaN,NaN,,,,,NaN,,NaN,,
22,95,-3,NaN,NaN,101,-3,-9,0,NaN,-3,NaN,,97
23,,,NaN,NaN,,,,,NaN,,NaN,,
24,96,-4,NaN,NaN,100,-4,-9,0,NaN,-4,NaN,,97
25,,,NaN,NaN,,,,,NaN,,NaN,,
26,100,-4,NaN,NaN,101,-4,-9,0,NaN,-4,NaN,,97
27,,,NaN,NaN,,,,,NaN,,NaN,,
28,101,-4,NaN,NaN,101,-4,-9,,NaN,-4,NaN,,98
29,,,NaN,NaN,,,,,NaN,,NaN,,
30,101,-4,NaN,NaN,100,-4,-9,,NaN,-4,NaN,,98
31,,,NaN,NaN,,,,,NaN,,NaN,,
32,99,0,NaN,NaN,100,0,0,,NaN,0,NaN,,98
33,,,NaN,NaN,,,,,NaN,,NaN,,
34,100,0,NaN,NaN,99,0,0,,NaN,0,NaN,,99
35,,,NaN,NaN,,,,,NaN,,NaN,,
36,100,0,NaN,NaN,104,0,0,,NaN,0,NaN,,99
37,,,NaN,NaN,,,,,NaN,,NaN,,
38,99,0,NaN,NaN,99,0,0,,NaN,0,NaN,,100
39,,,NaN,NaN,,,,,NaN,,NaN,,
40,100,0,NaN,NaN,98,0,0,,NaN,0,NaN,,100
41,,,NaN,NaN,,,,,NaN,,NaN,,
42,99,0,NaN,NaN,99,0,0,,NaN,0,NaN,,100
43,,,NaN,NaN,,,,,NaN,,NaN,,
44,100,0,NaN,NaN,99,0,0,,NaN,0,NaN,,100
45,,,NaN,NaN,,,,,NaN,,NaN,,
46,96,0,NaN,NaN,112,0,0,,NaN,0,NaN,,100
47,,,NaN,NaN,,,,,NaN,,NaN,,
48,95,0,NaN,NaN,112,0,0,,NaN,0,NaN,,100
49,,,NaN,NaN,,,,,NaN,,NaN,,
50,96,0,NaN,NaN,101,0,0,,NaN,0,NaN,,100
51,,,NaN,NaN,,,,,NaN,,NaN,,
52,96,0,NaN,NaN,98,0,0,,NaN,0,NaN,,100
53,,,NaN,NaN,,,,,NaN,,NaN,,
54,97,0,NaN,NaN,94,0,0,,NaN,0,NaN,,100
55,,,NaN,NaN,,,,,NaN,,NaN,,
56,98,0,NaN,NaN,99,0,0,,NaN,0,NaN,,100
57,,,NaN,NaN,,,,,NaN,,NaN,,
58,97,0,NaN,NaN,94,0,0,,NaN,0,NaN,,100
59,,,NaN,NaN,,,,,NaN,,NaN,,
60,96,0,NaN,NaN,99,0,0,,NaN,0,NaN,,100
61,,,NaN,NaN,,,,,NaN,,NaN,,
62,97,0,NaN,NaN,99,-2,0,,NaN,2,NaN,,100
63,,,NaN,NaN,,,,,NaN,,NaN,,
64,96,0,NaN,NaN,113,-2,0,,NaN,2,NaN,,100
65,,,NaN,NaN,,,,,NaN,,NaN,,
66,99,0,NaN,NaN,111,-2,0,,NaN,2,NaN,,100
67,,,NaN,NaN,,,,,NaN,,NaN,,
68,98,0,NaN,NaN,104,0,0,,NaN,0,NaN,,100
69,,,NaN,NaN,,,,,NaN,,NaN,,
70,98,0,NaN,NaN,101,0,1,,NaN,0,NaN,,100
71,,,NaN,NaN,,,,,NaN,,NaN,,
72,95,0,NaN,NaN,113,-2,1,,NaN,1,NaN,,100
73,,,NaN,NaN,,,,,NaN,,NaN,,
74,95,0,NaN,NaN,118,-2,1,,NaN,1,NaN,,100
75,,,NaN,NaN,,,,,NaN,,NaN,,
76,96,0,NaN,NaN,102,-2,1,,NaN,1,NaN,,100
77,,,NaN,NaN,,,,,NaN,,NaN,,
78,94,0,NaN,NaN,98,-2,1,,NaN,1,NaN,,100
79,,,NaN,NaN,,,,,NaN,,NaN,,
80,96,0,NaN,NaN,99,0,1,,NaN,0,NaN,,100
81,,,NaN,NaN,,,,,NaN,,NaN,,
82,98,0,NaN,NaN,98,0,2,,NaN,0,NaN,,100
83,,,NaN,NaN,,,,,NaN,,NaN,,
84,98,0,NaN,NaN,98,0,2,,NaN,0,NaN,,100
