time,SNUADC/CVP,SNUADC/ECG_V5,Solar8000/HR,Solar8000/ART_SBP,Solar8000/CVP,SNUADC/ART,Solar8000/PLETH_HR,Solar8000/PLETH_SPO2,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/RR_CO2,Solar8000/ETCO2,Solar8000/ART_MBP
0,NaN,NaN,,,,NaN,,,,NaN,,,
1,-495.6260070800781,-4.9562602043151855,,,,-499.346923828125,,,,-4.9562602043151855,,,
2,-495.6240234375,-4.956240177154541,,,,-499.344970703125,,,,-4.956240177154541,,,
3,NaN,NaN,,,,NaN,,,,NaN,,,
4,NaN,NaN,92,-3,-2,NaN,85,89,-3,NaN,,,-3
5,NaN,NaN,,,,NaN,,,,NaN,,,
6,NaN,NaN,91,-2,-3,NaN,95,93,-5,NaN,,,-3
7,NaN,NaN,,,,NaN,,,,NaN,,,
8,NaN,NaN,90,-1,-3,NaN,94,97,-5,NaN,,,-3
9,NaN,NaN,,,,NaN,,,,NaN,,,
10,NaN,NaN,90,-1,-3,NaN,91,98,-5,NaN,,,-3
11,NaN,NaN,,,,NaN,,,,NaN,,,
12,NaN,NaN,89,-1,-3,NaN,89,98,-5,NaN,,,-3
13,NaN,NaN,,,,NaN,,,,NaN,,,
14,NaN,NaN,87,-2,-3,NaN,88,98,-5,NaN,,,-3
15,NaN,NaN,,,,NaN,,,,NaN,,,
16,NaN,NaN,87,-2,-3,NaN,87,99,-5,NaN,,,-3
17,NaN,NaN,,,,NaN,,,,NaN,,,
18,NaN,NaN,87,-3,-3,NaN,88,99,-3,NaN,,,-3
19,NaN,NaN,,,,NaN,,,,NaN,,,
20,NaN,NaN,87,-3,-3,NaN,89,99,-3,NaN,,,-3
21,NaN,NaN,,,,NaN,,,,NaN,,,
22,NaN,NaN,87,-3,-2,NaN,91,99,-3,NaN,,,-3
23,NaN,NaN,,,,NaN,,,,NaN,,,
24,NaN,NaN,90,-3,-2,NaN,91,99,-3,NaN,,,-3
25,NaN,NaN,,,,NaN,,,,NaN,,,
26,NaN,NaN,90,-3,-2,NaN,91,99,-3,NaN,,,-3
27,NaN,NaN,,,,NaN,,,,NaN,,,
28,NaN,NaN,90,-3,-2,NaN,90,98,-3,NaN,,,-3
29,NaN,NaN,,,,NaN,,,,NaN,,,
30,NaN,NaN,88,-3,-3,NaN,89,99,-3,NaN,,,-3
31,NaN,NaN,,,,NaN,,,,NaN,,,
32,NaN,NaN,88,-3,-3,NaN,89,99,-3,NaN,,,-3
33,NaN,NaN,,,,NaN,,,,NaN,,,
34,NaN,NaN,88,-2,-3,NaN,90,99,-2,NaN,,,-2
35,NaN,NaN,,,,NaN,,,,NaN,,,
36,NaN,NaN,88,-2,-3,NaN,91,98,-2,NaN,,,-2
37,NaN,NaN,,,,NaN,,,,NaN,,,
38,NaN,NaN,90,-2,-3,NaN,91,99,-2,NaN,,,-2
39,NaN,NaN,,,,NaN,,,,NaN,,,
40,NaN,NaN,90,-2,-3,NaN,91,99,-2,NaN,,,-2
41,NaN,NaN,,,,NaN,,,,NaN,,,
42,NaN,NaN,90,-2,-3,NaN,90,99,-2,NaN,,,-2
43,NaN,NaN,,,,NaN,,,,NaN,,,
44,NaN,NaN,89,-2,-3,NaN,90,99,-2,NaN,,,-2
45,NaN,NaN,,,,NaN,,,,NaN,,,
46,NaN,NaN,89,-2,-3,NaN,90,99,-2,NaN,,,-2
47,NaN,NaN,,,,NaN,,,,NaN,,,
48,NaN,NaN,90,-2,-3,NaN,91,99,-2,NaN,,,-2
