time,Solar8000/CVP,Solar8000/ART_MBP,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_SBP,Solar8000/PLETH_HR,SNUADC/CVP,Solar8000/PLETH_SPO2,SNUADC/ART,Solar8000/ART_DBP,Solar8000/ETCO2
0,,,NaN,NaN,,,,,NaN,,NaN,,
1,,,-4.9562602043151855,-4.9562602043151855,,,,,-495.6260070800781,,-499.346923828125,,
2,,,-4.956240177154541,-4.956240177154541,,,,,-495.6240234375,,-499.344970703125,,
3,-11,-5,NaN,NaN,,81,-5,82,NaN,97,NaN,-5,
4,,,NaN,NaN,,,,,NaN,,NaN,,
5,-11,-4,NaN,NaN,,82,-4,82,NaN,97,NaN,-4,
6,,,NaN,NaN,,,,,NaN,,NaN,,
7,-11,-4,NaN,NaN,,82,-4,83,NaN,97,NaN,-4,
8,,,NaN,NaN,,,,,NaN,,NaN,,
9,-11,-3,NaN,NaN,,82,-3,85,NaN,97,NaN,-3,
10,,,NaN,NaN,,,,,NaN,,NaN,,
11,-11,-3,NaN,NaN,,87,-3,88,NaN,97,NaN,-3,
12,,,NaN,NaN,,,,,NaN,,NaN,,
13,-12,-4,NaN,NaN,,88,-4,88,NaN,97,NaN,-4,
14,,,NaN,NaN,,,,,NaN,,NaN,,
15,-12,-4,NaN,NaN,,88,-4,89,NaN,96,NaN,-4,
16,,,NaN,NaN,,,,,NaN,,NaN,,
17,-12,-4,NaN,NaN,,88,-4,89,NaN,97,NaN,-4,
18,,,NaN,NaN,,,,,NaN,,NaN,,
19,-12,-4,NaN,NaN,,89,-4,90,NaN,97,NaN,-4,
20,,,NaN,NaN,,,,,NaN,,NaN,,
21,-12,-4,NaN,NaN,,88,-4,90,NaN,97,NaN,-4,
22,,,NaN,NaN,,,,,NaN,,NaN,,
23,-11,-4,NaN,NaN,,86,-4,88,NaN,97,NaN,-4,
24,,,NaN,NaN,,,,,NaN,,NaN,,
25,-11,-4,NaN,NaN,,84,-4,87,NaN,97,NaN,-4,
26,,,NaN,NaN,,,,,NaN,,NaN,,
27,-11,-4,NaN,NaN,,84,-4,86,NaN,98,NaN,-4,
28,,,NaN,NaN,,,,,NaN,,NaN,,
29,-11,-4,NaN,NaN,,86,-4,85,NaN,97,NaN,-4,
30,,,NaN,NaN,,,,,NaN,,NaN,,
31,-11,-4,NaN,NaN,,88,-4,86,NaN,97,NaN,-4,
32,,,NaN,NaN,,,,,NaN,,NaN,,
33,-11,-4,NaN,NaN,,88,-4,87,NaN,97,NaN,-4,
34,,,NaN,NaN,,,,,NaN,,NaN,,
35,-11,-4,NaN,NaN,,86,-4,89,NaN,98,NaN,-4,
36,,,NaN,NaN,,,,,NaN,,NaN,,
37,-11,-4,NaN,NaN,,84,-4,87,NaN,98,NaN,-4,
38,,,NaN,NaN,,,,,NaN,,NaN,,
39,-12,-4,NaN,NaN,,84,-4,85,NaN,97,NaN,-4,
40,,,NaN,NaN,,,,,NaN,,NaN,,
41,-12,-4,NaN,NaN,,82,-4,84,NaN,97,NaN,-4,
42,,,NaN,NaN,,,,,NaN,,NaN,,
43,-11,-4,NaN,NaN,,81,-4,82,NaN,98,NaN,-4,
44,,,NaN,NaN,,,,,NaN,,NaN,,
45,-11,-5,NaN,NaN,,81,-5,82,NaN,98,NaN,-5,
46,,,NaN,NaN,,,,,NaN,,NaN,,
47,-11,-5,NaN,NaN,,84,-5,82,NaN,98,NaN,-5,
48,,,NaN,NaN,,,,,NaN,,NaN,,
49,-10,-5,NaN,NaN,,85,-5,83,NaN,98,NaN,-5,
50,,,NaN,NaN,,,,,NaN,,NaN,,
51,-10,-5,NaN,NaN,,87,-5,84,NaN,98,NaN,-5,
52,,,NaN,NaN,,,,,NaN,,NaN,,
53,-11,-4,NaN,NaN,,85,-4,86,NaN,98,NaN,-4,
54,,,NaN,NaN,,,,,NaN,,NaN,,
55,-11,-4,NaN,NaN,,86,-4,87,NaN,97,NaN,-4,
56,,,NaN,NaN,,,,,NaN,,NaN,,
57,-11,-4,NaN,NaN,,84,-4,86,NaN,97,NaN,-4,
58,,,NaN,NaN,,,,,NaN,,NaN,,
59,-11,-4,NaN,NaN,,85,-4,85,NaN,97,NaN,-4,
60,,,NaN,NaN,,,,,NaN,,NaN,,
61,-12,-3,NaN,NaN,,87,-3,85,NaN,97,NaN,-3,
62,,,NaN,NaN,,,,,NaN,,NaN,,
63,-12,-3,NaN,NaN,,87,-3,86,NaN,97,NaN,-3,
64,,,NaN,NaN,,,,,NaN,,NaN,,
65,-11,-4,NaN,NaN,,87,-4,88,NaN,98,NaN,-4,
66,,,NaN,NaN,,,,,NaN,,NaN,,
67,-11,-4,NaN,NaN,,88,-4,88,NaN,98,NaN,-4,
68,,,NaN,NaN,,,,,NaN,,NaN,,
69,-11,-4,NaN,NaN,,87,-4,88,NaN,98,NaN,-4,
70,,,NaN,NaN,,,,,NaN,,NaN,,
71,-11,-4,NaN,NaN,,85,-4,88,NaN,98,NaN,-4,
72,,,NaN,NaN,,,,,NaN,,NaN,,
73,-11,-4,NaN,NaN,,84,-4,86,NaN,98,NaN,-4,
74,,,NaN,NaN,,,,,NaN,,NaN,,
75,-11,-4,NaN,NaN,,84,-4,85,NaN,98,NaN,-4,
76,,,NaN,NaN,,,,,NaN,,NaN,,
77,-11,-4,NaN,NaN,,84,-4,84,NaN,98,NaN,-4,
78,,,NaN,NaN,,,,,NaN,,NaN,,
79,-11,-4,NaN,NaN,,86,-4,86,NaN,98,NaN,-4,
80,,,NaN,NaN,,,,,NaN,,NaN,,
81,-11,-4,NaN,NaN,,82,-4,84,NaN,98,NaN,-4,
82,,,NaN,NaN,,,,,NaN,,NaN,,
83,-12,-4,NaN,NaN,,79,-4,83,NaN,98,NaN,-4,
84,,,NaN,NaN,,,,,NaN,,NaN,,
85,-12,-4,NaN,NaN,,81,-4,82,NaN,98,NaN,-4,
86,,,NaN,NaN,,,,,NaN,,NaN,,
87,-11,-4,NaN,NaN,,81,-4,81,NaN,98,NaN,-4,
88,,,NaN,NaN,,,,,NaN,,NaN,,
89,-11,-4,NaN,NaN,,81,-4,81,NaN,98,NaN,-4,
90,,,NaN,NaN,,,,,NaN,,NaN,,
91,-11,-4,NaN,NaN,,81,-4,81,NaN,97,NaN,-4,
92,,,NaN,NaN,,,,,NaN,,NaN,,
93,-11,-4,NaN,NaN,,81,-4,81,NaN,97,NaN,-4,
94,,,NaN,NaN,,,,,NaN,,NaN,,
95,-11,-4,NaN,NaN,,81,-4,81,NaN,97,NaN,-4,
96,,,NaN,NaN,,,,,NaN,,NaN,,
97,-11,-5,NaN,NaN,,81,-5,81,NaN,97,NaN,-5,
98,,,NaN,NaN,,,,,NaN,,NaN,,
99,-12,-5,NaN,NaN,,83,-5,82,NaN,97,NaN,-5,
100,,,NaN,NaN,,,,,NaN,,NaN,,
101,-12,-5,NaN,NaN,,83,-5,83,NaN,97,NaN,-5,
102,,,NaN,NaN,,,,,NaN,,NaN,,
103,-12,-5,NaN,NaN,,85,-5,84,NaN,97,NaN,-5,
104,,,NaN,NaN,,,,,NaN,,NaN,,
105,-12,-3,NaN,NaN,,85,-3,85,NaN,97,NaN,-3,
106,,,NaN,NaN,,,,,NaN,,NaN,,
107,-11,-3,NaN,NaN,,84,-3,86,NaN,97,NaN,-3,
108,,,NaN,NaN,,,,,NaN,,NaN,,
109,-11,-4,NaN,NaN,,83,-4,85,NaN,97,NaN,-4,
110,,,NaN,NaN,,,,,NaN,,NaN,,
111,-11,-4,NaN,NaN,,83,-4,84,NaN,97,NaN,-4,
112,,,NaN,NaN,,,,,NaN,,NaN,,
113,-11,-4,NaN,NaN,,83,-4,85,NaN,97,NaN,-4,
114,,,NaN,NaN,,,,,NaN,,NaN,,
115,-11,-4,NaN,NaN,,85,-4,84,NaN,97,NaN,-4,
116,,,NaN,NaN,,,,,NaN,,NaN,,
117,-11,-4,NaN,NaN,,87,-4,84,NaN,97,NaN,-4,
118,,,NaN,NaN,,,,,NaN,,NaN,,
119,-11,-4,NaN,NaN,,88,-4,86,NaN,97,NaN,-4,
120,,,NaN,NaN,,,,,NaN,,NaN,,
121,-12,-4,NaN,NaN,,87,-4,88,NaN,97,NaN,-4,
122,,,NaN,NaN,,,,,NaN,,NaN,,
123,-12,-4,NaN,NaN,,87,-4,88,NaN,97,NaN,-4,
124,,,NaN,NaN,,,,,NaN,,NaN,,
125,-12,-4,NaN,NaN,,87,-4,88,NaN,97,NaN,-4,
126,,,NaN,NaN,,,,,NaN,,NaN,,
127,-12,-4,NaN,NaN,,90,-4,89,NaN,97,NaN,-4,
128,,,NaN,NaN,,,,,NaN,,NaN,,
129,-11,-4,NaN,NaN,,91,-4,90,NaN,97,NaN,-4,
130,,,NaN,NaN,,,,,NaN,,NaN,,
131,-11,-4,NaN,NaN,,91,-4,91,NaN,97,NaN,-4,
132,,,NaN,NaN,,,,,NaN,,NaN,,
133,-11,-4,NaN,NaN,,92,-4,91,NaN,97,NaN,-4,
134,,,NaN,NaN,,,,,NaN,,NaN,,
135,-11,-4,NaN,NaN,,92,-4,92,NaN,97,NaN,-4,
136,,,NaN,NaN,,,,,NaN,,NaN,,
137,-11,-4,NaN,NaN,,91,-4,92,NaN,97,NaN,-4,
138,,,NaN,NaN,,,,,NaN,,NaN,,
139,-11,-4,NaN,NaN,,91,-4,92,NaN,97,NaN,-4,
140,,,NaN,NaN,,,,,NaN,,NaN,,
141,-12,-4,NaN,NaN,,90,-4,91,NaN,97,NaN,-4,
142,,,NaN,NaN,,,,,NaN,,NaN,,
143,-12,-4,NaN,NaN,,88,-4,91,NaN,98,NaN,-4,
144,,,NaN,NaN,,,,,NaN,,NaN,,
145,-12,-4,NaN,NaN,,87,-4,89,NaN,97,NaN,-4,
146,,,NaN,NaN,,,,,NaN,,NaN,,
147,-12,-4,NaN,NaN,,87,-4,88,NaN,98,NaN,-4,
148,,,NaN,NaN,,,,,NaN,,NaN,,
149,-12,-5,NaN,NaN,,88,-5,88,NaN,98,NaN,-5,
150,,,NaN,NaN,,,,,NaN,,NaN,,
151,-11,-5,NaN,NaN,,88,-5,88,NaN,98,NaN,-5,
152,,,NaN,NaN,,,,,NaN,,NaN,,
153,-11,-5,NaN,NaN,,89,-5,89,NaN,98,NaN,-5,
154,,,NaN,NaN,,,,,NaN,,NaN,,
155,-11,-5,NaN,NaN,,88,-5,89,NaN,98,NaN,-5,
156,,,NaN,NaN,,,,,NaN,,NaN,,
