time,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/HR,SNUADC/ART,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/CVP,SNUADC/ECG_V5,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/ART_SBP
0,,,,,,NaN,NaN,,,NaN,,NaN,
1,,,,,,-491.88665771484375,-495.6260070800781,,,-4.9562602043151855,,-4.9562602043151855,
2,99,66,-12,,66,-491.88470458984375,-495.6240234375,-12,-16,-4.956240177154541,,-4.956240177154541,-12
3,,,,,,NaN,NaN,,,NaN,,NaN,
4,99,65,-12,,65,NaN,NaN,-12,-16,NaN,,NaN,-12
5,,,,,,NaN,NaN,,,NaN,,NaN,
6,100,64,-12,,63,NaN,NaN,-12,-16,NaN,,NaN,-12
7,,,,,,NaN,NaN,,,NaN,,NaN,
8,100,64,-12,,62,NaN,NaN,-12,-16,NaN,,NaN,-12
9,,,,,,NaN,NaN,,,NaN,,NaN,
10,100,62,-12,,61,NaN,NaN,-12,-16,NaN,,NaN,-12
11,,,,,,NaN,NaN,,,NaN,,NaN,
12,100,62,-12,,61,NaN,NaN,-12,-16,NaN,,NaN,-12
13,,,,,,NaN,NaN,,,NaN,,NaN,
14,100,62,-15,,60,NaN,NaN,-8,-15,NaN,,NaN,15
15,,,,,,NaN,NaN,,,NaN,,NaN,
16,99,63,1,,59,NaN,NaN,3,-15,NaN,,NaN,13
17,,,,,,NaN,NaN,,,NaN,,NaN,
18,100,62,-26,,59,NaN,NaN,3,-15,NaN,,NaN,25
19,,,,,,NaN,NaN,,,NaN,,NaN,
20,100,60,-27,,59,NaN,NaN,0,-15,NaN,,NaN,22
21,,,,,,NaN,NaN,,,NaN,,NaN,
22,100,60,,,58,NaN,NaN,-20,-16,NaN,,NaN,
23,,,,,,NaN,NaN,,,NaN,,NaN,
24,100,59,,,56,NaN,NaN,-36,-16,NaN,,NaN,
25,,,,,,NaN,NaN,,,NaN,,NaN,
26,100,56,,,56,NaN,NaN,-27,-16,NaN,,NaN,
27,,,,,,NaN,NaN,,,NaN,,NaN,
28,100,57,,,56,NaN,NaN,-21,-16,NaN,,NaN,
29,,,,,,NaN,NaN,,,NaN,,NaN,
30,100,57,,,55,NaN,NaN,-21,-15,NaN,,NaN,
31,,,,,,NaN,NaN,,,NaN,,NaN,
32,100,56,,,55,NaN,NaN,-10,-15,NaN,,NaN,
33,,,,,,NaN,NaN,,,NaN,,NaN,
34,100,56,-10,,56,NaN,NaN,-10,-14,NaN,,NaN,-10
35,,,,,,NaN,NaN,,,NaN,,NaN,
36,100,56,-8,,56,NaN,NaN,-8,-14,NaN,,NaN,-8
37,,,,,,NaN,NaN,,,NaN,,NaN,
38,100,57,-8,,56,NaN,NaN,-8,-14,NaN,,NaN,-8
39,,,,,,NaN,NaN,,,NaN,,NaN,
40,100,56,-11,,56,NaN,NaN,-11,-14,NaN,,NaN,-11
41,,,,,,NaN,NaN,,,NaN,,NaN,
42,100,57,-11,,57,NaN,NaN,-11,-14,NaN,,NaN,-11
43,,,,,,NaN,NaN,,,NaN,,NaN,
44,100,59,-11,,58,NaN,NaN,-11,-14,NaN,,NaN,-11
45,,,,,,NaN,NaN,,,NaN,,NaN,
46,100,59,-11,,60,NaN,NaN,-11,-14,NaN,,NaN,-11
47,,,,,,NaN,NaN,,,NaN,,NaN,
48,100,61,-11,,62,NaN,NaN,-11,-14,NaN,,NaN,-11
49,,,,,,NaN,NaN,,,NaN,,NaN,
50,100,62,-11,,62,NaN,NaN,-11,-14,NaN,,NaN,-11
51,,,,,,NaN,NaN,,,NaN,,NaN,
52,100,63,-11,,62,NaN,NaN,-11,-14,NaN,,NaN,-11
53,,,,,,NaN,NaN,,,NaN,,NaN,
54,100,63,-11,,63,NaN,NaN,-11,-14,NaN,,NaN,-11
55,,,,,,NaN,NaN,,,NaN,,NaN,
56,100,64,-10,,64,NaN,NaN,-10,-14,NaN,,NaN,-10
57,,,,,,NaN,NaN,,,NaN,,NaN,
58,100,64,-10,,65,NaN,NaN,-10,-14,NaN,,NaN,-10
59,,,,,,NaN,NaN,,,NaN,,NaN,
60,100,64,-10,,64,NaN,NaN,-10,-13,NaN,,NaN,-10
61,,,,,,NaN,NaN,,,NaN,,NaN,
62,100,64,-10,,63,NaN,NaN,-10,-13,NaN,,NaN,-10
63,,,,,,NaN,NaN,,,NaN,,NaN,
64,100,64,-15,,62,NaN,NaN,-11,-13,NaN,,NaN,-11
65,,,,,,NaN,NaN,,,NaN,,NaN,
66,100,64,-15,,61,NaN,NaN,-11,-13,NaN,,NaN,-11
67,,,,,,NaN,NaN,,,NaN,,NaN,
68,100,63,-11,,62,NaN,NaN,-11,-13,NaN,,NaN,-11
69,,,,,,NaN,NaN,,,NaN,,NaN,
70,100,62,-11,,61,NaN,NaN,-11,-13,NaN,,NaN,-11
71,,,,,,NaN,NaN,,,NaN,,NaN,
72,100,63,-11,,64,NaN,NaN,-11,-13,NaN,,NaN,-11
73,,,,,,NaN,NaN,,,NaN,,NaN,
74,100,64,-11,,63,NaN,NaN,-11,-13,NaN,,NaN,-11
75,,,,,,NaN,NaN,,,NaN,,NaN,
76,100,63,-11,,63,NaN,NaN,-11,-13,NaN,,NaN,-11
77,,,,,,NaN,NaN,,,NaN,,NaN,
78,100,64,-11,,63,NaN,NaN,-11,-13,NaN,,NaN,-11
79,,,,,,NaN,NaN,,,NaN,,NaN,
80,100,63,-11,,62,NaN,NaN,-11,-13,NaN,,NaN,-11
81,,,,,,NaN,NaN,,,NaN,,NaN,
82,100,62,-11,,62,NaN,NaN,-11,-13,NaN,,NaN,-11
83,,,,,,NaN,NaN,,,NaN,,NaN,
84,100,63,-11,,61,NaN,NaN,-11,-13,NaN,,NaN,-11
85,,,,,,NaN,NaN,,,NaN,,NaN,
86,100,62,-11,,61,NaN,NaN,-11,-12,NaN,,NaN,-11
87,,,,,,NaN,NaN,,,NaN,,NaN,
88,100,61,-10,,60,NaN,NaN,-10,-12,NaN,,NaN,-10
89,,,,,,NaN,NaN,,,NaN,,NaN,
90,100,60,-10,,59,NaN,NaN,-10,-12,NaN,,NaN,-10
91,,,,,,NaN,NaN,,,NaN,,NaN,
92,100,60,-10,,59,NaN,NaN,-10,-12,NaN,,NaN,-10
93,,,,,,NaN,NaN,,,NaN,,NaN,
94,100,59,-10,,58,NaN,NaN,-10,-12,NaN,,NaN,-10
95,,,,,,NaN,NaN,,,NaN,,NaN,
96,100,58,-10,,58,NaN,NaN,-10,-12,NaN,,NaN,-10
97,,,,,,NaN,NaN,,,NaN,,NaN,
98,100,58,-15,,58,NaN,NaN,-11,-12,NaN,,NaN,-7
99,,,,,,NaN,NaN,,,NaN,,NaN,
100,100,58,-15,,58,NaN,NaN,-12,-12,NaN,,NaN,-10
101,,,,,,NaN,NaN,,,NaN,,NaN,
102,100,59,-45,,58,NaN,NaN,16,-12,NaN,,NaN,89
103,,,,,,NaN,NaN,,,NaN,,NaN,
104,100,59,-45,,60,NaN,NaN,16,-12,NaN,,NaN,89
105,,,,,,NaN,NaN,,,NaN,,NaN,
106,100,60,-11,,61,NaN,NaN,-9,-12,NaN,,NaN,-8
107,,,,,,NaN,NaN,,,NaN,,NaN,
108,100,62,-11,,62,NaN,NaN,-9,-12,NaN,,NaN,-8
109,,,,,,NaN,NaN,,,NaN,,NaN,
110,100,63,-9,,63,NaN,NaN,-9,-12,NaN,,NaN,-9
111,,,,,,NaN,NaN,,,NaN,,NaN,
112,100,64,-9,,63,NaN,NaN,-9,-12,NaN,,NaN,-9
113,,,,,,NaN,NaN,,,NaN,,NaN,
114,100,64,-8,,64,NaN,NaN,-8,-12,NaN,,NaN,-8
115,,,,,,NaN,NaN,,,NaN,,NaN,
116,100,65,-8,,64,NaN,NaN,-8,-12,NaN,,NaN,-8
117,,,,,,NaN,NaN,,,NaN,,NaN,
118,100,65,-9,,63,NaN,NaN,-9,-12,NaN,,NaN,-9
119,,,,,,NaN,NaN,,,NaN,,NaN,
120,100,65,-9,,63,NaN,NaN,-9,-12,NaN,,NaN,-9
121,,,,,,NaN,NaN,,,NaN,,NaN,
122,100,65,-12,,63,NaN,NaN,-9,-12,NaN,,NaN,-9
123,,,,,,NaN,NaN,,,NaN,,NaN,
124,100,65,-12,,64,NaN,NaN,-9,-12,NaN,,NaN,-9
125,,,,,,NaN,NaN,,,NaN,,NaN,
126,100,65,-11,,64,NaN,NaN,-11,-12,NaN,,NaN,-11
127,,,,,,NaN,NaN,,,NaN,,NaN,
128,100,65,-12,,63,NaN,NaN,-11,-12,NaN,,NaN,-10
129,,,,,,NaN,NaN,,,NaN,,NaN,
130,100,64,-12,,62,NaN,NaN,-11,-12,NaN,,NaN,-10
131,,,,,,NaN,NaN,,,NaN,,NaN,
132,100,64,-30,,60,NaN,NaN,-11,-12,NaN,,NaN,0
133,,,,,,NaN,NaN,,,NaN,,NaN,
134,100,62,-26,,58,NaN,NaN,-11,-12,NaN,,NaN,8
135,,,,,,NaN,NaN,,,NaN,,NaN,
136,100,61,-31,,57,NaN,NaN,-9,-12,NaN,,NaN,29
137,,,,,,NaN,NaN,,,NaN,,NaN,
138,100,60,-14,,56,NaN,NaN,-5,-12,NaN,,NaN,14
139,,,,,,NaN,NaN,,,NaN,,NaN,
140,100,58,-4,,54,NaN,NaN,-2,-12,NaN,,NaN,8
141,,,,,,NaN,NaN,,,NaN,,NaN,
142,100,57,11,,54,NaN,NaN,12,-12,NaN,,NaN,30
143,,,,,,NaN,NaN,,,NaN,,NaN,
144,100,56,11,,54,NaN,NaN,12,-12,NaN,,NaN,30
145,,,,,,NaN,NaN,,,NaN,,NaN,
146,100,56,50,,54,NaN,NaN,50,-12,NaN,,NaN,50
147,,,,,,NaN,NaN,,,NaN,,NaN,
148,100,56,61,,54,NaN,NaN,55,-12,NaN,,NaN,98
149,,,,,,NaN,NaN,,,NaN,,NaN,
150,100,55,60,,54,NaN,NaN,65,-12,NaN,,NaN,98
151,,,,,,NaN,NaN,,,NaN,,NaN,
152,100,54,59,,54,NaN,NaN,68,-12,NaN,,NaN,100
153,,,,,,NaN,NaN,,,NaN,,NaN,
154,100,54,58,,54,NaN,NaN,73,-12,NaN,,NaN,103
155,,,,,,NaN,NaN,,,NaN,,NaN,
156,100,54,60,,54,NaN,NaN,75,-12,NaN,,NaN,103
157,,,,,,NaN,NaN,,,NaN,,NaN,
158,100,53,60,,54,NaN,NaN,76,-12,NaN,,NaN,103
159,,,,,,NaN,NaN,,,NaN,,NaN,
160,100,52,60,,20,NaN,NaN,77,-12,NaN,,NaN,103
161,,,,,,NaN,NaN,,,NaN,,NaN,
162,100,52,57,,0,NaN,NaN,78,-12,NaN,,NaN,106
163,,,,,,NaN,NaN,,,NaN,,NaN,
164,100,51,58,,0,NaN,NaN,78,-12,NaN,,NaN,106
165,,,,,,NaN,NaN,,,NaN,,NaN,
166,100,51,58,,0,NaN,NaN,77,-12,NaN,,NaN,102
167,,,,,,NaN,NaN,,,NaN,,NaN,
168,100,51,54,,0,NaN,NaN,76,-12,NaN,,NaN,100
169,,,,,,NaN,NaN,,,NaN,,NaN,
170,100,50,55,,0,NaN,NaN,75,-12,NaN,,NaN,98
171,,,,,,NaN,NaN,,,NaN,,NaN,
