time,SNUADC/CVP,Solar8000/HR,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/PLETH_HR,SNUADC/ART,Solar8000/ART_SBP,Solar8000/ETCO2,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/ART_MBP,Solar8000/RR_CO2,SNUADC/ECG_V5
0,NaN,,,,,NaN,,,,NaN,,,NaN
1,-495.6260070800781,,,,,-498.6846008300781,,,,-4.9562602043151855,,,-4.9562602043151855
2,-495.6240234375,,,,,-498.6826477050781,,,,-4.956240177154541,,,-4.956240177154541
3,NaN,63,99,,64,NaN,,,,NaN,,,NaN
4,NaN,,,,,NaN,,,,NaN,,,NaN
5,NaN,62,99,,64,NaN,,,,NaN,,,NaN
6,NaN,,,,,NaN,,,,NaN,,,NaN
7,NaN,73,99,,63,NaN,,,,NaN,,,NaN
8,NaN,,,,,NaN,,,,NaN,,,NaN
9,NaN,72,99,,63,NaN,,,,NaN,,,NaN
10,NaN,,,,,NaN,,,,NaN,,,NaN
11,NaN,70,99,,63,NaN,,,,NaN,,,NaN
12,NaN,,,,,NaN,,,,NaN,,,NaN
13,NaN,70,99,,63,NaN,,,,NaN,,,NaN
14,NaN,,,,,NaN,,,,NaN,,,NaN
15,NaN,71,99,,63,NaN,,,,NaN,,,NaN
16,NaN,,,,,NaN,,,,NaN,,,NaN
17,NaN,71,99,,63,NaN,,,,NaN,,,NaN
18,NaN,,,,,NaN,,,,NaN,,,NaN
19,NaN,62,99,,63,NaN,,,,NaN,,,NaN
20,NaN,,,,,NaN,,,,NaN,,,NaN
21,NaN,62,99,,64,NaN,,,,NaN,,,NaN
22,NaN,,,,,NaN,,,,NaN,,,NaN
23,NaN,62,99,,62,NaN,,,,NaN,,,NaN
24,NaN,,,,,NaN,,,,NaN,,,NaN
25,NaN,63,99,,63,NaN,,,,NaN,,,NaN
26,NaN,,,,,NaN,,,,NaN,,,NaN
27,NaN,64,99,,63,NaN,,,,NaN,,,NaN
28,NaN,,,,,NaN,,,,NaN,,,NaN
29,NaN,63,99,,63,NaN,,,,NaN,,,NaN
30,NaN,,,,,NaN,,,,NaN,,,NaN
31,NaN,63,99,,63,NaN,,,,NaN,,,NaN
32,NaN,,,,,NaN,,,,NaN,,,NaN
33,NaN,63,99,,64,NaN,,,,NaN,,,NaN
34,NaN,,,,,NaN,,,,NaN,,,NaN
35,NaN,64,99,,64,NaN,,,,NaN,,,NaN
36,NaN,,,,,NaN,,,,NaN,,,NaN
37,NaN,64,99,,64,NaN,,,,NaN,,,NaN
38,NaN,,,,,NaN,,,,NaN,,,NaN
39,NaN,64,100,,65,NaN,,,,NaN,,,NaN
40,NaN,,,,,NaN,,,,NaN,,,NaN
41,NaN,63,100,,64,NaN,,,,NaN,,,NaN
42,NaN,,,,,NaN,,,,NaN,,,NaN
43,NaN,63,100,,64,NaN,,,,NaN,,,NaN
44,NaN,,,,,NaN,,,,NaN,,,NaN
45,NaN,63,100,,64,NaN,,,,NaN,,,NaN
46,NaN,,,,,NaN,,,,NaN,,,NaN
47,NaN,62,100,,63,NaN,,,,NaN,,,NaN
48,NaN,,,,,NaN,,,,NaN,,,NaN
49,NaN,61,100,,62,NaN,,,,NaN,,,NaN
50,NaN,,,,,NaN,,,,NaN,,,NaN
51,NaN,60,100,,61,NaN,,,,NaN,,,NaN
52,NaN,,,,,NaN,,,,NaN,,,NaN
53,NaN,58,100,,60,NaN,,,,NaN,,,NaN
54,NaN,,,,,NaN,,,,NaN,,,NaN
55,NaN,58,100,,59,NaN,,,,NaN,,,NaN
56,NaN,,,,,NaN,,,,NaN,,,NaN
57,NaN,59,100,,59,NaN,,,,NaN,,,NaN
58,NaN,,,,,NaN,,,,NaN,,,NaN
59,NaN,63,100,,60,NaN,,,,NaN,,,NaN
60,NaN,,,,,NaN,,,,NaN,,,NaN
61,NaN,64,100,,61,NaN,,,,NaN,,,NaN
62,NaN,,,,,NaN,,,,NaN,,,NaN
63,NaN,65,100,,62,NaN,,,,NaN,,,NaN
64,NaN,,,,,NaN,,,,NaN,,,NaN
65,NaN,65,100,,62,NaN,,,,NaN,,,NaN
66,NaN,,,,,NaN,,,,NaN,,,NaN
67,NaN,65,100,,62,NaN,,,,NaN,,,NaN
68,NaN,,,,,NaN,,,,NaN,,,NaN
69,NaN,62,100,,63,NaN,,,,NaN,,,NaN
70,NaN,,,,,NaN,,,,NaN,,,NaN
71,NaN,64,100,,64,NaN,,,,NaN,,,NaN
72,NaN,,,,,NaN,,,,NaN,,,NaN
73,NaN,65,100,,64,NaN,0,,0,NaN,0,,NaN
74,NaN,,,,,NaN,,,,NaN,,,NaN
75,NaN,64,100,0,65,NaN,0,,0,NaN,0,,NaN
76,NaN,,,,,NaN,,,,NaN,,,NaN
77,NaN,67,100,0,65,NaN,0,,0,NaN,0,,NaN
78,NaN,,,,,NaN,,,,NaN,,,NaN
79,NaN,67,100,1,65,NaN,1,,-8,NaN,-2,,NaN
80,NaN,,,,,NaN,,,,NaN,,,NaN
81,NaN,67,100,1,63,NaN,1,,-5,NaN,-3,,NaN
82,NaN,,,,,NaN,,,,NaN,,,NaN
83,NaN,67,100,-8,63,NaN,1,,-5,NaN,-3,,NaN
84,NaN,,,,,NaN,,,,NaN,,,NaN
85,NaN,67,99,-8,63,NaN,-3,,-3,NaN,-3,,NaN
86,NaN,,,,,NaN,,,,NaN,,,NaN
87,NaN,66,100,-19,62,NaN,-4,,-4,NaN,-4,,NaN
88,NaN,,,,,NaN,,,,NaN,,,NaN
89,NaN,66,99,-19,63,NaN,-4,,-5,NaN,-4,,NaN
90,NaN,,,,,NaN,,,,NaN,,,NaN
91,NaN,66,99,-19,63,NaN,-4,,-5,NaN,-4,,NaN
92,NaN,,,,,NaN,,,,NaN,,,NaN
93,NaN,66,99,-19,64,NaN,-4,,-5,NaN,-4,,NaN
94,NaN,,,,,NaN,,,,NaN,,,NaN
95,NaN,64,99,-19,65,NaN,-3,,-3,NaN,-3,,NaN
96,NaN,,,,,NaN,,,,NaN,,,NaN
97,NaN,64,99,-18,65,NaN,-3,,-3,NaN,-3,,NaN
98,NaN,,,,,NaN,,,,NaN,,,NaN
99,NaN,65,99,-18,65,NaN,-3,,-3,NaN,-3,,NaN
100,NaN,,,,,NaN,,,,NaN,,,NaN
101,NaN,64,99,-18,64,NaN,-4,,-4,NaN,-4,,NaN
102,NaN,,,,,NaN,,,,NaN,,,NaN
103,NaN,64,99,-18,64,NaN,-3,,-3,NaN,-3,,NaN
104,NaN,,,,,NaN,,,,NaN,,,NaN
105,NaN,62,99,-18,64,NaN,-3,,-3,NaN,-3,,NaN
106,NaN,,,,,NaN,,,,NaN,,,NaN
107,NaN,63,99,-18,64,NaN,-3,,-3,NaN,-3,,NaN
108,NaN,,,,,NaN,,,,NaN,,,NaN
109,NaN,64,99,-18,64,NaN,-3,,-3,NaN,-3,,NaN
110,NaN,,,,,NaN,,,,NaN,,,NaN
111,NaN,64,99,-18,64,NaN,-3,,-3,NaN,-3,,NaN
112,NaN,,,,,NaN,,,,NaN,,,NaN
113,NaN,63,99,-18,63,NaN,-3,,-3,NaN,-3,,NaN
114,NaN,,,,,NaN,,,,NaN,,,NaN
115,NaN,61,99,-18,63,NaN,-3,,-3,NaN,-3,,NaN
116,NaN,,,,,NaN,,,,NaN,,,NaN
117,NaN,61,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
118,NaN,,,,,NaN,,,,NaN,,,NaN
119,NaN,62,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
120,NaN,,,,,NaN,,,,NaN,,,NaN
121,NaN,62,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
122,NaN,,,,,NaN,,,,NaN,,,NaN
123,NaN,62,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
124,NaN,,,,,NaN,,,,NaN,,,NaN
125,NaN,61,99,-19,62,NaN,-3,,-3,NaN,-3,,NaN
126,NaN,,,,,NaN,,,,NaN,,,NaN
127,NaN,62,99,-19,62,NaN,-4,,-4,NaN,-4,,NaN
128,NaN,,,,,NaN,,,,NaN,,,NaN
129,NaN,62,99,-19,62,NaN,-4,,-4,NaN,-4,,NaN
130,NaN,,,,,NaN,,,,NaN,,,NaN
131,NaN,62,99,-18,62,NaN,-4,,-4,NaN,-4,,NaN
132,NaN,,,,,NaN,,,,NaN,,,NaN
133,NaN,61,99,-18,63,NaN,-4,,-4,NaN,-4,,NaN
134,NaN,,,,,NaN,,,,NaN,,,NaN
135,NaN,61,100,-19,62,NaN,-3,,-3,NaN,-3,,NaN
136,NaN,,,,,NaN,,,,NaN,,,NaN
137,NaN,61,100,-19,62,NaN,-3,,-3,NaN,-3,,NaN
138,NaN,,,,,NaN,,,,NaN,,,NaN
139,NaN,62,99,-18,62,NaN,-3,,-3,NaN,-3,,NaN
140,NaN,,,,,NaN,,,,NaN,,,NaN
141,NaN,63,100,-18,62,NaN,-3,,-3,NaN,-3,,NaN
142,NaN,,,,,NaN,,,,NaN,,,NaN
143,NaN,66,100,-18,64,NaN,-3,,-3,NaN,-3,,NaN
144,NaN,,,,,NaN,,,,NaN,,,NaN
145,NaN,65,100,-18,65,NaN,-3,,-3,NaN,-3,,NaN
146,NaN,,,,,NaN,,,,NaN,,,NaN
147,NaN,64,100,-19,65,NaN,-3,,-3,NaN,-3,,NaN
148,NaN,,,,,NaN,,,,NaN,,,NaN
149,NaN,62,100,-19,63,NaN,-3,,-3,NaN,-3,,NaN
150,NaN,,,,,NaN,,,,NaN,,,NaN
151,NaN,60,100,-19,62,NaN,-3,,-3,NaN,-3,,NaN
152,NaN,,,,,NaN,,,,NaN,,,NaN
153,NaN,60,100,-19,61,NaN,-3,,-3,NaN,-3,,NaN
154,NaN,,,,,NaN,,,,NaN,,,NaN
155,NaN,59,100,-19,60,NaN,-3,,-3,NaN,-3,,NaN
156,NaN,,,,,NaN,,,,NaN,,,NaN
157,NaN,58,100,-19,59,NaN,-3,,-3,NaN,-3,,NaN
158,NaN,,,,,NaN,,,,NaN,,,NaN
159,NaN,58,100,-19,59,NaN,-3,,-3,NaN,-3,,NaN
160,NaN,,,,,NaN,,,,NaN,,,NaN
161,NaN,58,100,-18,59,NaN,-3,,-3,NaN,-3,,NaN
162,NaN,,,,,NaN,,,,NaN,,,NaN
163,NaN,57,100,-18,59,NaN,-3,,-3,NaN,-3,,NaN
164,NaN,,,,,NaN,,,,NaN,,,NaN
165,NaN,57,100,-18,58,NaN,-3,,-3,NaN,-3,,NaN
166,NaN,,,,,NaN,,,,NaN,,,NaN
167,NaN,57,100,-18,58,NaN,-3,,-3,NaN,-3,,NaN
168,NaN,,,,,NaN,,,,NaN,,,NaN
169,NaN,58,100,-18,59,NaN,-3,,-3,NaN,-3,,NaN
170,NaN,,,,,NaN,,,,NaN,,,NaN
171,NaN,59,100,-18,59,NaN,-2,,-6,NaN,-4,,NaN
172,NaN,,,,,NaN,,,,NaN,,,NaN
173,NaN,59,99,-18,59,NaN,-1,,-5,NaN,-3,,NaN
174,NaN,,,,,NaN,,,,NaN,,,NaN
175,NaN,58,99,-18,59,NaN,-2,,-5,NaN,-4,,NaN
176,NaN,,,,,NaN,,,,NaN,,,NaN
177,NaN,58,99,-19,59,NaN,-2,,-5,NaN,-4,,NaN
178,NaN,,,,,NaN,,,,NaN,,,NaN
179,NaN,58,99,-19,59,NaN,-3,,-3,NaN,-3,,NaN
180,NaN,,,,,NaN,,,,NaN,,,NaN
181,NaN,58,99,-19,58,NaN,-3,,-3,NaN,-3,,NaN
182,NaN,,,,,NaN,,,,NaN,,,NaN
183,NaN,59,99,-19,59,NaN,-3,,-3,NaN,-3,,NaN
184,NaN,,,,,NaN,,,,NaN,,,NaN
185,NaN,59,99,-19,60,NaN,-3,,-3,NaN,-3,,NaN
186,NaN,,,,,NaN,,,,NaN,,,NaN
187,NaN,59,99,-19,60,NaN,-3,,-3,NaN,-3,,NaN
