time,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,SNUADC/CVP,Solar8000/RR_CO2,SNUADC/ART,Solar8000/ART_MBP,Solar8000/CVP,SNUADC/ECG_II,Solar8000/PLETH_HR,Solar8000/ETCO2,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/HR
0,,,NaN,,NaN,,,NaN,,,,NaN,
1,,,-495.6260070800781,,-496.78717041015625,,,-4.9562602043151855,,,,-4.9562602043151855,
2,,,-495.6240234375,,-496.7851867675781,,,-4.956240177154541,,,,-4.956240177154541,
3,,,NaN,,NaN,,,NaN,,,,NaN,
4,,,NaN,,NaN,,,NaN,,,,NaN,
5,68,0,NaN,,NaN,0,0,NaN,61,,0,NaN,82
6,,,NaN,,NaN,,,NaN,,,,NaN,
7,69,0,NaN,,NaN,0,0,NaN,61,,0,NaN,81
8,,,NaN,,NaN,,,NaN,,,,NaN,
9,69,0,NaN,,NaN,0,0,NaN,61,,0,NaN,82
10,,,NaN,,NaN,,,NaN,,,,NaN,
11,77,0,NaN,,NaN,0,0,NaN,64,,0,NaN,82
12,,,NaN,,NaN,,,NaN,,,,NaN,
13,81,0,NaN,,NaN,0,0,NaN,64,,0,NaN,83
14,,,NaN,,NaN,,,NaN,,,,NaN,
15,81,0,NaN,,NaN,0,0,NaN,64,,0,NaN,83
16,,,NaN,,NaN,,,NaN,,,,NaN,
17,82,0,NaN,,NaN,0,0,NaN,68,,0,NaN,83
18,,,NaN,,NaN,,,NaN,,,,NaN,
19,83,0,NaN,,NaN,0,0,NaN,78,,0,NaN,82
20,,,NaN,,NaN,,,NaN,,,,NaN,
21,83,0,NaN,,NaN,0,0,NaN,94,,0,NaN,82
22,,,NaN,,NaN,,,NaN,,,,NaN,
23,83,0,NaN,,NaN,0,0,NaN,99,,0,NaN,82
24,,,NaN,,NaN,,,NaN,,,,NaN,
25,83,0,NaN,,NaN,0,0,NaN,104,,0,NaN,81
26,,,NaN,,NaN,,,NaN,,,,NaN,
27,83,0,NaN,,NaN,0,0,NaN,107,,0,NaN,81
28,,,NaN,,NaN,,,NaN,,,,NaN,
29,83,0,NaN,,NaN,0,0,NaN,122,,0,NaN,81
30,,,NaN,,NaN,,,NaN,,,,NaN,
31,83,0,NaN,,NaN,0,0,NaN,119,,0,NaN,81
32,,,NaN,,NaN,,,NaN,,,,NaN,
33,83,0,NaN,,NaN,0,0,NaN,119,,0,NaN,81
34,,,NaN,,NaN,,,NaN,,,,NaN,
35,84,0,NaN,,NaN,0,0,NaN,108,,0,NaN,81
36,,,NaN,,NaN,,,NaN,,,,NaN,
37,84,0,NaN,,NaN,0,0,NaN,108,,0,NaN,80
38,,,NaN,,NaN,,,NaN,,,,NaN,
39,84,0,NaN,,NaN,0,0,NaN,108,,0,NaN,80
40,,,NaN,,NaN,,,NaN,,,,NaN,
41,84,0,NaN,,NaN,0,0,NaN,108,,0,NaN,84
42,,,NaN,,NaN,,,NaN,,,,NaN,
43,84,0,NaN,,NaN,0,0,NaN,112,,0,NaN,84
44,,,NaN,,NaN,,,NaN,,,,NaN,
45,84,0,NaN,,NaN,0,0,NaN,111,,0,NaN,84
46,,,NaN,,NaN,,,NaN,,,,NaN,
47,84,0,NaN,,NaN,0,0,NaN,111,,0,NaN,84
48,,,NaN,,NaN,,,NaN,,,,NaN,
49,84,0,NaN,,NaN,0,0,NaN,111,,0,NaN,84
50,,,NaN,,NaN,,,NaN,,,,NaN,
51,85,0,NaN,,NaN,0,0,NaN,113,,0,NaN,81
52,,,NaN,,NaN,,,NaN,,,,NaN,
53,85,0,NaN,,NaN,0,0,NaN,113,,0,NaN,80
54,,,NaN,,NaN,,,NaN,,,,NaN,
55,85,0,NaN,,NaN,0,0,NaN,113,,0,NaN,80
56,,,NaN,,NaN,,,NaN,,,,NaN,
57,85,0,NaN,,NaN,0,0,NaN,113,,0,NaN,80
58,,,NaN,,NaN,,,NaN,,,,NaN,
59,84,0,NaN,,NaN,0,0,NaN,113,,0,NaN,79
60,,,NaN,,NaN,,,NaN,,,,NaN,
61,84,0,NaN,,NaN,0,0,NaN,113,,0,NaN,79
62,,,NaN,,NaN,,,NaN,,,,NaN,
63,83,0,NaN,,NaN,0,0,NaN,113,,0,NaN,78
64,,,NaN,,NaN,,,NaN,,,,NaN,
65,82,0,NaN,,NaN,0,0,NaN,115,,0,NaN,78
66,,,NaN,,NaN,,,NaN,,,,NaN,
67,82,0,NaN,,NaN,0,0,NaN,115,,0,NaN,78
68,,,NaN,,NaN,,,NaN,,,,NaN,
69,82,0,NaN,,NaN,0,0,NaN,115,,0,NaN,78
70,,,NaN,,NaN,,,NaN,,,,NaN,
71,82,0,NaN,,NaN,0,0,NaN,121,,0,NaN,79
72,,,NaN,,NaN,,,NaN,,,,NaN,
