time,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ART_MBP,Solar8000/ETCO2,Solar8000/CVP,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/PLETH_SPO2,SNUADC/CVP,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ART
0,,,,,,,,NaN,,NaN,NaN,,NaN
1,,,,,,,,-4.9562602043151855,,-495.6260070800781,-4.9562602043151855,,-491.88665771484375
2,79,,78,1,,0,1,-4.956240177154541,100,-495.6240234375,-4.956240177154541,1,-491.88470458984375
3,,,,,,,,NaN,,NaN,NaN,,NaN
4,79,,78,1,,0,1,NaN,100,NaN,NaN,1,NaN
5,,,,,,,,NaN,,NaN,NaN,,NaN
6,79,,78,1,,0,1,NaN,100,NaN,NaN,1,NaN
7,,,,,,,,NaN,,NaN,NaN,,NaN
8,79,,78,1,,0,1,NaN,100,NaN,NaN,1,NaN
9,,,,,,,,NaN,,NaN,NaN,,NaN
10,79,,78,1,,0,1,NaN,100,NaN,NaN,1,NaN
11,,,,,,,,NaN,,NaN,NaN,,NaN
12,78,,78,1,,0,1,NaN,100,NaN,NaN,1,NaN
13,,,,,,,,NaN,,NaN,NaN,,NaN
14,78,,77,1,,0,1,NaN,100,NaN,NaN,1,NaN
15,,,,,,,,NaN,,NaN,NaN,,NaN
16,78,,77,1,,0,1,NaN,100,NaN,NaN,1,NaN
17,,,,,,,,NaN,,NaN,NaN,,NaN
18,78,,77,1,,0,1,NaN,99,NaN,NaN,1,NaN
19,,,,,,,,NaN,,NaN,NaN,,NaN
20,79,,77,1,,0,1,NaN,99,NaN,NaN,1,NaN
21,,,,,,,,NaN,,NaN,NaN,,NaN
22,79,,78,1,,0,1,NaN,99,NaN,NaN,1,NaN
23,,,,,,,,NaN,,NaN,NaN,,NaN
24,79,,79,1,,0,1,NaN,99,NaN,NaN,1,NaN
25,,,,,,,,NaN,,NaN,NaN,,NaN
26,79,,78,1,,0,1,NaN,99,NaN,NaN,1,NaN
27,,,,,,,,NaN,,NaN,NaN,,NaN
28,79,,79,1,,0,1,NaN,99,NaN,NaN,1,NaN
29,,,,,,,,NaN,,NaN,NaN,,NaN
30,80,,92,1,,0,1,NaN,99,NaN,NaN,1,NaN
31,,,,,,,,NaN,,NaN,NaN,,NaN
32,82,,94,1,,0,1,NaN,99,NaN,NaN,1,NaN
33,,,,,,,,NaN,,NaN,NaN,,NaN
34,82,,94,1,,0,1,NaN,98,NaN,NaN,1,NaN
35,,,,,,,,NaN,,NaN,NaN,,NaN
36,82,,81,1,,0,1,NaN,99,NaN,NaN,1,NaN
37,,,,,,,,NaN,,NaN,NaN,,NaN
38,81,,80,1,,0,1,NaN,99,NaN,NaN,1,NaN
39,,,,,,,,NaN,,NaN,NaN,,NaN
40,81,,80,1,,0,1,NaN,99,NaN,NaN,1,NaN
41,,,,,,,,NaN,,NaN,NaN,,NaN
42,80,,79,1,,0,1,NaN,98,NaN,NaN,1,NaN
43,,,,,,,,NaN,,NaN,NaN,,NaN
44,81,,80,1,,0,1,NaN,99,NaN,NaN,1,NaN
45,,,,,,,,NaN,,NaN,NaN,,NaN
46,82,,81,1,,0,1,NaN,99,NaN,NaN,1,NaN
47,,,,,,,,NaN,,NaN,NaN,,NaN
48,82,,81,1,,0,1,NaN,99,NaN,NaN,1,NaN
49,,,,,,,,NaN,,NaN,NaN,,NaN
50,83,,82,1,,0,1,NaN,99,NaN,NaN,1,NaN
51,,,,,,,,NaN,,NaN,NaN,,NaN
52,80,,80,1,,0,1,NaN,99,NaN,NaN,1,NaN
53,,,,,,,,NaN,,NaN,NaN,,NaN
54,78,,76,1,,0,1,NaN,99,NaN,NaN,1,NaN
55,,,,,,,,NaN,,NaN,NaN,,NaN
56,75,,74,1,,0,1,NaN,99,NaN,NaN,1,NaN
