time,Solar8000/ART_SBP,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ART,Solar8000/HR,Solar8000/CVP,Solar8000/ETCO2,SNUADC/ECG_II,Solar8000/PLETH_HR
0,,NaN,NaN,,,,,NaN,,,,NaN,
1,,-4.9562602043151855,-495.6260070800781,,,,,-498.6846008300781,,,,-4.9562602043151855,
2,,-4.956240177154541,-495.6240234375,,,,,-498.6826477050781,,,,-4.956240177154541,
3,,NaN,NaN,,,,,NaN,,,,NaN,
4,-8,NaN,NaN,,-10,,-13,NaN,106,-2,,NaN,
5,,NaN,NaN,,,,,NaN,,,,NaN,
6,-9,NaN,NaN,,-10,,-12,NaN,104,-2,,NaN,
7,,NaN,NaN,,,,,NaN,,,,NaN,
8,-9,NaN,NaN,,-10,,-12,NaN,102,-2,,NaN,
9,,NaN,NaN,,,,,NaN,,,,NaN,
10,,NaN,NaN,,-10,,,NaN,101,-3,,NaN,
11,,NaN,NaN,,,,,NaN,,,,NaN,
12,,NaN,NaN,87,-10,,,NaN,101,-3,,NaN,51
13,,NaN,NaN,,,,,NaN,,,,NaN,
14,,NaN,NaN,86,-10,,,NaN,101,-3,,NaN,53
15,,NaN,NaN,,,,,NaN,,,,NaN,
16,,NaN,NaN,86,-10,,,NaN,100,-3,,NaN,53
17,,NaN,NaN,,,,,NaN,,,,NaN,
18,,NaN,NaN,86,-11,,,NaN,100,-3,,NaN,53
19,,NaN,NaN,,,,,NaN,,,,NaN,
20,,NaN,NaN,86,-12,,,NaN,100,-3,,NaN,53
21,,NaN,NaN,,,,,NaN,,,,NaN,
22,-3,NaN,NaN,85,-11,,-32,NaN,101,-3,,NaN,55
23,,NaN,NaN,,,,,NaN,,,,NaN,
24,-3,NaN,NaN,85,-11,,-32,NaN,103,-5,,NaN,55
25,,NaN,NaN,,,,,NaN,,,,NaN,
26,-10,NaN,NaN,,-10,,-10,NaN,105,-5,,NaN,
27,,NaN,NaN,,,,,NaN,,,,NaN,
28,-10,NaN,NaN,,-10,,-10,NaN,105,-4,,NaN,
29,,NaN,NaN,,,,,NaN,,,,NaN,
30,-10,NaN,NaN,,-10,,-10,NaN,104,-4,,NaN,
31,,NaN,NaN,,,,,NaN,,,,NaN,
32,-10,NaN,NaN,,-10,,-10,NaN,104,-4,,NaN,
33,,NaN,NaN,,,,,NaN,,,,NaN,
34,-8,NaN,NaN,88,-10,,-13,NaN,103,-4,,NaN,69
35,,NaN,NaN,,,,,NaN,,,,NaN,
36,-7,NaN,NaN,88,-10,,-15,NaN,102,-3,,NaN,69
37,,NaN,NaN,,,,,NaN,,,,NaN,
38,-7,NaN,NaN,88,-10,,-14,NaN,101,-3,,NaN,69
39,,NaN,NaN,,,,,NaN,,,,NaN,
40,-8,NaN,NaN,88,-11,,-12,NaN,102,-4,,NaN,69
41,,NaN,NaN,,,,,NaN,,,,NaN,
42,27,NaN,NaN,88,-11,,-41,NaN,102,-4,,NaN,69
43,,NaN,NaN,,,,,NaN,,,,NaN,
44,27,NaN,NaN,84,-11,,-41,NaN,103,-7,,NaN,70
