time,Solar8000/RR_CO2,Solar8000/HR,Solar8000/ETCO2,Solar8000/ART_DBP,Solar8000/CVP,Solar8000/PLETH_HR,SNUADC/ART,SNUADC/ECG_V5,Solar8000/ART_SBP,Solar8000/ART_MBP,SNUADC/ECG_II,SNUADC/CVP,Solar8000/PLETH_SPO2
0,,,,,,,NaN,NaN,,,NaN,NaN,
1,,,,,,,-498.6846008300781,-4.9562602043151855,,,-4.9562602043151855,-495.6260070800781,
2,,68,,-16,-11,69,-498.6826477050781,-4.956240177154541,-16,-16,-4.956240177154541,-495.6240234375,99
3,,,,,,,NaN,NaN,,,NaN,NaN,
4,,69,,-16,-11,69,NaN,NaN,-16,-16,NaN,NaN,98
5,,,,,,,NaN,NaN,,,NaN,NaN,
6,,70,,-16,-11,70,NaN,NaN,-16,-16,NaN,NaN,99
7,,,,,,,NaN,NaN,,,NaN,NaN,
8,,70,,-16,-11,70,NaN,NaN,-16,-16,NaN,NaN,100
9,,,,,,,NaN,NaN,,,NaN,NaN,
10,,70,,-16,-11,70,NaN,NaN,-16,-16,NaN,NaN,99
11,,,,,,,NaN,NaN,,,NaN,NaN,
12,,71,,-16,-11,70,NaN,NaN,-16,-16,NaN,NaN,99
13,,,,,,,NaN,NaN,,,NaN,NaN,
14,,74,,-16,-11,72,NaN,NaN,-16,-16,NaN,NaN,99
15,,,,,,,NaN,NaN,,,NaN,NaN,
16,,75,,-16,-11,74,NaN,NaN,-16,-16,NaN,NaN,99
17,,,,,,,NaN,NaN,,,NaN,NaN,
18,,78,,-17,-11,76,NaN,NaN,-17,-17,NaN,NaN,99
19,,,,,,,NaN,NaN,,,NaN,NaN,
20,,80,,-17,-11,81,NaN,NaN,-17,-17,NaN,NaN,99
21,,,,,,,NaN,NaN,,,NaN,NaN,
22,,77,,-17,-11,79,NaN,NaN,-17,-17,NaN,NaN,99
23,,,,,,,NaN,NaN,,,NaN,NaN,
24,,77,,-17,-11,77,NaN,NaN,-17,-17,NaN,NaN,99
25,,,,,,,NaN,NaN,,,NaN,NaN,
26,,74,,-18,-11,77,NaN,NaN,-18,-18,NaN,NaN,99
27,,,,,,,NaN,NaN,,,NaN,NaN,
28,,72,,-18,-11,73,NaN,NaN,-18,-18,NaN,NaN,99
29,,,,,,,NaN,NaN,,,NaN,NaN,
30,,73,,-18,-11,74,NaN,NaN,-18,-18,NaN,NaN,99
31,,,,,,,NaN,NaN,,,NaN,NaN,
32,,74,,-18,-11,74,NaN,NaN,-18,-18,NaN,NaN,99
33,,,,,,,NaN,NaN,,,NaN,NaN,
34,,75,,-18,-11,75,NaN,NaN,-18,-18,NaN,NaN,99
35,,,,,,,NaN,NaN,,,NaN,NaN,
36,,75,,-18,-11,76,NaN,NaN,-18,-18,NaN,NaN,99
37,,,,,,,NaN,NaN,,,NaN,NaN,
38,,76,,-17,-11,76,NaN,NaN,-17,-17,NaN,NaN,99
39,,,,,,,NaN,NaN,,,NaN,NaN,
40,,76,,-17,-11,76,NaN,NaN,-17,-17,NaN,NaN,99
41,,,,,,,NaN,NaN,,,NaN,NaN,
42,,74,,-17,-11,75,NaN,NaN,-17,-17,NaN,NaN,99
43,,,,,,,NaN,NaN,,,NaN,NaN,
44,,72,,-17,-11,74,NaN,NaN,-17,-17,NaN,NaN,99
45,,,,,,,NaN,NaN,,,NaN,NaN,
46,,74,,-17,-11,74,NaN,NaN,-17,-17,NaN,NaN,99
47,,,,,,,NaN,NaN,,,NaN,NaN,
48,,80,,-17,-11,77,NaN,NaN,-17,-17,NaN,NaN,100
49,,,,,,,NaN,NaN,,,NaN,NaN,
50,,83,,-17,-11,81,NaN,NaN,-17,-17,NaN,NaN,100
51,,,,,,,NaN,NaN,,,NaN,NaN,
52,,80,,-17,-11,80,NaN,NaN,-17,-17,NaN,NaN,100
53,,,,,,,NaN,NaN,,,NaN,NaN,
54,,76,,-17,-11,78,NaN,NaN,-17,-17,NaN,NaN,99
55,,,,,,,NaN,NaN,,,NaN,NaN,
56,,74,,-17,-11,77,NaN,NaN,-17,-17,NaN,NaN,99
57,,,,,,,NaN,NaN,,,NaN,NaN,
58,,74,,-17,-11,74,NaN,NaN,-17,-17,NaN,NaN,100
59,,,,,,,NaN,NaN,,,NaN,NaN,
60,,74,,-17,-11,74,NaN,NaN,-17,-17,NaN,NaN,100
61,,,,,,,NaN,NaN,,,NaN,NaN,
62,,72,,-18,-11,73,NaN,NaN,-18,-18,NaN,NaN,99
63,,,,,,,NaN,NaN,,,NaN,NaN,
64,,70,,-18,-11,71,NaN,NaN,-18,-18,NaN,NaN,99
65,,,,,,,NaN,NaN,,,NaN,NaN,
66,,69,,-18,-11,71,NaN,NaN,-18,-18,NaN,NaN,99
67,,,,,,,NaN,NaN,,,NaN,NaN,
68,,71,,-18,-11,71,NaN,NaN,-18,-18,NaN,NaN,99
69,,,,,,,NaN,NaN,,,NaN,NaN,
70,,73,,-18,-11,75,NaN,NaN,-18,-18,NaN,NaN,99
71,,,,,,,NaN,NaN,,,NaN,NaN,
72,,80,,-18,-11,77,NaN,NaN,-18,-18,NaN,NaN,99
73,,,,,,,NaN,NaN,,,NaN,NaN,
74,,80,,-18,-11,82,NaN,NaN,-18,-18,NaN,NaN,99
75,,,,,,,NaN,NaN,,,NaN,NaN,
76,,80,,-18,-11,83,NaN,NaN,-18,-18,NaN,NaN,99
77,,,,,,,NaN,NaN,,,NaN,NaN,
78,,80,,-18,-11,84,NaN,NaN,-18,-18,NaN,NaN,99
79,,,,,,,NaN,NaN,,,NaN,NaN,
80,,95,,-18,-11,82,NaN,NaN,-18,-18,NaN,NaN,98
81,,,,,,,NaN,NaN,,,NaN,NaN,
82,,95,,-18,-11,83,NaN,NaN,-18,-18,NaN,NaN,98
83,,,,,,,NaN,NaN,,,NaN,NaN,
84,,98,,-18,-11,82,NaN,NaN,-18,-18,NaN,NaN,98
85,,,,,,,NaN,NaN,,,NaN,NaN,
86,,98,,-17,-11,83,NaN,NaN,-17,-17,NaN,NaN,98
87,,,,,,,NaN,NaN,,,NaN,NaN,
88,,84,0,-20,-11,82,NaN,NaN,-18,-17,NaN,NaN,99
89,,,,,,,NaN,NaN,,,NaN,NaN,
90,,82,0,-20,-11,83,NaN,NaN,-18,-17,NaN,NaN,99
91,,,,,,,NaN,NaN,,,NaN,NaN,
92,,81,0,-18,-11,83,NaN,NaN,-18,-18,NaN,NaN,99
93,,,,,,,NaN,NaN,,,NaN,NaN,
94,,81,0,-18,-11,80,NaN,NaN,-18,-18,NaN,NaN,99
95,,,,,,,NaN,NaN,,,NaN,NaN,
96,,77,0,-18,-11,80,NaN,NaN,-18,-18,NaN,NaN,99
97,,,,,,,NaN,NaN,,,NaN,NaN,
98,,78,0,-18,-11,78,NaN,NaN,-18,-18,NaN,NaN,99
99,,,,,,,NaN,NaN,,,NaN,NaN,
100,,80,0,-18,-11,80,NaN,NaN,-18,-18,NaN,NaN,99
101,,,,,,,NaN,NaN,,,NaN,NaN,
102,,79,0,-18,-11,80,NaN,NaN,-18,-18,NaN,NaN,99
103,,,,,,,NaN,NaN,,,NaN,NaN,
104,,80,0,-17,-11,80,NaN,NaN,-17,-17,NaN,NaN,99
105,,,,,,,NaN,NaN,,,NaN,NaN,
106,,83,0,-17,-11,82,NaN,NaN,-17,-17,NaN,NaN,99
107,,,,,,,NaN,NaN,,,NaN,NaN,
108,,86,0,-17,-11,86,NaN,NaN,-17,-17,NaN,NaN,99
109,,,,,,,NaN,NaN,,,NaN,NaN,
110,,88,0,-17,-11,86,NaN,NaN,-17,-17,NaN,NaN,98
111,,,,,,,NaN,NaN,,,NaN,NaN,
112,,87,0,-17,-11,88,NaN,NaN,-17,-17,NaN,NaN,99
