time,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/ART,Solar8000/ETCO2,Solar8000/ART_MBP,SNUADC/CVP,SNUADC/ECG_V5,SNUADC/ECG_II,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/PLETH_HR,Solar8000/ART_SBP
0,,,NaN,,,NaN,NaN,NaN,,,,,
1,,,-491.88665771484375,,,-495.6260070800781,-4.9562602043151855,-4.9562602043151855,,,,,
2,,,-491.88470458984375,,,-495.6240234375,-4.956240177154541,-4.956240177154541,,,,,
3,,,NaN,,,NaN,NaN,NaN,,,,,
4,82,79,NaN,,-6,NaN,NaN,NaN,-6,,-10,158,-6
5,,,NaN,,,NaN,NaN,NaN,,,,,
6,83,79,NaN,,-6,NaN,NaN,NaN,-6,,-10,146,-6
7,,,NaN,,,NaN,NaN,NaN,,,,,
8,86,79,NaN,,-6,NaN,NaN,NaN,-6,,-10,138,-6
9,,,NaN,,,NaN,NaN,NaN,,,,,
10,98,79,NaN,,-6,NaN,NaN,NaN,-6,,-10,104,-6
11,,,NaN,,,NaN,NaN,NaN,,,,,
12,100,79,NaN,,-6,NaN,NaN,NaN,-6,,-10,82,-6
13,,,NaN,,,NaN,NaN,NaN,,,,,
14,100,79,NaN,,-6,NaN,NaN,NaN,-6,,-10,77,-6
15,,,NaN,,,NaN,NaN,NaN,,,,,
16,100,80,NaN,,-6,NaN,NaN,NaN,-6,,-10,79,-6
17,,,NaN,,,NaN,NaN,NaN,,,,,
18,98,80,NaN,,-6,NaN,NaN,NaN,-6,,-10,79,-6
19,,,NaN,,,NaN,NaN,NaN,,,,,
20,95,79,NaN,,-6,NaN,NaN,NaN,-6,,-10,79,-6
21,,,NaN,,,NaN,NaN,NaN,,,,,
22,95,77,NaN,,-6,NaN,NaN,NaN,-6,,-11,79,-6
23,,,NaN,,,NaN,NaN,NaN,,,,,
24,100,77,NaN,,-6,NaN,NaN,NaN,-6,,-11,80,-6
25,,,NaN,,,NaN,NaN,NaN,,,,,
26,100,78,NaN,,-4,NaN,NaN,NaN,-4,,-12,79,-4
27,,,NaN,,,NaN,NaN,NaN,,,,,
28,100,78,NaN,,-4,NaN,NaN,NaN,-4,,-12,79,-4
29,,,NaN,,,NaN,NaN,NaN,,,,,
30,100,79,NaN,,-5,NaN,NaN,NaN,-5,,-11,79,-5
31,,,NaN,,,NaN,NaN,NaN,,,,,
32,100,79,NaN,,-5,NaN,NaN,NaN,-5,,-11,80,-5
33,,,NaN,,,NaN,NaN,NaN,,,,,
34,100,79,NaN,,-5,NaN,NaN,NaN,-5,,-10,79,-5
35,,,NaN,,,NaN,NaN,NaN,,,,,
36,100,78,NaN,,-5,NaN,NaN,NaN,-5,,-10,79,-5
37,,,NaN,,,NaN,NaN,NaN,,,,,
38,100,78,NaN,,-5,NaN,NaN,NaN,-5,,-11,79,-5
39,,,NaN,,,NaN,NaN,NaN,,,,,
40,100,79,NaN,,-5,NaN,NaN,NaN,-5,,-11,79,-5
41,,,NaN,,,NaN,NaN,NaN,,,,,
42,100,80,NaN,,-5,NaN,NaN,NaN,-5,,-11,79,-5
43,,,NaN,,,NaN,NaN,NaN,,,,,
44,100,79,NaN,,-5,NaN,NaN,NaN,-19,,-11,80,28
45,,,NaN,,,NaN,NaN,NaN,,,,,
46,100,79,NaN,,-3,NaN,NaN,NaN,-23,,-11,80,21
47,,,NaN,,,NaN,NaN,NaN,,,,,
48,100,78,NaN,,-3,NaN,NaN,NaN,-19,,-11,79,23
49,,,NaN,,,NaN,NaN,NaN,,,,,
50,100,78,NaN,,-4,NaN,NaN,NaN,-14,,-11,79,5
51,,,NaN,,,NaN,NaN,NaN,,,,,
52,100,80,NaN,,-4,NaN,NaN,NaN,-9,,-11,80,2
53,,,NaN,,,NaN,NaN,NaN,,,,,
54,100,82,NaN,,-5,NaN,NaN,NaN,-13,,-11,81,2
55,,,NaN,,,NaN,NaN,NaN,,,,,
56,100,83,NaN,,-4,NaN,NaN,NaN,,,-11,83,
57,,,NaN,,,NaN,NaN,NaN,,,,,
58,100,82,NaN,,-4,NaN,NaN,NaN,,,-11,82,
59,,,NaN,,,NaN,NaN,NaN,,,,,
60,100,80,NaN,,-4,NaN,NaN,NaN,,,-11,82,
61,,,NaN,,,NaN,NaN,NaN,,,,,
62,100,79,NaN,,-4,NaN,NaN,NaN,,,-11,80,
63,,,NaN,,,NaN,NaN,NaN,,,,,
64,100,80,NaN,,-4,NaN,NaN,NaN,,,-10,80,
65,,,NaN,,,NaN,NaN,NaN,,,,,
66,100,82,NaN,0,-4,NaN,NaN,NaN,,,-10,82,
67,,,NaN,,,NaN,NaN,NaN,,,,,
68,100,85,NaN,0,-4,NaN,NaN,NaN,-7,,-10,85,1
69,,,NaN,,,NaN,NaN,NaN,,,,,
70,100,86,NaN,0,-4,NaN,NaN,NaN,-13,,-10,86,6
71,,,NaN,,,NaN,NaN,NaN,,,,,
72,100,86,NaN,0,-4,NaN,NaN,NaN,-13,,-10,86,6
73,,,NaN,,,NaN,NaN,NaN,,,,,
74,100,87,NaN,0,-4,NaN,NaN,NaN,-11,,-10,87,4
75,,,NaN,,,NaN,NaN,NaN,,,,,
76,100,87,NaN,0,-4,NaN,NaN,NaN,-9,,-10,87,3
77,,,NaN,,,NaN,NaN,NaN,,,,,
78,100,86,NaN,0,-4,NaN,NaN,NaN,-9,,-10,87,3
79,,,NaN,,,NaN,NaN,NaN,,,,,
80,100,83,NaN,0,-4,NaN,NaN,NaN,-11,,-10,84,7
81,,,NaN,,,NaN,NaN,NaN,,,,,
82,100,80,NaN,0,-4,NaN,NaN,NaN,-11,,-10,82,7
83,,,NaN,,,NaN,NaN,NaN,,,,,
84,100,77,NaN,0,-4,NaN,NaN,NaN,-11,,-10,79,7
85,,,NaN,,,NaN,NaN,NaN,,,,,
86,100,77,NaN,0,-3,NaN,NaN,NaN,-3,,-10,78,-3
87,,,NaN,,,NaN,NaN,NaN,,,,,
88,100,77,NaN,0,-3,NaN,NaN,NaN,-3,,-10,77,-3
89,,,NaN,,,NaN,NaN,NaN,,,,,
90,100,77,NaN,0,-4,NaN,NaN,NaN,-4,,-10,77,-4
91,,,NaN,,,NaN,NaN,NaN,,,,,
92,100,77,NaN,0,-4,NaN,NaN,NaN,-4,,-10,77,-4
93,,,NaN,,,NaN,NaN,NaN,,,,,
94,100,77,NaN,0,-4,NaN,NaN,NaN,-4,,-10,77,-4
95,,,NaN,,,NaN,NaN,NaN,,,,,
96,100,76,NaN,0,-4,NaN,NaN,NaN,-4,,-10,77,-4
97,,,NaN,,,NaN,NaN,NaN,,,,,
98,100,76,NaN,0,-4,NaN,NaN,NaN,-4,,-10,77,-4
99,,,NaN,,,NaN,NaN,NaN,,,,,
100,100,75,NaN,0,-4,NaN,NaN,NaN,-4,,-10,76,-4
101,,,NaN,,,NaN,NaN,NaN,,,,,
102,100,75,NaN,0,-4,NaN,NaN,NaN,-4,,-9,76,-4
103,,,NaN,,,NaN,NaN,NaN,,,,,
104,100,75,NaN,0,-4,NaN,NaN,NaN,-4,,-9,76,-4
105,,,NaN,,,NaN,NaN,NaN,,,,,
106,100,75,NaN,0,-3,NaN,NaN,NaN,-3,,-9,76,-3
107,,,NaN,,,NaN,NaN,NaN,,,,,
108,100,76,NaN,0,-3,NaN,NaN,NaN,-3,,-9,76,-3
109,,,NaN,,,NaN,NaN,NaN,,,,,
110,100,76,NaN,0,-3,NaN,NaN,NaN,-3,,-9,76,-3
111,,,NaN,,,NaN,NaN,NaN,,,,,
112,100,77,NaN,0,-4,NaN,NaN,NaN,-5,,-9,77,-2
113,,,NaN,,,NaN,NaN,NaN,,,,,
114,100,78,NaN,0,-4,NaN,NaN,NaN,-6,,-9,78,-2
115,,,NaN,,,NaN,NaN,NaN,,,,,
116,100,79,NaN,0,-4,NaN,NaN,NaN,-5,,-9,79,-2
117,,,NaN,,,NaN,NaN,NaN,,,,,
118,100,80,NaN,0,-4,NaN,NaN,NaN,-5,,-9,80,-2
119,,,NaN,,,NaN,NaN,NaN,,,,,
120,100,82,NaN,0,-4,NaN,NaN,NaN,-4,,-9,81,-4
121,,,NaN,,,NaN,NaN,NaN,,,,,
122,100,82,NaN,0,-4,NaN,NaN,NaN,-4,,-9,82,-4
123,,,NaN,,,NaN,NaN,NaN,,,,,
124,100,81,NaN,0,-4,NaN,NaN,NaN,-4,,-9,82,-4
125,,,NaN,,,NaN,NaN,NaN,,,,,
126,100,81,NaN,0,-4,NaN,NaN,NaN,-4,,-9,81,-4
127,,,NaN,,,NaN,NaN,NaN,,,,,
128,100,78,NaN,0,-4,NaN,NaN,NaN,-4,,-9,79,-4
129,,,NaN,,,NaN,NaN,NaN,,,,,
130,100,77,NaN,0,-4,NaN,NaN,NaN,-4,,-9,78,-4
131,,,NaN,,,NaN,NaN,NaN,,,,,
132,100,77,NaN,0,-3,NaN,NaN,NaN,-3,,-9,78,-3
133,,,NaN,,,NaN,NaN,NaN,,,,,
134,100,77,NaN,0,-3,NaN,NaN,NaN,-3,,-9,78,-3
135,,,NaN,,,NaN,NaN,NaN,,,,,
136,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-8,78,-3
137,,,NaN,,,NaN,NaN,NaN,,,,,
138,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-8,79,-3
139,,,NaN,,,NaN,NaN,NaN,,,,,
140,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
141,,,NaN,,,NaN,NaN,NaN,,,,,
142,100,79,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
143,,,NaN,,,NaN,NaN,NaN,,,,,
144,100,79,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
145,,,NaN,,,NaN,NaN,NaN,,,,,
146,100,80,NaN,0,-3,NaN,NaN,NaN,-3,,-9,80,-3
147,,,NaN,,,NaN,NaN,NaN,,,,,
148,100,80,NaN,0,-3,NaN,NaN,NaN,-3,,-9,80,-3
149,,,NaN,,,NaN,NaN,NaN,,,,,
150,100,79,NaN,0,-3,NaN,NaN,NaN,-3,,-9,80,-3
151,,,NaN,,,NaN,NaN,NaN,,,,,
152,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-9,79,-3
153,,,NaN,,,NaN,NaN,NaN,,,,,
154,100,78,NaN,0,-3,NaN,NaN,NaN,-3,,-9,78,-3
155,,,NaN,,,NaN,NaN,NaN,,,,,
156,100,77,NaN,0,-3,NaN,NaN,NaN,-3,,-9,78,-3
157,,,NaN,,,NaN,NaN,NaN,,,,,
158,100,76,NaN,0,-3,NaN,NaN,NaN,-3,,-9,77,-3
159,,,NaN,,,NaN,NaN,NaN,,,,,
160,100,76,NaN,0,-2,NaN,NaN,NaN,-2,,-9,77,-2
161,,,NaN,,,NaN,NaN,NaN,,,,,
162,100,76,NaN,0,-2,NaN,NaN,NaN,-2,,-9,77,-2
163,,,NaN,,,NaN,NaN,NaN,,,,,
164,100,76,NaN,0,-2,NaN,NaN,NaN,-2,,-9,76,-2
165,,,NaN,,,NaN,NaN,NaN,,,,,
166,100,76,NaN,0,-2,NaN,NaN,NaN,-2,,-8,76,-2
167,,,NaN,,,NaN,NaN,NaN,,,,,
168,100,75,NaN,0,-3,NaN,NaN,NaN,-3,,-8,76,-3
169,,,NaN,,,NaN,NaN,NaN,,,,,
