time,Solar8000/ART_MBP,SNUADC/ECG_II,SNUADC/ART,Solar8000/PLETH_SPO2,Solar8000/CVP,SNUADC/CVP,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/ETCO2,SNUADC/ECG_V5,Solar8000/HR
0,,NaN,NaN,,,NaN,,,,,,NaN,
1,,-4.9562602043151855,-491.88665771484375,,,-495.6260070800781,,,,,,-4.9562602043151855,
2,,-4.956240177154541,-491.88470458984375,,,-495.6240234375,,,,,,-4.956240177154541,
3,1,NaN,NaN,,-6,NaN,1,,1,,0,NaN,104
4,,NaN,NaN,,,NaN,,,,,,NaN,
5,0,NaN,NaN,,-7,NaN,0,,0,,0,NaN,104
6,,NaN,NaN,,,NaN,,,,,,NaN,
7,0,NaN,NaN,,-7,NaN,0,,0,,0,NaN,104
8,,NaN,NaN,,,NaN,,,,,,NaN,
9,0,NaN,NaN,,-7,NaN,0,,0,,0,NaN,104
10,,NaN,NaN,,,NaN,,,,,,NaN,
11,0,NaN,NaN,,-7,NaN,0,,0,,0,NaN,104
12,,NaN,NaN,,,NaN,,,,,,NaN,
13,0,NaN,NaN,,-7,NaN,0,,0,,0,NaN,104
14,,NaN,NaN,,,NaN,,,,,,NaN,
15,0,NaN,NaN,,-7,NaN,0,,0,,0,NaN,104
16,,NaN,NaN,,,NaN,,,,,,NaN,
17,0,NaN,NaN,,-9,NaN,0,,0,,0,NaN,105
18,,NaN,NaN,,,NaN,,,,,,NaN,
19,0,NaN,NaN,94,-9,NaN,0,,0,158,0,NaN,104
20,,NaN,NaN,,,NaN,,,,,,NaN,
21,0,NaN,NaN,99,-7,NaN,0,,0,132,0,NaN,103
22,,NaN,NaN,,,NaN,,,,,,NaN,
23,0,NaN,NaN,97,-7,NaN,0,,0,119,0,NaN,103
24,,NaN,NaN,,,NaN,,,,,,NaN,
25,0,NaN,NaN,97,-7,NaN,0,,0,120,0,NaN,103
26,,NaN,NaN,,,NaN,,,,,,NaN,
27,0,NaN,NaN,97,-7,NaN,0,,0,120,0,NaN,103
28,,NaN,NaN,,,NaN,,,,,,NaN,
29,0,NaN,NaN,98,-7,NaN,0,,0,113,0,NaN,103
30,,NaN,NaN,,,NaN,,,,,,NaN,
31,0,NaN,NaN,100,-7,NaN,0,,0,111,0,NaN,104
32,,NaN,NaN,,,NaN,,,,,,NaN,
33,0,NaN,NaN,100,-8,NaN,0,,0,108,0,NaN,104
34,,NaN,NaN,,,NaN,,,,,,NaN,
35,0,NaN,NaN,100,-8,NaN,0,,0,105,0,NaN,104
36,,NaN,NaN,,,NaN,,,,,,NaN,
37,0,NaN,NaN,100,-8,NaN,0,,0,105,0,NaN,104
38,,NaN,NaN,,,NaN,,,,,,NaN,
39,0,NaN,NaN,100,-8,NaN,0,,0,105,0,NaN,105
40,,NaN,NaN,,,NaN,,,,,,NaN,
41,0,NaN,NaN,100,-8,NaN,0,,0,106,0,NaN,105
