time,Solar8000/ART_SBP,Solar8000/PLETH_SPO2,SNUADC/ECG_II,Solar8000/ART_MBP,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/ETCO2,Solar8000/PLETH_HR,SNUADC/ART,SNUADC/CVP,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/HR
0,,,NaN,,,NaN,,,NaN,NaN,,,
1,,,-4.9562602043151855,,,-4.9562602043151855,,,-499.346923828125,-495.6260070800781,,,
2,,,-4.956240177154541,,,-4.956240177154541,,,-499.344970703125,-495.6240234375,,,
3,133,100,NaN,77,51,NaN,0,156,NaN,NaN,,265,77
4,,,NaN,,,NaN,,,NaN,NaN,,,
5,134,100,NaN,77,55,NaN,0,154,NaN,NaN,,265,77
6,,,NaN,,,NaN,,,NaN,NaN,,,
7,131,100,NaN,77,56,NaN,0,161,NaN,NaN,,265,77
8,,,NaN,,,NaN,,,NaN,NaN,,,
9,120,100,NaN,75,41,NaN,0,161,NaN,NaN,,265,77
10,,,NaN,,,NaN,,,NaN,NaN,,,
11,126,100,NaN,75,52,NaN,0,161,NaN,NaN,,265,77
12,,,NaN,,,NaN,,,NaN,NaN,,,
13,132,100,NaN,78,58,NaN,0,155,NaN,NaN,,265,77
14,,,NaN,,,NaN,,,NaN,NaN,,,
15,132,100,NaN,78,58,NaN,0,155,NaN,NaN,,265,77
16,,,NaN,,,NaN,,,NaN,NaN,,,
17,132,100,NaN,78,57,NaN,18,155,NaN,NaN,,266,77
18,,,NaN,,,NaN,,,NaN,NaN,,,
19,132,100,NaN,78,57,NaN,18,155,NaN,NaN,,266,77
20,,,NaN,,,NaN,,,NaN,NaN,,,
21,136,100,NaN,79,58,NaN,18,155,NaN,NaN,,266,77
22,,,NaN,,,NaN,,,NaN,NaN,,,
23,133,100,NaN,78,54,NaN,,161,NaN,NaN,,266,76
24,,,NaN,,,NaN,,,NaN,NaN,,,
25,122,100,NaN,77,28,NaN,,160,NaN,NaN,,266,76
26,,,NaN,,,NaN,,,NaN,NaN,,,
27,122,100,NaN,77,28,NaN,,160,NaN,NaN,,266,76
28,,,NaN,,,NaN,,,NaN,NaN,,,
29,118,100,NaN,78,34,NaN,,160,NaN,NaN,,266,76
30,,,NaN,,,NaN,,,NaN,NaN,,,
31,132,100,NaN,76,51,NaN,,160,NaN,NaN,,266,76
32,,,NaN,,,NaN,,,NaN,NaN,,,
33,133,100,NaN,77,57,NaN,,160,NaN,NaN,,266,76
34,,,NaN,,,NaN,,,NaN,NaN,,,
35,136,100,NaN,78,58,NaN,,160,NaN,NaN,,266,75
36,,,NaN,,,NaN,,,NaN,NaN,,,
37,135,100,NaN,78,57,NaN,,160,NaN,NaN,,266,75
38,,,NaN,,,NaN,,,NaN,NaN,,,
39,138,,NaN,80,60,NaN,,,NaN,NaN,,266,75
40,,,NaN,,,NaN,,,NaN,NaN,,,
41,137,,NaN,81,51,NaN,,,NaN,NaN,,266,75
42,,,NaN,,,NaN,,,NaN,NaN,,,
43,135,,NaN,80,58,NaN,,,NaN,NaN,,266,75
44,,,NaN,,,NaN,,,NaN,NaN,,,
45,133,,NaN,80,44,NaN,,,NaN,NaN,,266,76
46,,,NaN,,,NaN,,,NaN,NaN,,,
