time,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/ART_DBP,Solar8000/ART_SBP,SNUADC/ART,Solar8000/PLETH_SPO2,Solar8000/ART_MBP,Solar8000/HR,SNUADC/CVP,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/PLETH_HR,Solar8000/ETCO2
0,NaN,NaN,,,NaN,,,,NaN,,,,
1,-4.9562602043151855,-4.9562602043151855,,,-499.346923828125,,,,-495.6260070800781,,,,
2,-4.956240177154541,-4.956240177154541,,,-499.344970703125,,,,-495.6240234375,,,,
3,NaN,NaN,,,NaN,71,,103,NaN,,,130,0
4,NaN,NaN,,,NaN,,,,NaN,,,,
5,NaN,NaN,,,NaN,71,,102,NaN,,,129,0
6,NaN,NaN,,,NaN,,,,NaN,,,,
7,NaN,NaN,,,NaN,71,,100,NaN,,,129,0
8,NaN,NaN,,,NaN,,,,NaN,,,,
9,NaN,NaN,,,NaN,72,,98,NaN,,,130,0
10,NaN,NaN,,,NaN,,,,NaN,,,,
11,NaN,NaN,,,NaN,71,,94,NaN,,,131,0
12,NaN,NaN,,,NaN,,,,NaN,,,,
13,NaN,NaN,,,NaN,72,,92,NaN,,,132,0
14,NaN,NaN,,,NaN,,,,NaN,,,,
15,NaN,NaN,,,NaN,71,,90,NaN,,,138,0
16,NaN,NaN,,,NaN,,,,NaN,,,,
17,NaN,NaN,,,NaN,70,,89,NaN,,,139,0
18,NaN,NaN,,,NaN,,,,NaN,,,,
19,NaN,NaN,,,NaN,70,,89,NaN,,,139,0
20,NaN,NaN,,,NaN,,,,NaN,,,,
21,NaN,NaN,,,NaN,71,,89,NaN,,,147,0
22,NaN,NaN,,,NaN,,,,NaN,,,,
23,NaN,NaN,,,NaN,72,,89,NaN,,,155,0
24,NaN,NaN,,,NaN,,,,NaN,,,,
25,NaN,NaN,,,NaN,73,,89,NaN,,,159,0
26,NaN,NaN,,,NaN,,,,NaN,,,,
27,NaN,NaN,,,NaN,73,,88,NaN,,,159,0
28,NaN,NaN,,,NaN,,,,NaN,,,,
29,NaN,NaN,,,NaN,73,,89,NaN,,,159,0
30,NaN,NaN,,,NaN,,,,NaN,,,,
31,NaN,NaN,,,NaN,73,,89,NaN,,,164,0
32,NaN,NaN,,,NaN,,,,NaN,,,,
33,NaN,NaN,,,NaN,75,,86,NaN,,,178,0
34,NaN,NaN,,,NaN,,,,NaN,,,,
35,NaN,NaN,,,NaN,76,,86,NaN,,,175,0
36,NaN,NaN,,,NaN,,,,NaN,,,,
37,NaN,NaN,,,NaN,76,,85,NaN,,,175,0
38,NaN,NaN,,,NaN,,,,NaN,,,,
39,NaN,NaN,,,NaN,75,,86,NaN,,,167,0
40,NaN,NaN,,,NaN,,,,NaN,,,,
41,NaN,NaN,,,NaN,75,,86,NaN,,,167,0
42,NaN,NaN,,,NaN,,,,NaN,,,,
43,NaN,NaN,,,NaN,75,,85,NaN,,,167,0
44,NaN,NaN,,,NaN,,,,NaN,,,,
45,NaN,NaN,,,NaN,75,,85,NaN,,,167,0
46,NaN,NaN,,,NaN,,,,NaN,,,,
47,NaN,NaN,,,NaN,74,,85,NaN,,,171,0
48,NaN,NaN,,,NaN,,,,NaN,,,,
