time,SNUADC/ART,Solar8000/RR_CO2,Solar8000/HR,SNUADC/ECG_II,SNUADC/CVP,SNUADC/ECG_V5,Solar8000/ART_DBP,Solar8000/CVP,Solar8000/ETCO2,Solar8000/PLETH_HR,Solar8000/ART_MBP,Solar8000/ART_SBP,Solar8000/PLETH_SPO2
0,NaN,,,NaN,NaN,NaN,,,,,,,
1,-491.88665771484375,,,-4.9562602043151855,-495.6260070800781,-4.9562602043151855,,,,,,,
2,-491.88470458984375,,67,-4.956240177154541,-495.6240234375,-4.956240177154541,-11,-12,0,64,-10,-8,100
3,NaN,,,NaN,NaN,NaN,,,,,,,
4,NaN,,68,NaN,NaN,NaN,-14,-2,0,70,-11,-7,100
5,NaN,,,NaN,NaN,NaN,,,,,,,
6,NaN,,72,NaN,NaN,NaN,-14,-2,0,71,-11,-7,100
7,NaN,,,NaN,NaN,NaN,,,,,,,
8,NaN,,83,NaN,NaN,NaN,-14,3,0,75,-11,-7,100
9,NaN,,,NaN,NaN,NaN,,,,,,,
10,NaN,,79,NaN,NaN,NaN,-10,3,0,76,-10,-10,100
11,NaN,,,NaN,NaN,NaN,,,,,,,
12,NaN,,74,NaN,NaN,NaN,-10,3,0,73,-10,-10,100
13,NaN,,,NaN,NaN,NaN,,,,,,,
14,NaN,,64,NaN,NaN,NaN,-10,5,0,73,-10,-10,100
15,NaN,,,NaN,NaN,NaN,,,,,,,
16,NaN,,58,NaN,NaN,NaN,-10,5,0,72,-10,-10,100
17,NaN,,,NaN,NaN,NaN,,,,,,,
18,NaN,,64,NaN,NaN,NaN,-10,6,0,70,-10,-10,100
19,NaN,,,NaN,NaN,NaN,,,,,,,
20,NaN,,70,NaN,NaN,NaN,-10,6,0,66,-10,-10,100
21,NaN,,,NaN,NaN,NaN,,,,,,,
22,NaN,,71,NaN,NaN,NaN,-10,8,0,66,-10,-10,100
23,NaN,,,NaN,NaN,NaN,,,,,,,
24,NaN,,76,NaN,NaN,NaN,-10,8,28,67,-10,-10,100
25,NaN,,,NaN,NaN,NaN,,,,,,,
26,NaN,,78,NaN,NaN,NaN,-10,10,28,67,-10,-10,100
27,NaN,,,NaN,NaN,NaN,,,,,,,
28,NaN,,85,NaN,NaN,NaN,-10,10,28,68,-10,-10,100
29,NaN,,,NaN,NaN,NaN,,,,,,,
30,NaN,,81,NaN,NaN,NaN,-9,11,28,69,-9,-9,100
31,NaN,,,NaN,NaN,NaN,,,,,,,
32,NaN,,81,NaN,NaN,NaN,-9,11,,70,-9,-9,100
33,NaN,,,NaN,NaN,NaN,,,,,,,
34,NaN,,79,NaN,NaN,NaN,-9,12,,71,-9,-9,100
35,NaN,,,NaN,NaN,NaN,,,,,,,
36,NaN,,72,NaN,NaN,NaN,-9,12,,69,-9,-9,100
37,NaN,,,NaN,NaN,NaN,,,,,,,
38,NaN,,66,NaN,NaN,NaN,-10,13,,70,-10,-10,100
39,NaN,,,NaN,NaN,NaN,,,,,,,
40,NaN,,66,NaN,NaN,NaN,-10,13,,72,-10,-10,100
41,NaN,,,NaN,NaN,NaN,,,,,,,
42,NaN,,73,NaN,NaN,NaN,-10,13,,71,-10,-10,100
43,NaN,,,NaN,NaN,NaN,,,,,,,
44,NaN,,82,NaN,NaN,NaN,-10,13,,76,-10,-10,100
45,NaN,,,NaN,NaN,NaN,,,,,,,
46,NaN,,88,NaN,NaN,NaN,-9,13,,78,-9,-9,100
47,NaN,,,NaN,NaN,NaN,,,,,,,
48,NaN,,87,NaN,NaN,NaN,-9,13,,82,-9,-9,100
49,NaN,,,NaN,NaN,NaN,,,,,,,
50,NaN,,83,NaN,NaN,NaN,-9,13,,78,-9,-9,100
51,NaN,,,NaN,NaN,NaN,,,,,,,
