time,SNUADC/ART,Solar8000/ART_DBP,SNUADC/ECG_II,Solar8000/PLETH_SPO2,Solar8000/RR_CO2,Solar8000/ETCO2,SNUADC/CVP,Solar8000/HR,Solar8000/PLETH_HR,Solar8000/ART_MBP,SNUADC/ECG_V5,Solar8000/CVP,Solar8000/ART_SBP
0,NaN,,NaN,,,,NaN,,,,NaN,,
1,-496.78717041015625,,-4.9562602043151855,,,,-495.6260070800781,,,,-4.9562602043151855,,
2,-496.7851867675781,,-4.956240177154541,,,,-495.6240234375,,,,-4.956240177154541,,
3,NaN,,NaN,,,,NaN,,,,NaN,,
4,NaN,,NaN,,,,NaN,,,,NaN,,
5,NaN,-12,NaN,97,,,NaN,80,80,-12,NaN,-26,-12
6,NaN,,NaN,,,,NaN,,,,NaN,,
7,NaN,-11,NaN,97,,,NaN,79,80,-11,NaN,-26,-11
8,NaN,,NaN,,,,NaN,,,,NaN,,
9,NaN,-11,NaN,97,,,NaN,79,80,-11,NaN,-26,-11
10,NaN,,NaN,,,,NaN,,,,NaN,,
11,NaN,-12,NaN,97,,,NaN,79,80,-12,NaN,-26,-12
12,NaN,,NaN,,,,NaN,,,,NaN,,
13,NaN,-12,NaN,97,,,NaN,79,79,-12,NaN,-26,-12
14,NaN,,NaN,,,,NaN,,,,NaN,,
15,NaN,-12,NaN,97,,,NaN,80,80,-12,NaN,-26,-12
16,NaN,,NaN,,,,NaN,,,,NaN,,
17,NaN,-12,NaN,97,,,NaN,80,80,-12,NaN,-25,-12
18,NaN,,NaN,,,,NaN,,,,NaN,,
19,NaN,-12,NaN,97,,,NaN,80,80,-12,NaN,-25,-12
20,NaN,,NaN,,,,NaN,,,,NaN,,
21,NaN,-12,NaN,97,,,NaN,79,80,-12,NaN,-25,-12
22,NaN,,NaN,,,,NaN,,,,NaN,,
23,NaN,-12,NaN,97,,,NaN,79,80,-12,NaN,-25,-12
24,NaN,,NaN,,,,NaN,,,,NaN,,
25,NaN,-12,NaN,97,,,NaN,79,80,-12,NaN,-26,-12
26,NaN,,NaN,,,,NaN,,,,NaN,,
27,NaN,-12,NaN,97,,,NaN,80,80,-12,NaN,-26,-12
28,NaN,,NaN,,,,NaN,,,,NaN,,
29,NaN,-12,NaN,97,,,NaN,80,80,-12,NaN,-26,-12
30,NaN,,NaN,,,,NaN,,,,NaN,,
31,NaN,-12,NaN,97,,,NaN,81,80,-12,NaN,-26,-12
32,NaN,,NaN,,,,NaN,,,,NaN,,
33,NaN,-12,NaN,97,,,NaN,81,81,-12,NaN,-26,-12
34,NaN,,NaN,,,,NaN,,,,NaN,,
35,NaN,-12,NaN,97,,,NaN,81,81,-12,NaN,-26,-12
36,NaN,,NaN,,,,NaN,,,,NaN,,
37,NaN,-12,NaN,97,,,NaN,81,80,-12,NaN,-26,-12
38,NaN,,NaN,,,,NaN,,,,NaN,,
39,NaN,-12,NaN,97,,,NaN,82,81,-12,NaN,-26,-12
40,NaN,,NaN,,,,NaN,,,,NaN,,
41,NaN,-12,NaN,97,,,NaN,82,81,-12,NaN,-26,-12
42,NaN,,NaN,,,,NaN,,,,NaN,,
43,NaN,-11,NaN,97,,,NaN,82,82,-11,NaN,-26,-11
44,NaN,,NaN,,,,NaN,,,,NaN,,
45,NaN,-11,NaN,97,,,NaN,82,83,-11,NaN,-26,-11
46,NaN,,NaN,,,,NaN,,,,NaN,,
47,NaN,-11,NaN,97,,,NaN,81,82,-11,NaN,-25,-11
48,NaN,,NaN,,,,NaN,,,,NaN,,
49,NaN,-11,NaN,97,,,NaN,80,81,-11,NaN,-25,-11
50,NaN,,NaN,,,,NaN,,,,NaN,,
51,NaN,-11,NaN,97,,,NaN,81,82,-11,NaN,-26,-11
52,NaN,,NaN,,,,NaN,,,,NaN,,
53,NaN,-11,NaN,97,,,NaN,81,81,-11,NaN,-26,-11
54,NaN,,NaN,,,,NaN,,,,NaN,,
55,NaN,-11,NaN,97,,,NaN,82,82,-11,NaN,-26,-11
56,NaN,,NaN,,,,NaN,,,,NaN,,
57,NaN,-11,NaN,97,,,NaN,81,82,-11,NaN,-26,-11
58,NaN,,NaN,,,,NaN,,,,NaN,,
59,NaN,-11,NaN,97,,,NaN,82,81,-11,NaN,-26,-11
60,NaN,,NaN,,,,NaN,,,,NaN,,
61,NaN,-11,NaN,97,,,NaN,81,80,-11,NaN,-26,-11
62,NaN,,NaN,,,,NaN,,,,NaN,,
63,NaN,-11,NaN,97,,,NaN,80,78,-11,NaN,-26,-11
64,NaN,,NaN,,,,NaN,,,,NaN,,
65,NaN,-11,NaN,97,,,NaN,80,79,-11,NaN,-26,-11
66,NaN,,NaN,,,,NaN,,,,NaN,,
67,NaN,-11,NaN,98,,,NaN,81,80,-11,NaN,-25,-11
68,NaN,,NaN,,,,NaN,,,,NaN,,
69,NaN,-11,NaN,98,,,NaN,81,82,-11,NaN,-25,-11
70,NaN,,NaN,,,,NaN,,,,NaN,,
71,NaN,-11,NaN,98,,,NaN,82,82,-11,NaN,-26,-11
72,NaN,,NaN,,,,NaN,,,,NaN,,
73,NaN,-11,NaN,98,,,NaN,82,82,-11,NaN,-26,-11
74,NaN,,NaN,,,,NaN,,,,NaN,,
75,NaN,-11,NaN,98,,,NaN,82,81,-11,NaN,-26,-11
76,NaN,,NaN,,,,NaN,,,,NaN,,
77,NaN,-11,NaN,98,,,NaN,82,81,-11,NaN,-26,-11
78,NaN,,NaN,,,,NaN,,,,NaN,,
79,NaN,-11,NaN,98,,,NaN,81,81,-11,NaN,-26,-11
80,NaN,,NaN,,,,NaN,,,,NaN,,
81,NaN,-11,NaN,98,,,NaN,83,82,-11,NaN,-26,-11
82,NaN,,NaN,,,,NaN,,,,NaN,,
83,NaN,-11,NaN,98,,,NaN,82,82,-11,NaN,-26,-11
84,NaN,,NaN,,,,NaN,,,,NaN,,
85,NaN,-11,NaN,98,,,NaN,83,84,-11,NaN,-26,-11
86,NaN,,NaN,,,,NaN,,,,NaN,,
87,NaN,-11,NaN,97,,,NaN,83,83,-11,NaN,-26,-11
88,NaN,,NaN,,,,NaN,,,,NaN,,
89,NaN,-11,NaN,97,,,NaN,82,83,-11,NaN,-25,-11
90,NaN,,NaN,,,,NaN,,,,NaN,,
91,NaN,-11,NaN,97,,,NaN,82,83,-11,NaN,-25,-11
92,NaN,,NaN,,,,NaN,,,,NaN,,
93,NaN,-11,NaN,97,,,NaN,83,83,-11,NaN,-25,-11
94,NaN,,NaN,,,,NaN,,,,NaN,,
95,NaN,-11,NaN,96,,,NaN,83,84,-11,NaN,-25,-11
96,NaN,,NaN,,,,NaN,,,,NaN,,
97,NaN,-11,NaN,96,,,NaN,83,84,-11,NaN,-26,-11
98,NaN,,NaN,,,,NaN,,,,NaN,,
99,NaN,-11,NaN,96,,,NaN,82,82,-11,NaN,-26,-11
100,NaN,,NaN,,,,NaN,,,,NaN,,
101,NaN,-11,NaN,96,,,NaN,81,82,-11,NaN,-26,-11
102,NaN,,NaN,,,,NaN,,,,NaN,,
103,NaN,-11,NaN,96,,,NaN,81,82,-11,NaN,-26,-11
104,NaN,,NaN,,,,NaN,,,,NaN,,
105,NaN,-11,NaN,96,,,NaN,82,83,-11,NaN,-26,-11
106,NaN,,NaN,,,,NaN,,,,NaN,,
107,NaN,-11,NaN,96,,,NaN,82,82,-11,NaN,-26,-11
108,NaN,,NaN,,,,NaN,,,,NaN,,
109,NaN,-11,NaN,96,,,NaN,82,82,-11,NaN,-26,-11
110,NaN,,NaN,,,,NaN,,,,NaN,,
111,NaN,-11,NaN,96,,,NaN,82,84,-11,NaN,-26,-11
112,NaN,,NaN,,,,NaN,,,,NaN,,
113,NaN,-11,NaN,96,,,NaN,81,82,-11,NaN,-26,-11
114,NaN,,NaN,,,,NaN,,,,NaN,,
115,NaN,-11,NaN,96,,,NaN,80,81,-11,NaN,-26,-11
116,NaN,,NaN,,,,NaN,,,,NaN,,
117,NaN,-11,NaN,96,,,NaN,81,81,-11,NaN,-26,-11
118,NaN,,NaN,,,,NaN,,,,NaN,,
119,NaN,-11,NaN,96,,,NaN,80,81,-11,NaN,-25,-11
120,NaN,,NaN,,,,NaN,,,,NaN,,
121,NaN,-11,NaN,96,,,NaN,81,81,-11,NaN,-25,-11
122,NaN,,NaN,,,,NaN,,,,NaN,,
123,NaN,-11,NaN,96,,,NaN,84,84,-11,NaN,-26,-11
124,NaN,,NaN,,,,NaN,,,,NaN,,
125,NaN,-11,NaN,96,,,NaN,83,84,-11,NaN,-26,-11
126,NaN,,NaN,,,,NaN,,,,NaN,,
127,NaN,-11,NaN,96,,,NaN,84,84,-11,NaN,-26,-11
128,NaN,,NaN,,,,NaN,,,,NaN,,
129,NaN,-11,NaN,97,,,NaN,82,84,-11,NaN,-26,-11
130,NaN,,NaN,,,,NaN,,,,NaN,,
131,NaN,-11,NaN,97,,,NaN,81,81,-11,NaN,-26,-11
132,NaN,,NaN,,,,NaN,,,,NaN,,
133,NaN,-11,NaN,97,,,NaN,80,81,-11,NaN,-26,-11
134,NaN,,NaN,,,,NaN,,,,NaN,,
135,NaN,-11,NaN,97,,,NaN,78,79,-11,NaN,-26,-11
136,NaN,,NaN,,,,NaN,,,,NaN,,
137,NaN,-11,NaN,97,,,NaN,80,79,-11,NaN,-26,-11
138,NaN,,NaN,,,,NaN,,,,NaN,,
139,NaN,-11,NaN,97,,,NaN,79,79,-11,NaN,-26,-11
140,NaN,,NaN,,,,NaN,,,,NaN,,
141,NaN,-11,NaN,98,,,NaN,78,78,-11,NaN,-26,-11
142,NaN,,NaN,,,,NaN,,,,NaN,,
143,NaN,-11,NaN,98,,,NaN,78,79,-11,NaN,-26,-11
144,NaN,,NaN,,,,NaN,,,,NaN,,
145,NaN,-11,NaN,98,,,NaN,79,79,-11,NaN,-26,-11
146,NaN,,NaN,,,,NaN,,,,NaN,,
147,NaN,-11,NaN,99,,,NaN,80,80,-11,NaN,-26,-11
148,NaN,,NaN,,,,NaN,,,,NaN,,
149,NaN,-11,NaN,99,,,NaN,81,81,-11,NaN,-26,-11
150,NaN,,NaN,,,,NaN,,,,NaN,,
151,NaN,-11,NaN,99,,,NaN,80,81,-11,NaN,-26,-11
152,NaN,,NaN,,,,NaN,,,,NaN,,
153,NaN,-11,NaN,100,,,NaN,79,80,-11,NaN,-26,-11
154,NaN,,NaN,,,,NaN,,,,NaN,,
155,NaN,-11,NaN,100,,,NaN,78,80,-11,NaN,-26,-11
156,NaN,,NaN,,,,NaN,,,,NaN,,
157,NaN,-11,NaN,100,,,NaN,80,80,-11,NaN,-26,-11
158,NaN,,NaN,,,,NaN,,,,NaN,,
159,NaN,-11,NaN,100,,,NaN,78,78,-11,NaN,-26,-11
160,NaN,,NaN,,,,NaN,,,,NaN,,
161,NaN,-11,NaN,100,,,NaN,78,79,-11,NaN,-26,-11
162,NaN,,NaN,,,,NaN,,,,NaN,,
163,NaN,-11,NaN,100,,,NaN,78,78,-11,NaN,-26,-11
164,NaN,,NaN,,,,NaN,,,,NaN,,
165,NaN,-11,NaN,100,,,NaN,78,78,-11,NaN,-26,-11
166,NaN,,NaN,,,,NaN,,,,NaN,,
167,NaN,-11,NaN,100,,,NaN,78,78,-11,NaN,-26,-11
168,NaN,,NaN,,,,NaN,,,,NaN,,
169,NaN,-11,NaN,100,,,NaN,78,78,-11,NaN,-26,-11
170,NaN,,NaN,,,,NaN,,,,NaN,,
171,NaN,-11,NaN,100,,,NaN,77,78,-11,NaN,-26,-11
172,NaN,,NaN,,,,NaN,,,,NaN,,
173,NaN,-11,NaN,100,,,NaN,77,77,-11,NaN,-26,-11
174,NaN,,NaN,,,,NaN,,,,NaN,,
175,NaN,-11,NaN,100,,,NaN,77,77,-11,NaN,-26,-11
176,NaN,,NaN,,,,NaN,,,,NaN,,
177,NaN,-11,NaN,100,,,NaN,77,77,-11,NaN,-26,-11
178,NaN,,NaN,,,,NaN,,,,NaN,,
179,NaN,-11,NaN,100,,,NaN,77,78,-11,NaN,-26,-11
180,NaN,,NaN,,,,NaN,,,,NaN,,
181,NaN,-11,NaN,100,,,NaN,79,79,-11,NaN,-26,-11
182,NaN,,NaN,,,,NaN,,,,NaN,,
183,NaN,-11,NaN,100,,,NaN,77,78,-11,NaN,-27,-11
184,NaN,,NaN,,,,NaN,,,,NaN,,
185,NaN,-11,NaN,100,,,NaN,78,79,-11,NaN,-27,-11
186,NaN,,NaN,,,,NaN,,,,NaN,,
187,NaN,-11,NaN,100,,,NaN,79,80,-11,NaN,-26,-11
188,NaN,,NaN,,,,NaN,,,,NaN,,
189,NaN,-11,NaN,100,,,NaN,79,80,-11,NaN,-26,-11
190,NaN,,NaN,,,,NaN,,,,NaN,,
191,NaN,-11,NaN,100,,,NaN,79,80,-11,NaN,-26,-11
192,NaN,,NaN,,,,NaN,,,,NaN,,
193,NaN,-11,NaN,100,,,NaN,77,78,-11,NaN,-26,-11
194,NaN,,NaN,,,,NaN,,,,NaN,,
195,NaN,-11,NaN,100,,,NaN,76,77,-11,NaN,-26,-11
196,NaN,,NaN,,,,NaN,,,,NaN,,
197,NaN,-11,NaN,100,,,NaN,77,77,-11,NaN,-26,-11
198,NaN,,NaN,,,,NaN,,,,NaN,,
199,NaN,-11,NaN,100,,,NaN,76,77,-11,NaN,-26,-11
200,NaN,,NaN,,,,NaN,,,,NaN,,
201,NaN,-11,NaN,100,,,NaN,76,76,-11,NaN,-26,-11
202,NaN,,NaN,,,,NaN,,,,NaN,,
203,NaN,-11,NaN,100,,,NaN,75,76,-11,NaN,-26,-11
204,NaN,,NaN,,,,NaN,,,,NaN,,
205,NaN,-11,NaN,100,,,NaN,75,75,-11,NaN,-26,-11
206,NaN,,NaN,,,,NaN,,,,NaN,,
207,NaN,-11,NaN,99,,,NaN,75,75,-11,NaN,-26,-11
208,NaN,,NaN,,,,NaN,,,,NaN,,
209,NaN,-11,NaN,99,,,NaN,75,75,-11,NaN,-26,-11
210,NaN,,NaN,,,,NaN,,,,NaN,,
211,NaN,-11,NaN,99,,,NaN,75,75,-11,NaN,-26,-11
212,NaN,,NaN,,,,NaN,,,,NaN,,
213,NaN,-11,NaN,99,,,NaN,75,74,-11,NaN,-25,-11
214,NaN,,NaN,,,,NaN,,,,NaN,,
