time,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,SNUADC/ECG_V5,Solar8000/HR,Solar8000/ART_SBP,Solar8000/CVP,SNUADC/ECG_II,Solar8000/ETCO2,Solar8000/RR_CO2,SNUADC/ART,SNUADC/CVP
0,,,,,NaN,,,,NaN,,,NaN,NaN
1,,,,,-4.9562602043151855,,,,-4.9562602043151855,,,-491.88665771484375,-495.6260070800781
2,-3,79,88,-4,-4.956240177154541,0,1,-6,-4.956240177154541,0,,-491.88470458984375,-495.6240234375
3,,,,,NaN,,,,NaN,,,NaN,NaN
4,-2,79,88,-2,NaN,0,-2,-6,NaN,0,,NaN,NaN
5,,,,,NaN,,,,NaN,,,NaN,NaN
6,-2,79,88,-2,NaN,0,-2,-6,NaN,0,,NaN,NaN
7,,,,,NaN,,,,NaN,,,NaN,NaN
8,-2,82,88,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
9,,,,,NaN,,,,NaN,,,NaN,NaN
10,-2,82,85,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
11,,,,,NaN,,,,NaN,,,NaN,NaN
12,-2,85,84,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
13,,,,,NaN,,,,NaN,,,NaN,NaN
14,-2,85,84,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
15,,,,,NaN,,,,NaN,,,NaN,NaN
16,-2,85,84,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
17,,,,,NaN,,,,NaN,,,NaN,NaN
18,-2,85,84,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
19,,,,,NaN,,,,NaN,,,NaN,NaN
20,-2,85,84,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
21,,,,,NaN,,,,NaN,,,NaN,NaN
22,-2,85,84,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
23,,,,,NaN,,,,NaN,,,NaN,NaN
24,-2,85,83,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
25,,,,,NaN,,,,NaN,,,NaN,NaN
26,-2,,,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
27,,,,,NaN,,,,NaN,,,NaN,NaN
28,-2,,,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
29,,,,,NaN,,,,NaN,,,NaN,NaN
30,-2,,,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
31,,,,,NaN,,,,NaN,,,NaN,NaN
32,-2,,,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
33,,,,,NaN,,,,NaN,,,NaN,NaN
34,-2,,,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
35,,,,,NaN,,,,NaN,,,NaN,NaN
36,-2,,,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
37,,,,,NaN,,,,NaN,,,NaN,NaN
38,-2,,,-2,NaN,0,-2,-7,NaN,0,,NaN,NaN
39,,,,,NaN,,,,NaN,,,NaN,NaN
