time,Solar8000/RR_CO2,Solar8000/ETCO2,SNUADC/ART,SNUADC/CVP,Solar8000/PLETH_HR,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/CVP,Solar8000/HR,Solar8000/ART_DBP,SNUADC/ECG_II
0,,,NaN,NaN,,,NaN,,,,,,NaN
1,,,-491.88665771484375,-495.6260070800781,,,-4.9562602043151855,,,,,,-4.9562602043151855
2,,,-491.88470458984375,-495.6240234375,,-9,-4.956240177154541,-11,,-12,76,-14,-4.956240177154541
3,,,NaN,NaN,,,NaN,,,,,,NaN
4,,,NaN,NaN,,-11,NaN,-11,,-12,76,-11,NaN
5,,,NaN,NaN,,,NaN,,,,,,NaN
6,,,NaN,NaN,,-11,NaN,-11,,-11,75,-11,NaN
7,,,NaN,NaN,,,NaN,,,,,,NaN
8,,,NaN,NaN,,-11,NaN,-11,,-11,86,-11,NaN
9,,,NaN,NaN,,,NaN,,,,,,NaN
10,,,NaN,NaN,166,-11,NaN,-11,86,-13,86,-11,NaN
11,,,NaN,NaN,,,NaN,,,,,,NaN
12,,,NaN,NaN,166,-11,NaN,-11,86,-13,86,-11,NaN
13,,,NaN,NaN,,,NaN,,,,,,NaN
14,,,NaN,NaN,166,-11,NaN,-11,86,-15,85,-11,NaN
15,,,NaN,NaN,,,NaN,,,,,,NaN
16,,,NaN,NaN,166,-11,NaN,-11,86,-15,85,-11,NaN
17,,,NaN,NaN,,,NaN,,,,,,NaN
18,,,NaN,NaN,166,-11,NaN,-11,86,-15,85,-11,NaN
19,,,NaN,NaN,,,NaN,,,,,,NaN
20,,,NaN,NaN,166,-11,NaN,-11,86,-15,77,-11,NaN
21,,,NaN,NaN,,,NaN,,,,,,NaN
22,,,NaN,NaN,,-11,NaN,-11,,-15,73,-11,NaN
23,,,NaN,NaN,,,NaN,,,,,,NaN
24,,,NaN,NaN,,-11,NaN,-11,,-15,72,-11,NaN
25,,,NaN,NaN,,,NaN,,,,,,NaN
26,,,NaN,NaN,,-11,NaN,-11,,-15,72,-11,NaN
27,,,NaN,NaN,,,NaN,,,,,,NaN
28,,,NaN,NaN,,-11,NaN,-11,,-14,72,-11,NaN
29,,,NaN,NaN,,,NaN,,,,,,NaN
30,,,NaN,NaN,,-11,NaN,-11,,-14,73,-11,NaN
31,,,NaN,NaN,,,NaN,,,,,,NaN
32,,,NaN,NaN,,-11,NaN,-11,,-12,73,-11,NaN
33,,,NaN,NaN,,,NaN,,,,,,NaN
34,,,NaN,NaN,183,-11,NaN,-11,85,-12,73,-11,NaN
35,,,NaN,NaN,,,NaN,,,,,,NaN
36,,,NaN,NaN,183,-11,NaN,-11,85,-12,73,-11,NaN
37,,,NaN,NaN,,,NaN,,,,,,NaN
38,,,NaN,NaN,183,-11,NaN,-11,85,-12,73,-11,NaN
39,,,NaN,NaN,,,NaN,,,,,,NaN
40,,,NaN,NaN,177,-11,NaN,-11,85,-12,72,-11,NaN
41,,,NaN,NaN,,,NaN,,,,,,NaN
42,,,NaN,NaN,164,-11,NaN,-11,83,-12,71,-11,NaN
43,,,NaN,NaN,,,NaN,,,,,,NaN
44,,,NaN,NaN,164,-11,NaN,-11,84,-12,70,-11,NaN
45,,,NaN,NaN,,,NaN,,,,,,NaN
46,,,NaN,NaN,164,-11,NaN,-11,84,-12,70,-11,NaN
47,,,NaN,NaN,,,NaN,,,,,,NaN
48,,,NaN,NaN,164,-11,NaN,-11,84,-12,70,-11,NaN
49,,,NaN,NaN,,,NaN,,,,,,NaN
50,,,NaN,NaN,164,-11,NaN,-11,84,-12,72,-11,NaN
51,,,NaN,NaN,,,NaN,,,,,,NaN
52,,,NaN,NaN,170,-11,NaN,-11,84,-12,72,-11,NaN
53,,,NaN,NaN,,,NaN,,,,,,NaN
54,,,NaN,NaN,162,-8,NaN,-11,84,-12,74,-14,NaN
55,,,NaN,NaN,,,NaN,,,,,,NaN
56,,,NaN,NaN,162,-9,NaN,-11,84,-12,74,-13,NaN
57,,,NaN,NaN,,,NaN,,,,,,NaN
58,,,NaN,NaN,162,-8,NaN,-11,84,-12,74,-15,NaN
59,,,NaN,NaN,,,NaN,,,,,,NaN
60,,,NaN,NaN,162,-10,NaN,-11,84,-12,74,-13,NaN
61,,,NaN,NaN,,,NaN,,,,,,NaN
62,,,NaN,NaN,162,-9,NaN,-11,84,-12,74,-13,NaN
63,,,NaN,NaN,,,NaN,,,,,,NaN
64,,,NaN,NaN,158,-9,NaN,-11,87,-12,73,-13,NaN
65,,,NaN,NaN,,,NaN,,,,,,NaN
66,,,NaN,NaN,171,-9,NaN,-11,88,-12,72,-13,NaN
67,,,NaN,NaN,,,NaN,,,,,,NaN
68,,,NaN,NaN,171,-11,NaN,-11,88,-12,72,-11,NaN
69,,,NaN,NaN,,,NaN,,,,,,NaN
70,,,NaN,NaN,171,,NaN,-11,88,-12,71,,NaN
71,,,NaN,NaN,,,NaN,,,,,,NaN
72,,,NaN,NaN,124,,NaN,-11,98,-12,70,,NaN
73,,,NaN,NaN,,,NaN,,,,,,NaN
74,,,NaN,NaN,104,,NaN,-11,99,-12,69,,NaN
75,,,NaN,NaN,,,NaN,,,,,,NaN
76,,,NaN,NaN,94,,NaN,-11,99,-12,69,,NaN
77,,,NaN,NaN,,,NaN,,,,,,NaN
78,,,NaN,NaN,94,,NaN,-11,99,-10,70,,NaN
79,,,NaN,NaN,,,NaN,,,,,,NaN
80,,,NaN,NaN,89,,NaN,-11,98,-10,70,,NaN
81,,,NaN,NaN,,,NaN,,,,,,NaN
82,,,NaN,NaN,89,-11,NaN,-11,98,-10,70,-11,NaN
83,,,NaN,NaN,,,NaN,,,,,,NaN
84,,,NaN,NaN,89,-11,NaN,-11,98,-11,69,-11,NaN
85,,,NaN,NaN,,,NaN,,,,,,NaN
86,,,NaN,NaN,75,-11,NaN,-11,99,-11,68,-11,NaN
87,,,NaN,NaN,,,NaN,,,,,,NaN
88,,,NaN,NaN,74,-11,NaN,-11,99,-13,68,-11,NaN
89,,,NaN,NaN,,,NaN,,,,,,NaN
90,,,NaN,NaN,74,-11,NaN,-11,100,-13,69,-11,NaN
91,,,NaN,NaN,,,NaN,,,,,,NaN
92,,,NaN,NaN,73,-11,NaN,-11,100,-15,69,-11,NaN
93,,,NaN,NaN,,,NaN,,,,,,NaN
94,,,NaN,NaN,71,-11,NaN,-11,100,-15,71,-11,NaN
95,,,NaN,NaN,,,NaN,,,,,,NaN
96,,,NaN,NaN,72,-11,NaN,-11,100,-15,71,-11,NaN
97,,,NaN,NaN,,,NaN,,,,,,NaN
98,,,NaN,NaN,72,-11,NaN,-11,100,-15,71,-11,NaN
99,,,NaN,NaN,,,NaN,,,,,,NaN
100,,,NaN,NaN,72,-11,NaN,-11,99,-15,71,-11,NaN
101,,,NaN,NaN,,,NaN,,,,,,NaN
102,,,NaN,NaN,72,-11,NaN,-11,100,-15,71,-11,NaN
103,,,NaN,NaN,,,NaN,,,,,,NaN
104,,,NaN,NaN,71,-11,NaN,-11,100,-14,71,-11,NaN
105,,,NaN,NaN,,,NaN,,,,,,NaN
106,,,NaN,NaN,72,-11,NaN,-11,100,-14,72,-11,NaN
107,,,NaN,NaN,,,NaN,,,,,,NaN
108,,,NaN,NaN,73,-11,NaN,-11,99,-14,72,-11,NaN
109,,,NaN,NaN,,,NaN,,,,,,NaN
110,,,NaN,NaN,74,-11,NaN,-11,100,-14,73,-11,NaN
111,,,NaN,NaN,,,NaN,,,,,,NaN
112,,,NaN,NaN,74,-11,NaN,-11,100,-14,74,-11,NaN
113,,,NaN,NaN,,,NaN,,,,,,NaN
114,,,NaN,NaN,75,-11,NaN,-11,100,-14,74,-11,NaN
115,,,NaN,NaN,,,NaN,,,,,,NaN
116,,,NaN,NaN,75,-11,NaN,-11,100,-14,75,-11,NaN
117,,,NaN,NaN,,,NaN,,,,,,NaN
118,,,NaN,NaN,75,-11,NaN,-11,99,-14,74,-11,NaN
119,,,NaN,NaN,,,NaN,,,,,,NaN
120,,,NaN,NaN,75,-11,NaN,-11,99,-14,74,-11,NaN
121,,,NaN,NaN,,,NaN,,,,,,NaN
122,,,NaN,NaN,74,-11,NaN,-11,99,-13,74,-11,NaN
123,,,NaN,NaN,,,NaN,,,,,,NaN
124,,,NaN,NaN,75,-11,NaN,-11,99,-13,74,-11,NaN
125,,,NaN,NaN,,,NaN,,,,,,NaN
126,,,NaN,NaN,74,-11,NaN,-11,100,-13,74,-11,NaN
127,,,NaN,NaN,,,NaN,,,,,,NaN
128,,,NaN,NaN,74,-11,NaN,-11,99,-13,75,-11,NaN
129,,,NaN,NaN,,,NaN,,,,,,NaN
130,,,NaN,NaN,74,-11,NaN,-11,99,-13,74,-11,NaN
131,,,NaN,NaN,,,NaN,,,,,,NaN
132,,,NaN,NaN,74,-11,NaN,-11,99,-13,74,-11,NaN
133,,,NaN,NaN,,,NaN,,,,,,NaN
134,,,NaN,NaN,74,-11,NaN,-11,99,-13,73,-11,NaN
135,,,NaN,NaN,,,NaN,,,,,,NaN
136,,,NaN,NaN,74,-11,NaN,-11,99,-13,73,-11,NaN
137,,,NaN,NaN,,,NaN,,,,,,NaN
138,,,NaN,NaN,74,-11,NaN,-11,99,-13,74,-11,NaN
139,,,NaN,NaN,,,NaN,,,,,,NaN
140,,,NaN,NaN,75,-11,NaN,-11,99,-13,75,-11,NaN
141,,,NaN,NaN,,,NaN,,,,,,NaN
142,,,NaN,NaN,76,-11,NaN,-11,99,-12,76,-11,NaN
143,,,NaN,NaN,,,NaN,,,,,,NaN
144,,,NaN,NaN,76,-11,NaN,-11,99,-12,77,-11,NaN
145,,,NaN,NaN,,,NaN,,,,,,NaN
146,,,NaN,NaN,78,-11,NaN,-11,100,-12,79,-11,NaN
147,,,NaN,NaN,,,NaN,,,,,,NaN
148,,,NaN,NaN,79,-11,NaN,-11,100,-12,79,-11,NaN
149,,,NaN,NaN,,,NaN,,,,,,NaN
150,,,NaN,NaN,79,-11,NaN,-11,100,-12,79,-11,NaN
151,,,NaN,NaN,,,NaN,,,,,,NaN
152,,,NaN,NaN,79,-11,NaN,-11,100,-11,78,-11,NaN
153,,,NaN,NaN,,,NaN,,,,,,NaN
154,,,NaN,NaN,79,-11,NaN,-11,100,-11,79,-11,NaN
155,,,NaN,NaN,,,NaN,,,,,,NaN
156,,,NaN,NaN,80,-11,NaN,-11,100,-10,80,-11,NaN
157,,,NaN,NaN,,,NaN,,,,,,NaN
158,,,NaN,NaN,81,-11,NaN,-11,100,-10,81,-11,NaN
159,,,NaN,NaN,,,NaN,,,,,,NaN
160,,,NaN,NaN,81,-11,NaN,-11,100,-13,81,-11,NaN
161,,,NaN,NaN,,,NaN,,,,,,NaN
162,,,NaN,NaN,80,-11,NaN,-11,100,-13,78,-11,NaN
163,,,NaN,NaN,,,NaN,,,,,,NaN
164,,,NaN,NaN,78,-11,NaN,-11,99,-14,77,-11,NaN
165,,,NaN,NaN,,,NaN,,,,,,NaN
166,,,NaN,NaN,76,-11,NaN,-11,99,-14,75,-11,NaN
167,,,NaN,NaN,,,NaN,,,,,,NaN
168,,,NaN,NaN,75,-11,NaN,-11,100,-14,74,-11,NaN
169,,,NaN,NaN,,,NaN,,,,,,NaN
170,,,NaN,NaN,73,-11,NaN,-11,99,-14,73,-11,NaN
