time,SNUADC/CVP,Solar8000/ETCO2,SNUADC/ART,Solar8000/ART_SBP,Solar8000/HR,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/RR_CO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/CVP,SNUADC/ECG_II
0,NaN,,NaN,,,,NaN,,,,,,NaN
1,-495.6260070800781,,-496.78717041015625,,,,-4.9562602043151855,,,,,,-4.9562602043151855
2,-495.6240234375,2,-496.7851867675781,-1,60,98,-4.956240177154541,-1,,60,-1,-38,-4.956240177154541
3,NaN,,NaN,,,,NaN,,,,,,NaN
4,NaN,2,NaN,-1,59,98,NaN,-1,,60,-1,-38,NaN
5,NaN,,NaN,,,,NaN,,,,,,NaN
6,NaN,2,NaN,-1,59,98,NaN,-1,,60,-1,-38,NaN
7,NaN,,NaN,,,,NaN,,,,,,NaN
8,NaN,2,NaN,-1,59,99,NaN,-1,,60,-1,-38,NaN
9,NaN,,NaN,,,,NaN,,,,,,NaN
10,NaN,2,NaN,-1,59,99,NaN,-1,,59,-1,-38,NaN
11,NaN,,NaN,,,,NaN,,,,,,NaN
12,NaN,2,NaN,-1,59,100,NaN,-1,,60,-1,-38,NaN
13,NaN,,NaN,,,,NaN,,,,,,NaN
14,NaN,2,NaN,-1,59,100,NaN,-1,,60,-1,-37,NaN
15,NaN,,NaN,,,,NaN,,,,,,NaN
16,NaN,2,NaN,-1,60,100,NaN,-1,,60,-1,-37,NaN
17,NaN,,NaN,,,,NaN,,,,,,NaN
18,NaN,2,NaN,-1,59,100,NaN,-1,,60,-1,-37,NaN
19,NaN,,NaN,,,,NaN,,,,,,NaN
20,NaN,2,NaN,-1,59,100,NaN,-1,,59,-1,-37,NaN
21,NaN,,NaN,,,,NaN,,,,,,NaN
22,NaN,2,NaN,43,59,100,NaN,-18,,59,-86,-37,NaN
23,NaN,,NaN,,,,NaN,,,,,,NaN
24,NaN,2,NaN,47,58,99,NaN,-4,,58,-32,-38,NaN
25,NaN,,NaN,,,,NaN,,,,,,NaN
26,NaN,2,NaN,10,58,99,NaN,-13,,58,-67,-38,NaN
27,NaN,,NaN,,,,NaN,,,,,,NaN
28,NaN,2,NaN,6,57,99,NaN,-15,,58,-40,-38,NaN
29,NaN,,NaN,,,,NaN,,,,,,NaN
30,NaN,2,NaN,,57,99,NaN,-15,,58,,-38,NaN
31,NaN,,NaN,,,,NaN,,,,,,NaN
32,NaN,2,NaN,,57,99,NaN,-16,,57,,-37,NaN
33,NaN,,NaN,,,,NaN,,,,,,NaN
34,NaN,2,NaN,,57,99,NaN,-17,,57,,-37,NaN
35,NaN,,NaN,,,,NaN,,,,,,NaN
36,NaN,2,NaN,,57,99,NaN,-18,,57,,-37,NaN
37,NaN,,NaN,,,,NaN,,,,,,NaN
38,NaN,2,NaN,,57,99,NaN,-17,,57,,-37,NaN
39,NaN,,NaN,,,,NaN,,,,,,NaN
40,NaN,2,NaN,,57,99,NaN,-17,,57,,-38,NaN
41,NaN,,NaN,,,,NaN,,,,,,NaN
42,NaN,2,NaN,-7,56,99,NaN,-17,,57,-22,-38,NaN
43,NaN,,NaN,,,,NaN,,,,,,NaN
44,NaN,2,NaN,-16,56,99,NaN,-16,,57,-16,-38,NaN
45,NaN,,NaN,,,,NaN,,,,,,NaN
46,NaN,2,NaN,-15,57,99,NaN,-16,,57,-17,-38,NaN
47,NaN,,NaN,,,,NaN,,,,,,NaN
48,NaN,2,NaN,-15,56,99,NaN,-16,,57,-17,-38,NaN
49,NaN,,NaN,,,,NaN,,,,,,NaN
50,NaN,2,NaN,-2,56,99,NaN,-16,,57,-29,-38,NaN
51,NaN,,NaN,,,,NaN,,,,,,NaN
52,NaN,2,NaN,-5,56,100,NaN,-16,,57,-25,-38,NaN
53,NaN,,NaN,,,,NaN,,,,,,NaN
54,NaN,2,NaN,-12,56,100,NaN,-16,,57,-19,-37,NaN
55,NaN,,NaN,,,,NaN,,,,,,NaN
56,NaN,2,NaN,-13,56,100,NaN,-16,,56,-19,-37,NaN
57,NaN,,NaN,,,,NaN,,,,,,NaN
58,NaN,2,NaN,,56,100,NaN,-16,,56,,-38,NaN
59,NaN,,NaN,,,,NaN,,,,,,NaN
60,NaN,2,NaN,,56,100,NaN,-17,,56,,-38,NaN
61,NaN,,NaN,,,,NaN,,,,,,NaN
62,NaN,2,NaN,,55,100,NaN,-17,,56,,-38,NaN
63,NaN,,NaN,,,,NaN,,,,,,NaN
64,NaN,2,NaN,,55,100,NaN,-17,,56,,-38,NaN
65,NaN,,NaN,,,,NaN,,,,,,NaN
66,NaN,2,NaN,,56,99,NaN,-17,,56,,-38,NaN
67,NaN,,NaN,,,,NaN,,,,,,NaN
68,NaN,2,NaN,,56,99,NaN,-17,,56,,-38,NaN
