time,Solar8000/PLETH_SPO2,Solar8000/HR,Solar8000/RR_CO2,Solar8000/PLETH_HR,SNUADC/ECG_II,SNUADC/ART,Solar8000/ETCO2,Solar8000/ART_SBP,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/ART_MBP,SNUADC/ECG_V5,Solar8000/CVP
0,,,,,NaN,NaN,,,,NaN,,NaN,
1,97,89,,91,-4.9562602043151855,-496.78717041015625,,-8,-8,-495.6260070800781,-8,-4.9562602043151855,-15
2,,,,,-4.956240177154541,-496.7851867675781,,,,-495.6240234375,,-4.956240177154541,
3,97,88,,89,NaN,NaN,,-8,-8,NaN,-8,NaN,-15
4,,,,,NaN,NaN,,,,NaN,,NaN,
5,98,88,,88,NaN,NaN,,-8,-8,NaN,-8,NaN,-15
6,,,,,NaN,NaN,,,,NaN,,NaN,
7,98,87,,87,NaN,NaN,,-8,-8,NaN,-8,NaN,-15
8,,,,,NaN,NaN,,,,NaN,,NaN,
9,98,85,,87,NaN,NaN,,-8,-8,NaN,-8,NaN,-15
10,,,,,NaN,NaN,,,,NaN,,NaN,
11,98,85,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-15
12,,,,,NaN,NaN,,,,NaN,,NaN,
13,98,85,,85,NaN,NaN,,-8,-8,NaN,-8,NaN,-15
14,,,,,NaN,NaN,,,,NaN,,NaN,
15,98,85,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-15
16,,,,,NaN,NaN,,,,NaN,,NaN,
17,98,85,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-15
18,,,,,NaN,NaN,,,,NaN,,NaN,
19,98,84,,85,NaN,NaN,,-8,-8,NaN,-8,NaN,-15
20,,,,,NaN,NaN,,,,NaN,,NaN,
21,98,85,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-16
22,,,,,NaN,NaN,,,,NaN,,NaN,
23,98,86,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-16
24,,,,,NaN,NaN,,,,NaN,,NaN,
25,98,87,,87,NaN,NaN,,-8,-8,NaN,-8,NaN,-15
26,,,,,NaN,NaN,,,,NaN,,NaN,
27,98,87,,87,NaN,NaN,,-8,-8,NaN,-8,NaN,-15
28,,,,,NaN,NaN,,,,NaN,,NaN,
29,98,86,,87,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
30,,,,,NaN,NaN,,,,NaN,,NaN,
31,99,85,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
32,,,,,NaN,NaN,,,,NaN,,NaN,
33,99,86,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
34,,,,,NaN,NaN,,,,NaN,,NaN,
35,99,86,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
36,,,,,NaN,NaN,,,,NaN,,NaN,
37,99,85,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
38,,,,,NaN,NaN,,,,NaN,,NaN,
39,99,85,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
40,,,,,NaN,NaN,,,,NaN,,NaN,
41,99,86,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
42,,,,,NaN,NaN,,,,NaN,,NaN,
43,98,87,,87,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
44,,,,,NaN,NaN,,,,NaN,,NaN,
45,98,88,,87,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
46,,,,,NaN,NaN,,,,NaN,,NaN,
47,98,87,,88,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
48,,,,,NaN,NaN,,,,NaN,,NaN,
49,99,87,,88,NaN,NaN,,-6,-12,NaN,-8,NaN,-14
50,,,,,NaN,NaN,,,,NaN,,NaN,
51,99,86,,88,NaN,NaN,,-6,-12,NaN,-8,NaN,-14
52,,,,,NaN,NaN,,,,NaN,,NaN,
53,97,85,,87,NaN,NaN,,-6,-12,NaN,-8,NaN,-14
54,,,,,NaN,NaN,,,,NaN,,NaN,
55,96,85,,87,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
56,,,,,NaN,NaN,,,,NaN,,NaN,
57,97,86,,87,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
58,,,,,NaN,NaN,,,,NaN,,NaN,
59,98,87,,86,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
60,,,,,NaN,NaN,,,,NaN,,NaN,
61,98,88,,89,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
62,,,,,NaN,NaN,,,,NaN,,NaN,
63,98,89,,90,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
64,,,,,NaN,NaN,,,,NaN,,NaN,
65,98,90,,91,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
66,,,,,NaN,NaN,,,,NaN,,NaN,
67,99,91,,92,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
68,,,,,NaN,NaN,,,,NaN,,NaN,
69,99,91,,91,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
70,,,,,NaN,NaN,,,,NaN,,NaN,
71,99,90,,91,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
72,,,,,NaN,NaN,,,,NaN,,NaN,
73,99,89,,90,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
74,,,,,NaN,NaN,,,,NaN,,NaN,
75,98,87,,91,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
76,,,,,NaN,NaN,,,,NaN,,NaN,
77,98,87,,91,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
78,,,,,NaN,NaN,,,,NaN,,NaN,
79,97,87,,90,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
80,,,,,NaN,NaN,,,,NaN,,NaN,
81,98,87,,90,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
82,,,,,NaN,NaN,,,,NaN,,NaN,
83,98,88,,90,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
84,,,,,NaN,NaN,,,,NaN,,NaN,
85,98,88,,88,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
86,,,,,NaN,NaN,,,,NaN,,NaN,
87,99,87,,88,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
88,,,,,NaN,NaN,,,,NaN,,NaN,
89,99,89,,89,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
90,,,,,NaN,NaN,,,,NaN,,NaN,
91,99,88,,89,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
92,,,,,NaN,NaN,,,,NaN,,NaN,
93,98,88,,89,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
94,,,,,NaN,NaN,,,,NaN,,NaN,
95,98,88,,88,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
96,,,,,NaN,NaN,,,,NaN,,NaN,
97,99,88,,88,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
98,,,,,NaN,NaN,,,,NaN,,NaN,
99,98,88,,88,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
100,,,,,NaN,NaN,,,,NaN,,NaN,
101,98,88,,89,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
102,,,,,NaN,NaN,,,,NaN,,NaN,
103,98,88,,88,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
104,,,,,NaN,NaN,,,,NaN,,NaN,
105,99,88,,89,NaN,NaN,,-8,-8,NaN,-8,NaN,-14
106,,,,,NaN,NaN,,,,NaN,,NaN,
107,98,90,,90,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
108,,,,,NaN,NaN,,,,NaN,,NaN,
109,98,92,,91,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
110,,,,,NaN,NaN,,,,NaN,,NaN,
111,98,92,,92,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
112,,,,,NaN,NaN,,,,NaN,,NaN,
113,99,89,,91,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
114,,,,,NaN,NaN,,,,NaN,,NaN,
115,99,87,,88,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
116,,,,,NaN,NaN,,,,NaN,,NaN,
117,99,87,,88,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
118,,,,,NaN,NaN,,,,NaN,,NaN,
119,99,87,,88,NaN,NaN,,-9,-9,NaN,-9,NaN,-14
120,,,,,NaN,NaN,,,,NaN,,NaN,
