time,Solar8000/RR_CO2,SNUADC/ECG_II,SNUADC/CVP,Solar8000/HR,Solar8000/PLETH_HR,Solar8000/ART_SBP,Solar8000/CVP,SNUADC/ECG_V5,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/ART_DBP,Solar8000/ETCO2,SNUADC/ART
0,,NaN,NaN,,,,,NaN,,,,,NaN
1,,-4.9562602043151855,-495.6260070800781,,,,,-4.9562602043151855,,,,,-498.6846008300781
2,,-4.956240177154541,-495.6240234375,47,47,1,-4,-4.956240177154541,1,97,1,,-498.6826477050781
3,,NaN,NaN,,,,,NaN,,,,,NaN
4,,NaN,NaN,47,47,1,-4,NaN,1,96,1,,NaN
5,,NaN,NaN,,,,,NaN,,,,,NaN
6,,NaN,NaN,47,47,1,-4,NaN,1,96,1,,NaN
7,,NaN,NaN,,,,,NaN,,,,,NaN
8,,NaN,NaN,47,47,1,-4,NaN,1,97,1,,NaN
9,,NaN,NaN,,,,,NaN,,,,,NaN
10,,NaN,NaN,47,47,1,-4,NaN,1,97,1,,NaN
11,,NaN,NaN,,,,,NaN,,,,,NaN
12,,NaN,NaN,47,47,1,-4,NaN,1,96,1,,NaN
13,,NaN,NaN,,,,,NaN,,,,,NaN
14,,NaN,NaN,47,47,1,-4,NaN,1,96,1,,NaN
15,,NaN,NaN,,,,,NaN,,,,,NaN
16,,NaN,NaN,47,48,1,-4,NaN,1,96,1,,NaN
17,,NaN,NaN,,,,,NaN,,,,,NaN
18,,NaN,NaN,47,48,1,-4,NaN,1,96,1,,NaN
19,,NaN,NaN,,,,,NaN,,,,,NaN
20,,NaN,NaN,47,48,1,-4,NaN,1,96,1,,NaN
21,,NaN,NaN,,,,,NaN,,,,,NaN
22,,NaN,NaN,47,48,1,-4,NaN,1,96,1,,NaN
23,,NaN,NaN,,,,,NaN,,,,,NaN
24,,NaN,NaN,47,48,1,-4,NaN,1,96,1,,NaN
25,,NaN,NaN,,,,,NaN,,,,,NaN
26,,NaN,NaN,48,48,1,-4,NaN,1,96,1,,NaN
27,,NaN,NaN,,,,,NaN,,,,,NaN
28,,NaN,NaN,48,48,1,-4,NaN,1,96,1,,NaN
29,,NaN,NaN,,,,,NaN,,,,,NaN
30,,NaN,NaN,48,48,1,-4,NaN,1,96,1,,NaN
31,,NaN,NaN,,,,,NaN,,,,,NaN
32,,NaN,NaN,48,49,1,-4,NaN,1,96,1,,NaN
33,,NaN,NaN,,,,,NaN,,,,,NaN
34,,NaN,NaN,48,49,1,-4,NaN,1,96,1,,NaN
35,,NaN,NaN,,,,,NaN,,,,,NaN
36,,NaN,NaN,48,49,1,-4,NaN,1,96,1,,NaN
37,,NaN,NaN,,,,,NaN,,,,,NaN
38,,NaN,NaN,49,49,1,-4,NaN,1,86,1,,NaN
39,,NaN,NaN,,,,,NaN,,,,,NaN
40,,NaN,NaN,48,50,1,-4,NaN,1,81,1,,NaN
41,,NaN,NaN,,,,,NaN,,,,,NaN
42,,NaN,NaN,48,50,1,-4,NaN,1,82,1,,NaN
43,,NaN,NaN,,,,,NaN,,,,,NaN
44,,NaN,NaN,48,50,1,-4,NaN,1,82,1,,NaN
45,,NaN,NaN,,,,,NaN,,,,,NaN
46,,NaN,NaN,48,50,1,-5,NaN,1,82,1,,NaN
47,,NaN,NaN,,,,,NaN,,,,,NaN
48,,NaN,NaN,48,50,1,-5,NaN,1,82,1,,NaN
49,,NaN,NaN,,,,,NaN,,,,,NaN
50,,NaN,NaN,48,50,1,-4,NaN,1,82,1,,NaN
51,,NaN,NaN,,,,,NaN,,,,,NaN
