time,Solar8000/CVP,SNUADC/ART,Solar8000/ART_DBP,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,Solar8000/HR,SNUADC/ECG_II,Solar8000/ART_SBP,SNUADC/ECG_V5,SNUADC/CVP,Solar8000/PLETH_HR,Solar8000/RR_CO2,Solar8000/ETCO2
0,,NaN,,,,,NaN,,NaN,NaN,,,
1,,-491.88665771484375,,,,,-4.9562602043151855,,-4.9562602043151855,-495.6260070800781,,,
2,,-491.88470458984375,,,,,-4.956240177154541,,-4.956240177154541,-495.6240234375,,,
3,,NaN,,,,,NaN,,NaN,NaN,,,
4,,NaN,,,,,NaN,,NaN,NaN,,,
5,,NaN,,,,,NaN,,NaN,NaN,,,
6,260,NaN,261,261,96,90,NaN,261,NaN,NaN,90,,0
7,,NaN,,,,,NaN,,NaN,NaN,,,
8,260,NaN,261,261,96,89,NaN,261,NaN,NaN,89,,0
9,,NaN,,,,,NaN,,NaN,NaN,,,
10,227,NaN,261,261,96,88,NaN,261,NaN,NaN,92,,0
11,,NaN,,,,,NaN,,NaN,NaN,,,
12,227,NaN,261,261,95,94,NaN,261,NaN,NaN,93,,0
13,,NaN,,,,,NaN,,NaN,NaN,,,
14,0,NaN,0,0,95,89,NaN,0,NaN,NaN,94,,0
15,,NaN,,,,,NaN,,NaN,NaN,,,
16,0,NaN,0,0,95,83,NaN,0,NaN,NaN,90,,0
17,,NaN,,,,,NaN,,NaN,NaN,,,
18,0,NaN,0,0,95,75,NaN,0,NaN,NaN,84,,0
19,,NaN,,,,,NaN,,NaN,NaN,,,
20,0,NaN,0,0,95,71,NaN,0,NaN,NaN,78,,0
21,,NaN,,,,,NaN,,NaN,NaN,,,
22,1,NaN,-8,-1,95,74,NaN,1,NaN,NaN,74,,0
23,,NaN,,,,,NaN,,NaN,NaN,,,
24,1,NaN,-8,-1,94,74,NaN,1,NaN,NaN,74,,0
25,,NaN,,,,,NaN,,NaN,NaN,,,
26,1,NaN,1,1,94,74,NaN,1,NaN,NaN,75,,0
27,,NaN,,,,,NaN,,NaN,NaN,,,
28,1,NaN,1,1,94,74,NaN,1,NaN,NaN,75,,0
29,,NaN,,,,,NaN,,NaN,NaN,,,
30,1,NaN,1,1,95,74,NaN,1,NaN,NaN,75,,0
31,,NaN,,,,,NaN,,NaN,NaN,,,
32,1,NaN,1,1,95,75,NaN,1,NaN,NaN,75,,0
33,,NaN,,,,,NaN,,NaN,NaN,,,
34,1,NaN,-1,-1,96,75,NaN,-1,NaN,NaN,75,,0
35,,NaN,,,,,NaN,,NaN,NaN,,,
36,1,NaN,-1,-1,97,76,NaN,-1,NaN,NaN,77,,0
37,,NaN,,,,,NaN,,NaN,NaN,,,
38,1,NaN,-2,-2,97,80,NaN,-2,NaN,NaN,78,,0
39,,NaN,,,,,NaN,,NaN,NaN,,,
40,1,NaN,-2,-2,97,81,NaN,-2,NaN,NaN,80,,0
41,,NaN,,,,,NaN,,NaN,NaN,,,
