time,Solar8000/RR_CO2,SNUADC/ECG_II,Solar8000/CVP,Solar8000/HR,Solar8000/PLETH_HR,Solar8000/ART_SBP,SNUADC/ECG_V5,Solar8000/ETCO2,Solar8000/ART_DBP,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,SNUADC/ART
0,,NaN,,,,,NaN,,,NaN,,,NaN
1,,-4.9562602043151855,,,,,-4.9562602043151855,,,-495.6260070800781,,,-499.346923828125
2,,-4.956240177154541,,,,,-4.956240177154541,,,-495.6240234375,,,-499.344970703125
3,,NaN,,,,,NaN,,,NaN,,,NaN
4,,NaN,,93,93,-31,NaN,,-31,NaN,-31,100,NaN
5,,NaN,,,,,NaN,,,NaN,,,NaN
6,,NaN,,92,93,-31,NaN,,-31,NaN,-31,100,NaN
7,,NaN,,,,,NaN,,,NaN,,,NaN
8,,NaN,,90,91,-31,NaN,,-31,NaN,-31,100,NaN
9,,NaN,,,,,NaN,,,NaN,,,NaN
10,,NaN,,89,90,-31,NaN,,-31,NaN,-31,100,NaN
11,,NaN,,,,,NaN,,,NaN,,,NaN
12,,NaN,,89,90,-30,NaN,,-30,NaN,-30,99,NaN
13,,NaN,,,,,NaN,,,NaN,,,NaN
14,,NaN,,91,91,-30,NaN,,-30,NaN,-30,99,NaN
15,,NaN,,,,,NaN,,,NaN,,,NaN
16,,NaN,,92,92,-30,NaN,,-30,NaN,-30,99,NaN
17,,NaN,,,,,NaN,,,NaN,,,NaN
18,,NaN,,91,92,-30,NaN,,-30,NaN,-30,99,NaN
19,,NaN,,,,,NaN,,,NaN,,,NaN
20,,NaN,,90,91,-30,NaN,,-30,NaN,-30,99,NaN
21,,NaN,,,,,NaN,,,NaN,,,NaN
22,,NaN,,90,90,-30,NaN,,-30,NaN,-30,99,NaN
23,,NaN,,,,,NaN,,,NaN,,,NaN
24,,NaN,,90,91,-30,NaN,,-30,NaN,-30,99,NaN
25,,NaN,,,,,NaN,,,NaN,,,NaN
26,,NaN,,90,90,-30,NaN,,-30,NaN,-30,99,NaN
27,,NaN,,,,,NaN,,,NaN,,,NaN
28,,NaN,,89,90,-30,NaN,,-30,NaN,-30,99,NaN
29,,NaN,,,,,NaN,,,NaN,,,NaN
30,,NaN,,90,91,-30,NaN,,-30,NaN,-30,99,NaN
31,,NaN,,,,,NaN,,,NaN,,,NaN
32,,NaN,,92,92,-30,NaN,,-30,NaN,-30,99,NaN
33,,NaN,,,,,NaN,,,NaN,,,NaN
34,,NaN,,92,93,-30,NaN,,-30,NaN,-30,99,NaN
35,,NaN,,,,,NaN,,,NaN,,,NaN
36,,NaN,,92,93,-30,NaN,,-30,NaN,-30,98,NaN
37,,NaN,,,,,NaN,,,NaN,,,NaN
38,,NaN,,91,92,-30,NaN,,-30,NaN,-30,98,NaN
39,,NaN,,,,,NaN,,,NaN,,,NaN
40,,NaN,,91,92,-31,NaN,,-31,NaN,-31,98,NaN
41,,NaN,,,,,NaN,,,NaN,,,NaN
42,,NaN,,92,93,-31,NaN,,-31,NaN,-31,98,NaN
43,,NaN,,,,,NaN,,,NaN,,,NaN
44,,NaN,,93,93,-31,NaN,,-31,NaN,-31,98,NaN
45,,NaN,,,,,NaN,,,NaN,,,NaN
46,,NaN,,94,94,-31,NaN,,-31,NaN,-31,98,NaN
47,,NaN,,,,,NaN,,,NaN,,,NaN
48,,NaN,,95,95,-30,NaN,,-30,NaN,-30,98,NaN
49,,NaN,,,,,NaN,,,NaN,,,NaN
50,,NaN,,96,97,-30,NaN,,-30,NaN,-30,98,NaN
51,,NaN,,,,,NaN,,,NaN,,,NaN
52,,NaN,,97,96,-30,NaN,,-30,NaN,-30,98,NaN
53,,NaN,,,,,NaN,,,NaN,,,NaN
54,,NaN,,95,96,-30,NaN,,-30,NaN,-30,98,NaN
55,,NaN,,,,,NaN,,,NaN,,,NaN
56,,NaN,,95,95,-30,NaN,,-30,NaN,-30,98,NaN
57,,NaN,,,,,NaN,,,NaN,,,NaN
58,,NaN,,94,94,-30,NaN,,-30,NaN,-30,98,NaN
59,,NaN,,,,,NaN,,,NaN,,,NaN
60,,NaN,,93,94,-30,NaN,,-30,NaN,-30,98,NaN
61,,NaN,,,,,NaN,,,NaN,,,NaN
62,,NaN,,92,93,-30,NaN,,-30,NaN,-30,98,NaN
63,,NaN,,,,,NaN,,,NaN,,,NaN
64,,NaN,,93,93,-30,NaN,,-30,NaN,-30,98,NaN
65,,NaN,,,,,NaN,,,NaN,,,NaN
66,,NaN,,91,93,-30,NaN,,-30,NaN,-30,98,NaN
67,,NaN,,,,,NaN,,,NaN,,,NaN
68,,NaN,,90,91,-30,NaN,,-30,NaN,-30,98,NaN
69,,NaN,,,,,NaN,,,NaN,,,NaN
70,,NaN,,89,90,-30,NaN,,-30,NaN,-30,98,NaN
71,,NaN,,,,,NaN,,,NaN,,,NaN
72,,NaN,,90,90,-30,NaN,,-30,NaN,-30,98,NaN
73,,NaN,,,,,NaN,,,NaN,,,NaN
74,,NaN,,91,91,-30,NaN,,-30,NaN,-30,98,NaN
75,,NaN,,,,,NaN,,,NaN,,,NaN
76,,NaN,,91,91,-30,NaN,,-30,NaN,-30,98,NaN
77,,NaN,,,,,NaN,,,NaN,,,NaN
78,,NaN,,91,91,-30,NaN,,-30,NaN,-30,98,NaN
79,,NaN,,,,,NaN,,,NaN,,,NaN
80,,NaN,,90,91,-30,NaN,,-30,NaN,-30,99,NaN
81,,NaN,,,,,NaN,,,NaN,,,NaN
82,,NaN,,91,91,-30,NaN,,-30,NaN,-30,98,NaN
83,,NaN,,,,,NaN,,,NaN,,,NaN
84,,NaN,,90,91,-30,NaN,,-30,NaN,-30,98,NaN
85,,NaN,,,,,NaN,,,NaN,,,NaN
86,,NaN,,89,90,-30,NaN,,-30,NaN,-30,98,NaN
87,,NaN,,,,,NaN,,,NaN,,,NaN
88,,NaN,,89,89,-30,NaN,,-30,NaN,-30,98,NaN
89,,NaN,,,,,NaN,,,NaN,,,NaN
90,,NaN,,89,90,-30,NaN,,-30,NaN,-30,98,NaN
91,,NaN,,,,,NaN,,,NaN,,,NaN
92,,NaN,,93,92,-30,NaN,,-30,NaN,-30,98,NaN
93,,NaN,,,,,NaN,,,NaN,,,NaN
94,,NaN,,97,94,-30,NaN,,-30,NaN,-30,99,NaN
95,,NaN,,,,,NaN,,,NaN,,,NaN
96,,NaN,,98,97,-30,NaN,,-30,NaN,-30,98,NaN
97,,NaN,,,,,NaN,,,NaN,,,NaN
98,,NaN,,97,98,-30,NaN,,-30,NaN,-30,98,NaN
99,,NaN,,,,,NaN,,,NaN,,,NaN
100,,NaN,,95,96,-30,NaN,,-30,NaN,-30,98,NaN
101,,NaN,,,,,NaN,,,NaN,,,NaN
102,,NaN,,93,94,-30,NaN,,-30,NaN,-30,98,NaN
103,,NaN,,,,,NaN,,,NaN,,,NaN
104,,NaN,,92,93,-30,NaN,,-30,NaN,-30,98,NaN
105,,NaN,,,,,NaN,,,NaN,,,NaN
106,,NaN,,91,92,-30,NaN,,-30,NaN,-30,99,NaN
107,,NaN,,,,,NaN,,,NaN,,,NaN
108,,NaN,,93,93,-30,NaN,,-30,NaN,-30,98,NaN
109,,NaN,,,,,NaN,,,NaN,,,NaN
110,,NaN,,95,95,-30,NaN,,-30,NaN,-30,98,NaN
111,,NaN,,,,,NaN,,,NaN,,,NaN
112,,NaN,,96,95,-30,NaN,,-30,NaN,-30,98,NaN
113,,NaN,,,,,NaN,,,NaN,,,NaN
114,,NaN,,93,94,-30,NaN,,-30,NaN,-30,98,NaN
115,,NaN,,,,,NaN,,,NaN,,,NaN
116,,NaN,,92,92,-30,NaN,,-30,NaN,-30,98,NaN
117,,NaN,,,,,NaN,,,NaN,,,NaN
118,,NaN,,92,92,-30,NaN,,-30,NaN,-30,98,NaN
119,,NaN,,,,,NaN,,,NaN,,,NaN
120,,NaN,,91,92,-30,NaN,,-30,NaN,-30,98,NaN
121,,NaN,,,,,NaN,,,NaN,,,NaN
122,,NaN,,91,92,-30,NaN,0,-30,NaN,-30,98,NaN
123,,NaN,,,,,NaN,,,NaN,,,NaN
124,,NaN,,91,91,-30,NaN,0,-30,NaN,-30,99,NaN
125,,NaN,,,,,NaN,,,NaN,,,NaN
126,,NaN,,91,92,-30,NaN,0,-30,NaN,-30,99,NaN
127,,NaN,,,,,NaN,,,NaN,,,NaN
128,,NaN,,89,90,-30,NaN,0,-30,NaN,-30,99,NaN
129,,NaN,,,,,NaN,,,NaN,,,NaN
130,,NaN,,88,89,-30,NaN,0,-30,NaN,-30,99,NaN
131,,NaN,,,,,NaN,,,NaN,,,NaN
132,,NaN,,88,89,-30,NaN,0,-30,NaN,-30,99,NaN
133,,NaN,,,,,NaN,,,NaN,,,NaN
134,,NaN,,88,90,-31,NaN,0,-31,NaN,-31,99,NaN
135,,NaN,,,,,NaN,,,NaN,,,NaN
136,,NaN,,91,92,-31,NaN,0,-31,NaN,-31,98,NaN
137,,NaN,,,,,NaN,,,NaN,,,NaN
138,,NaN,,93,93,-30,NaN,0,-30,NaN,-30,98,NaN
139,,NaN,,,,,NaN,,,NaN,,,NaN
140,,NaN,,93,93,-30,NaN,0,-30,NaN,-30,98,NaN
141,,NaN,,,,,NaN,,,NaN,,,NaN
142,,NaN,,92,92,-30,NaN,0,-30,NaN,-30,98,NaN
143,,NaN,,,,,NaN,,,NaN,,,NaN
144,,NaN,,89,90,-30,NaN,0,-30,NaN,-30,99,NaN
145,,NaN,,,,,NaN,,,NaN,,,NaN
146,,NaN,,87,88,-30,NaN,0,-30,NaN,-30,98,NaN
147,,NaN,,,,,NaN,,,NaN,,,NaN
148,,NaN,,84,86,-30,NaN,0,-30,NaN,-30,98,NaN
149,,NaN,,,,,NaN,,,NaN,,,NaN
150,,NaN,,83,84,-28,NaN,0,-33,NaN,-31,98,NaN
151,,NaN,,,,,NaN,,,NaN,,,NaN
152,,NaN,,82,83,-27,NaN,0,-33,NaN,-30,98,NaN
153,,NaN,,,,,NaN,,,NaN,,,NaN
154,,NaN,,82,83,-28,NaN,0,-32,NaN,-30,98,NaN
155,,NaN,,,,,NaN,,,NaN,,,NaN
156,,NaN,,84,84,-28,NaN,0,-32,NaN,-30,98,NaN
157,,NaN,,,,,NaN,,,NaN,,,NaN
158,,NaN,,85,86,-30,NaN,0,-30,NaN,-30,98,NaN
159,,NaN,,,,,NaN,,,NaN,,,NaN
160,,NaN,,89,88,-30,NaN,0,-30,NaN,-30,98,NaN
161,,NaN,,,,,NaN,,,NaN,,,NaN
