time,Solar8000/ART_SBP,Solar8000/PLETH_HR,Solar8000/HR,Solar8000/RR_CO2,Solar8000/ART_DBP,SNUADC/ART,SNUADC/ECG_II,Solar8000/ETCO2,SNUADC/CVP,Solar8000/ART_MBP,Solar8000/PLETH_SPO2,SNUADC/ECG_V5,Solar8000/CVP
0,,,,,,NaN,NaN,,NaN,,,NaN,
1,4,,67,,-20,-498.6846008300781,-4.9562602043151855,0,-495.6260070800781,-8,,-4.9562602043151855,3
2,,,,,,-498.6826477050781,-4.956240177154541,,-495.6240234375,,,-4.956240177154541,
3,-2,,68,,-12,NaN,NaN,0,NaN,-7,,NaN,3
4,,,,,,NaN,NaN,,NaN,,,NaN,
5,-2,,69,,-12,NaN,NaN,0,NaN,-7,,NaN,3
6,,,,,,NaN,NaN,,NaN,,,NaN,
7,-5,,69,,-5,NaN,NaN,0,NaN,-5,,NaN,3
8,,,,,,NaN,NaN,,NaN,,,NaN,
9,-5,,69,,-5,NaN,NaN,0,NaN,-5,,NaN,3
10,,,,,,NaN,NaN,,NaN,,,NaN,
11,-5,,69,,-5,NaN,NaN,0,NaN,-5,,NaN,3
12,,,,,,NaN,NaN,,NaN,,,NaN,
13,-5,97,68,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
14,,,,,,NaN,NaN,,NaN,,,NaN,
15,-5,82,68,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
16,,,,,,NaN,NaN,,NaN,,,NaN,
17,-5,72,68,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
18,,,,,,NaN,NaN,,NaN,,,NaN,
19,-5,72,69,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
20,,,,,,NaN,NaN,,NaN,,,NaN,
21,-5,72,70,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
22,,,,,,NaN,NaN,,NaN,,,NaN,
23,-5,72,82,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
24,,,,,,NaN,NaN,,NaN,,,NaN,
25,-5,69,82,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
26,,,,,,NaN,NaN,,NaN,,,NaN,
27,-5,71,84,,-5,NaN,NaN,0,NaN,-5,97,NaN,3
28,,,,,,NaN,NaN,,NaN,,,NaN,
29,-5,71,84,,-5,NaN,NaN,0,NaN,-5,97,NaN,3
30,,,,,,NaN,NaN,,NaN,,,NaN,
31,-5,72,74,,-5,NaN,NaN,0,NaN,-5,97,NaN,3
32,,,,,,NaN,NaN,,NaN,,,NaN,
33,-5,74,74,,-5,NaN,NaN,0,NaN,-5,97,NaN,3
34,,,,,,NaN,NaN,,NaN,,,NaN,
35,-6,76,74,,-6,NaN,NaN,0,NaN,-6,98,NaN,3
36,,,,,,NaN,NaN,,NaN,,,NaN,
37,-6,77,74,,-6,NaN,NaN,0,NaN,-6,99,NaN,3
38,,,,,,NaN,NaN,,NaN,,,NaN,
39,-6,77,74,,-6,NaN,NaN,0,NaN,-6,100,NaN,3
40,,,,,,NaN,NaN,,NaN,,,NaN,
41,-6,76,74,,-6,NaN,NaN,0,NaN,-6,99,NaN,3
42,,,,,,NaN,NaN,,NaN,,,NaN,
43,-5,75,73,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
44,,,,,,NaN,NaN,,NaN,,,NaN,
45,-5,73,72,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
46,,,,,,NaN,NaN,,NaN,,,NaN,
47,-5,73,72,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
48,,,,,,NaN,NaN,,NaN,,,NaN,
49,-5,74,74,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
50,,,,,,NaN,NaN,,NaN,,,NaN,
51,-5,75,76,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
52,,,,,,NaN,NaN,,NaN,,,NaN,
53,-5,76,76,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
54,,,,,,NaN,NaN,,NaN,,,NaN,
55,-5,76,75,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
56,,,,,,NaN,NaN,,NaN,,,NaN,
57,-5,75,74,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
58,,,,,,NaN,NaN,,NaN,,,NaN,
59,-5,74,74,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
60,,,,,,NaN,NaN,,NaN,,,NaN,
61,-5,74,74,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
62,,,,,,NaN,NaN,,NaN,,,NaN,
63,-5,73,72,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
64,,,,,,NaN,NaN,,NaN,,,NaN,
65,-5,71,69,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
66,,,,,,NaN,NaN,,NaN,,,NaN,
67,-5,69,67,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
68,,,,,,NaN,NaN,,NaN,,,NaN,
69,-5,68,66,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
70,,,,,,NaN,NaN,,NaN,,,NaN,
71,-5,67,67,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
72,,,,,,NaN,NaN,,NaN,,,NaN,
73,-5,68,69,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
74,,,,,,NaN,NaN,,NaN,,,NaN,
75,-5,70,70,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
76,,,,,,NaN,NaN,,NaN,,,NaN,
77,-5,70,71,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
78,,,,,,NaN,NaN,,NaN,,,NaN,
79,-5,70,71,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
80,,,,,,NaN,NaN,,NaN,,,NaN,
81,-5,69,71,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
82,,,,,,NaN,NaN,,NaN,,,NaN,
83,-5,71,71,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
84,,,,,,NaN,NaN,,NaN,,,NaN,
85,-5,71,71,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
86,,,,,,NaN,NaN,,NaN,,,NaN,
87,-5,72,73,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
88,,,,,,NaN,NaN,,NaN,,,NaN,
89,-5,74,74,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
90,,,,,,NaN,NaN,,NaN,,,NaN,
91,-5,76,75,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
92,,,,,,NaN,NaN,,NaN,,,NaN,
93,-5,75,74,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
94,,,,,,NaN,NaN,,NaN,,,NaN,
95,-5,73,72,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
96,,,,,,NaN,NaN,,NaN,,,NaN,
97,-5,72,71,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
98,,,,,,NaN,NaN,,NaN,,,NaN,
99,-5,71,70,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
100,,,,,,NaN,NaN,,NaN,,,NaN,
101,-5,70,69,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
102,,,,,,NaN,NaN,,NaN,,,NaN,
103,-6,69,68,,-6,NaN,NaN,0,NaN,-6,100,NaN,2
104,,,,,,NaN,NaN,,NaN,,,NaN,
105,-6,69,68,,-6,NaN,NaN,0,NaN,-6,100,NaN,2
106,,,,,,NaN,NaN,,NaN,,,NaN,
107,-5,68,68,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
108,,,,,,NaN,NaN,,NaN,,,NaN,
109,-5,68,67,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
110,,,,,,NaN,NaN,,NaN,,,NaN,
111,-4,67,66,,-4,NaN,NaN,0,NaN,-4,100,NaN,2
112,,,,,,NaN,NaN,,NaN,,,NaN,
113,-4,68,68,,-4,NaN,NaN,0,NaN,-4,100,NaN,2
114,,,,,,NaN,NaN,,NaN,,,NaN,
115,-5,68,68,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
116,,,,,,NaN,NaN,,NaN,,,NaN,
117,-5,69,70,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
118,,,,,,NaN,NaN,,NaN,,,NaN,
119,-5,70,68,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
120,,,,,,NaN,NaN,,NaN,,,NaN,
121,-5,68,67,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
122,,,,,,NaN,NaN,,NaN,,,NaN,
123,-5,67,66,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
124,,,,,,NaN,NaN,,NaN,,,NaN,
125,-6,66,65,,-6,NaN,NaN,0,NaN,-6,100,NaN,2
126,,,,,,NaN,NaN,,NaN,,,NaN,
127,-6,66,66,,-6,NaN,NaN,0,NaN,-6,100,NaN,2
128,,,,,,NaN,NaN,,NaN,,,NaN,
129,-5,68,68,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
130,,,,,,NaN,NaN,,NaN,,,NaN,
131,-5,69,69,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
132,,,,,,NaN,NaN,,NaN,,,NaN,
133,-4,69,69,,-4,NaN,NaN,0,NaN,-4,100,NaN,2
134,,,,,,NaN,NaN,,NaN,,,NaN,
135,-4,70,69,,-4,NaN,NaN,0,NaN,-4,100,NaN,2
136,,,,,,NaN,NaN,,NaN,,,NaN,
137,-5,70,70,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
138,,,,,,NaN,NaN,,NaN,,,NaN,
139,-5,71,72,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
140,,,,,,NaN,NaN,,NaN,,,NaN,
141,-5,74,74,,-5,NaN,NaN,0,NaN,-5,100,NaN,2
142,,,,,,NaN,NaN,,NaN,,,NaN,
143,-5,75,75,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
144,,,,,,NaN,NaN,,NaN,,,NaN,
145,-5,75,75,,-5,NaN,NaN,0,NaN,-5,100,NaN,3
146,,,,,,NaN,NaN,,NaN,,,NaN,
