time,Solar8000/PLETH_SPO2,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/CVP,Solar8000/ART_MBP,SNUADC/ECG_II,SNUADC/ECG_V5,Solar8000/ART_SBP,SNUADC/ART,SNUADC/CVP,Solar8000/HR,Solar8000/ETCO2
0,,,,,,,NaN,NaN,,NaN,NaN,,
1,,,,,,,-4.9562602043151855,-4.9562602043151855,,-496.78717041015625,-495.6260070800781,,
2,,,,,,,-4.956240177154541,-4.956240177154541,,-496.7851867675781,-495.6240234375,,
3,100,63,0,,0,0,NaN,NaN,0,NaN,NaN,62,
4,,,,,,,NaN,NaN,,NaN,NaN,,
5,100,64,0,,0,0,NaN,NaN,0,NaN,NaN,67,
6,,,,,,,NaN,NaN,,NaN,NaN,,
7,100,62,0,,0,0,NaN,NaN,0,NaN,NaN,63,
8,,,,,,,NaN,NaN,,NaN,NaN,,
9,100,63,0,,0,0,NaN,NaN,0,NaN,NaN,63,
10,,,,,,,NaN,NaN,,NaN,NaN,,
11,100,63,0,,0,0,NaN,NaN,0,NaN,NaN,61,
12,,,,,,,NaN,NaN,,NaN,NaN,,
13,100,66,1,,0,1,NaN,NaN,1,NaN,NaN,67,
14,,,,,,,NaN,NaN,,NaN,NaN,,
15,100,73,1,,0,1,NaN,NaN,1,NaN,NaN,71,
16,,,,,,,NaN,NaN,,NaN,NaN,,
17,100,72,1,,0,1,NaN,NaN,1,NaN,NaN,71,
18,,,,,,,NaN,NaN,,NaN,NaN,,
19,100,73,1,,0,1,NaN,NaN,1,NaN,NaN,69,
20,,,,,,,NaN,NaN,,NaN,NaN,,
21,100,77,1,,0,1,NaN,NaN,1,NaN,NaN,66,
22,,,,,,,NaN,NaN,,NaN,NaN,,
23,100,71,1,,0,1,NaN,NaN,1,NaN,NaN,65,
24,,,,,,,NaN,NaN,,NaN,NaN,,
25,100,75,0,,0,0,NaN,NaN,0,NaN,NaN,71,
26,,,,,,,NaN,NaN,,NaN,NaN,,
27,100,77,0,,0,0,NaN,NaN,0,NaN,NaN,68,
28,,,,,,,NaN,NaN,,NaN,NaN,,
29,100,79,0,,0,0,NaN,NaN,0,NaN,NaN,71,
30,,,,,,,NaN,NaN,,NaN,NaN,,
31,100,77,0,,0,0,NaN,NaN,0,NaN,NaN,68,
32,,,,,,,NaN,NaN,,NaN,NaN,,
33,100,77,0,,0,0,NaN,NaN,0,NaN,NaN,68,
34,,,,,,,NaN,NaN,,NaN,NaN,,
35,100,78,0,,0,0,NaN,NaN,0,NaN,NaN,71,
36,,,,,,,NaN,NaN,,NaN,NaN,,
37,100,77,0,,0,0,NaN,NaN,0,NaN,NaN,67,
38,,,,,,,NaN,NaN,,NaN,NaN,,
39,100,77,0,,0,0,NaN,NaN,0,NaN,NaN,72,
40,,,,,,,NaN,NaN,,NaN,NaN,,
41,100,79,0,,0,0,NaN,NaN,0,NaN,NaN,72,
42,,,,,,,NaN,NaN,,NaN,NaN,,
43,100,79,0,,0,0,NaN,NaN,0,NaN,NaN,73,
44,,,,,,,NaN,NaN,,NaN,NaN,,
45,100,78,0,,0,0,NaN,NaN,0,NaN,NaN,73,
46,,,,,,,NaN,NaN,,NaN,NaN,,
47,100,76,1,,0,1,NaN,NaN,1,NaN,NaN,77,
48,,,,,,,NaN,NaN,,NaN,NaN,,
49,100,73,1,,0,1,NaN,NaN,1,NaN,NaN,76,
50,,,,,,,NaN,NaN,,NaN,NaN,,
51,100,68,1,,0,1,NaN,NaN,1,NaN,NaN,75,
52,,,,,,,NaN,NaN,,NaN,NaN,,
53,100,64,1,,0,1,NaN,NaN,1,NaN,NaN,65,
54,,,,,,,NaN,NaN,,NaN,NaN,,
55,100,68,1,,0,1,NaN,NaN,1,NaN,NaN,69,
56,,,,,,,NaN,NaN,,NaN,NaN,,
57,100,70,1,,0,1,NaN,NaN,1,NaN,NaN,72,
58,,,,,,,NaN,NaN,,NaN,NaN,,
59,100,73,0,,0,0,NaN,NaN,0,NaN,NaN,78,
60,,,,,,,NaN,NaN,,NaN,NaN,,
61,100,78,0,,0,0,NaN,NaN,0,NaN,NaN,78,
62,,,,,,,NaN,NaN,,NaN,NaN,,
63,100,79,0,,0,0,NaN,NaN,0,NaN,NaN,77,
64,,,,,,,NaN,NaN,,NaN,NaN,,
