time,SNUADC/ECG_V5,Solar8000/CVP,Solar8000/ART_MBP,Solar8000/ETCO2,SNUADC/CVP,Solar8000/PLETH_HR,Solar8000/ART_DBP,Solar8000/RR_CO2,Solar8000/ART_SBP,Solar8000/PLETH_SPO2,SNUADC/ECG_II,SNUADC/ART,Solar8000/HR
0,NaN,,,,NaN,,,,,,NaN,NaN,
1,-4.9562602043151855,,,,-495.6260070800781,,,,,,-4.9562602043151855,-494.5040283203125,
2,-4.956240177154541,,,,-495.6240234375,,,,,,-4.956240177154541,-494.5020446777344,
3,NaN,,,,NaN,,,,,,NaN,NaN,
4,NaN,,,,NaN,,,,,,NaN,NaN,
5,NaN,-10,-8,0,NaN,112,-8,,-8,79,NaN,NaN,110
6,NaN,,,,NaN,,,,,,NaN,NaN,
7,NaN,-10,-8,0,NaN,112,-8,,-8,79,NaN,NaN,111
8,NaN,,,,NaN,,,,,,NaN,NaN,
9,NaN,-9,-8,0,NaN,112,-8,,-8,79,NaN,NaN,111
10,NaN,,,,NaN,,,,,,NaN,NaN,
11,NaN,-9,-8,0,NaN,112,-8,,-8,86,NaN,NaN,111
12,NaN,,,,NaN,,,,,,NaN,NaN,
13,NaN,-9,-8,0,NaN,111,-8,,-8,85,NaN,NaN,111
14,NaN,,,,NaN,,,,,,NaN,NaN,
15,NaN,-9,-8,0,NaN,104,-8,,-8,86,NaN,NaN,112
16,NaN,,,,NaN,,,,,,NaN,NaN,
17,NaN,-9,-8,0,NaN,108,-8,,-8,86,NaN,NaN,113
18,NaN,,,,NaN,,,,,,NaN,NaN,
19,NaN,-9,-8,0,NaN,103,-8,,-8,88,NaN,NaN,114
20,NaN,,,,NaN,,,,,,NaN,NaN,
21,NaN,-9,-8,0,NaN,115,-8,,-8,95,NaN,NaN,114
22,NaN,,,,NaN,,,,,,NaN,NaN,
23,NaN,-9,-8,0,NaN,115,-8,,-8,98,NaN,NaN,114
24,NaN,,,,NaN,,,,,,NaN,NaN,
25,NaN,-9,-8,0,NaN,115,-8,,-8,98,NaN,NaN,115
26,NaN,,,,NaN,,,,,,NaN,NaN,
27,NaN,-9,-8,0,NaN,116,-8,,-8,99,NaN,NaN,115
28,NaN,,,,NaN,,,,,,NaN,NaN,
29,NaN,-9,-8,0,NaN,116,-8,,-8,99,NaN,NaN,116
30,NaN,,,,NaN,,,,,,NaN,NaN,
31,NaN,-9,-8,0,NaN,117,-8,,-8,99,NaN,NaN,116
32,NaN,,,,NaN,,,,,,NaN,NaN,
33,NaN,-9,-8,0,NaN,117,-8,,-8,99,NaN,NaN,117
34,NaN,,,,NaN,,,,,,NaN,NaN,
35,NaN,-9,-8,0,NaN,118,-8,,-8,99,NaN,NaN,117
36,NaN,,,,NaN,,,,,,NaN,NaN,
37,NaN,-9,-8,0,NaN,118,-8,,-8,99,NaN,NaN,118
38,NaN,,,,NaN,,,,,,NaN,NaN,
39,NaN,-9,-8,0,NaN,118,-8,,-8,99,NaN,NaN,118
40,NaN,,,,NaN,,,,,,NaN,NaN,
41,NaN,-9,-8,0,NaN,117,-8,,-8,99,NaN,NaN,117
42,NaN,,,,NaN,,,,,,NaN,NaN,
43,NaN,-9,-8,0,NaN,117,-8,,-8,98,NaN,NaN,115
44,NaN,,,,NaN,,,,,,NaN,NaN,
45,NaN,-9,-8,0,NaN,121,-8,,-8,98,NaN,NaN,114
46,NaN,,,,NaN,,,,,,NaN,NaN,
47,NaN,-9,-8,0,NaN,121,-8,,-8,98,NaN,NaN,114
48,NaN,,,,NaN,,,,,,NaN,NaN,
49,NaN,-9,-8,0,NaN,116,-8,,-8,98,NaN,NaN,114
50,NaN,,,,NaN,,,,,,NaN,NaN,
51,NaN,-9,-8,0,NaN,116,-8,,-8,99,NaN,NaN,115
52,NaN,,,,NaN,,,,,,NaN,NaN,
53,NaN,-9,-8,0,NaN,116,-8,,-8,99,NaN,NaN,116
54,NaN,,,,NaN,,,,,,NaN,NaN,
55,NaN,-9,-8,0,NaN,115,-8,,-8,99,NaN,NaN,115
56,NaN,,,,NaN,,,,,,NaN,NaN,
57,NaN,-9,-8,0,NaN,115,-8,,-8,99,NaN,NaN,114
58,NaN,,,,NaN,,,,,,NaN,NaN,
59,NaN,-9,-8,0,NaN,116,-8,,-8,99,NaN,NaN,115
60,NaN,,,,NaN,,,,,,NaN,NaN,
61,NaN,-9,-8,0,NaN,117,-8,,-8,99,NaN,NaN,116
62,NaN,,,,NaN,,,,,,NaN,NaN,
63,NaN,-9,-8,0,NaN,116,-8,,-8,99,NaN,NaN,116
64,NaN,,,,NaN,,,,,,NaN,NaN,
65,NaN,-9,-8,0,NaN,116,-8,,-8,99,NaN,NaN,116
66,NaN,,,,NaN,,,,,,NaN,NaN,
67,NaN,-9,-8,0,NaN,115,-8,,-8,99,NaN,NaN,114
68,NaN,,,,NaN,,,,,,NaN,NaN,
69,NaN,-10,-7,0,NaN,114,-7,,-7,98,NaN,NaN,114
70,NaN,,,,NaN,,,,,,NaN,NaN,
71,NaN,-10,-7,0,NaN,114,-7,,-7,98,NaN,NaN,114
72,NaN,,,,NaN,,,,,,NaN,NaN,
73,NaN,-9,-7,0,NaN,116,-7,,-7,98,NaN,NaN,114
74,NaN,,,,NaN,,,,,,NaN,NaN,
75,NaN,-9,-7,0,NaN,116,-7,,-7,98,NaN,NaN,114
76,NaN,,,,NaN,,,,,,NaN,NaN,
77,NaN,-10,-7,0,NaN,110,-7,,-7,98,NaN,NaN,112
78,NaN,,,,NaN,,,,,,NaN,NaN,
79,NaN,-10,-7,0,NaN,110,-7,,-7,98,NaN,NaN,112
80,NaN,,,,NaN,,,,,,NaN,NaN,
81,NaN,-10,-8,0,NaN,113,-8,,-8,98,NaN,NaN,112
82,NaN,,,,NaN,,,,,,NaN,NaN,
